name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"3,297,800,000","2,826,692,000","2,692,264,000","2,615,736,000","2,658,875,000","2,456,844,000","1,827,176,000","1,812,929,000","1,735,149,000","1,502,072,000","1,321,456,000","1,233,270,000","1,113,176,000","979,606,000","858,515,000","700,288,000","555,292,000","483,648,000","397,196,000","380,379,000","318,408,000","272,174,000","239,382,000","198,103,000","158,600,000","157,500,000","144,900,000","108,200,000","101,100,000","100,700,000","102,000,000","106,600,000","98,200,000","85,900,000","89,000,000"
	CurrentAssets,"1,770,832,000","1,602,508,000","1,567,556,000","1,584,758,000","1,595,426,000","1,387,975,000","1,240,776,000","1,256,249,000","1,224,136,000","956,168,000","858,182,000","747,975,000","680,726,000","664,451,000","600,717,000","464,168,000","373,986,000","344,356,000","284,436,000","23,732,000","21,129,000","16,321,000","11,890,000","10,575,000","8,200,000","8,500,000","8,100,000","7,400,000","8,300,000","8,200,000","8,000,000","0","0","0","0"
		CashCashEquivalentsAndShortTermInvestments,"57,755,000","15,278,000","51,037,000","308,561,000","14,942,000","3,549,000","231,091,000","129,534,000","274,389,000","72,022,000","109,685,000","7,376,000","5,249,000","8,807,000","6,973,000","5,865,000","95,000","96,000","93,000","95,000","99,000","95,000","96,000","84,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000",,,,
			CashAndCashEquivalents,"57,755,000","15,278,000","51,037,000","308,561,000","14,942,000","3,549,000","231,091,000","129,534,000","176,257,000","72,022,000","109,685,000","7,376,000","5,249,000","8,807,000","6,973,000","5,865,000","95,000","96,000","93,000","95,000","99,000","95,000","96,000","84,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000",,,,
				CashFinancial,,,,,,,,,,"72,022,000","109,685,000",,,,,,,,,,,,,"84,000",,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,"98,132,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"198,102,000","203,460,000","286,022,000","192,465,000","378,408,000","231,478,000","68,684,000","74,157,000","87,471,000","69,662,000","66,095,000","59,513,000","52,025,000","43,495,000","42,812,000","32,736,000","30,878,000","26,973,000","25,411,000","23,637,000","21,030,000","16,226,000","11,794,000","10,491,000","8,100,000","8,400,000","8,000,000","5,800,000","6,300,000","6,200,000","4,100,000",,,,
			AccountsReceivable,"104,159,000","98,159,000","99,887,000","95,777,000","113,439,000","107,383,000","68,684,000","74,157,000","87,471,000","69,662,000","66,095,000","59,513,000","52,025,000","43,495,000","42,812,000","32,736,000","30,878,000","26,973,000","25,411,000","23,637,000","21,030,000","16,226,000","11,794,000","10,491,000",,,,,,,,,,,
				GrossAccountsReceivable,"180,452,000","160,863,000","146,833,000","131,467,000",,,,,"92,239,000","74,206,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-76,293,000","-62,704,000","-46,946,000","-35,690,000",,,,,"-4,768,000","-4,544,000",,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"96,387,000","96,094,000","86,112,000","84,804,000","85,795,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"18,690,000","29,148,000","100,023,000","11,884,000","179,174,000","124,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-21,134,000","-19,941,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,433,417,000","1,318,470,000","1,152,135,000","999,381,000","1,138,938,000","1,087,032,000","869,725,000","964,067,000","862,276,000","814,484,000","682,402,000","681,086,000","623,452,000","612,149,000","550,932,000",,,,,,,,,,,,,"1,500,000","1,900,000","2,000,000","3,800,000",,,,
			FinishedGoods,"2,329,473,000","1,318,470,000","1,152,135,000","999,381,000","1,138,938,000","1,087,032,000","869,725,000","964,067,000","1,363,903,000","1,280,457,000","1,122,954,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,"1,074,831,000","993,423,000","925,534,000",,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-896,056,000",,,,,,,,"-501,627,000","-465,973,000","-440,552,000","-393,745,000","-369,971,000","-313,385,000",,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"71,427,000","58,711,000","68,244,000","75,485,000","56,162,000","59,560,000","55,436,000","77,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"10,131,000","6,589,000","10,118,000","8,866,000","6,976,000","6,356,000","15,840,000","11,104,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,"425,567,000","343,013,000","317,287,000","258,932,000",,,,,,,,,,,"-100,000",,,,,
	TotalNonCurrentAssets,"1,526,968,000","1,224,184,000","1,124,708,000","1,030,978,000","1,063,449,000","1,068,869,000","586,400,000","556,680,000","511,013,000","545,904,000","463,274,000","485,295,000","432,450,000","315,155,000","257,798,000","236,120,000","181,306,000","139,292,000","112,760,000","356,647,000","297,279,000","255,853,000","227,492,000","187,528,000","150,400,000","149,000,000","136,800,000","100,800,000","92,800,000","92,500,000","94,000,000","106,600,000","98,200,000","85,900,000","89,000,000"
		NetPPE,"431,801,000","122,821,000","207,687,000","211,271,000","225,836,000","219,417,000","231,293,000","230,598,000","226,619,000","204,912,000","227,616,000","224,431,000","247,038,000","170,294,000","133,759,000","111,118,000","99,584,000","87,094,000","77,282,000","330,887,000","275,749,000","244,276,000","216,725,000","183,251,000","145,800,000","145,500,000","132,400,000","98,300,000","89,100,000","88,900,000","91,100,000",,,,
