name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalAssets,"371,424,000","308,197,000","296,780,000","256,530,000","232,854,000","233,117,000","215,444,000","193,493,000","178,981,000","160,277,000","156,211,000","140,743,000","137,140,000","130,056,000","113,606,000","105,227,000","102,085,000","91,713,000","76,295,000","76,818,000","58,656,000","50,506,000","42,769,000","35,569,000","32,200,000","32,600,000","24,100,000","15,700,000","14,300,000","14,300,000"
	CurrentAssets,"187,549,000","140,861,000","153,727,000","140,981,000","124,213,000","131,083,000","113,623,000","91,546,000","84,387,000","91,748,000","96,240,000","80,118,000","76,295,000","70,759,000","62,950,000","55,998,000","64,635,000","46,482,000","42,273,000","47,358,000","36,477,000","31,953,000","26,142,000","24,581,000","21,100,000","23,800,000","15,900,000","9,300,000","7,600,000","10,500,000"
		CashCashEquivalentsAndShortTermInvestments,"26,797,000","1,994,000","30,414,000","43,748,000","30,432,000","40,022,000","36,235,000","9,111,000","13,000","11,913,000","25,639,000","269,000","879,000","288,000","1,837,000","3,994,000","16,186,000","5,071,000","1,123,000","17,000","25,000","25,000","26,000","138,000","700,000",,"100,000","100,000","300,000","400,000"
			CashAndCashEquivalents,"26,797,000","1,994,000","21,457,000","24,153,000","7,908,000","21,952,000","12,085,000","3,159,000","13,000","2,393,000","25,639,000","269,000","879,000","288,000","837,000","994,000","6,186,000","5,071,000","1,123,000","17,000","25,000","25,000","26,000","138,000","700,000",,"100,000","100,000","300,000","400,000"
			OtherShortTermInvestments,,"0","8,957,000","19,595,000","22,524,000","18,070,000","24,150,000","5,952,000","0","9,520,000",,,,,"1,000,000","3,000,000","10,000,000",,,,,,,,,,,,,
		Receivables,"68,200,000","60,209,000","52,009,000","49,265,000","54,749,000","46,691,000","40,165,000","44,588,000","44,180,000","39,927,000","33,381,000","38,804,000","38,813,000","36,748,000","32,487,000","27,121,000","22,553,000","22,306,000","23,392,000","28,247,000","21,327,000","17,933,000","14,018,000","13,539,000","9,800,000","11,900,000","8,100,000","4,100,000","3,100,000","4,700,000"
			AccountsReceivable,"67,399,000","54,078,000","50,338,000","43,001,000","50,024,000","44,092,000","39,063,000","43,866,000","34,137,000","39,901,000","33,381,000","38,804,000","38,813,000","36,748,000","32,487,000","27,121,000","22,553,000","22,306,000","23,392,000","28,247,000","21,327,000","17,933,000","14,018,000","13,539,000",,,,,,
				GrossAccountsReceivable,"67,752,000","54,342,000","50,457,000","43,091,000","50,139,000","44,263,000","39,256,000","43,918,000","34,405,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-353,000","-264,000","-119,000","-90,000","-115,000","-171,000","-193,000","-52,000","-268,000",,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"29,000","27,000","28,000","25,000","23,000","30,000","29,000","28,000","27,000","26,000",,,,,,,,,,,,,,,,,,,,
