name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalRevenue,"492,994,000","469,333,000","433,947,000","405,232,000","383,977,000","358,632,000","356,322,000","321,140,000","303,114,000","266,220,000","244,552,000","245,282,000","279,725,000","262,517,000","231,460,000","185,195,000","173,267,000","148,845,000","155,075,000","157,252,000","154,982,000","128,035,000","106,781,000","81,676,000","62,845,000","67,300,000","79,500,000","45,400,000","37,000,000","26,700,000","36,100,000"
	OperatingRevenue,"474,491,000","452,588,000","417,092,000","405,232,000","383,977,000","358,632,000","356,322,000","321,140,000","303,114,000","266,220,000","244,552,000","245,282,000","279,725,000","262,517,000","231,460,000","185,195,000","173,267,000","148,845,000","155,075,000","157,252,000","154,982,000","128,035,000","106,781,000","81,676,000","62,845,000","67,300,000","79,500,000","45,400,000","37,000,000","26,700,000","36,100,000"
CostOfRevenue,"356,052,000","349,908,000","330,414,000","281,835,000","265,897,000","249,951,000","248,059,000","231,348,000","232,615,000","219,939,000","189,364,000","177,737,000","212,549,000","205,148,000","187,570,000","149,904,000","145,807,000","112,596,000","117,193,000","118,399,000","120,233,000","97,317,000","86,952,000","68,605,000","51,797,000","53,800,000","60,000,000","32,800,000","28,900,000","22,100,000","29,700,000"
GrossProfit,"136,942,000","119,425,000","103,533,000","123,397,000","118,080,000","108,681,000","108,263,000","89,792,000","70,499,000","46,281,000","55,188,000","67,545,000","67,176,000","57,369,000","43,890,000","35,291,000","27,460,000","36,249,000","37,882,000","38,853,000","34,749,000","30,718,000","19,829,000","13,071,000","11,048,000","13,500,000","19,500,000","12,600,000","8,100,000","4,600,000","6,400,000"
OperatingExpense,"52,142,000","50,849,000","46,648,000","48,346,000","38,181,000","36,986,000","36,360,000","33,989,000","26,261,000","22,310,000","22,473,000","23,791,000","23,788,000","21,703,000","18,059,000","17,477,000","15,214,000","14,909,000","15,071,000","16,011,000","13,922,000","14,741,000","10,626,000","8,146,000","6,413,000","9,000,000","9,600,000","7,300,000","4,900,000","3,200,000","4,000,000"
	SellingGeneralAndAdministration,"50,467,000","49,325,000","45,698,000","47,626,000","37,385,000","36,056,000","35,482,000","33,989,000","26,261,000","22,310,000","22,473,000","23,791,000","23,788,000","21,703,000","18,059,000","17,477,000","15,214,000","14,909,000","15,071,000","16,011,000","13,922,000","14,741,000","10,626,000","8,146,000","6,413,000","6,300,000","7,900,000","6,200,000","4,100,000","2,900,000","3,700,000"
		GeneralAndAdministrativeExpense,"49,743,000","48,507,000","44,936,000","45,891,000","35,990,000","34,865,000","34,467,000","33,043,000",,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"28,148,000","27,532,000","23,097,000","24,274,000","23,268,000","21,197,000","20,939,000","17,770,000",,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,"885,000","805,000","1,235,000","1,005,000","1,072,000","1,153,000","1,160,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"20,710,000","20,170,000","20,604,000","20,612,000","11,650,000","12,515,000","12,368,000","15,273,000",,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"724,000","818,000","762,000","1,735,000","1,395,000","1,191,000","1,015,000","946,000",,,,,,,,,,,,,,,,,,,,,,,
