name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"845,639,000","719,540,000","338,112,000","278,163,000","229,881,000","185,368,000","148,382,000","116,236,251","104,962,751","136,186,935","138,425,917","130,015,506","137,763,401","119,837,689","112,338,194","106,269,136","31,444,690","7,904,213","8,054,679","1,039,066"
	CurrentAssets,"619,091,000","558,155,000","205,192,000","177,231,000","161,409,000","139,828,000","97,467,000","79,052,516","61,732,423","82,326,195","85,885,246","91,598,715","96,426,782","56,116,264","42,427,856","60,034,928","26,374,965","7,141,268","7,421,840","764,793"
		CashCashEquivalentsAndShortTermInvestments,"350,784,000","349,462,000","81,967,000","89,066,000","109,780,000","81,141,000","51,372,000","37,807,749","26,408,922","42,684,241","45,505,049","49,379,433","51,301,439","22,330,974","16,351,909","31,958,636","15,878,326","3,576,937","5,636,100","206,408"
			CashAndCashEquivalents,"172,250,000","349,462,000","75,105,000","40,651,000","59,526,000","48,367,000","42,271,000","36,126,791","21,300,733","42,684,241","45,505,049","46,880,435","48,800,287","18,773,685","16,351,909","14,757,159","15,878,326","3,576,937","5,636,100","206,408"
				CashFinancial,"103,319,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,"68,931,000",,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"178,534,000","0","6,862,000","48,415,000","50,254,000","32,774,000","9,101,000","1,680,958","5,108,189",,"0","2,498,998","2,501,152","3,557,289",,"17,201,477",,,,
		Receivables,"194,596,000","144,539,000","56,064,000","39,466,000","27,701,000","30,735,000","22,488,000","18,101,240","11,780,135","13,542,535","15,384,993","16,793,553","11,691,553","10,068,049","6,041,481","8,460,112","5,404,333","888,142","765,328","312,681"
			AccountsReceivable,"146,878,000","130,579,000","56,064,000","39,466,000","27,701,000","30,735,000","22,488,000","18,101,240","11,780,135","13,542,535","15,384,993","16,793,553","11,691,553","10,068,049","5,422,027","8,460,112","5,404,333","888,142","765,328","312,681"
				GrossAccountsReceivable,"148,445,000","132,461,000","56,818,000","39,909,000","28,023,000","30,986,000","22,688,000","18,301,240","12,230,135",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,567,000","-1,882,000","-754,000","-443,000","-322,000","-251,000","-200,000","-200,000","-450,000",,,,,,,,,,,
			OtherReceivables,"47,718,000","13,960,000",,,,,,,,,,,,,"619,454",,,,,
		Inventory,"38,845,000","33,763,000","45,465,000","34,841,000","15,763,000","18,323,000","11,109,000","10,993,209","11,484,761","17,815,405","15,085,750","13,467,117","13,506,804","9,257,746","10,283,390","6,840,051","3,125,974","2,334,809","801,926","221,169"
			RawMaterials,"20,789,000","19,670,000","20,119,000","18,002,000","8,748,000","12,229,000","7,376,000","9,689,172","11,304,265","11,817,579","10,387,229","7,371,608","8,475,055","5,990,238","8,148,459","5,198,716","2,294,465","1,770,672","678,406","153,506"
			WorkInProcess,,,,,"105,000","111,000","44,000","131,492","304,783",,,,,,,,,,,
			FinishedGoods,"18,056,000","14,093,000","25,346,000","16,839,000","6,910,000","7,337,000","4,688,000","3,492,167","4,306,585","6,348,490","5,172,595","6,225,409","5,352,304","3,490,709","2,395,681","1,641,335","831,509","564,137","123,520","67,663"
			InventoriesAdjustmentsAllowances,,,,,,"-1,354,000","-999,000","-2,319,622","-4,430,872","-350,664","-474,074","-129,900","-320,555","-223,201","-260,750",,,,,
		PrepaidAssets,"34,866,000","30,391,000","21,696,000","13,858,000","8,165,000","4,443,000","5,397,000","2,754,331","2,089,676","1,999,525","1,461,539","2,528,539","4,318,661","2,164,002","2,795,576","1,639,734","536,815","113,749","103,829","24,535"
		CurrentDeferredAssets,,,,,,"5,186,000","7,101,000","9,395,987","9,968,929","6,284,489","8,447,915","9,430,073","15,608,325","12,295,493","6,955,500","11,083,422","1,137,196","152,679","60,840",
			CurrentDeferredTaxesAssets,,,,,,"5,186,000","7,101,000","9,395,987","9,968,929","6,284,489","8,447,915","9,430,073","15,608,325","12,295,493","6,955,500","11,083,422","1,137,196","152,679","60,840",
		OtherCurrentAssets,,,,,,,,,,,"1",,,,,"52,973","292,321","74,952","53,817",
	TotalNonCurrentAssets,"226,548,000","161,385,000","132,920,000","100,932,000","68,472,000","45,540,000","50,914,000","37,183,735","43,230,328","53,860,740","52,540,671","38,416,791","41,336,619","63,721,425","69,910,338","46,234,208","5,069,725","762,945","632,839","274,273"
		NetPPE,"53,423,000","37,893,000","31,172,000","24,004,000","21,848,000","17,523,000","19,043,000","21,952,201","26,845,220","35,905,765","38,673,065","27,128,032","23,599,680","20,842,632","21,061,754","14,756,512","3,946,881","661,374","560,423","274,273"
			GrossPPE,"95,255,000","77,778,000","67,649,000","61,803,000","57,868,000","51,429,000","50,421,000","50,845,325","51,314,231","53,862,290","51,262,968","36,171,232","30,447,843","25,246,499","23,411,596","16,607,865","5,285,567","1,636,161","1,304,602","857,895"
				Properties,"0","0","0","0","0","0","0","0","0","503,872","503,872","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","2,899,962","2,899,962","2,899,962","2,899,962","2,899,962","2,899,962","2,899,962","2,899,962","2,899,962","2,956,160","44,163",,"5,000"
				BuildingsAndImprovements,"20,089,000","19,578,000","18,383,000","15,295,000","15,246,000","14,302,000","13,922,000","13,862,194","13,998,874","14,126,110","14,115,446","13,764,555","13,611,785","13,537,095","13,170,716","8,779,704",,,"63,393",
				MachineryFurnitureEquipment,"50,228,000","40,480,000","36,556,000","37,795,000","35,837,000","33,259,000","33,023,000","33,561,181","33,618,089","29,733,433","30,546,600","12,576,522","10,845,703","8,809,442","7,340,918","4,928,199","2,197,427","1,591,998","1,241,209","852,895"
				OtherProperties,"9,653,000",,,,,,,,,"4,516,510","3,156,730","605,581","348,939",,,,,,,
				ConstructionInProgress,"12,385,000","14,820,000","9,810,000","5,813,000","3,885,000","968,000","576,000","521,988","797,306","2,082,403","40,358","6,324,612","2,741,454",,,,"131,980",,,
			AccumulatedDepreciation,"-41,832,000","-39,885,000","-36,477,000","-37,799,000","-36,020,000","-33,906,000","-31,378,000","-28,893,124","-24,469,011","-17,956,525","-12,589,903","-9,043,200","-6,848,163","-4,403,867","-2,349,842","-1,851,353","-1,338,686","-974,787","-744,179","-583,622"
		GoodwillAndOtherIntangibleAssets,"37,784,000","40,916,000","33,750,000","25,660,000","17,184,000","5,321,000","5,551,000","3,317,169","3,224,006","3,090,876","2,765,701","2,447,011","1,925,139","1,532,500","1,340,783","1,279,116","1,122,844","101,571",,
			Goodwill,"25,013,000","24,981,000","14,927,000","10,442,000","9,596,000","2,206,000","2,235,000",,,,,,,,,,,,,
			OtherIntangibleAssets,"12,771,000","15,935,000","18,823,000","15,218,000","7,588,000","3,115,000","3,316,000","3,317,169","3,224,006","3,090,876","2,765,701","2,447,011","1,925,139","1,532,500","1,340,783","1,279,116","1,122,844","101,571",,
		InvestmentsAndAdvances,"45,499,000",,"0","234,000","8,525,000","9,296,000","12,023,000",,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,"36,877,000","17,602,000","1,227,000",,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"31,598,000","40,230,000",,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"49,756,000","19,347,000","15,755,000","19,515,000","13,719,000","10,877,000","13,679,000","11,605,812","12,716,169","13,919,753","10,997,093","8,826,778","6,724,104","15,868,719","19,959,681","12,126,765",,,,
			NonCurrentDeferredTaxesAssets,"27,688,000","19,347,000","15,755,000","19,515,000","13,719,000","10,877,000","13,679,000","11,605,812","12,716,169","13,919,753","10,997,093","8,826,778","6,724,104","15,868,719","19,959,681","12,126,765",,,,
		NonCurrentPrepaidAssets,"4,218,000","18,742,000","8,187,000","7,360,000","3,789,000",,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"4,270,000","4,257,000","7,179,000","6,557,000","2,180,000","2,523,000","618,000","308,553","444,933","944,346","104,812","14,970","9,087,696","25,477,574","27,548,120","18,071,815",,,"72,416",
TotalLiabilitiesNetMinorityInterest,"302,144,000","252,216,000","170,668,000","127,275,000","72,877,000","56,262,000","40,035,000","28,951,205","22,507,197","18,622,694","20,724,721","17,489,244","17,126,651","20,509,150","8,472,492","9,146,729","4,017,240","1,889,612","2,525,946","4,656,281"
	CurrentLiabilities,"195,566,000","166,011,000","107,950,000","78,039,000","38,140,000","31,973,000","23,129,000","18,109,259","15,887,897","11,947,994","13,784,853","10,956,199","12,473,616","18,302,688","7,556,321","8,538,873","3,973,464","1,804,305","2,455,656","1,834,137"
		PayablesAndAccruedExpenses,"69,399,000","55,358,000","31,450,000","28,204,000","15,662,000","16,252,000","14,106,000","12,804,268","10,179,824","8,310,589","10,609,772","8,132,868","10,088,139","6,789,474","6,285,274","8,432,066","3,522,327","1,366,432","1,154,280","858,083"
			Payables,"29,236,000","19,331,000","11,150,000","15,317,000","8,548,000","8,221,000","6,454,000","6,518,499","4,655,426","4,550,789","6,357,195","3,856,961","7,304,112","4,554,203","6,285,274","8,432,066","3,522,327","1,366,432","1,154,280","589,949"
				AccountsPayable,"25,874,000","15,164,000","8,592,000","10,736,000","7,333,000","7,682,000","6,221,000","6,222,904","4,513,938","4,550,789","6,357,195","3,856,961","7,304,112","4,554,203","6,285,274","8,432,066","3,522,327","1,366,432","1,154,280","589,949"
				TotalTaxPayable,"3,362,000","4,167,000","2,558,000","4,581,000","1,215,000","539,000","233,000","295,595","141,488",,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,"141,488",,,,,,,,,,,
			CurrentAccruedExpenses,"40,163,000","36,027,000","20,300,000","12,887,000","7,114,000","8,031,000","7,652,000","6,285,769","5,524,398","3,759,800","4,252,577","4,275,907","2,784,027","2,235,271",,,,,,"268,134"
		CurrentProvisions,"1,476,000","898,000","644,000","780,000","314,000","675,000","955,000","483,721",,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"1,549,659",,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,"87,000","38,000","36,000","33,947",,,,,"19,257","45,214","43,111","4,642","265,223","422,418","1,268,363","246,745"
			CurrentDebt,,,,,,,,,,,,,"19,257","45,214","43,111","4,642","265,223","422,418","1,268,363","246,745"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,"250,000",,"455,691","224,574"
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,"15,223",,"812,672","22,171"
			CurrentCapitalLeaseObligation,,,,,"87,000","38,000","36,000","33,947",,,,,,,,,,,,
		CurrentDeferredLiabilities,"120,838,000","109,718,000","74,074,000","47,285,000","22,077,000","15,008,000","8,032,000","4,787,323","3,730,955","3,265,260","2,819,155","2,510,645","1,694,644","1,037,441","561,165",,,,,
			CurrentDeferredRevenue,"120,838,000","109,718,000","74,074,000","47,285,000","22,077,000","15,008,000","8,032,000","4,787,323","3,730,955","3,265,260","2,819,155","2,510,645","1,694,644","1,037,441","561,165",,,,,
		OtherCurrentLiabilities,"3,853,000","37,000","1,782,000","1,770,000",,,,,"427,459","372,145","355,926","312,686","671,576","10,430,559","666,771","102,165","185,914","15,455","33,013","729,309"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"106,578,000","86,205,000","62,718,000","49,236,000","34,737,000","24,289,000","16,906,000","10,841,946","6,619,300","6,674,700","6,939,868","6,533,045","4,653,035","2,206,462","916,171","607,856","43,776","85,307","70,290","2,822,144"
		LongTermDebtAndCapitalLeaseObligation,,,,,"81,000","29,000","67,000","103,283",,,,,"11,695","30,974","76,188",,"3,655","15,486","50,979","2,822,144"
			LongTermDebt,,,,,"81,000","29,000","67,000","103,283",,,,,,,,,,,,"2,778,219"
			LongTermCapitalLeaseObligation,,,,,,,,,,,,,"11,695","30,974","76,188",,"3,655","15,486","50,979","43,925"
		NonCurrentDeferredLiabilities,"92,226,000","77,652,000","58,740,000","43,416,000","32,389,000","22,789,000","13,717,000","7,835,767","4,636,901","4,392,860","4,675,089",,,,,,"40,121","69,821","19,311",
			NonCurrentDeferredTaxesLiabilities,"354,000",,,,,,,,"1,982,399",,"2,264,779",,,,,,"40,121","69,821","19,311",
			NonCurrentDeferredRevenue,"87,936,000","74,417,000","54,881,000","40,054,000","30,190,000","21,668,000","13,341,000","7,835,767","4,636,901","4,392,860","4,675,089",,,,,,,,,
		OtherNonCurrentLiabilities,"14,352,000","8,553,000","3,978,000","5,820,000","2,267,000","1,471,000","3,122,000","2,902,896","1,982,399","2,281,840","2,264,779",,"4,641,340","2,175,488","839,983",,,,,
TotalEquityGrossMinorityInterest,"543,495,000","467,324,000","167,444,000","150,888,000","157,004,000","129,106,000","108,347,000","87,285,046","82,455,554","117,564,241","117,701,196","112,526,262","120,636,750","99,328,539","103,865,702","97,122,407","27,427,450","6,014,601","5,528,733","-3,617,215"
	StockholdersEquity,"543,495,000","467,324,000","167,444,000","150,888,000","157,004,000","129,106,000","108,347,000","87,285,046","82,455,554","117,564,241","117,701,196","112,526,262","120,636,750","99,328,539","103,865,702","97,122,407","27,427,450","6,014,601","5,528,733","-3,617,215"
		CapitalStock,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","661","652","647","642","638","635","622","619","609","126","28","27","32"
			PreferredStock,"0","0","0","0",,"0","0","0","0","0","0",,,,,,,,,
			CommonStock,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","661","652","647","642","638","635","622","619","609","126","28","27","32"
		AdditionalPaidInCapital,"528,272,000","453,400,000","201,672,000","187,656,000","178,143,000","162,641,000","139,424,000","111,661,393","101,597,626","97,122,085","92,839,165","87,663,129","86,911,381","80,629,659","78,742,862","72,819,368","22,249,702","5,290,641","5,073,617","4,256,558"
		RetainedEarnings,"172,265,000","171,383,000","123,185,000","118,275,000","100,978,000","81,045,000","61,127,000","42,883,067","28,145,325","35,185,191","39,569,626","39,570,732","35,933,691","20,907,215","25,122,221","24,302,430","5,177,622","723,932","515,029","-6,793,885"
		TreasuryStock,"155,947,000","155,947,000","155,947,000","155,947,000","122,201,000","114,645,000","92,203,000","67,203,043","47,207,093","14,708,237","14,708,237","14,708,237","2,208,957","2,208,957",,,,,,"1,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,096,000","-1,513,000","-1,467,000","903,000","83,000","64,000","-2,000","-57,032","-80,956","-35,445",,,,,,,,,"-59,940","-79,920"
TotalCapitalization,"543,495,000","467,324,000","167,444,000","150,888,000","157,085,000","129,135,000","108,414,000","87,388,329","82,455,554","117,564,241","117,701,196","112,526,262","120,636,750","99,328,539","103,865,702","97,122,407","27,427,450","6,014,601","5,528,733","-838,996"
CommonStockEquity,"543,495,000","467,324,000","167,444,000","150,888,000","157,004,000","129,106,000","108,347,000","87,285,046","82,455,554","117,564,241","117,701,196","112,526,262","120,636,750","99,328,539","103,865,702","97,122,407","27,427,450","6,014,601","5,528,733","-3,617,215"
CapitalLeaseObligations,,,,,"87,000","38,000","36,000","33,947",,,,,"11,695","30,974","76,188",,"3,655","15,486","50,979","43,925"
NetTangibleAssets,"505,711,000","426,408,000","133,694,000","125,228,000","139,820,000","123,785,000","102,796,000","83,967,877","79,231,548","114,473,365","114,935,495","110,079,251","118,711,611","97,796,039","102,524,919","95,843,291","26,304,606","5,913,030","5,528,733","-3,617,215"
WorkingCapital,"423,525,000","392,144,000","97,242,000","99,192,000","123,269,000","107,855,000","74,338,000","60,943,257","45,844,526","70,378,201","72,100,393","80,642,516","83,953,166","37,813,576","34,871,535","51,496,055","22,401,501","5,336,963","4,966,184","-1,069,344"
InvestedCapital,"543,495,000","467,324,000","167,444,000","150,888,000","157,085,000","129,135,000","108,414,000","87,388,329","82,455,554","117,564,241","117,701,196","112,526,262","120,656,007","99,373,753","103,908,813","97,127,049","27,692,673","6,437,019","6,797,096","-592,251"
TangibleBookValue,"505,711,000","426,408,000","133,694,000","125,228,000","139,820,000","123,785,000","102,796,000","83,967,877","79,231,548","114,473,365","114,935,495","110,079,251","118,711,611","97,796,039","102,524,919","95,843,291","26,304,606","5,913,030","5,528,733","-3,617,215"
TotalDebt,,,,,"168,000","67,000","103,000","137,230",,,,,"30,952","76,188","119,299","4,642","268,878","437,904","1,319,342","3,068,889"
NetDebt,,,,,,,,,,,,,,,,,,,,"2,818,556"
ShareIssued,"79,717,986","79,030,864","73,190,096","72,545,478","72,124,350","71,140,825","69,138,002","66,134,181","65,252,791","62,621,268","64,210,663","63,802,078","62,963,903","61,639,974","61,938,654","60,992,156","50,698,824","33,746,460","33,522,540","32,529,048"
OrdinarySharesNumber,"59,497,759","58,810,637","52,969,869","52,325,251","53,692,192","53,000,867","52,725,247","52,770,392","55,696,608","62,621,268","62,119,063","61,710,478","62,963,903","61,639,974","61,938,654","60,992,156","50,698,824","33,746,460","33,522,540","32,529,048"
TreasurySharesNumber,"20,220,227","20,220,227","20,220,227","20,220,227","18,432,158","18,139,958","16,412,755","13,363,789","9,556,183",,"2,091,600","2,091,600",,,,,,,,
