name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"89,115,000,000","59,352,000,000","70,786,000,000","66,099,000,000","53,050,000,000","27,547,000,000","29,198,000,000","27,008,000,000","19,657,166,000","21,134,705,000"
	CurrentAssets,"49,519,000,000","16,945,000,000","21,223,000,000","16,187,000,000","16,314,000,000","16,088,000,000","17,848,000,000","15,354,000,000","7,354,155,000","8,218,493,000"
		CashCashEquivalentsAndShortTermInvestments,"39,924,000,000","8,061,000,000","9,789,000,000","6,423,000,000","8,407,000,000","8,374,000,000","9,895,000,000","7,976,000,000","653,581,000","10,775,000"
			CashAndCashEquivalents,"39,924,000,000","7,289,000,000","9,303,000,000","5,100,000,000","8,399,000,000","8,348,000,000","9,595,000,000","5,901,000,000","27,482,000","9,644,000"
			OtherShortTermInvestments,"0","772,000,000","486,000,000","1,323,000,000","8,000,000","26,000,000","300,000,000","2,075,000,000","626,099,000","1,131,000"
		Receivables,"5,428,000,000","5,384,000,000","5,088,000,000","4,758,000,000","4,730,000,000","4,291,000,000","4,803,000,000","4,298,000,000","3,817,486,000","3,373,104,000"
			AccountsReceivable,"5,428,000,000","5,384,000,000","5,088,000,000","4,758,000,000","4,730,000,000","3,735,000,000","3,854,000,000","3,602,000,000","3,817,486,000","3,373,104,000"
				GrossAccountsReceivable,"5,474,000,000",,,,,,,,"3,978,318,000","3,526,814,000"
				AllowanceForDoubtfulAccountsReceivable,"-46,000,000",,,,,,,,"-160,832,000","-153,710,000"
			TaxesReceivable,,,,,,"556,000,000","949,000,000",,,
			DuefromRelatedPartiesCurrent,,,,,,,,"696,000,000",,
		Inventory,"1,813,000,000","1,605,000,000","1,605,000,000","1,444,000,000","1,719,000,000","1,124,000,000","1,150,000,000","1,091,000,000","871,582,000","836,270,000"
			RawMaterials,"386,000,000","270,000,000","173,000,000","141,000,000","169,000,000","154,000,000","261,000,000","258,000,000","236,067,000","172,463,000"
			WorkInProcess,"942,000,000","862,000,000","822,000,000","1,080,000,000","1,081,000,000","629,000,000","404,000,000","286,000,000","207,229,000","223,930,000"
			FinishedGoods,"485,000,000","473,000,000","610,000,000","223,000,000","469,000,000","341,000,000","485,000,000","547,000,000","428,286,000","439,877,000"
		PrepaidAssets,"2,354,000,000","1,895,000,000","4,741,000,000","3,562,000,000","1,458,000,000","1,403,000,000","1,234,000,000","543,000,000","542,712,000","489,043,000"
		RestrictedCash,,,,,,,,,"0","1,872,490,000"
		CurrentDeferredAssets,,,,,,"896,000,000","766,000,000","1,446,000,000","1,468,794,000","1,636,811,000"
			CurrentDeferredTaxesAssets,,,,,,"896,000,000","766,000,000","1,446,000,000","1,468,794,000","1,636,811,000"
	TotalNonCurrentAssets,"39,596,000,000","42,407,000,000","49,563,000,000","49,912,000,000","36,736,000,000","11,459,000,000","11,350,000,000","11,654,000,000","12,303,011,000","12,916,212,000"
		NetPPE,"2,962,000,000","2,883,000,000","2,803,000,000","2,604,000,000","2,565,000,000","2,485,000,000","2,298,000,000","2,247,000,000","2,144,200,000","2,357,563,000"
			GrossPPE,"8,188,000,000","8,396,000,000","8,071,000,000","7,526,000,000","7,334,000,000","7,105,000,000","6,909,000,000","6,542,000,000","5,947,710,000","6,101,926,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"72,000,000","73,000,000","48,000,000","46,000,000","46,000,000","48,000,000","50,000,000","94,000,000","106,353,000","109,478,000"
