name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"46,108,000,000","44,441,000,000","43,262,000,000","39,499,000,000","41,356,000,000","44,878,000,000","48,064,000,000","49,070,000,000","39,648,000,000","36,295,000,000","34,728,000,000","33,181,000,000","31,001,000,000","25,142,000,000","22,276,000,000","24,677,000,000","30,413,000,000","29,533,000,000","32,344,000,000","30,962,000,000","30,578,000,000"
	CurrentAssets,"26,458,000,000","21,865,000,000","21,939,000,000","21,940,000,000","22,760,000,000","24,986,000,000","26,425,000,000","28,002,000,000","23,787,000,000","25,348,000,000","25,229,000,000","24,347,000,000","23,145,000,000","17,177,000,000","14,148,000,000","15,350,000,000","21,513,000,000","19,955,000,000","19,514,000,000","18,711,000,000","19,057,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,110,000,000","4,157,000,000","5,628,000,000","5,597,000,000","6,198,000,000","6,768,000,000","6,485,000,000","8,481,000,000","5,767,000,000","8,610,000,000","9,552,000,000","7,806,000,000","8,110,000,000","4,790,000,000","3,594,000,000","4,200,000,000","5,142,000,000","4,613,000,000","5,713,000,000","5,606,000,000","6,386,000,000"
			CashAndCashEquivalents,"3,544,000,000","3,445,000,000","4,526,000,000","3,644,000,000","4,565,000,000","5,443,000,000","6,021,000,000","6,875,000,000","4,819,000,000","5,897,000,000","7,119,000,000","6,399,000,000","4,650,000,000","4,262,000,000","3,226,000,000","3,676,000,000","4,669,000,000","2,478,000,000","2,767,000,000","1,397,000,000","1,615,000,000"
				CashFinancial,"2,111,000,000","1,983,000,000","1,963,000,000","1,704,000,000","1,837,000,000","2,218,000,000","2,414,000,000","2,784,000,000",,,,,,,,,,,,,
				CashEquivalents,"1,433,000,000","1,462,000,000","2,563,000,000","1,940,000,000","2,728,000,000","3,225,000,000","3,607,000,000","4,091,000,000",,,,,,,,,,,,,
			OtherShortTermInvestments,"566,000,000","712,000,000","1,102,000,000","1,953,000,000","1,633,000,000","1,325,000,000","464,000,000","1,606,000,000","948,000,000","2,713,000,000","2,433,000,000","1,407,000,000","3,460,000,000","528,000,000","368,000,000","524,000,000","473,000,000","2,135,000,000","2,946,000,000","4,209,000,000","4,771,000,000"
		Receivables,"7,459,000,000","7,468,000,000","10,416,000,000","9,696,000,000","10,061,000,000","11,078,000,000","12,146,000,000","11,575,000,000","10,773,000,000","9,970,000,000","9,451,000,000","9,245,000,000","8,582,000,000","7,276,000,000","6,515,000,000","6,330,000,000","5,337,000,000","7,175,000,000","8,368,000,000","8,328,000,000","7,804,000,000"
			AccountsReceivable,"5,967,000,000","5,970,000,000","7,883,000,000","7,293,000,000","7,197,000,000","7,715,000,000","8,360,000,000","8,233,000,000",,,,"8,641,000,000","7,980,000,000","7,276,000,000","6,515,000,000","6,330,000,000","5,337,000,000","7,175,000,000","8,368,000,000","8,328,000,000",
			OtherReceivables,"1,720,000,000","1,717,000,000","3,738,000,000","3,645,000,000","4,050,000,000","4,788,000,000","5,354,000,000","4,756,000,000",,,,"604,000,000","602,000,000",,,,,,,,
