name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"27,347,000,000","27,978,000,000","27,662,000,000","34,312,000,000","33,828,000,000","35,481,000,000","39,830,000,000","41,848,000,000","39,336,000,000","37,990,000,000","31,589,000,000","31,795,000,000","34,912,000,000","29,183,000,000","24,412,000,000","22,442,000,000","20,721,000,000","18,795,000,000","18,295,000,000","23,726,000,000","22,967,000,000","24,356,000,000"
	OperatingRevenue,"27,347,000,000","27,978,000,000","27,662,000,000","34,312,000,000","33,828,000,000","35,481,000,000","39,830,000,000","41,848,000,000","39,336,000,000","37,990,000,000","31,589,000,000","31,795,000,000","34,912,000,000","29,183,000,000","24,412,000,000","22,442,000,000","20,721,000,000","18,795,000,000","18,295,000,000","23,726,000,000","22,967,000,000","24,356,000,000"
CostOfRevenue,"18,740,000,000","19,072,000,000","19,118,000,000","24,046,000,000","24,081,000,000","25,347,000,000","28,615,000,000","29,856,000,000","27,958,000,000","26,556,000,000","22,060,000,000","22,470,000,000","23,972,000,000","20,215,000,000","17,541,000,000","16,830,000,000","15,757,000,000","14,080,000,000","13,769,000,000","18,708,000,000","17,222,000,000","18,457,000,000"
GrossProfit,"8,607,000,000","8,906,000,000","8,544,000,000","10,266,000,000","9,747,000,000","10,134,000,000","11,215,000,000","11,992,000,000","11,378,000,000","11,434,000,000","9,529,000,000","9,325,000,000","10,940,000,000","8,968,000,000","6,871,000,000","5,612,000,000","4,964,000,000","4,715,000,000","4,526,000,000","5,018,000,000","5,745,000,000","5,899,000,000"
OperatingExpense,"6,516,000,000","6,645,000,000","6,442,000,000","6,972,000,000","6,649,000,000","6,980,000,000","7,566,000,000","7,564,000,000","7,220,000,000","6,767,000,000","5,711,000,000","5,199,000,000","5,822,000,000","4,975,000,000","4,434,000,000","3,922,000,000","3,831,000,000","3,870,000,000","4,074,000,000","4,633,000,000","4,636,000,000","4,682,000,000"
	SellingGeneralAndAdministration,"5,344,000,000","5,447,000,000","5,295,000,000","5,607,000,000","5,349,000,000","5,574,000,000","6,067,000,000","6,094,000,000","5,756,000,000","5,373,000,000","4,615,000,000","5,528,000,000","5,822,000,000","4,975,000,000","4,434,000,000","3,922,000,000","3,786,000,000","3,830,000,000","4,033,000,000","4,397,000,000","4,417,000,000","4,682,000,000"
		GeneralAndAdministrativeExpense,,"2,064,000,000","2,067,000,000","2,022,000,000","1,869,000,000","1,845,000,000","2,013,000,000","2,023,000,000","1,894,000,000",,,,,,,,,,,,,
			OtherGandA,,"2,064,000,000","2,067,000,000","2,022,000,000","1,869,000,000","1,845,000,000","2,013,000,000","2,023,000,000","1,894,000,000",,,,,,,,,,,,,
		SellingAndMarketingExpense,,"3,383,000,000","3,228,000,000","3,585,000,000","3,480,000,000","3,729,000,000","4,054,000,000","4,071,000,000","3,862,000,000",,,,,,,,,,,,,
	ResearchAndDevelopment,"1,172,000,000","1,198,000,000","1,147,000,000","1,365,000,000","1,300,000,000","1,406,000,000","1,499,000,000","1,470,000,000","1,464,000,000","1,371,000,000","1,082,000,000",,,,,,,,,,,
