name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
TotalAssets,"38,416,126,000","37,885,361,000","35,572,603,000","34,851,670,000","33,977,037,000","32,218,329,000","32,252,534,000","31,853,120,000","32,131,955,000","32,051,658,000","32,624,797,000","30,862,639,000","30,092,226,000","29,372,109,000","25,643,231,000","24,411,917,000","24,541,369,000","23,177,270,000","23,770,592,000","23,084,925,000","22,849,680,000","22,009,543,000","22,610,685,000","22,573,515,000","21,800,358,000","19,566,094,000","18,930,823,000","18,917,683,000","18,757,061,000","17,816,762,000","18,889,757,000","18,496,723,000","17,812,783,000","17,141,769,000","17,430,028,000","17,213,806,000","17,191,966,000","15,770,792,000","17,701,397,000","16,777,399,000","16,935,106,000","15,375,790,000","17,183,154,000","16,641,935,000","16,092,287,000","14,616,545,000","16,093,048,000","16,281,502,000","16,354,475,000","15,624,267,000","15,464,002,000","15,293,768,000","14,961,871,000","14,312,467,000","13,953,876,000","13,087,713,000","12,361,140,000","11,488,436,000","10,926,753,000","9,128,644,000","8,615,677,000","8,218,754,000","7,658,528,000","6,916,133,000","6,509,870,000","5,585,321,000","5,202,953,000","4,203,006,000","3,706,782,000","2,991,328,000","2,446,469,000","2,007,736,000","1,610,757,000","1,313,701,000","565,555,000","546,082,000","440,236,000","298,926,000","277,011,000","268,583,000","774,250,000","864,359,000","871,000,000","858,800,000","792,700,000","757,830,000","710,200,000","670,600,000","638,700,000","581,247,000","557,200,000","512,900,000","455,900,000","432,486,000","404,000,000","366,700,000","369,700,000","345,300,000"
TotalLiabilitiesNetMinorityInterest,"26,556,097,000","25,625,213,000","23,559,583,000","23,238,971,000","23,024,360,000","21,986,942,000","22,020,632,000","21,828,212,000","22,127,471,000","22,011,645,000","22,852,755,000","21,086,296,000","20,618,196,000","20,266,537,000","17,456,101,000","16,919,406,000","17,372,867,000","16,233,558,000","16,833,615,000","16,152,530,000","15,771,384,000","15,110,409,000","15,747,619,000","15,551,776,000","15,114,729,000","13,918,598,000","13,487,538,000","13,683,365,000","13,421,531,000","12,647,884,000","13,540,963,000","13,476,407,000","12,973,327,000","12,513,283,000","12,955,657,000","12,772,537,000","12,866,431,000","11,257,789,000","12,983,487,000","12,379,396,000","12,556,349,000","11,052,441,000","12,722,332,000","12,611,967,000","12,461,891,000","11,183,580,000","12,576,338,000","12,395,269,000","12,349,931,000","11,588,456,000","11,589,207,000","11,589,701,000","11,178,523,000","10,721,848,000","10,607,627,000","10,071,933,000","9,611,586,000","9,007,909,000","8,575,222,000","6,625,252,000","6,326,813,000","5,976,848,000","5,530,074,000","4,878,629,000","4,499,673,000","3,874,592,000","3,566,714,000","2,636,664,000","2,226,184,000","1,580,084,000","1,075,561,000","761,689,000","590,600,000","293,332,000","289,197,000","274,430,000","167,755,000","23,608,000","8,585,000","13,678,000","524,997,000","517,845,000","509,600,000","487,200,000","430,000,000","359,828,000","315,100,000","255,100,000","220,600,000","180,216,000","161,000,000","133,700,000","98,400,000","80,273,000","55,700,000","25,600,000","29,000,000","10,300,000"
TotalEquityGrossMinorityInterest,"11,860,029,000","12,260,148,000","12,013,020,000","11,612,699,000","10,952,677,000","10,231,387,000","10,231,902,000","10,024,908,000","10,004,484,000","10,040,013,000","9,772,042,000","9,776,343,000","9,474,030,000","9,105,572,000","8,187,130,000","7,492,511,000","7,168,502,000","6,943,712,000","6,936,977,000","6,932,395,000","7,078,296,000","6,899,134,000","6,863,066,000","7,021,739,000","6,685,629,000","5,647,496,000","5,443,285,000","5,234,318,000","5,335,530,000","5,168,878,000","5,348,794,000","5,020,316,000","4,839,456,000","4,628,486,000","4,474,371,000","4,441,269,000","4,325,535,000","4,513,003,000","4,717,910,000","4,398,003,000","4,378,757,000","4,323,349,000","4,460,822,000","4,029,968,000","3,630,396,000","3,432,965,000","3,516,710,000","3,886,233,000","4,004,544,000","4,035,811,000","3,874,795,000","3,704,067,000","3,783,348,000","3,590,619,000","3,346,249,000","3,015,780,000","2,749,554,000","2,480,527,000","2,351,531,000","2,503,392,000","2,288,864,000","2,241,906,000","2,128,454,000","2,037,504,000","2,010,197,000","1,710,729,000","1,636,239,000","1,566,342,000","1,480,598,000","1,411,244,000","1,370,908,000","1,246,047,000","1,020,157,000","1,020,369,000","276,358,000","271,652,000","272,481,000","275,318,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
	StockholdersEquity,"11,367,244,000","11,497,371,000","11,158,096,000","10,757,352,000","10,114,596,000","9,439,827,000","9,355,148,000","9,163,755,000","9,150,372,000","9,196,602,000","8,911,144,000","8,898,887,000","8,605,844,000","8,253,718,000","7,352,322,000","6,703,922,000","6,413,587,000","6,204,881,000","6,162,815,000","6,137,515,000","6,288,702,000","6,130,053,000","6,081,046,000","6,229,399,000","5,892,133,000","5,647,496,000","5,443,285,000","5,234,318,000","5,335,530,000","5,168,878,000","5,348,794,000","5,020,316,000","4,839,456,000","4,628,486,000","4,474,371,000","4,441,269,000","4,325,535,000","4,513,003,000","4,717,910,000","4,398,003,000","4,378,757,000","4,323,349,000","4,460,822,000","4,029,968,000","3,630,396,000","3,432,965,000","3,516,710,000","3,886,233,000","4,004,544,000","4,035,811,000","3,874,795,000","3,704,067,000","3,783,348,000","3,590,619,000","3,346,249,000","3,015,780,000","2,749,554,000","2,480,527,000","2,351,531,000","2,503,392,000","2,288,864,000","2,241,906,000","2,128,454,000","2,037,504,000","2,010,197,000","1,710,729,000","1,636,239,000","1,566,342,000","1,480,598,000","1,411,244,000","1,370,908,000","1,246,047,000","1,020,157,000","1,020,369,000","276,358,000","271,652,000","272,481,000","275,318,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
		CapitalStock,"780,642,000","780,638,000","780,638,000","780,638,000","780,636,000","780,634,000","780,633,000","780,633,000","780,630,000","1,362,793,000","1,262,792,000","1,262,791,000","1,874,442,000","1,874,441,000","775,582,000","325,581,000","325,579,000","325,577,000","325,576,000","325,576,000","325,573,000","325,572,000","325,571,000","325,570,000","325,567,000","325,565,000","325,565,000","325,564,000","325,561,000","325,561,000","325,556,000","325,556,000","325,552,000","325,549,000","325,544,000","325,541,000","325,535,000","325,534,000","325,531,000","325,529,000","657,000","678,000","725,000","740,000","735,000","735,000","732,000","749,000","776,000","803,000","821,000","843,000","867,000","873,000","870,000","869,000","818,000","733,000","728,000","726,000","724,000","722,000","720,000","719,000","720,000","670,000","669,000","668,000","668,000","665,000","642,000","604,000","515,000","492,000","129,000","129,000","128,000","127,000","172,000","172,000","171,000","171,000","200,000",,,"171,000",,,,"171,000",,,,"170,000",,,,
			PreferredStock,"780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","1,362,182,000","1,262,182,000","1,262,182,000","1,873,859,000","1,873,859,000","775,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","80,000","0","373,000","373,000","373,000","373,000","373,000","384,000","384,000","388,000","388,000","388,000","388,000","388,000","366,000","366,000","357,000","357,000","0","0","0","0","0","0","0",,,,,"0",,,,"0",,,,"0",,,,
			CommonStock,"642,000","638,000","638,000","638,000","636,000","634,000","633,000","633,000","630,000","611,000","610,000","609,000","583,000","582,000","582,000","581,000","579,000","577,000","576,000","576,000","573,000","572,000","571,000","570,000","567,000","565,000","565,000","564,000","561,000","561,000","556,000","556,000","552,000","549,000","544,000","541,000","535,000","534,000","531,000","529,000","527,000","548,000","595,000","610,000","605,000","605,000","602,000","619,000","646,000","673,000","691,000","713,000","737,000","743,000","740,000","739,000","738,000","733,000","355,000","353,000","351,000","349,000","347,000","335,000","336,000","282,000","281,000","280,000","280,000","277,000","276,000","238,000","158,000","135,000","129,000","129,000","128,000","127,000","172,000","172,000","171,000","171,000","200,000",,,"171,000",,,,"171,000",,,,"170,000",,,,
		AdditionalPaidInCapital,"1,921,487,000","1,889,683,000","1,864,468,000","1,847,949,000","1,819,605,000","1,793,781,000","1,775,499,000","1,760,606,000","1,737,978,000","1,230,617,000","1,212,960,000","1,196,884,000","548,053,000","531,687,000","516,204,000","517,942,000","485,943,000","467,339,000","450,948,000","437,533,000","399,757,000","383,073,000","366,408,000","353,208,000","320,503,000","299,517,000","283,449,000","272,955,000","242,492,000","227,778,000","200,607,000","187,013,000","170,694,000","161,419,000","150,882,000","142,001,000","120,109,000","110,325,000","100,640,000","83,828,000","420,796,000","578,336,000","917,204,000","1,006,315,000","996,417,000","994,585,000","977,059,000","1,089,636,000","1,269,821,000","1,451,667,000","1,577,284,000","1,716,295,000","1,910,125,000","1,944,304,000","1,928,914,000","1,923,156,000","1,794,410,000","1,595,440,000","1,575,843,000","1,568,955,000","1,564,488,000","1,560,291,000","1,555,284,000","1,548,442,000","1,547,407,000","1,361,267,000","1,359,332,000","1,356,014,000","1,354,686,000","1,347,165,000","1,358,657,000","1,282,401,000","1,100,930,000","1,039,887,000","290,464,000","290,376,000","289,877,000","288,016,000","343,375,000","343,255,000","342,012,000","342,034,000","342,000,000",,,"341,878,000",,,,"341,162,000",,,,"340,435,000",,,,
		RetainedEarnings,"11,132,268,000","11,021,006,000","10,705,025,000","10,322,975,000","9,864,424,000","9,426,299,000","9,300,208,000","9,083,202,000","8,849,959,000","8,562,889,000","8,359,354,000","8,412,114,000","8,238,296,000","7,996,701,000","7,972,643,000","7,725,255,000","7,519,685,000","7,370,371,000","7,317,277,000","7,242,728,000","7,132,423,000","6,854,571,000","6,644,892,000","6,421,701,000","6,219,170,000","6,042,154,000","5,886,149,000","5,776,808,000","5,605,353,000","5,354,361,000","5,351,241,000","5,167,069,000","4,954,450,000","4,833,067,000","4,696,256,000","4,533,729,000","4,441,848,000","4,422,553,000","4,194,902,000","4,053,332,000","3,816,342,000","3,605,809,000","3,321,113,000","3,046,706,000","2,894,577,000","2,693,239,000","2,836,211,000","2,809,821,000","2,617,539,000","2,428,117,000","2,193,708,000","1,993,963,000","1,794,569,000","1,593,907,000","1,354,629,000","1,168,819,000","1,030,971,000","901,348,000","800,455,000","886,746,000","760,754,000","644,862,000","537,729,000","519,700,000","415,418,000","327,963,000","244,229,000","161,642,000","99,858,000","47,372,000","3,861,000","11,582,000","-7,644,000","-11,610,000","-16,341,000","-17,233,000","-22,775,000","-30,916,000","-16,660,000","-18,919,000","-16,367,000","-22,175,000","-2,600,000","1,200,000","-14,700,000","10,261,000","5,300,000","11,900,000","8,700,000","7,170,000","8,900,000","5,700,000","5,300,000","5,131,000","3,700,000","2,800,000","1,800,000","-100,000"
		TreasuryStock,"2,489,097,000","2,406,047,000","2,403,749,000","2,401,037,000","2,388,392,000","2,382,167,000","2,280,151,000","2,266,529,000","2,084,186,000","2,077,741,000","2,053,644,000","2,051,343,000","2,039,270,000","2,034,570,000","2,031,859,000","2,028,690,000","2,019,249,000","1,941,904,000","1,940,795,000","1,934,763,000","1,727,074,000","1,562,019,000","1,358,011,000","1,104,963,000","1,096,826,000","1,094,704,000","1,093,833,000","1,091,687,000","1,067,439,000","1,025,839,000","852,742,000","852,419,000","845,708,000","845,472,000","844,887,000","823,586,000","787,362,000","549,912,000","291,533,000","237,917,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,000","0","59,802,000","59,802,000","59,597,000","387,000","400,000",,,"284,000",,,,"198,000",,,,,,,,
