name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
TotalRevenue,"3,129,655,000","782,810,000","780,232,000","777,251,000","789,362,000","760,617,000","743,547,000","760,916,000","765,738,000","742,241,000","724,512,000","716,714,000","715,896,000","679,194,000","702,888,000","734,665,000","756,548,000","616,813,000","495,319,000","479,730,000","453,660,000","365,783,000","294,901,000","294,479,000","213,803,000","201,418,000","189,999,000","184,702,000","177,494,000","161,213,000","114,252,000","103,116,000","100,530,000","91,298,000","75,354,000","63,058,000","63,575,000","16,846,000","13,759,000","15,872,000"
	OperatingRevenue,"3,129,655,000","782,810,000","780,232,000","777,251,000","789,362,000","760,617,000","743,547,000","760,916,000","765,738,000","742,241,000","733,538,000","728,712,000","725,643,000","689,341,000","713,784,000","744,802,000","767,054,000","627,183,000","504,917,000","488,746,000","461,798,000","374,158,000","301,000,000","303,001,000","220,664,000","206,119,000","195,879,000","190,574,000","182,951,000","165,705,000","120,641,000","103,116,000","100,530,000","91,298,000","75,354,000","63,058,000","63,575,000","16,846,000","15,998,000","15,872,000"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,719,000","63,431,000","4,457,000","49,523,000","43,158,000","62,338,000","933,000",,"10,473,000"
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,397,000","37,099,000","86,841,000","25,831,000","19,900,000","1,237,000","15,913,000",,"5,399,000"
OperatingExpense,"2,732,089,000","697,948,000","683,930,000","675,272,000","675,735,000","671,295,000","651,840,000","656,876,000","647,781,000","643,202,000","613,212,000","605,075,000","596,313,000","583,834,000","594,688,000","622,390,000","627,962,000","520,732,000","407,996,000","393,479,000","368,138,000","304,069,000","242,529,000","242,543,000","177,430,000","169,336,000","157,149,000","151,966,000","146,403,000","134,895,000","278,789,000","20,653,000","19,608,000","74,526,000","44,203,000","13,386,000","18,191,000","16,218,000","43,457,000","3,387,000"
	SellingGeneralAndAdministration,"2,186,848,000","557,739,000","548,247,000","541,677,000","539,981,000","536,850,000","523,847,000","526,753,000","520,571,000","515,198,000","492,792,000","486,305,000","477,990,000","466,510,000","479,124,000","506,224,000","510,255,000","422,510,000","331,519,000","319,345,000","302,084,000","250,438,000","200,092,000","200,786,000","146,849,000","140,790,000","131,159,000","125,207,000","122,095,000","114,290,000","264,130,000","7,197,000","7,555,000","63,771,000","37,175,000","6,793,000","10,276,000","14,089,000","43,122,000","786,000"
		GeneralAndAdministrativeExpense,"2,186,848,000","557,739,000","548,247,000","541,677,000","539,981,000","536,850,000","523,847,000","526,753,000","520,571,000","515,198,000","492,792,000","486,305,000","477,990,000","466,510,000","479,124,000","506,224,000","510,255,000","422,510,000","331,519,000","319,345,000","302,084,000","250,438,000","200,092,000","200,786,000","146,849,000","140,790,000","131,159,000","125,207,000","122,095,000","114,290,000","264,130,000","7,197,000","7,555,000","63,771,000","37,175,000","6,793,000","10,276,000","14,089,000","43,122,000","786,000"
			SalariesAndWages,"1,727,917,000","440,316,000","428,781,000","428,601,000","430,219,000","429,579,000","413,162,000","417,917,000","416,741,000","411,528,000","390,582,000","385,562,000","383,595,000","376,421,000","384,297,000","408,242,000","408,287,000","341,028,000","266,149,000","258,410,000","243,302,000","205,871,000","166,732,000","168,632,000","122,473,000","117,575,000","109,058,000","103,789,000","100,764,000","94,351,000","66,049,000",,"58,559,000","56,540,000",,,,"10,712,000",,
			RentAndLandingFees,"82,746,000","20,824,000","21,369,000","20,134,000","20,419,000","20,307,000","19,892,000","19,866,000","20,236,000","20,288,000","19,320,000","19,049,000","19,435,000","18,971,000","18,335,000","19,740,000","20,467,000","14,806,000","9,889,000","8,542,000","8,211,000","5,886,000","3,329,000","3,214,000","2,889,000","2,769,000","2,672,000","2,656,000","2,394,000","2,327,000","1,594,000","1,775,000","2,227,000","2,320,000","2,077,000","1,663,000","1,634,000","351,000","327,000","325,000"
			OtherGandA,"376,185,000","96,599,000","98,097,000","92,942,000","89,343,000","86,964,000","90,793,000","88,970,000","83,594,000","83,382,000","82,890,000","81,694,000","74,960,000","71,118,000","76,492,000","78,242,000","81,501,000","66,676,000","55,481,000","52,393,000","50,571,000","38,681,000","30,031,000","28,940,000","21,487,000","20,446,000","19,429,000","18,762,000","18,937,000","17,612,000","22,897,000","5,422,000","5,328,000","4,911,000","35,098,000","5,130,000","8,642,000","3,026,000","4,014,000","461,000"
