name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"21,705,000,000","22,223,000,000","21,689,000,000","21,600,000,000","22,380,000,000","20,845,000,000","22,606,000,000","23,827,000,000","25,272,000,000","22,171,000,000","20,732,000,000","18,254,000,000","16,554,000,000","15,393,000,000","14,616,000,000","14,363,000,000","13,281,000,000","11,447,000,000","10,257,000,000","9,598,000,000","9,720,000,000","8,640,000,000","7,104,000,000","7,250,702,000","7,100,203,000","7,190,620,000","6,110,758,000","5,001,000,000","3,986,500,000","3,282,700,000","2,678,400,000","2,438,200,000","2,324,600,000","1,876,100,000","1,401,500,000","954,800,000"
	TotalPremiumsEarned,"18,770,000,000","18,780,000,000","18,677,000,000","18,531,000,000","19,225,000,000","17,570,000,000","19,072,000,000","20,135,000,000","22,148,000,000","20,362,000,000","18,073,000,000","16,621,000,000","14,947,000,000","12,973,000,000","12,314,000,000","11,990,000,000","11,302,000,000","9,921,000,000","8,595,000,000","8,061,000,000","8,239,000,000","7,264,000,000","5,943,000,000","5,873,661,000","5,910,036,000","6,070,830,000","5,180,732,000","4,225,000,000","3,369,200,000","2,765,300,000","2,259,100,000","2,033,200,000",,,,
		NetPremiumsWritten,,"18,780,000,000","18,677,000,000","18,531,000,000","19,225,000,000","17,570,000,000","19,072,000,000","20,135,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,"19,327,000,000","19,232,000,000","19,097,000,000","19,833,000,000","18,090,000,000","19,422,000,000","20,211,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,"-547,000,000","-555,000,000","-566,000,000","-608,000,000","-520,000,000","-350,000,000","-76,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"3,039,000,000","3,547,000,000","3,361,000,000","3,041,000,000","2,940,000,000","2,972,000,000","3,319,000,000","3,430,000,000","2,650,000,000","3,280,000,000","3,007,000,000","2,765,000,000","2,578,000,000","2,333,000,000","2,171,000,000","2,071,000,000","1,957,000,000","1,787,000,000","1,614,000,000","1,550,000,000","1,550,000,000","1,369,000,000","1,138,000,000","1,077,715,000","1,021,955,000","1,024,960,000","838,825,000",,,,,,,,,
	NetRealizedGainLossOnInvestments,,"-104,000,000","-349,000,000","28,000,000","215,000,000","303,000,000","215,000,000","262,000,000","474,000,000","-1,552,000,000","-422,000,000","-1,212,000,000","-1,007,000,000","28,000,000","79,000,000","262,000,000","-12,000,000","-301,000,000","-14,000,000","-31,000,000","-102,000,000","-13,000,000","-2,000,000","-5,440,000","1,980,000","-270,000","-58,000",,,,,,,,,
	FeeRevenueAndOtherIncome,,,,,,,,,,"81,000,000","74,000,000","80,000,000","36,000,000","59,000,000","52,000,000","40,000,000","34,000,000","40,000,000","62,000,000","18,000,000","33,000,000","20,000,000","25,000,000","304,766,000","166,232,000","95,100,000","91,259,000","776,000,000","617,300,000","517,400,000","419,300,000","405,000,000",,,,
		OtherIncomeExpense,,,,,,,,,,"81,000,000","74,000,000","80,000,000","36,000,000","59,000,000","52,000,000","40,000,000","34,000,000","40,000,000","62,000,000","18,000,000","33,000,000","20,000,000","25,000,000","304,766,000","166,232,000","95,100,000","91,259,000","776,000,000","617,300,000","517,400,000","419,300,000","405,000,000",,,,
TotalExpenses,"17,782,000,000","17,778,000,000","17,706,000,000","17,582,000,000","18,313,000,000","16,983,000,000","18,115,000,000","19,011,000,000","20,970,000,000","19,179,000,000","17,147,000,000","16,019,000,000","14,640,000,000","12,894,000,000","12,352,000,000","12,137,000,000","11,474,000,000","10,222,000,000","8,998,000,000","8,517,000,000","8,708,000,000","7,862,000,000","6,553,000,000","6,385,882,000","6,450,202,000","6,589,625,000","5,606,422,000","564,000,000","457,800,000","14,100,000","15,200,000","19,300,000","10,600,000","5,300,000","5,500,000","4,200,000"
	LossAdjustmentExpense,"15,063,000,000","15,031,000,000","14,988,000,000","14,961,000,000","15,371,000,000","13,960,000,000","15,198,000,000","16,035,000,000","17,745,000,000","13,749,000,000","12,106,000,000","11,308,000,000","10,499,000,000","9,285,000,000","9,016,000,000","8,890,000,000","8,482,000,000","7,529,000,000","6,589,000,000","6,303,000,000","6,618,000,000","5,885,000,000","4,877,000,000","4,833,077,000","4,895,522,000","5,034,266,000","4,256,541,000",,,,,,,,,
		NetPolicyholderBenefitsAndClaims,"15,063,000,000","15,031,000,000","14,988,000,000","14,961,000,000","15,371,000,000","13,960,000,000","15,198,000,000","16,035,000,000","17,745,000,000","13,749,000,000","12,106,000,000","11,308,000,000","10,499,000,000","9,285,000,000","9,016,000,000","8,890,000,000","8,482,000,000","7,529,000,000","6,589,000,000","6,303,000,000","6,618,000,000","5,885,000,000","4,877,000,000","4,833,077,000","4,895,522,000","5,034,266,000","4,256,541,000",,,,,,,,,
			PolicyholderBenefitsGross,"15,520,000,000","15,480,000,000","15,439,000,000","15,427,000,000","15,860,000,000","14,381,000,000","15,501,000,000","2,155,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PolicyholderBenefitsCeded,"457,000,000","449,000,000","451,000,000","466,000,000","489,000,000","421,000,000","303,000,000","-13,880,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PolicyAcquisitionExpense,"1,275,000,000","1,282,000,000","1,245,000,000","1,132,000,000","1,141,000,000","1,066,000,000","1,108,000,000","1,074,000,000","1,117,000,000","1,102,000,000","1,030,000,000","942,000,000",,"640,000,000","574,000,000","542,000,000","519,000,000","464,000,000","385,000,000","1,121,000,000","1,060,000,000","898,000,000","705,000,000","659,568,000","599,740,000","593,753,000","515,384,000","562,000,000","451,900,000",,,,,,,
	UnderwritingExpenses,,,,,,,,,,,,"1,977,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	FeesandCommissionExpense,"1,326,000,000","1,321,000,000","1,320,000,000","1,316,000,000","1,368,000,000","1,303,000,000","1,436,000,000","1,528,000,000","1,744,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,"3,950,000,000","3,699,000,000","1,568,000,000","1,460,000,000","2,822,000,000","2,640,000,000","2,583,000,000","2,350,000,000","2,128,000,000","1,879,000,000",,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,"2,225,000,000","2,062,000,000",,,"1,491,000,000","1,337,000,000","1,281,000,000","1,098,000,000","982,000,000","842,000,000",,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,"2,225,000,000","2,062,000,000",,,"1,491,000,000","1,337,000,000","1,281,000,000","1,098,000,000","982,000,000","842,000,000",,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,"1,725,000,000","1,637,000,000","1,568,000,000","1,460,000,000","1,331,000,000","1,303,000,000","1,302,000,000","1,252,000,000","1,146,000,000","1,037,000,000",,,,,,,,,,,,,,,,,
	DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,"74,000,000",,,,,,,,,,,,,,,,,,,,,,,
		DepreciationIncomeStatement,,,,,,,,,,,,,"74,000,000",,,,,,,,,,,,,,,,,,,,,,,
	NetNonOperatingInterestIncomeExpense,"-225,000,000","-228,000,000","-222,000,000","-240,000,000","-268,000,000","-289,000,000","-317,000,000","-293,000,000","-261,000,000","-196,000,000","-149,000,000","-72,000,000","-29,000,000","-27,000,000","-19,000,000","-23,000,000","-23,000,000","-22,000,000","-20,000,000","-19,000,000","-19,000,000","-18,000,000","-13,000,000","-13,709,000","-16,186,000","-15,611,000","-13,496,000","-2,000,000","-5,900,000","-14,100,000","-15,200,000","-19,300,000","-10,600,000","-5,300,000","-5,500,000","-4,200,000"
		InterestExpenseNonOperating,"225,000,000","228,000,000","222,000,000","240,000,000","268,000,000","289,000,000","317,000,000","293,000,000","261,000,000","196,000,000","149,000,000","72,000,000","29,000,000","27,000,000","19,000,000","23,000,000","23,000,000","22,000,000","20,000,000","19,000,000","19,000,000","18,000,000","13,000,000","13,709,000","16,186,000","15,611,000","13,496,000","2,000,000","5,900,000","14,100,000","15,200,000","19,300,000","10,600,000","5,300,000","5,500,000","4,200,000"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,"0",,"101,000,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,"-107,000,000","-84,000,000","-69,000,000","-67,000,000","165,000,000","365,000,000","56,000,000","81,000,000","103,000,000","182,000,000","163,000,000","152,000,000","2,578,000,000","120,000,000","103,000,000","99,000,000","100,000,000","79,000,000","125,000,000","1,074,000,000","1,112,000,000","1,061,000,000","958,000,000","879,528,000","938,754,000","945,995,000","821,001,000",,,,,,,,,
PretaxIncome,"3,923,000,000","4,445,000,000","3,983,000,000","4,018,000,000","4,067,000,000","3,862,000,000","4,491,000,000","4,816,000,000","4,302,000,000","2,992,000,000","3,585,000,000","2,235,000,000","1,914,000,000","2,499,000,000","2,264,000,000","2,226,000,000","1,807,000,000","1,225,000,000","1,259,000,000","1,081,000,000","1,012,000,000","778,000,000","551,000,000","864,820,000","650,001,000","600,995,000","504,336,000","0","0","0","0","0","0","0","0","0"
TaxProvision,"981,000,000","1,141,000,000","1,063,000,000","-586,000,000","1,408,000,000","1,329,000,000","1,540,000,000","1,658,000,000","1,436,000,000","1,028,000,000","1,241,000,000","738,000,000","660,000,000","865,000,000","781,000,000","743,000,000","508,000,000","430,000,000","438,000,000","394,000,000","325,000,000","207,000,000","64,000,000","279,797,000","255,638,000","251,938,000","211,546,000","185,000,000","141,200,000","116,000,000","99,200,000","97,200,000","90,200,000","69,900,000","52,800,000","40,300,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,"429,000,000","324,600,000","264,700,000","216,400,000","178,000,000","199,100,000","163,200,000","131,000,000","94,500,000"
