name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalRevenue,"3,403,319,000","3,472,739,000","3,073,274,000","2,593,746,000","2,519,428,000","2,751,561,000","2,459,878,000","2,462,171,000","2,375,445,000","2,212,849,000","1,893,208,000","1,923,148,000","2,089,456,000","2,014,109,000","1,900,780,000","1,717,055,000","1,517,004,000","1,464,367,000","1,446,569,000","1,625,755,000","1,571,705,000","1,527,900,000","1,491,400,000","1,160,300,000","1,143,700,000","1,054,800,000","936,300,000","831,400,000","817,800,000","814,000,000","651,300,000","630,300,000","542,900,000","491,000,000","490,200,000"
	OperatingRevenue,"3,403,319,000","3,472,739,000","3,073,274,000","2,593,746,000","2,519,428,000","2,751,561,000","2,459,878,000","2,462,171,000","2,375,445,000","2,212,849,000","1,893,208,000","1,923,148,000","2,089,456,000","2,014,109,000","1,900,780,000","1,717,055,000","1,517,004,000","1,464,367,000","1,446,569,000","1,625,755,000","1,571,705,000","1,527,900,000","1,491,400,000","1,160,300,000","1,143,700,000","1,054,800,000","936,300,000","831,400,000","817,800,000","814,000,000","651,300,000","630,300,000","542,900,000","491,000,000","490,200,000"
CostOfRevenue,"2,416,522,000","2,465,116,000","2,189,279,000","1,856,051,000","1,812,006,000","1,981,747,000","1,772,952,000","1,779,209,000","1,720,973,000","1,599,739,000","1,377,486,000","1,403,138,000","1,520,173,000","1,466,057,000","1,386,895,000","1,262,206,000","1,114,861,000","1,085,072,000","1,080,879,000","1,216,456,000","1,157,127,000","1,122,500,000","1,078,500,000","840,600,000","833,300,000","769,100,000","670,600,000","600,500,000","594,900,000","589,200,000","481,600,000","460,300,000","390,600,000","358,300,000","350,400,000"
GrossProfit,"986,797,000","1,007,623,000","883,995,000","737,695,000","707,422,000","769,814,000","686,926,000","682,962,000","654,472,000","613,110,000","515,722,000","520,010,000","569,283,000","548,052,000","513,885,000","454,849,000","402,143,000","379,295,000","365,690,000","409,299,000","414,578,000","405,400,000","412,900,000","319,700,000","310,400,000","285,700,000","265,700,000","230,900,000","222,900,000","224,800,000","169,700,000","170,000,000","152,300,000","132,700,000","139,800,000"
OperatingExpense,"741,861,000","742,241,000","658,168,000","563,105,000","553,827,000","585,195,000","522,568,000","506,563,000","486,077,000","462,347,000","405,672,000","410,912,000","416,459,000","413,041,000","398,293,000","366,881,000","350,695,000","343,041,000","334,856,000","354,298,000","356,861,000","363,000,000","354,400,000","269,000,000","261,200,000","248,800,000","237,800,000","210,500,000","218,300,000","207,700,000","140,500,000","136,600,000","127,300,000","118,800,000","119,800,000"
	SellingGeneralAndAdministration,"741,861,000","742,241,000","658,168,000","563,105,000","553,827,000","585,195,000","522,568,000","506,563,000","486,077,000","462,347,000","405,672,000","410,912,000","416,459,000","413,041,000","398,293,000","366,881,000","350,695,000","343,041,000","334,856,000","354,298,000","333,873,000","340,300,000","333,400,000","255,400,000","245,800,000","234,800,000","224,200,000","197,700,000","205,700,000","196,600,000","132,300,000","127,800,000","119,000,000","111,100,000","112,700,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,"22,988,000","22,700,000","21,000,000","13,600,000","15,400,000","14,000,000","13,600,000","12,800,000","12,600,000","11,100,000","8,200,000","8,800,000","8,300,000","7,700,000","7,100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,"22,988,000","22,700,000","21,000,000","13,600,000","15,400,000","14,000,000","13,600,000","12,800,000","12,600,000","11,100,000","8,200,000","8,800,000","8,300,000","7,700,000","7,100,000"
OperatingIncome,"244,936,000","265,382,000","225,827,000","174,590,000","153,595,000","184,619,000","164,358,000","176,399,000","168,395,000","150,763,000","110,050,000","109,098,000","152,824,000","135,011,000","115,592,000","87,968,000","51,448,000","36,254,000","30,834,000","55,001,000","57,717,000","42,400,000","58,500,000","50,700,000","49,200,000","36,900,000","27,900,000","20,400,000","4,600,000","17,100,000","29,200,000","33,400,000","25,000,000","13,900,000","20,000,000"
NetNonOperatingInterestIncomeExpense,"-38,634,000","-40,188,000","-23,485,000","-8,541,000","-8,763,000","-7,869,000","-249,000","-165,000","9,000","-1,668,000","-5,458,000","-4,424,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,"600,000","657,000","290,000","241,000","252,000","651,000","456,000","466,000","413,000","280,000","1,099,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"39,234,000","40,788,000","24,142,000","8,831,000","9,004,000","8,121,000","900,000","621,000","457,000","2,081,000","5,738,000","5,523,000",,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"40,188,000","23,485,000","8,541,000","8,763,000","7,869,000","249,000","165,000","-9,000",,"5,458,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-129,025,000","-30,713,000","2,376,000","917,000","-65,854,000","-879,000","2,153,000","1,431,000","-1,578,000","3,793,000","425,000","-38,860,000","-227,000","1,179,000","717,000","3,101,000","432,000","-24,000","-341,000","-548,000",,,"900,000","1,000,000","500,000","400,000","200,000","400,000","400,000","700,000","-3,400,000","300,000",,,"-12,500,000"
	GainOnSaleOfSecurity,"2,020,000","355,000","995,000",,,"-809,000","882,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-131,000,000","-31,594,000",,"0","-64,794,000",,,,"-1,578,000","3,793,000","425,000","-38,860,000","-227,000","1,179,000","717,000","3,101,000","432,000","-24,000","-341,000","-548,000",,,"900,000","1,000,000","500,000","400,000","200,000","400,000","400,000","700,000","-3,400,000","300,000",,,"-12,500,000"
