name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"9,860,863,000","7,581,674,000","7,750,772,000","8,161,207,000","9,615,014,000","5,223,103,000","3,584,797,000","3,437,291,000","3,203,824,000","3,068,081,000","2,771,557,000","2,872,717,000","2,830,450,000","2,530,368,000","2,547,243,000","2,442,745,000","1,387,291,000","1,192,956,000","1,129,475,000","981,803,000","954,094,000","937,797,000","888,181,000","846,261,000","1,204,500,000","1,139,200,000","1,085,000,000"
	CurrentAssets,"2,225,109,000","1,998,421,000","2,477,563,000","3,306,618,000","1,831,003,000","3,348,850,000","1,482,915,000","1,407,313,000","1,355,620,000","1,348,198,000","1,032,087,000","1,178,923,000","1,053,438,000","960,854,000","873,663,000","747,410,000","481,369,000","413,064,000","383,661,000","315,154,000","332,599,000","311,530,000","296,736,000","259,141,000","428,800,000","390,100,000","327,500,000"
		CashCashEquivalentsAndShortTermInvestments,"613,110,000","555,320,000","1,137,303,000","2,269,756,000","213,734,000","2,489,768,000","477,239,000","477,696,000","469,416,000","529,650,000","308,791,000","253,303,000","130,551,000","149,499,000","58,570,000","46,390,000","35,173,000","37,636,000","30,585,000","19,300,000","48,621,000","21,180,000","34,322,000","14,242,000","33,100,000","32,100,000","32,500,000"
			CashAndCashEquivalents,"613,110,000","555,320,000","1,137,303,000","2,269,756,000","213,734,000","2,489,768,000","477,239,000","477,696,000","469,416,000","529,650,000","308,791,000","253,303,000","130,551,000","149,499,000","58,570,000","46,390,000","35,173,000","37,636,000","30,585,000","19,300,000","48,621,000","21,180,000","34,322,000","14,242,000","33,100,000","32,100,000","32,500,000"
		Receivables,"752,448,000","697,887,000","619,393,000","543,105,000","656,445,000","457,472,000","518,268,000","449,025,000","391,571,000","374,660,000","329,215,000","347,529,000","425,362,000","400,053,000","387,463,000","341,551,000","226,026,000","197,089,000","175,160,000","174,297,000","155,140,000","145,207,000","154,421,000","141,293,000","198,100,000","182,000,000","140,400,000"
			AccountsReceivable,"612,651,000","605,712,000","534,326,000","486,035,000","552,828,000","385,212,000","446,864,000","378,973,000","391,571,000","374,660,000","329,215,000","327,758,000","425,362,000","400,053,000","351,989,000","341,551,000","226,026,000","197,089,000","175,160,000","174,297,000","155,140,000","145,207,000","154,421,000","141,293,000",,,
				GrossAccountsReceivable,"616,362,000","610,172,000","544,751,000","501,347,000","556,976,000","386,775,000","448,478,000","380,614,000","394,280,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-3,711,000","-4,460,000","-10,425,000","-15,312,000","-4,148,000","-1,563,000","-1,614,000","-1,641,000","-2,709,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,"124,305,000","80,596,000","70,288,000","30,409,000","48,056,000","46,042,000","48,266,000","48,606,000",,,,"19,771,000",,,,,,,,,,,,,,,
			OtherReceivables,"15,492,000","11,579,000","14,779,000","26,661,000","55,561,000","26,218,000","23,138,000","21,446,000",,,,,,,"35,474,000",,,,,,,,,,,,
		Inventory,"768,984,000","700,540,000","592,781,000","450,263,000","508,728,000","358,361,000","436,049,000","428,145,000","431,495,000","389,210,000","347,506,000","538,857,000","472,826,000","378,302,000","411,023,000","338,757,000","204,703,000","160,805,000","159,661,000","107,418,000","110,816,000","127,206,000","90,283,000","84,499,000","177,600,000","156,600,000","136,400,000"
