name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"3,496,208,000","3,589,427,000","3,374,950,000","3,071,976,000","2,677,203,000","3,651,335,000","2,445,548,000","2,616,416,000","2,745,420,000","2,869,005,000","2,362,764,000","2,005,394,000","2,467,115,000","2,336,187,000","2,368,506,000","2,107,499,000","1,513,737,000","1,110,237,000","980,215,000","916,899,000","917,549,000","845,925,000","820,862,000","829,850,000","854,481,000","1,244,200,000","1,080,900,000","903,400,000"
	OperatingRevenue,"3,496,208,000","3,589,427,000","3,374,950,000","3,071,976,000","2,677,203,000","3,651,335,000","2,445,548,000","2,616,416,000","2,745,420,000","2,869,005,000","2,362,764,000","2,005,394,000","2,467,115,000","2,336,187,000","2,368,506,000","2,107,499,000","1,513,737,000","1,110,237,000","980,215,000","916,899,000","917,549,000","845,925,000","820,862,000","829,850,000","854,481,000","1,244,200,000","1,080,900,000","903,400,000"
CostOfRevenue,"2,279,898,000","2,331,649,000","2,157,694,000","1,961,996,000","1,706,627,000","2,454,463,000","1,674,700,000","1,755,011,000","1,835,425,000","1,891,946,000","1,616,842,000","1,521,532,000","1,859,441,000","1,713,696,000","1,817,692,000","1,684,101,000","1,201,388,000","871,727,000","744,979,000","695,564,000","646,086,000","581,380,000","560,057,000","568,424,000","611,353,000","873,100,000","742,100,000","622,500,000"
GrossProfit,"1,216,310,000","1,257,778,000","1,217,256,000","1,109,980,000","970,576,000","1,196,872,000","770,848,000","861,405,000","909,995,000","977,059,000","745,922,000","483,862,000","607,674,000","622,491,000","550,814,000","423,398,000","312,349,000","238,510,000","235,236,000","221,335,000","271,463,000","264,545,000","260,805,000","261,426,000","243,128,000","371,100,000","338,800,000","280,900,000"
OperatingExpense,"581,297,000","591,655,000","516,144,000","522,231,000","460,939,000","615,145,000","443,445,000","245,135,000","392,146,000","389,219,000","324,116,000","285,939,000","322,424,000","307,660,000","284,155,000","259,502,000","193,868,000","145,686,000","129,711,000","122,885,000","121,301,000","150,419,000","135,090,000","140,719,000","149,702,000","254,100,000","244,900,000","232,300,000"
	SellingGeneralAndAdministration,"521,890,000","533,368,000","446,090,000","437,901,000","380,464,000","512,274,000","355,135,000","162,889,000","313,227,000","312,136,000","265,722,000","212,628,000","255,132,000","244,969,000","237,856,000","219,725,000","157,737,000","117,226,000","111,676,000","98,915,000","103,234,000","105,439,000","105,435,000","109,273,000","119,260,000","130,500,000","123,500,000","143,800,000"
	ResearchAndDevelopment,"59,407,000","58,287,000","70,054,000","84,330,000","80,475,000","102,871,000","88,310,000","82,246,000","78,919,000","77,083,000","58,394,000","60,918,000","67,292,000","62,691,000","46,299,000","41,675,000","31,273,000","18,411,000","16,485,000","21,919,000","26,201,000","34,288,000","29,655,000","31,446,000","30,442,000","29,500,000","28,100,000",
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"94,100,000","93,300,000","88,500,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"94,100,000","93,300,000","88,500,000"
	OtherOperatingExpenses,,,,,,,,,,,,"12,393,000","38,544,000",,,"-1,898,000","4,858,000","10,049,000","1,550,000","2,051,000","-8,134,000","10,692,000",,,,,,
OperatingIncome,"635,013,000","666,123,000","701,112,000","587,749,000","509,637,000","581,727,000","327,403,000","616,270,000","517,849,000","587,840,000","421,806,000","197,923,000","285,250,000","314,831,000","266,659,000","163,896,000","118,481,000","92,824,000","105,525,000","98,450,000","150,162,000","114,126,000","125,715,000","120,707,000","93,426,000","117,000,000","93,900,000","48,600,000"
NetNonOperatingInterestIncomeExpense,"-61,994,000","-57,695,000","-52,405,000","-115,350,000","-65,181,000","-132,722,000","-41,358,000","-31,559,000","-32,800,000","-37,574,000","-25,533,000","-24,584,000","-38,175,000",,,,,,,,,,,,,,,
