name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995
TotalRevenue,"5,295,500,000","1,444,800,000","1,384,300,000","1,263,100,000","1,203,300,000","1,140,400,000","1,128,800,000","1,026,500,000","1,045,000,000","930,900,000","910,100,000","859,000,000","912,000,000","870,000,000","830,740,000","799,106,000","753,116,000","701,038,000","700,867,000","666,637,000","636,210,000","600,333,000","599,476,000","555,146,000","512,495,000","566,616,000","441,909,000","400,405,000","370,091,000","338,941,000","320,526,000","294,136,000","274,719,000","244,733,000","227,559,000","204,047,000","185,699,000","166,126,000","155,975,000","141,569,000","125,834,000","117,578,000","110,649,000","102,628,000","92,256,000","81,267,000","77,399,000","76,500,000","59,559,000","45,641,000","33,857,000","22,110,000","9,756,000","6,317,000","188,000","263,000","339,000","768,000","460,000","203,000","151,000","563,000","147,000","4,147,000","168,000","147,000","147,000","167,000","167,000","220,000","323,000","757,000","539,000","3,380,000","1,860,000","3,272,000","1,960,000","3,027,000","3,252,000","3,991,000","4,483,000","6,700,000","6,300,000","6,000,000","12,400,000","200,000","300,000","500,000","100,000","300,000","4,100,000","900,000","600,000","1,400,000","800,000","800,000","800,000","600,000","500,000"
	OperatingRevenue,"5,294,400,000","1,444,600,000","1,384,200,000","1,263,100,000","1,202,500,000","1,140,200,000","1,128,500,000","1,026,500,000","1,044,700,000","930,400,000","909,500,000","859,000,000","912,000,000","869,000,000","830,505,000","798,524,000","752,546,000","700,425,000","700,425,000","665,791,000","635,983,000","600,333,000","599,476,000","555,146,000","512,495,000","566,616,000","441,909,000","400,405,000","370,091,000","338,941,000","320,526,000","294,136,000","274,719,000","244,733,000","227,559,000","204,047,000","185,699,000","166,126,000","155,975,000","141,569,000","125,834,000","117,578,000","110,649,000","102,628,000","92,256,000","81,267,000","77,399,000","76,500,000","59,559,000","45,641,000","33,857,000","22,110,000","9,756,000","6,317,000","188,000","263,000","339,000","768,000","460,000","203,000","151,000","563,000","147,000","4,147,000","168,000","147,000","147,000","167,000","167,000","220,000","323,000","757,000","539,000","3,380,000","1,860,000","3,272,000","1,960,000","3,027,000","3,252,000","3,991,000","4,483,000","6,700,000","6,300,000","6,000,000","12,400,000","200,000","300,000","500,000","100,000","300,000","4,100,000","900,000","600,000","1,400,000","800,000","800,000","800,000","600,000","500,000"
CostOfRevenue,"420,400,000","111,700,000","114,300,000","95,200,000","99,200,000","85,800,000","96,800,000","90,600,000","95,300,000","91,600,000","144,200,000","157,000,000","84,000,000","69,000,000","67,292,000","71,095,000","60,627,000","58,986,000","57,626,000","54,057,000","52,007,000","69,399,000","49,439,000","51,858,000","39,626,000","32,939,000","51,552,000","51,358,000","39,377,000","35,269,000","-20,230,000","33,186,000","31,613,000","28,268,000","28,798,000","23,369,000","21,745,000","19,228,000","20,222,000","16,495,000","13,721,000","13,999,000","12,892,000","11,895,000","10,313,000","9,959,000","6,812,000","8,948,000","7,142,000","5,464,000","3,391,000","2,154,000","1,067,000","85,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,"200,000","200,000","200,000"
GrossProfit,"4,875,100,000","1,333,100,000","1,270,000,000","1,167,900,000","1,104,100,000","1,054,600,000","1,032,000,000","935,900,000","949,700,000","839,300,000","765,900,000","702,000,000","828,000,000","801,000,000","763,448,000","728,011,000","692,489,000","642,052,000","643,241,000","612,580,000","584,203,000","530,934,000","550,037,000","503,288,000","472,869,000","533,677,000","390,357,000","349,047,000","330,714,000","303,672,000","340,756,000","260,950,000","243,106,000","216,465,000","198,761,000","180,678,000","163,954,000","146,898,000","135,753,000","125,074,000","112,113,000","103,579,000","97,757,000","90,733,000","81,943,000","71,308,000","70,587,000","67,552,000","52,417,000","40,177,000","30,466,000","19,956,000","8,689,000","6,232,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,"1,000,000","800,000","700,000"
OperatingExpense,"2,493,800,000","594,500,000","724,500,000","607,800,000","567,000,000","557,400,000","604,300,000","513,500,000","530,800,000","513,700,000","641,900,000","546,000,000","544,000,000","561,000,000","545,036,000","507,851,000","491,168,000","488,945,000","512,587,000","414,792,000","353,076,000","408,196,000","312,886,000","258,326,000","252,031,000","320,748,000","220,709,000","211,199,000","191,856,000","183,466,000","176,138,000","144,341,000","154,594,000","132,754,000","121,069,000","114,243,000","113,930,000","96,737,000","90,724,000","82,361,000","79,788,000","73,009,000","75,102,000","62,846,000","60,993,000","55,741,000","54,064,000","46,938,000","49,732,000","45,390,000","44,214,000","41,850,000","37,983,000","41,057,000","41,074,000","33,326,000","34,883,000","29,360,000","36,758,000","34,895,000","29,798,000","24,368,000","22,342,000","23,372,000","14,361,000","17,865,000","19,502,000","21,590,000","19,402,000","21,362,000","21,869,000","21,511,000","18,338,000","16,879,000","11,270,000","12,884,000","11,125,000","12,248,000","12,650,000","9,983,000","11,634,000","11,000,000","11,800,000","10,400,000","6,400,000","5,500,000","4,500,000","4,800,000","3,700,000","3,600,000","2,900,000","3,900,000","2,700,000","2,600,000","2,800,000","2,800,000","2,400,000","2,000,000","2,000,000"
	SellingGeneralAndAdministration,"1,299,500,000","319,900,000","381,000,000","299,300,000","299,300,000","281,500,000","318,700,000","258,700,000","277,300,000","257,100,000","296,400,000","271,000,000","265,000,000","262,000,000","259,509,000","230,128,000","231,802,000","232,561,000","241,576,000","212,520,000","221,383,000","187,116,000","183,776,000","157,665,000","159,477,000","129,291,000","134,819,000","122,886,000","123,189,000","108,826,000","112,624,000","89,957,000","94,855,000","87,242,000","86,567,000","77,572,000","78,180,000","65,858,000","63,547,000","57,208,000","56,098,000","50,635,000","51,887,000","41,523,000","42,705,000","36,652,000","38,789,000","32,064,000","32,907,000","29,781,000","28,571,000","24,944,000","22,788,000","19,838,000","23,191,000","12,121,000","11,421,000","8,146,000","6,484,000","6,215,000","4,777,000","4,280,000","3,679,000","4,776,000","3,569,000","3,300,000","2,814,000","3,002,000","3,369,000","2,058,000","2,192,000","2,126,000","2,432,000","1,836,000","1,599,000","1,870,000","1,916,000","1,971,000","1,378,000","1,214,000","1,196,000","1,200,000","600,000","900,000","700,000","800,000","600,000","800,000","700,000","700,000","600,000","700,000","700,000","800,000","600,000","600,000","400,000","400,000","400,000"
	ResearchAndDevelopment,"891,000,000","200,900,000","269,600,000","232,900,000","187,600,000","195,900,000","205,600,000","174,800,000","173,400,000","176,600,000","265,400,000","195,000,000","199,000,000","219,000,000","205,712,000","195,687,000","179,311,000","176,290,000","191,035,000","165,664,000","131,693,000","221,080,000","129,110,000","100,661,000","92,554,000","191,457,000","85,785,000","88,209,000","68,563,000","74,536,000","63,409,000","54,280,000","59,635,000","45,408,000","34,398,000","36,567,000","35,646,000","30,810,000","27,177,000","25,153,000","23,690,000","22,374,000","23,215,000","21,323,000","18,288,000","19,089,000","15,275,000","14,874,000","16,825,000","15,609,000","15,643,000","16,906,000","15,195,000","21,219,000","17,344,000","21,205,000","23,462,000","21,214,000","30,274,000","27,616,000","25,021,000","20,088,000","18,663,000","17,836,000","10,792,000","14,565,000","16,688,000","18,588,000","13,473,000","19,304,000","19,677,000","19,385,000","15,906,000","15,043,000","9,671,000","10,187,000","8,362,000","9,399,000","10,923,000","8,769,000","10,438,000","9,800,000","11,100,000","9,600,000","5,700,000","4,700,000","3,800,000","4,000,000","3,000,000","2,900,000","2,400,000","3,200,000","2,000,000","1,900,000","2,000,000","2,100,000","1,700,000","1,400,000","1,400,000"
	DepreciationAmortizationDepletionIncomeStatement,"303,300,000","73,700,000","73,900,000","75,600,000","80,100,000","80,000,000","80,000,000","80,000,000","80,100,000","80,000,000","80,100,000","80,000,000","80,000,000","80,000,000","79,815,000","82,036,000","80,055,000","80,094,000","79,976,000","36,608,000",,,"0","0","0","0","105,000","104,000","104,000","104,000","105,000","104,000","104,000","104,000","104,000","104,000","104,000","69,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"827,000","847,000","878,000","349,000",,,,,,,,,,,,,,,,,,,"200,000","200,000"
		DepreciationAndAmortizationInIncomeStatement,"303,300,000","73,700,000","73,900,000","75,600,000","80,100,000","80,000,000","80,000,000","80,000,000","80,100,000","80,000,000","80,100,000","80,000,000","80,000,000","80,000,000","79,815,000","82,036,000","80,055,000","80,094,000","79,976,000","36,608,000",,,"0","0","0","0","105,000","104,000","104,000","104,000","105,000","104,000","104,000","104,000","104,000","104,000","104,000","69,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"827,000","847,000","878,000","349,000",,,,,,,,,,,,,,,,,,,"200,000","200,000"
			Amortization,"303,300,000","73,700,000","73,900,000","75,600,000","80,100,000","80,000,000","80,000,000","80,000,000","80,100,000","80,000,000","80,100,000","80,000,000","80,000,000","80,000,000","79,815,000","82,036,000","80,055,000","80,094,000","79,976,000","36,608,000",,,"0","0","0","0","105,000","104,000","104,000","104,000","105,000","104,000","104,000","104,000","104,000","104,000","104,000","69,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"827,000","847,000","878,000","349,000",,,,,,,,,,,,,,,,,,,,
