name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"21,709,155,000","18,481,808,000","15,614,164,000","13,975,616,000","12,355,098,000","10,774,784,000","9,332,604,000","7,353,624,000","5,164,593,000"
	CurrentAssets,"1,881,676,000","2,109,387,000","1,854,980,000","1,565,478,000","1,227,710,000","1,427,422,000","1,345,196,000","794,807,000","377,962,000"
		CashCashEquivalentsAndShortTermInvestments,"317,488,000","300,127,000","292,204,000","274,802,000","156,675,000","282,819,000","270,173,000","230,089,000","281,805,000"
			CashAndCashEquivalents,"317,488,000","300,127,000","292,204,000","274,802,000","156,675,000","282,819,000","270,173,000","230,089,000","281,805,000"
		PrepaidAssets,"1,564,188,000","1,809,260,000","1,562,776,000","1,290,676,000","1,071,035,000","1,144,603,000","1,075,023,000","564,718,000",
		RestrictedCash,,,,,,,,,"96,157,000"
	TotalNonCurrentAssets,"19,827,479,000","16,372,421,000","13,759,184,000","12,410,138,000","11,127,388,000","9,347,362,000","7,987,408,000","6,558,817,000","4,786,631,000"
		NetPPE,"18,704,337,000","15,707,110,000","13,280,250,000","12,041,925,000","10,813,475,000","8,953,804,000","7,613,135,000","6,251,863,000","4,237,416,000"
			GrossPPE,"21,286,154,000","17,985,324,000","15,100,040,000","13,597,530,000","12,026,798,000","9,832,421,000","8,234,315,000","6,598,898,000","4,368,985,000"
				MachineryFurnitureEquipment,,,,,,,,,"4,368,985,000"
				OtherProperties,"21,286,154,000","17,985,324,000","15,100,040,000","13,597,530,000","12,026,798,000","9,832,421,000","8,234,315,000","6,598,898,000",
			AccumulatedDepreciation,"-2,581,817,000","-2,278,214,000","-1,819,790,000","-1,555,605,000","-1,213,323,000","-878,617,000","-621,180,000","-347,035,000","-131,569,000"
		NonCurrentDeferredAssets,,,,,,"83,604,000","90,249,000","74,219,000","47,609,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,"0"
		NonCurrentPrepaidAssets,,,,,,,,,"405,549,000"
		OtherNonCurrentAssets,"1,123,142,000","665,311,000","478,934,000","368,213,000","313,913,000","309,954,000","284,024,000","232,735,000","96,057,000"
TotalLiabilitiesNetMinorityInterest,"16,085,611,000","13,674,908,000","11,486,722,000","10,593,429,000","9,335,186,000","8,002,722,000","6,809,170,000","5,021,003,000","2,988,310,000"
	CurrentLiabilities,"516,497,000","382,132,000","309,182,000","256,775,000","215,983,000","190,952,000","131,223,000","90,169,000","54,648,000"
		PayablesAndAccruedExpenses,"516,497,000","382,132,000","309,182,000","256,775,000","215,983,000","190,952,000","131,223,000","90,169,000","54,648,000"
			CurrentAccruedExpenses,"516,497,000","382,132,000","309,182,000","256,775,000","215,983,000","190,952,000","131,223,000","90,169,000",
				InterestPayable,"516,497,000","382,132,000","309,182,000","256,775,000","215,983,000","190,952,000","131,223,000","90,169,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"15,569,114,000","13,292,776,000","11,177,540,000","10,336,654,000","9,119,203,000","7,811,770,000","6,677,947,000","4,930,834,000","2,933,662,000"
		LongTermProvisions,"1,097,061,000","990,578,000","856,140,000","856,335,000","853,330,000","698,172,000","569,847,000","412,223,000",
		LongTermDebtAndCapitalLeaseObligation,"13,578,866,000","11,538,905,000","9,698,785,000","8,713,874,000","7,712,421,000","6,714,362,000","5,853,317,000","4,384,732,000","2,602,799,000"
			LongTermDebt,"13,578,866,000","11,538,905,000","9,698,785,000","8,713,874,000","7,712,421,000","6,714,362,000","5,853,317,000","4,384,732,000","2,602,799,000"
		NonCurrentDeferredLiabilities,"893,187,000","763,293,000","622,615,000","766,445,000","553,452,000","399,236,000","254,783,000","133,879,000","46,709,000"
			NonCurrentDeferredTaxesLiabilities,"749,495,000","643,767,000","517,795,000","667,060,000","461,967,000","323,359,000","193,263,000","92,742,000","20,692,000"
			NonCurrentDeferredRevenue,"143,692,000","119,526,000","104,820,000","99,385,000","91,485,000","75,877,000","61,520,000","41,137,000","26,017,000"
		OtherNonCurrentLiabilities,,,,,,,,,"284,154,000"
TotalEquityGrossMinorityInterest,"5,623,544,000","4,806,900,000","4,127,442,000","3,382,187,000","3,019,912,000","2,772,062,000","2,523,434,000","2,332,621,000","2,176,283,000"
	StockholdersEquity,"5,623,544,000","4,806,900,000","4,127,442,000","3,382,187,000","3,019,912,000","2,772,062,000","2,523,434,000","2,332,621,000","2,176,283,000"
		CapitalStock,"1,234,000","1,110,000","1,036,000","1,010,000","1,010,000","1,010,000","1,009,000","1,009,000","1,002,000"
			PreferredStock,"100,000","0","0","0","0","0","0","0","0"
			CommonStock,"1,134,000","1,110,000","1,036,000","1,010,000","1,010,000","1,010,000","1,009,000","1,009,000","1,002,000"
		AdditionalPaidInCapital,"2,777,601,000","2,474,238,000","2,260,064,000","2,237,866,000","2,227,376,000","2,215,479,000","2,209,566,000","2,198,501,000","2,174,089,000"
		RetainedEarnings,"2,846,106,000","2,331,552,000","1,866,342,000","1,143,311,000","791,526,000","555,573,000","312,859,000","133,111,000","1,192,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,397,000",,,,,,,,
TotalCapitalization,"19,202,410,000","16,345,805,000","13,826,227,000","12,096,061,000","10,732,333,000","9,486,424,000","8,376,751,000","6,717,353,000","4,779,082,000"
PreferredStockEquity,"100,000",,,,,,,,
CommonStockEquity,"5,623,444,000","4,806,900,000","4,127,442,000","3,382,187,000","3,019,912,000","2,772,062,000","2,523,434,000","2,332,621,000","2,176,283,000"
NetTangibleAssets,"5,623,544,000","4,806,900,000","4,127,442,000","3,382,187,000","3,019,912,000","2,772,062,000","2,523,434,000","2,332,621,000","2,176,283,000"
WorkingCapital,"1,365,179,000","1,727,255,000","1,545,798,000","1,308,703,000","1,011,727,000","1,236,470,000","1,213,973,000","704,638,000","323,314,000"
InvestedCapital,"19,202,310,000","16,345,805,000","13,826,227,000","12,096,061,000","10,732,333,000","9,486,424,000","8,376,751,000","6,717,353,000","4,779,082,000"
TangibleBookValue,"5,623,444,000","4,806,900,000","4,127,442,000","3,382,187,000","3,019,912,000","2,772,062,000","2,523,434,000","2,332,621,000","2,176,283,000"
TotalDebt,"13,578,866,000","11,538,905,000","9,698,785,000","8,713,874,000","7,712,421,000","6,714,362,000","5,853,317,000","4,384,732,000","2,602,799,000"
NetDebt,"13,261,378,000","11,238,778,000","9,406,581,000","8,439,072,000","7,555,746,000","6,431,543,000","5,583,144,000","4,154,643,000","2,320,994,000"
ShareIssued,"113,350,267","110,949,850","103,621,629","102,844,477","102,582,669","102,392,208","101,822,676","101,247,337","100,714,470"
OrdinarySharesNumber,"113,350,267","110,949,850","103,621,629","102,844,477","102,582,669","102,392,208","101,822,676","101,247,337","100,714,470"
PreferredSharesNumber,"10,000,000",,,,,,,,
