name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"2,016,904,000","548,556,000","530,902,000","471,395,000","466,051,000","449,981,000","450,698,000","397,814,000","381,209,000","398,471,000","376,765,000","380,957,000","360,187,000","370,487,000","355,101,000","350,139,000","343,328,000","326,697,000","313,126,000","304,702,000","278,315,000","285,944,000","261,939,000","256,325,000","246,285,000","248,438,000","213,835,000","206,299,000","190,103,000","186,210,000","172,856,000","155,050,000","131,737,000","113,627,000","90,476,000","74,004,000","55,215,000","19,110,000","1,235,000","0"
	OperatingRevenue,"2,016,904,000","548,556,000","530,902,000","471,395,000","466,051,000","449,981,000","450,698,000","397,814,000","381,209,000","398,471,000","376,765,000","380,957,000","360,187,000","370,487,000","355,101,000","350,139,000","343,328,000","326,697,000","313,126,000","304,702,000","278,315,000","285,944,000","261,939,000","256,325,000","246,285,000","248,438,000","213,835,000","206,299,000","190,103,000","186,210,000","172,856,000","155,050,000","131,737,000","113,627,000","90,476,000","74,004,000","54,612,000","19,110,000","1,235,000","0"
CostOfRevenue,"702,810,000","187,862,000","183,788,000","171,689,000","159,471,000","153,548,000","149,703,000","142,600,000","136,134,000","130,400,000","127,553,000","126,490,000","123,909,000","118,720,000","113,251,000","112,136,000","108,575,000","106,300,000","102,046,000","98,402,000","91,012,000","90,921,000","86,119,000","81,475,000","78,142,000","75,580,000","71,811,000","68,783,000","63,863,000","216,219,000","0","0","0","0","0","0","0","0","0","0"
GrossProfit,"1,314,094,000","360,694,000","347,114,000","299,706,000","306,580,000","296,433,000","300,995,000","255,214,000","245,075,000","268,071,000","249,212,000","254,467,000","236,278,000","251,767,000","241,850,000","238,003,000","234,753,000","220,397,000","211,080,000","206,300,000","187,303,000","195,023,000","175,820,000","174,850,000","168,143,000","172,858,000","142,024,000","137,516,000","126,240,000","-30,009,000","172,856,000","155,050,000","131,737,000","113,627,000","90,476,000","74,004,000","55,215,000","19,110,000","1,235,000","0"
OperatingExpense,"144,398,000","37,276,000","39,612,000","33,634,000","33,876,000","30,488,000","31,225,000","26,343,000","26,791,000","31,015,000","24,620,000","29,147,000","26,345,000","27,663,000","24,476,000","25,154,000","22,641,000","25,461,000","23,971,000","22,307,000","22,244,000","27,500,000","23,538,000","24,846,000","22,586,000","26,595,000","21,248,000","23,961,000","21,022,000","-131,962,000","77,889,000","76,052,000","66,162,000","59,142,000","50,483,000","47,681,000","38,903,000","25,183,000","7,864,000","477,000"
	SellingGeneralAndAdministration,"144,398,000","37,276,000","39,612,000","33,634,000","33,876,000","30,488,000","31,225,000","26,343,000","26,791,000","31,015,000","24,620,000","29,147,000","26,345,000","27,663,000","24,476,000","25,154,000","22,641,000","25,461,000","23,971,000","22,307,000","22,244,000","27,500,000","23,538,000","24,846,000","22,586,000","26,595,000","21,248,000","23,961,000","21,022,000","22,843,000","19,957,000","23,515,000","21,826,000","20,266,000","19,826,000","23,037,000","20,773,000","18,882,000","7,537,000","477,000"
		GeneralAndAdministrativeExpense,"144,398,000","37,276,000","39,612,000","33,634,000","33,876,000","30,488,000","31,225,000","26,343,000","26,791,000","31,015,000","24,620,000","29,147,000","26,345,000","27,663,000","24,476,000","25,154,000","22,641,000","25,461,000","23,971,000","22,307,000","22,244,000","27,500,000","23,538,000","24,846,000","22,586,000","26,595,000","21,248,000","23,961,000","21,022,000","22,843,000","19,957,000","23,515,000","21,826,000","20,266,000","19,826,000","23,037,000","20,773,000","18,882,000","7,537,000","477,000"
			SalariesAndWages,"20,745,000","5,811,000","4,897,000","5,863,000","4,174,000","4,313,000","4,848,000","4,885,000","3,432,000","5,369,000","5,358,000","5,304,000","3,773,000","4,599,000","4,602,000","4,501,000","3,239,000","4,650,000","4,648,000","4,578,000","3,146,000","3,826,000","3,882,000","4,940,000","3,400,000","3,775,000","3,751,000","7,313,000","6,775,000","7,140,000","7,124,000","9,207,000","8,217,000","8,368,000","8,314,000","11,753,000","10,908,000","10,941,000","2,255,000","0"
			OtherGandA,"123,653,000","31,465,000","34,715,000","27,771,000","29,702,000","26,175,000","26,377,000","21,458,000","23,359,000","25,646,000","19,262,000","23,843,000","22,572,000","23,064,000","19,874,000","20,653,000","19,402,000","20,811,000","19,323,000","17,729,000","19,098,000","23,674,000","19,656,000","19,906,000","19,186,000","22,820,000","17,497,000","16,648,000","14,247,000","15,703,000","12,833,000","14,308,000","13,609,000","11,898,000","11,512,000","11,284,000","9,865,000","7,941,000","5,282,000","477,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,932,000","52,537,000","44,336,000","38,876,000","30,657,000","24,644,000","18,130,000","6,301,000","327,000","0"
