name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalRevenue,"1,055,022,000","849,598,000","0","0","0","0",
	OperatingRevenue,"1,055,022,000","849,598,000","0","0","0","0",
CostOfRevenue,"188,053,000","152,536,000","130,013,000",,,,
GrossProfit,"866,969,000","697,062,000","897,926,000",,,,
OperatingExpense,"361,703,000","325,519,000","43,851,000","41,134,000","815,000","0",
	SellingGeneralAndAdministration,"111,841,000","118,113,000","43,851,000","41,134,000","815,000","0",
		GeneralAndAdministrativeExpense,"111,841,000","118,113,000","43,851,000","41,134,000","815,000",,
			SalariesAndWages,"65,432,000","73,517,000","35,111,000","34,933,000",,"0",
			OtherGandA,"46,409,000","44,596,000","8,740,000","6,201,000","815,000",,
	OtherOperatingExpenses,"249,862,000","207,406,000","316,558,000",,,,
OperatingIncome,"505,266,000","371,543,000","-43,851,000","-41,134,000","-815,000","0",
NetNonOperatingInterestIncomeExpense,"-141,816,000","-110,402,000","-136,000",,"1,000",,
	InterestIncomeNonOperating,,,"14,000",,"1,000",,
	InterestExpenseNonOperating,"141,816,000","110,402,000","150,000",,,,
	TotalOtherFinanceCost,,"110,402,000","61,906,000",,,,
OtherIncomeExpense,"-1,366,019,000","-718,721,000","142,906,000","69,720,000","16,944,000","1,264,000",
	EarningsFromEquityInterest,"67,512,000","51,315,000","142,906,000","69,720,000","16,944,000","1,264,000",
	SpecialIncomeCharges,"-1,433,531,000","-770,036,000","87,831,000",,,,
		RestructuringAndMergernAcquisition,"7,027,000","8,076,000","-93,019,000",,,,
		ImpairmentOfCapitalAssets,"1,426,504,000","761,960,000","5,771,000",,,,
		GainOnSaleOfPPE,,,"583,000",,,,
PretaxIncome,"-1,002,569,000","-457,580,000","98,919,000","28,586,000","16,130,000","1,264,000",
TaxProvision,"-244,874,000","-102,466,000","32,311,000","26,261,000","6,419,000","483,000",
NetIncomeCommonStockholders,"-758,246,000","-355,556,000","61,372,000","6,480,000","9,711,000","781,000",
	NetIncome,"-757,695,000","-355,114,000","66,608,000","7,264,000","9,711,000","781,000",
		NetIncomeIncludingNoncontrollingInterests,"-757,695,000","-355,114,000","66,608,000","2,325,000","9,711,000","781,000",
			NetIncomeContinuousOperations,"-757,695,000","-355,114,000","66,608,000","2,325,000","9,711,000","781,000",
	PreferredStockDividends,"551,000","442,000",,,,,
	OtherunderPreferredStockDividend,,"0","5,236,000","784,000",,,
DilutedNIAvailtoComStockholders,"-758,246,000","-355,556,000","61,372,000","6,480,000","9,711,000","781,000",
BasicEPS,,"-0.8","2.37","0.03","0.052","0.004",
DilutedEPS,,"-0.8","2.36","0.03","0.052","0.004",
BasicAverageShares,,"442,640,000","187,048,000","186,176,000","186,170,213","186,170,213","186,170,213"
DilutedAverageShares,,"442,640,000","187,398,000","186,176,000","186,170,213","186,170,213","186,170,213"
TotalOperatingIncomeAsReported,"-928,265,000","-398,493,000","99,055,000",,,,
TotalExpenses,"549,756,000","478,055,000","43,851,000","41,134,000","815,000","0",
InterestIncome,,,"14,000",,"1,000",,
InterestExpense,"141,816,000","110,402,000","150,000",,,,
NetInterestIncome,"-141,816,000","-110,402,000","-136,000",,"1,000",,
NetIncomeFromContinuingAndDiscontinuedOperation,"-757,695,000","-355,114,000","66,608,000","7,264,000","9,711,000","781,000",
NormalizedIncome,"325,701,026.653","242,487,652.397","66,608,000","7,264,000","9,711,000","781,000",
EBIT,"-860,753,000","-347,178,000","99,069,000","-41,134,000","-815,000","0",
EBITDA,"-672,700,000"
ReconciledCostOfRevenue,"188,053,000","152,536,000","130,013,000",,,,
ReconciledDepreciation,"188,053,000","152,536,000",,,"99,861,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"-757,695,000","-355,114,000","66,608,000","7,264,000","9,711,000","781,000",
TotalUnusualItemsExcludingGoodwill,"-1,433,531,000","-770,036,000","87,831,000",,,,
TotalUnusualItems,"-1,433,531,000","-770,036,000","87,831,000",,,,
NormalizedEBITDA,"760,831,000","575,394,000","99,069,000","-41,134,000","99,046,000","0",
TaxRateForCalcs,"0.244","0.224","0.327","0.4","0.398","0.382",
TaxEffectOfUnusualItems,"-350,134,973.347","-172,434,347.603","0","0","0","0",
