name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalRevenue,"21,335,700,000","21,335,700,000","21,412,800,000","21,534,600,000","21,609,000,000","20,862,000,000","19,108,800,000","17,517,600,000","15,668,800,000","13,832,300,000","12,461,000,000","10,757,800,000","14,131,900,000","17,691,500,000","18,988,600,000","19,253,400,000","19,424,700,000","19,381,100,000","19,478,500,000","19,989,300,000","20,609,600,000","20,111,800,000","16,118,200,000","10,305,600,000","2,365,500,000","260,300,000","48,800,000","102,700,000","110,000,000","51,600,000","31,800,000","600,000","600,000"
	OperatingRevenue,"21,228,400,000","21,228,400,000","21,303,900,000","21,396,700,000","21,467,100,000","20,715,200,000","18,931,200,000","17,348,400,000","15,592,000,000","13,832,300,000","12,461,000,000","10,757,800,000","14,131,900,000","17,691,500,000","18,988,600,000","19,253,400,000","19,424,700,000","19,381,100,000","19,478,500,000","19,989,300,000","20,609,600,000","20,111,800,000","16,118,200,000","10,305,600,000","2,365,500,000","260,300,000","48,800,000","102,700,000","110,000,000","51,600,000","31,800,000","600,000","600,000"
CostOfRevenue,"17,812,700,000","17,812,700,000","18,015,500,000","18,175,600,000","18,295,800,000","17,600,500,000","16,120,100,000","14,757,700,000","13,182,400,000","11,528,300,000","10,333,500,000","8,829,000,000","11,752,400,000","14,847,100,000","15,944,200,000","16,189,700,000","16,412,000,000","16,418,300,000","16,492,000,000","17,115,400,000","17,577,100,000","17,276,600,000","12,480,900,000","7,641,500,000","692,400,000","148,600,000","26,100,000","65,700,000","72,100,000","28,500,000","18,100,000","800,000","800,000"
GrossProfit,"3,523,000,000","3,523,000,000","3,397,300,000","3,359,000,000","3,313,200,000","3,261,500,000","2,988,700,000","2,759,900,000","2,486,400,000","2,304,000,000","2,127,500,000","1,928,800,000","2,379,500,000","2,844,400,000","3,044,400,000","3,063,700,000","3,012,700,000","2,962,800,000","2,986,500,000","2,873,900,000","3,032,500,000","2,835,200,000","3,637,300,000","2,664,100,000","1,673,100,000","111,700,000","22,700,000","37,000,000","37,900,000","23,100,000","13,700,000","-200,000","-200,000"
OperatingExpense,"2,689,800,000","2,689,800,000","2,611,300,000","2,515,600,000","2,423,700,000","2,373,000,000","2,167,900,000","2,019,600,000","1,836,900,000","1,732,000,000","1,630,900,000","1,517,100,000","1,917,800,000","2,139,600,000","2,247,800,000","2,256,700,000","2,245,800,000","2,248,700,000","2,258,700,000","2,429,400,000","2,311,500,000","2,434,200,000","3,102,100,000","2,285,400,000","1,637,300,000","75,100,000","13,200,000","29,000,000","27,900,000","12,700,000","9,800,000","200,000","100,000"
	SellingGeneralAndAdministration,"2,558,600,000","2,558,600,000","2,509,800,000","2,436,200,000","2,349,400,000","2,263,500,000","2,079,600,000","1,935,000,000","1,749,500,000","1,649,400,000","1,552,100,000","1,464,400,000","1,813,800,000","2,046,200,000","2,165,000,000","2,175,500,000","2,158,700,000","2,157,700,000","2,200,900,000","2,207,200,000","2,177,700,000","2,311,200,000","2,050,500,000","1,281,800,000","1,096,800,000","54,100,000","8,500,000","22,300,000","22,700,000","10,000,000","8,200,000","200,000",
		GeneralAndAdministrativeExpense,"2,370,800,000","2,370,800,000","2,312,000,000","2,243,400,000","2,152,700,000","2,075,000,000","1,914,700,000","1,768,600,000","1,613,800,000",,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"1,634,600,000","1,634,600,000","1,567,800,000","1,540,600,000","1,467,500,000","1,454,300,000","1,362,500,000","1,252,900,000","1,162,400,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"736,200,000","736,200,000","744,200,000","702,800,000","685,200,000","620,700,000","552,200,000","515,700,000","451,400,000",,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"187,800,000","187,800,000","197,800,000","192,800,000","196,700,000","188,500,000","164,900,000","166,400,000","135,700,000",,,,,,,,,,,,,,,,,,,,,,,,
