name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"1,174,123,000","1,242,048,000","1,284,535,000","1,330,053,000","686,903,000","610,034,000","637,560,000","685,468,000","339,275,000","347,821,000","189,365,000","139,760,000","169,010,000","210,248,000","217,847,000","241,364,000","256,792,000","286,127,000","329,123,000","362,289,000","276,385,000","296,672,000","334,672,000","367,696,000","339,807,000","294,703,000","277,954,000","236,657,000","261,206,000","264,160,000","259,003,000","187,799,000","157,129,000","184,999,000","210,198,000","232,731,000","266,362,000","293,040,000","234,850,000","227,269,000","236,278,000","267,345,000","163,525,000","195,511,000","241,331,000","340,099,000","407,234,000","464,533,000","487,506,000","425,325,000","452,051,000","436,766,000","468,465,000","331,230,000","346,791,000","364,596,000","198,129,274","218,432,811","230,209,003","234,496,665","206,364,995","190,464,264","202,994,980","220,245,517","229,898,109","220,319,911","234,379,040","247,096,216","254,890,047","256,762,002","264,249,953","270,390,837","276,973,710","279,579,084","277,271,696","156,621,158","152,711,929","150,964,883","36,015,054","30,700,932"
	CurrentAssets,"759,934,000","806,381,000","1,028,754,000","1,125,918,000","460,725,000","572,477,000","601,280,000","649,861,000","281,280,000","303,701,000","143,598,000","92,337,000","119,889,000","134,867,000","139,772,000","160,115,000","174,838,000","200,216,000","235,970,000","268,624,000","181,896,000","209,077,000","243,734,000","276,368,000","248,810,000","206,562,000","190,420,000","148,669,000","171,159,000","173,693,000","167,252,000","91,975,000","60,260,000","82,384,000","101,903,000","125,450,000","156,806,000","181,782,000","124,618,000","114,064,000","121,273,000","149,146,000","45,928,000","75,950,000","116,983,000","219,256,000","283,269,000","344,972,000","409,248,000","352,606,000","381,697,000","368,011,000","399,686,000","262,114,000","278,133,000","300,852,000","134,508,044","153,752,639","167,756,461","170,717,321","141,235,961","123,229,179","134,690,587","150,183,387","158,775,556","151,156,627","165,399,220","182,922,186","193,309,652","204,652,808","216,929,301","224,032,604","233,308,824","245,446,106","247,048,679","128,980,907","148,214,444","146,183,235","32,216,231","27,706,265"
		CashCashEquivalentsAndShortTermInvestments,"739,565,000","783,755,000","1,006,152,000","1,104,315,000","445,631,000","561,624,000","592,407,000","629,121,000","247,077,000","278,738,000","130,763,000","79,529,000","90,712,000","101,629,000","121,986,000","139,533,000","156,184,000","181,280,000","216,701,000","240,981,000","163,209,000","188,328,000","219,111,000","256,506,000","221,878,000","180,703,000","178,905,000","136,250,000","156,091,000","165,774,000","143,811,000","88,193,000","57,632,000","77,883,000","97,594,000","119,862,000","150,669,000","176,536,000","118,498,000","107,615,000","115,449,000","143,481,000","39,599,000","70,257,000","110,129,000","212,123,000","272,160,000","333,636,000","398,185,000","339,118,000","370,999,000","356,303,000","388,825,000","250,812,000","268,518,000","291,133,000","127,938,979","148,118,473","162,473,962","166,447,785","113,313,839","118,579,684","130,561,143","145,657,175","154,016,883","146,027,914","160,091,299","174,300,778","185,142,885","196,102,985","208,837,030","215,152,890","226,924,293","239,546,307","222,927,441","125,503,323","144,413,176","144,648,198","31,941,743","27,547,339"
			CashAndCashEquivalents,"243,274,000","170,884,000","200,059,000","727,404,000","161,037,000","508,663,000","501,217,000","516,141,000","158,837,000","278,738,000","130,763,000","79,529,000","90,712,000","101,629,000","121,986,000","139,533,000","156,184,000","181,280,000","216,701,000","240,981,000","163,209,000","188,328,000","200,798,000","203,272,000","221,878,000","180,703,000","178,905,000","136,250,000","156,091,000","165,774,000","143,811,000","88,193,000","57,632,000","77,883,000","97,594,000","119,862,000","150,669,000","166,007,000","97,040,000","86,746,000","94,733,000","121,975,000","35,516,000","62,458,000","73,329,000","167,050,000","229,453,000","301,381,000","386,989,000","303,867,000","328,703,000","325,455,000","373,044,000","194,930,000","212,935,000","235,717,000","73,781,143","68,226,537","91,755,080","111,479,490","58,686,129","62,621,968","27,257,594","44,322,226","60,471,856","36,241,257","31,847,959","54,985,485","61,871,305","75,760,278","102,526,965","116,254,691","176,676,669","239,546,307","222,927,441","125,503,323","144,413,176","144,648,198","31,941,743","27,547,339"
			OtherShortTermInvestments,"496,291,000","612,871,000","806,093,000","376,911,000","284,594,000","52,961,000","91,190,000","112,980,000","88,240,000",,,,,,,,,,,,,,"18,313,000","53,234,000",,,,,,,,,,,,,"0","10,529,000","21,458,000","20,869,000","20,716,000","21,506,000","4,083,000","7,799,000","36,800,000","45,073,000","42,707,000","32,255,000","11,196,000","35,251,000","42,296,000","30,848,000","15,781,000","55,882,000","55,583,000","55,416,000","54,157,836","79,891,936","70,718,882","54,968,295","54,627,710","55,957,716","103,303,549","101,334,949","93,545,027","109,786,657","128,243,340","119,315,293","123,271,580","120,342,707","106,310,065","98,898,199","50,247,624",,,,,,,
		Receivables,"1,654,000","1,696,000","1,824,000","3,083,000","5,086,000","1,329,000","2,334,000","15,331,000","14,382,000","14,398,000","2,404,000","1,684,000","20,162,000","18,304,000","3,343,000","6,166,000","4,934,000","3,514,000","4,194,000","12,209,000","3,712,000","2,914,000","7,350,000","1,552,000","10,602,000","12,379,000","1,096,000","1,484,000","5,556,000","672,000","20,578,000","1,003,000","607,000","2,015,000","2,018,000","2,959,000","3,499,000","1,972,000","1,900,000","1,960,000","1,415,000","1,628,000","1,663,000","1,795,000","1,823,000","1,588,000","2,523,000","2,398,000","1,901,000","793,000","834,000","415,000","310,000","1,540,000","1,611,000","2,042,000","848,095","1,502,192","1,073,109","210,232","22,590,323","9,675","24,793","409,674","27,712","153,217","41,186","2,793,128","3,519,209","2,342,520","2,503,705","3,397,583","3,481,250","3,087,083","22,126,250","2,411,000","2,116,146","950,000",,
			AccountsReceivable,"1,654,000","1,696,000","1,824,000","3,083,000","5,086,000","1,329,000","2,334,000","3,306,000","2,357,000","2,373,000","2,404,000","1,684,000","20,162,000","18,304,000","3,343,000","6,166,000","4,934,000","3,514,000","4,194,000","12,209,000","3,712,000","2,914,000","7,350,000","1,552,000","10,602,000","12,379,000","1,096,000","1,484,000","5,556,000","672,000","20,578,000","1,003,000","607,000","2,015,000","2,018,000","2,959,000","3,499,000","1,972,000","1,900,000","1,960,000","1,415,000","1,628,000","1,663,000","1,795,000","1,823,000","1,588,000","2,523,000","2,398,000","1,901,000","793,000","834,000","415,000","310,000","1,540,000","1,611,000","2,042,000","848,095","1,502,192","1,073,109","210,232","22,590,323","9,675","24,793","409,674","27,712","153,217","41,186","2,793,128","3,519,209","2,342,520","2,503,705","3,397,583","3,481,250","3,087,083","2,581,250","2,411,000","2,116,146",,,
			OtherReceivables,,,,,,,,"12,025,000","12,025,000","12,025,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,545,000",,,,,
		Inventory,,,,,,,,,,"6,848,000","7,058,000","7,055,000","6,708,000","10,166,000","9,472,000","9,054,000","9,502,000","10,243,000","11,001,000","11,386,000","10,831,000","11,861,000","12,594,000","11,947,000","12,759,000","10,039,000","7,245,000","7,179,000","6,058,000","2,808,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RawMaterials,,,,,,,,,,"2,713,000","2,913,000","2,882,000","2,553,000","2,692,000","2,616,000","2,724,000","2,487,000","2,412,000","2,470,000","2,247,000","1,167,000","579,000","658,000","692,000","657,000","586,000","405,000","484,000","423,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
