name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"806,431,000","3,002,000","1,350,000","1,022,000","801,057,000","8,648,000","3,573,000","3,994,000","1,755,000","273,000","7,948,000","6,492,000","6,624,000","85,374,000","19,242,000","9,512,000","9,847,000","7,751,000","9,138,000","9,181,000","12,256,000","9,191,000","8,164,000","12,801,000","6,814,000","6,516,000","3,578,000","68,927,000","2,373,000","1,936,000","1,485,000","21,977,000","2,189,000","2,076,000","3,459,000","3,259,000","3,925,000","4,012,000","7,629,000","2,459,000","2,513,000","2,682,000","2,619,000","2,428,000","2,658,000","2,698,000","1,857,000","2,645,000","2,609,000","4,569,000","5,041,000","4,811,000","4,911,000","4,699,000","4,416,000","9,328,000","12,126,000","5,876,467","7,431,887","5,504,767","4,420,225","2,120,822","4,383,332","1,398,334","5,783,334","1,616,394","2,868,675","2,973,770","5,375,440","6,364,224","2,987,741","5,829,496","4,240,304","5,865,071","3,472,338","3,330,255","5,392,335","4,079,999","2,314,126","1,289,271","1"
	OperatingRevenue,"806,431,000","3,002,000","1,350,000","1,022,000","801,057,000","8,648,000","3,573,000","3,994,000","1,755,000","273,000","7,948,000","6,492,000","6,624,000","85,374,000","19,242,000","9,512,000","9,847,000","7,751,000","9,138,000","9,181,000","12,256,000","9,191,000","8,164,000","12,801,000","6,814,000","6,516,000","3,578,000","68,927,000","2,373,000","1,936,000","1,485,000","21,977,000","2,189,000","2,076,000","3,459,000","3,259,000","3,925,000","4,012,000","7,629,000","2,459,000","2,513,000","2,682,000","2,619,000","2,428,000","2,658,000","2,698,000","1,857,000","2,645,000","2,609,000","4,569,000","5,041,000","4,811,000","4,911,000","4,699,000","4,416,000","9,328,000","12,126,000","5,876,467","7,431,887","5,504,767","4,420,225","2,120,822","4,383,332","1,398,334","5,783,334","1,616,394","2,868,675","2,973,770","5,375,440","6,364,224","2,987,741","5,829,496","4,240,304","5,865,071","3,472,338","3,330,255","5,392,335","4,079,999","2,314,126","1,289,271","1"
CostOfRevenue,,,,,,,,,,,"2,961,000","2,571,000","3,451,000","6,304,000","2,812,000","2,609,000","3,616,000","3,248,000","3,219,000","3,115,000","3,593,000","2,586,000","1,836,000","2,010,000","1,327,000","1,380,000","1,092,000","1,590,000","2,118,000","832,000","1,396,000","652,000","791,000","1,885,000","1,557,000","2,277,000","2,381,000","2,105,000","1,814,000","1,630,000","1,865,000","1,834,000","1,705,000","1,643,000","1,354,000","2,153,000","1,743,000","2,290,000","2,330,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,599","213,508","1,419,565","165,963"
GrossProfit,,,,,,,,,,,"4,987,000","3,921,000","3,173,000","79,070,000","16,430,000","6,903,000","6,231,000","4,503,000","5,919,000","6,066,000","8,663,000","6,605,000","6,328,000","10,791,000","5,487,000","5,136,000","2,486,000","67,337,000","255,000","1,104,000","89,000","21,325,000","1,398,000","191,000","1,902,000","982,000","1,544,000","1,907,000","5,815,000","829,000","648,000","848,000","914,000","785,000","1,304,000","545,000","114,000","355,000","279,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,305,598","2,527,634","-130,294","165,964"
OperatingExpense,"323,669,000","96,832,000","80,657,000","69,611,000","76,569,000","53,290,000","39,611,000","37,155,000","32,773,000","27,348,000","25,107,000","25,122,000","23,711,000","19,111,000","26,066,000","27,046,000","25,402,000","29,870,000","31,072,000","33,001,000","30,368,000","36,726,000","32,508,000","36,125,000","28,988,000","27,140,000","22,392,000","27,428,000","21,308,000","21,358,000","19,179,000","19,465,000","21,001,000","18,520,000","21,204,000","20,966,000","23,261,000","24,338,000","27,558,000","27,793,000","25,865,000","29,496,000","28,152,000","30,438,000","50,828,000","60,487,000","53,979,000","63,947,000","-58,861,000","47,997,000","40,489,000","48,084,000","-36,151,000","43,707,000","27,012,000","26,190,000","26,482,000","25,894,321","23,851,235","22,524,993","22,098,384","19,420,897","17,202,273","17,596,106","17,250,149","16,736,629","15,722,265","16,447,166","15,390,574","16,145,875","14,712,790","13,139,872","11,750,671","10,269,477","9,149,640","8,030,076","6,326,073","6,109,047","5,602,609","3,177,301","3,398,628"
	SellingGeneralAndAdministration,"77,600,000","22,200,000","20,400,000","18,400,000","16,600,000","15,400,000","10,800,000","10,400,000","11,200,000","7,100,000","7,800,000","7,200,000","8,200,000","7,200,000","8,600,000","8,500,000","6,900,000","9,700,000","9,000,000","8,800,000","8,400,000","8,900,000","8,000,000","9,100,000","8,000,000","8,100,000","7,800,000","8,600,000","7,300,000","7,237,000","7,392,000","5,216,000","6,355,000","5,252,000","6,029,000","6,077,000","6,890,000","7,300,000","6,862,000","6,760,000","7,014,000","6,522,000","5,423,000","5,660,000","7,642,000","8,597,000","5,924,000","7,153,000","8,861,000","6,923,000","7,885,000","6,840,000","4,923,000","5,228,000","3,900,000","3,730,000","5,608,000","4,669,407","2,558,556","2,921,114","2,730,501","2,839,056","2,639,117","2,424,919","2,546,189","2,526,921","2,059,818","2,081,980","1,885,191","2,035,225","1,842,302","1,851,731","1,769,753","1,570,111","1,462,779","1,331,573","1,025,983","959,097","800,383","495,672","423,828"
		GeneralAndAdministrativeExpense,"77,600,000","22,200,000","20,400,000","18,400,000","16,600,000","15,400,000","10,800,000","10,400,000","11,200,000","7,100,000","7,800,000","7,200,000","8,200,000","7,200,000","8,600,000","8,500,000","6,900,000","9,700,000","9,000,000","8,800,000","8,400,000","8,900,000","8,000,000","9,100,000","8,000,000","8,100,000","7,800,000","8,600,000","7,300,000","7,263,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"46,500,000","12,700,000","11,900,000","11,300,000","10,500,000","6,200,000","5,900,000","5,700,000","6,700,000","3,600,000","4,000,000","3,800,000","4,100,000","3,200,000","4,000,000","4,700,000","3,900,000","5,800,000","4,800,000","5,500,000","5,100,000","5,000,000","4,800,000","5,100,000","4,500,000","4,400,000","4,000,000","4,200,000","3,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"31,100,000","9,500,000","8,500,000","7,100,000","6,100,000","9,200,000","4,900,000","4,700,000","4,500,000","3,500,000","3,800,000","3,400,000","4,100,000","4,000,000","4,600,000","3,800,000","3,000,000","3,900,000","4,200,000","3,300,000","3,300,000","3,900,000","3,200,000","4,000,000","3,500,000","3,700,000","3,800,000","4,400,000","3,800,000","7,263,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"231,496,000","74,632,000","60,257,000","51,211,000","45,396,000","37,890,000","28,811,000","26,755,000","21,573,000","20,248,000","17,307,000","17,922,000","15,511,000","11,911,000","17,466,000","18,546,000","18,502,000","20,170,000","22,072,000","24,201,000","21,968,000","27,826,000","24,508,000","27,025,000","20,988,000","19,040,000","14,592,000","18,828,000","14,008,000","13,947,000","11,619,000","14,076,000","14,470,000","13,090,000","14,978,000","14,703,000","15,935,000","16,488,000","20,155,000","20,502,000","18,314,000","21,187,000","22,147,000","24,205,000","42,620,000","52,729,000","47,670,000","56,410,000","47,565,000","40,690,000","32,219,000","40,860,000","35,755,000","38,095,000","22,727,000","22,076,000","20,490,000","20,753,150","20,820,915","19,130,659","18,809,296","15,674,128","13,874,772","14,382,211","13,798,027","13,123,107","12,565,001","13,131,197","12,066,112","13,260,823","12,001,252","10,296,001","8,841,060","7,488,427","6,230,959","5,241,523","3,903,341","3,533,857","3,465,360","2,681,629","2,399,358"
