name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"57,515,881,000","56,181,821,000","56,614,103,000","29,216,091,000","26,125,884,000","23,924,521,000","21,416,494,000","19,109,238,000","18,803,270,000","18,213,915,000","16,695,708,000","16,676,081,000","16,676,081,000","14,941,401,000","14,063,422,000","13,054,530,000","11,982,254,000","11,283,434,000","11,125,165,000","10,260,286,198.43"
	CurrentAssets,"7,845,856,000","6,000,912,000","5,787,862,000","4,233,018,000","2,985,529,000","3,903,916,000","2,554,114,000","3,164,783,000","2,813,207,000","2,669,488,000","2,083,163,000","2,533,610,000","2,533,610,000","1,640,690,000","1,858,598,000","1,435,077,000","1,021,776,000","722,747,000","1,069,169,000","673,596,387.12"
		CashCashEquivalentsAndShortTermInvestments,"6,192,679,000","4,584,507,000","4,677,454,000","3,497,635,000","2,084,160,000","2,855,362,000","1,259,562,000","2,265,427,000","1,529,667,000","1,442,879,000","961,404,000","1,925,697,000","1,925,697,000","1,241,678,000","1,538,012,712.3","1,163,835,976","711,014,519.25","500,461,728","879,836,765.5","559,447,050.72"
			CashAndCashEquivalents,"6,192,679,000","4,584,507,000","4,677,454,000","3,497,635,000","2,084,160,000","2,855,362,000","1,259,562,000","2,265,427,000","1,529,667,000","1,442,879,000","961,404,000","1,925,697,000","1,925,697,000","1,241,678,000","1,538,012,712.3","1,163,835,976","711,014,519.25","500,461,728","879,836,765.5","559,447,050.72"
				CashFinancial,"3,642,037,000","3,713,072,000","4,417,791,000","3,142,810,000","1,439,800,000","2,026,260,000","746,723,000","1,180,814,000",,,,,,,,,,,,
				CashEquivalents,"2,550,642,000","871,435,000","259,663,000","354,825,000","644,360,000","829,102,000","512,839,000","1,084,613,000",,,,,,,,,,,,
		Receivables,"1,233,823,000","1,138,840,000","768,393,000","576,610,000","664,095,000","963,864,000","1,217,315,000","814,239,000","462,102,000","1,226,609,000","375,165,000","607,913,000","279,415,000","399,012,000","162,814,000","212,296,000","170,489,000","166,214,000","129,353,000","95,335,834.66"
			AccountsReceivable,"1,003,793,000","793,110,000","685,502,000","464,872,000","419,615,000","449,808,000","467,410,000","444,238,000","462,102,000","389,960,000","375,165,000","279,415,000","279,416,994.3","235,541,000","163,287,927.5","212,296,000","170,489,000","166,214,000","129,353,000","95,335,834.66"
				GrossAccountsReceivable,"1,195,559,000","991,033,000","858,900,000","592,583,000","547,836,000","579,993,000","609,107,000","583,101,000","593,208,000",,,"280,350,000",,"235,830,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-191,766,000","-197,923,000","-173,398,000","-127,711,000","-128,221,000","-130,185,000","-141,697,000","-138,863,000","-131,106,000",,,"-935,000",,"-289,000",,,,,,
			TaxesReceivable,"230,030,000","345,730,000","82,891,000","111,738,000","244,480,000","514,056,000","749,905,000","370,001,000","850,924,000","836,649,000",,"328,498,000",,"163,471,000",,,,,,
			OtherReceivables,,,,,,,,,,,,,"-1,994.3",,"-473,927.5",,,,,
		Inventory,"49,667,000","48,704,000","50,239,000","24,392,000","22,557,000","18,658,000",,,,,,,,,,,,,,
		RestrictedCash,"165,622,000","47,332,000","106,350,000",,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"821,438,000",,"746,594,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"821,438,000",,"746,594,000",,,,,,,,,
		OtherCurrentAssets,"204,065,000","181,529,000","185,426,000","134,381,000","214,717,000","66,032,000","77,237,000","85,117,000",,,"792,663,000",,"328,498,000",,"157,771,287.7","58,945,024","140,272,480.75","56,071,272","59,979,234.5","18,813,501.74"
