name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"19,155,865,000","15,756,201,000","12,294,975,000","9,392,026,000","7,530,076,000","5,278,515,000","3,512,950,000","2,379,673,000","2,043,005,000"
	CurrentAssets,"16,358,382,000","13,141,317,000","10,258,586,000","7,531,760,000","5,742,475,000","3,640,766,000","1,899,265,000","786,192,000","451,823,000"
		CashCashEquivalentsAndShortTermInvestments,"12,795,110,000","10,061,458,000","8,154,224,000","5,724,002,000","4,107,962,000","2,772,191,000","1,138,613,000","420,576,000","213,705,000"
			CashAndCashEquivalents,"1,988,298,000","211,970,000","911,588,000","3,293,911,000","2,152,647,000","1,054,416,000","1,138,613,000","420,576,000","213,705,000"
			OtherShortTermInvestments,"10,806,812,000","9,849,488,000","7,242,636,000","2,430,091,000","1,955,315,000","1,717,775,000",,,
		Receivables,"3,323,094,000","2,879,288,000","1,959,631,000","1,277,126,000","1,126,339,000","765,208,000","468,258,000","327,007,000","207,797,000"
			AccountsReceivable,"3,231,486,000","2,795,835,000","1,893,737,000","1,205,924,000","1,075,456,000","736,695,000","465,712,000","326,071,000","203,102,000"
				GrossAccountsReceivable,"3,265,475,000","2,799,424,000","1,895,145,000","1,206,436,000","1,077,771,000","737,030,000","466,965,000","327,232,000","203,473,000"
				AllowanceForDoubtfulAccountsReceivable,"-33,989,000","-3,589,000","-1,408,000","-512,000","-2,315,000","-335,000","-1,253,000","-1,161,000","-371,000"
			AccruedInterestReceivable,"18,269,000","8,030,000","3,462,000","11,690,000","9,944,000","12,040,000",,,
			DuefromRelatedPartiesCurrent,"29,501,000","34,047,000","24,502,000","20,451,000","1,645,000",,,,
			OtherReceivables,"43,838,000","41,376,000","37,930,000","39,061,000","39,294,000","16,473,000","2,546,000","936,000","4,695,000"
		Inventory,,,"0","95,617,000","111,667,000",,,,
			FinishedGoods,,,"0","104,818,000","111,667,000",,,,
