name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
TotalAssets,"19,155,865,000","17,627,549,000","16,951,604,000","16,406,647,000","15,756,201,000","13,715,777,000","12,685,318,000","12,107,216,000","12,294,975,000","10,778,202,000","10,022,435,000","9,619,606,000","9,392,026,000","9,114,029,000","8,673,159,000","7,725,505,000","7,530,076,000","6,217,271,000","5,837,238,000","5,613,885,000","5,278,515,000","4,001,261,000","3,776,015,000","3,473,778,000","3,512,950,000","2,611,287,000","2,379,673,000"
	CurrentAssets,"16,358,382,000","14,742,433,000","14,141,827,000","13,653,776,000","13,141,317,000","11,059,996,000","10,010,844,000","10,096,701,000","10,258,586,000","8,709,932,000","8,000,935,000","7,633,847,000","7,531,760,000","7,288,737,000","6,869,856,000","5,933,391,000","5,742,475,000","4,506,566,000","4,160,234,000","3,980,295,000","3,640,766,000","2,375,796,000","2,159,030,000","1,854,935,000","1,899,265,000","1,006,107,000","786,192,000"
		CashCashEquivalentsAndShortTermInvestments,"12,795,110,000","11,177,584,000","10,831,256,000","10,476,382,000","10,061,458,000","8,345,850,000","7,685,005,000","7,963,618,000","8,154,224,000","6,884,242,000","6,286,824,000","6,189,858,000","5,724,002,000","4,208,096,000","3,818,853,000","4,244,527,000","4,107,962,000","3,499,283,000","3,214,501,000","3,059,168,000","2,772,191,000","1,710,144,000","1,571,155,000","1,403,345,000","1,138,613,000","437,442,000","420,576,000"
			CashAndCashEquivalents,"1,988,298,000","727,928,000","1,606,520,000","868,769,000","211,970,000","483,106,000","462,679,000","833,897,000","911,588,000","1,286,027,000","808,356,000","1,594,285,000","3,293,911,000","1,883,828,000","1,963,266,000","2,232,265,000","2,152,647,000","1,473,915,000","1,460,528,000","1,081,698,000","1,054,416,000","798,155,000","1,185,026,000","1,353,355,000","1,138,613,000","437,442,000","420,576,000"
			OtherShortTermInvestments,"10,806,812,000","10,449,656,000","9,224,736,000","9,607,613,000","9,849,488,000","7,862,744,000","7,222,326,000","7,129,721,000","7,242,636,000","5,598,215,000","5,478,468,000","4,595,573,000","2,430,091,000","2,324,268,000","1,855,587,000","2,012,262,000","1,955,315,000","2,025,368,000","1,753,973,000","1,977,470,000","1,717,775,000","911,989,000","386,129,000","49,990,000",,,
		Receivables,"3,323,094,000","3,252,475,000","2,974,326,000","2,693,927,000","2,879,288,000","2,347,738,000","2,102,365,000","1,772,951,000","1,959,631,000","1,636,027,000","1,391,656,000","1,081,611,000","1,277,126,000","1,047,423,000","948,532,000","960,039,000","1,126,339,000","870,238,000","807,072,000","706,874,000","765,208,000","610,542,000","499,139,000","380,457,000","468,258,000","525,904,000","327,007,000"
			AccountsReceivable,"3,231,486,000","3,217,999,000","2,930,444,000","2,649,263,000","2,795,835,000","2,330,751,000","1,977,058,000","1,726,995,000","1,893,737,000","1,619,015,000","1,380,090,000","1,069,565,000","1,205,924,000","1,030,847,000","942,000,000","955,076,000","1,075,456,000","870,238,000","807,072,000","706,874,000","736,695,000","610,542,000","499,139,000","380,457,000","465,712,000","525,904,000","326,071,000"
				GrossAccountsReceivable,"3,265,475,000",,,,"2,799,424,000",,,,"1,895,145,000",,,,"1,206,436,000",,,,"1,077,771,000",,,,"737,030,000",,,,"466,965,000","528,452,000","327,232,000"
				AllowanceForDoubtfulAccountsReceivable,"-33,989,000",,,,"-3,589,000",,,,"-1,408,000",,,,"-512,000",,,,"-2,315,000",,,,"-335,000",,,,"-1,253,000","-2,548,000","-1,161,000"
			AccruedInterestReceivable,"18,269,000",,,,"8,030,000",,,,"3,462,000",,,,"11,690,000",,,,"9,944,000",,,,"12,040,000",,,,,,
			DuefromRelatedPartiesCurrent,"29,501,000","34,476,000","43,882,000","44,664,000","34,047,000","16,987,000","125,307,000","45,956,000","24,502,000","17,012,000","11,566,000","12,046,000","20,451,000","16,576,000","6,532,000","4,963,000","1,645,000",,,,,,,,,,
			OtherReceivables,"43,838,000",,,,"41,376,000",,,,"37,930,000",,,,"39,061,000",,,,"39,294,000",,,,"16,473,000",,,,"2,546,000",,"936,000"
		Inventory,,,,,,,,,"0","5,402,000","1,422,000","32,880,000","95,617,000","182,916,000","196,688,000","216,905,000","111,667,000",,,,,,,,,,
			FinishedGoods,,,,,,,,,"0",,,,"104,818,000",,,,"111,667,000",,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,"0",,,,"-9,201,000",,,,,,,,,,,,,,
