name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalAssets,"1,493,300,000","1,873,500,000","1,873,500,000","1,758,000,000","2,691,900,000","2,606,200,000","2,916,600,000","2,854,300,000","2,994,700,000","2,922,400,000","3,302,600,000","3,351,800,000","4,649,900,000","4,170,700,000","4,606,000,000","4,609,400,000","4,647,800,000","4,504,800,000","4,034,400,000","3,874,600,000","4,164,500,000","4,273,200,000","2,375,500,000","2,135,600,000","2,149,800,000","2,232,500,000","1,844,800,000","1,922,300,000","2,109,400,000","2,105,400,000","1,992,300,000","2,057,800,000","1,574,900,000","1,277,500,000"
	CurrentAssets,"244,400,000","752,800,000","648,900,000","406,200,000","880,800,000","811,500,000","884,000,000","1,019,900,000","1,209,300,000","1,020,700,000","1,331,600,000","1,261,500,000","1,501,000,000","1,371,400,000","1,561,300,000","1,482,200,000","1,358,800,000","1,255,900,000","1,114,300,000","944,000,000","1,029,900,000","1,121,100,000","600,000,000","564,500,000","722,700,000","691,000,000",,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"45,300,000","325,700,000","159,600,000","142,300,000","244,800,000","185,300,000","135,200,000","336,700,000","480,600,000","315,800,000","569,500,000","355,000,000","514,300,000","252,500,000","602,200,000","515,900,000","484,300,000","380,000,000","277,400,000","156,500,000","35,600,000","38,200,000","57,900,000","65,400,000","256,900,000","12,000,000",,,,,,,,
			CashAndCashEquivalents,"45,300,000","325,700,000","159,600,000","141,900,000","244,800,000","185,300,000","135,200,000","336,400,000","480,600,000","315,800,000","569,500,000","355,000,000","514,300,000","252,500,000","602,200,000","515,900,000","484,300,000","380,000,000","277,400,000","156,500,000","35,600,000","38,200,000","57,900,000","65,400,000","256,900,000","12,000,000",,,,,,,,
			OtherShortTermInvestments,,,,"400,000",,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"115,100,000","81,600,000","121,500,000","134,500,000","195,400,000","200,500,000","239,600,000","221,500,000","255,900,000","250,200,000","245,600,000","269,900,000","336,500,000","403,300,000","347,000,000","343,100,000","315,400,000","332,400,000","316,500,000","316,500,000","436,000,000","440,400,000","252,600,000","216,700,000","217,900,000","320,000,000",,,,,,,,
			AccountsReceivable,"82,400,000","70,400,000","62,800,000","106,900,000","198,800,000","209,700,000","242,700,000","228,100,000","263,300,000","265,100,000","269,300,000","287,100,000","289,000,000","296,300,000","328,800,000","336,100,000","315,400,000",,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,"2,000,000","2,500,000","6,700,000","7,600,000","7,400,000",,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,"1,500,000","1,500,000","1,300,000","1,600,000","4,500,000","1,700,000",,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"30,000,000","1,700,000","30,700,000","26,200,000","11,100,000","5,300,000","17,400,000","16,900,000","23,400,000","20,700,000","16,500,000","22,000,000",,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"5,000,000","11,500,000","29,900,000","6,000,000","8,200,000","9,300,000","5,900,000","7,600,000","7,900,000","5,500,000","5,600,000","8,600,000","39,900,000","99,600,000","18,200,000","7,000,000",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-2,300,000","-2,000,000","-1,900,000","-6,100,000","-24,200,000","-25,100,000","-28,000,000","-35,600,000","-40,400,000","-43,100,000","-48,300,000","-54,500,000",,,,,,,,,,,,,,,,,,,,,,
		Inventory,"68,500,000","61,200,000","53,800,000","109,000,000","344,200,000","335,500,000","381,700,000","369,800,000","388,900,000","398,500,000","445,000,000","544,000,000","543,500,000","521,700,000","514,500,000","529,200,000","454,400,000","443,400,000","443,100,000","340,200,000","429,700,000","465,100,000","220,100,000","205,700,000","195,500,000","293,500,000",,,,,,,,
			RawMaterials,"35,000,000","27,800,000","26,100,000","32,400,000","138,200,000","133,900,000","118,600,000","107,800,000","118,100,000","119,900,000","134,400,000","152,700,000","160,700,000","163,200,000","194,400,000","206,900,000","165,300,000",,,,,,,,,,,,,,,,,
			WorkInProcess,"4,000,000","4,400,000","2,700,000","3,300,000","25,200,000","23,000,000","29,200,000","27,600,000","25,700,000","26,700,000","36,200,000","39,600,000","39,700,000","37,000,000","44,600,000","49,300,000","40,600,000",,,,,,,,,,,,,,,,,
			FinishedGoods,"40,200,000","38,800,000","33,200,000","80,500,000","202,000,000","243,200,000","292,800,000","265,900,000","271,500,000","277,700,000","281,000,000","371,200,000","355,700,000","330,000,000","339,100,000","362,900,000","330,700,000",,,,,,,,,,,,,,,,,
