name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalRevenue,"1,044,700,000","1,038,100,000","975,300,000","893,600,000","1,234,500,000","2,420,000,000","2,515,300,000","2,719,900,000","2,618,900,000","2,859,500,000","2,766,400,000","2,780,000,000","3,393,000,000","3,549,700,000","817,300,000","3,558,400,000","3,497,300,000","3,259,000,000","3,172,300,000","3,135,400,000","3,003,800,000","3,443,800,000","2,746,200,000","2,198,700,000","2,156,400,000","2,084,900,000","2,752,700,000","1,865,000,000","1,912,000,000","1,828,700,000","1,865,300,000","1,832,700,000","1,790,700,000","1,608,700,000","1,295,000,000"
	OperatingRevenue,"1,044,700,000","1,038,100,000","975,300,000","893,600,000","1,234,500,000","2,420,000,000","2,515,300,000","2,719,900,000","2,618,900,000","2,859,500,000","2,766,400,000","2,780,000,000","3,393,000,000","3,549,700,000","817,300,000","3,558,400,000","3,497,300,000","3,259,000,000","3,172,300,000","3,135,400,000","3,003,800,000","3,443,800,000","2,746,200,000","2,198,700,000","2,156,400,000","2,084,900,000","2,752,700,000","1,865,000,000","1,912,000,000","1,828,700,000","1,865,300,000","1,832,700,000","1,790,700,000","1,608,700,000","1,295,000,000"
CostOfRevenue,"649,700,000","643,000,000","641,800,000","569,800,000","863,300,000","1,817,200,000","1,932,000,000","2,097,200,000","1,985,700,000","2,187,900,000","2,154,600,000","2,159,000,000","2,632,000,000","2,685,300,000","660,400,000","2,821,100,000","2,811,000,000","2,597,400,000","2,404,500,000","2,361,800,000","2,197,700,000","2,290,300,000","1,838,600,000","1,461,700,000","1,459,900,000","1,409,700,000","1,904,700,000","1,286,500,000","1,378,400,000","1,316,600,000","1,315,500,000","1,273,300,000","1,253,700,000","1,112,000,000","889,200,000"
GrossProfit,"395,000,000","395,100,000","333,500,000","323,800,000","371,200,000","602,800,000","583,300,000","622,700,000","633,200,000","671,600,000","611,800,000","621,000,000","761,000,000","864,400,000","156,900,000","737,300,000","686,300,000","661,600,000","767,800,000","773,600,000","806,100,000","1,153,500,000","907,600,000","737,000,000","696,500,000","675,200,000","848,000,000","578,500,000","533,600,000","512,100,000","549,800,000","559,400,000","537,000,000","496,700,000","405,800,000"
OperatingExpense,"153,500,000","174,300,000","159,000,000","135,700,000","225,200,000","447,200,000","398,500,000","443,700,000","418,300,000","423,400,000","486,300,000","512,400,000","523,900,000","568,200,000","138,700,000","615,000,000","698,500,000","654,000,000","626,800,000","628,000,000","588,200,000","709,900,000","607,300,000","385,300,000","413,200,000","397,100,000","514,800,000","347,800,000","296,900,000","341,100,000","340,600,000","303,800,000","309,000,000","288,800,000","240,300,000"
	SellingGeneralAndAdministration,"153,500,000","174,300,000","159,000,000","135,700,000","225,200,000","447,200,000","398,500,000","443,700,000","418,300,000","478,300,000","531,300,000","552,400,000","579,900,000","613,500,000","144,000,000","654,300,000","633,400,000","603,100,000","624,900,000","596,200,000","546,300,000","683,000,000","522,000,000","385,300,000","413,200,000","397,100,000","514,800,000","347,800,000","296,900,000","341,100,000","340,600,000","303,800,000","309,000,000","288,800,000","240,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,"0","22,800,000","23,900,000","25,500,000","10,700,000",,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,"0","22,800,000","23,900,000","25,500,000","10,700,000",,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,"0","22,800,000","23,900,000","25,500,000","10,700,000",,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,"0","22,800,000","23,900,000","25,500,000","10,700,000",,,,,,,,,,,,
