name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,808,800,000","2,071,700,000","2,252,300,000","2,222,200,000","2,262,600,000","2,108,500,000","2,119,100,000","2,179,000,000","2,137,900,000","1,964,200,000","2,013,800,000","2,016,400,000","2,001,400,000","1,895,800,000","1,894,600,000","1,956,300,000","1,955,700,000","1,816,200,000","1,835,800,000","1,489,200,000","1,480,400,000","1,385,100,000","1,669,100,000","1,666,600,000","1,586,000,000","1,523,800,000","1,598,500,000","1,557,600,000","1,579,500,000","1,490,900,000","1,544,400,000","1,609,000,000","1,577,000,000","1,522,700,000","1,499,000,000","1,611,800,000","1,612,800,000","1,517,500,000","1,434,400,000","1,397,900,000","1,367,200,000","1,272,600,000","1,217,600,000","1,273,000,000","1,220,600,000","1,271,200,000","1,458,600,000","1,589,600,000","1,616,800,000","1,471,600,000","1,491,500,000","1,521,200,000","1,511,500,000","1,328,700,000","1,297,800,000","1,330,500,000","1,239,800,000","1,070,500,000","1,025,600,000","1,009,200,000","936,100,000","876,500,000","848,300,000","849,600,000","813,100,000","764,200,000","664,800,000","653,400,000","644,800,000","662,200,000","661,800,000","626,300,000","617,300,000","614,700,000","662,600,000","761,500,000","839,800,000","880,000,000","907,900,000","955,900,000","905,500,000","745,100,000","706,000,000","710,400,000","658,500,000","595,100,000","12,100,000","804,500,000","783,400,000","748,500,000","737,400,000","726,500,000","682,600,000","658,700,000","664,600,000","631,500,000","611,800,000","567,400,000","578,800,000","571,100,000","542,000,000","502,900,000","490,600,000","456,300,000","422,900,000","538,800,000","508,500,000","492,700,000","476,500,000","431,500,000","338,500,000","448,400,000","449,700,000","445,500,000","434,700,000","431,900,000","475,600,000","437,700,000","270,400,000","566,700,000","576,400,000","563,000,000","550,100,000","543,000,000","538,200,000","489,800,000","459,500,000","419,900,000","392,800,000","371,400,000","350,100,000","340,900,000","321,600,000","261,400,000","70,800,000","81,200,000","71,600,000","65,100,000","52,300,000","48,400,000"
	OperatingRevenue,"8,808,800,000","2,071,700,000","2,252,300,000","2,222,200,000","2,262,600,000","2,108,500,000","2,119,100,000","2,179,000,000","2,137,900,000","1,964,200,000","2,013,800,000","2,016,400,000","2,001,400,000","1,895,800,000","1,894,600,000","1,956,300,000","1,955,700,000","1,816,200,000","1,835,800,000","1,489,200,000","1,480,400,000","1,385,100,000","1,669,100,000","1,666,600,000","1,586,000,000","1,523,800,000","1,598,500,000","1,557,600,000","1,579,500,000","1,490,900,000","1,544,400,000","1,609,000,000","1,577,000,000","1,522,700,000","1,499,000,000","1,611,800,000","1,612,800,000","1,517,500,000","1,434,400,000","1,397,900,000","1,367,200,000","1,272,600,000","1,217,600,000","1,273,000,000","1,220,600,000","1,271,200,000","1,458,600,000","1,589,600,000","1,616,800,000","1,471,600,000","1,491,500,000","1,521,200,000","1,511,500,000","1,328,700,000","1,297,800,000","1,330,500,000","1,239,800,000","1,070,500,000","1,025,600,000","1,009,200,000","936,100,000","876,500,000","848,300,000","849,600,000","813,100,000","764,200,000","664,800,000","653,400,000","644,800,000","662,200,000","661,800,000","626,300,000","617,300,000","614,700,000","662,600,000","761,500,000","839,800,000","880,000,000","907,900,000","955,900,000","905,500,000","745,100,000","706,000,000","710,400,000","658,500,000","595,100,000","12,100,000","804,500,000","783,400,000","748,500,000","737,400,000","726,500,000","682,600,000","658,700,000","664,600,000","631,500,000","611,800,000","567,400,000","578,800,000","571,100,000","542,000,000","502,900,000","490,600,000","456,300,000","422,900,000","538,800,000","508,500,000","492,700,000","476,500,000","431,500,000","338,500,000","448,400,000","449,700,000","445,500,000","434,700,000","431,900,000","475,600,000","437,700,000","270,400,000","566,700,000","576,400,000","563,000,000","550,100,000","543,000,000","538,200,000","489,800,000","459,500,000","419,900,000","392,800,000","371,400,000","350,100,000","340,900,000","321,600,000","261,400,000","70,800,000","81,200,000","71,600,000","65,100,000","52,300,000","48,400,000"
CostOfRevenue,"7,035,500,000","1,655,300,000","1,791,800,000","1,775,800,000","1,812,600,000","1,689,600,000","1,689,100,000","1,754,900,000","1,718,800,000","1,579,400,000","1,615,400,000","1,619,200,000","1,605,700,000","1,516,100,000","1,507,500,000","1,559,600,000","1,562,300,000","1,445,400,000","1,464,400,000","1,158,300,000","1,151,500,000","1,075,800,000","1,295,800,000","1,288,000,000","1,223,100,000","1,170,200,000","1,227,100,000","1,200,600,000","1,223,400,000","1,152,700,000","1,201,500,000","1,250,300,000","1,219,100,000","1,173,500,000","1,150,300,000","1,249,800,000","1,239,500,000","1,164,800,000","1,100,600,000","1,073,200,000","1,054,200,000","982,900,000","945,000,000","984,800,000","944,100,000","977,900,000","1,121,100,000","1,216,900,000","1,232,700,000","1,123,100,000","1,126,900,000","1,154,200,000","1,148,200,000","1,010,300,000","983,300,000","1,010,000,000","932,700,000","813,300,000","775,000,000","769,600,000","713,600,000","664,100,000","634,100,000","647,700,000","621,600,000","581,500,000","499,700,000","495,100,000","486,800,000","501,400,000","495,800,000","476,400,000","469,600,000","472,900,000","508,900,000","590,800,000","639,300,000","669,000,000","649,500,000","749,300,000","707,600,000","567,100,000","541,600,000","543,400,000","498,000,000","441,100,000","11,100,000","599,500,000","585,400,000","557,200,000","546,300,000","541,300,000","506,800,000","489,700,000","488,800,000","470,800,000","455,100,000","417,100,000","425,500,000","425,500,000","402,900,000","371,500,000","112,600,000","431,100,000","419,400,000","472,300,000","32,300,000","425,400,000","416,700,000","374,100,000","-115,200,000","387,400,000","401,000,000","381,900,000","-29,700,000","375,900,000","406,400,000","370,600,000","-439,100,000","442,400,000","458,100,000","444,100,000","426,600,000","412,300,000",,,,,,,,,,,,,,,,
GrossProfit,"1,773,300,000","416,400,000","460,500,000","446,400,000","450,000,000","418,900,000","430,000,000","424,100,000","419,100,000","384,800,000","398,400,000","397,200,000","395,700,000","379,700,000","387,100,000","396,700,000","393,400,000","370,800,000","371,400,000","330,900,000","328,900,000","309,300,000","373,300,000","378,600,000","362,900,000","353,600,000","371,400,000","357,000,000","356,100,000","338,200,000","342,900,000","358,700,000","357,900,000","349,200,000","348,700,000","362,000,000","373,300,000","352,700,000","333,800,000","324,700,000","313,000,000","289,700,000","272,600,000","288,200,000","276,500,000","293,300,000","337,500,000","372,700,000","384,100,000","348,500,000","364,600,000","367,000,000","363,300,000","318,400,000","314,500,000","320,500,000","307,100,000","257,200,000","250,600,000","239,600,000","222,500,000","212,400,000","214,200,000","201,900,000","191,500,000","182,700,000","165,100,000","158,300,000","158,000,000","160,800,000","166,000,000","149,900,000","147,700,000","141,800,000","153,700,000","170,700,000","200,500,000","211,000,000","258,400,000","206,600,000","197,900,000","178,000,000","164,400,000","167,000,000","160,500,000","154,000,000","1,000,000","205,000,000","198,000,000","191,300,000","191,100,000","185,200,000","175,800,000","169,000,000","175,800,000","160,700,000","156,700,000","150,300,000","153,300,000","145,600,000","139,100,000","131,400,000","378,000,000","25,200,000","3,500,000","66,500,000","476,200,000","67,300,000","59,800,000","57,400,000","453,700,000","61,000,000","48,700,000","63,600,000","464,400,000","56,000,000","69,200,000","67,100,000","709,500,000","124,300,000","118,300,000","118,900,000","123,500,000","130,700,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,409,000,000","345,000,000","375,100,000","344,600,000","344,300,000","344,300,000","342,700,000","334,600,000","347,800,000","323,200,000","318,000,000","316,200,000","313,000,000","310,700,000","306,100,000","309,400,000","336,700,000","310,500,000","305,600,000","252,700,000","264,400,000","250,000,000","284,500,000","284,600,000","270,500,000","267,900,000","274,100,000","264,600,000","270,300,000","257,200,000","283,000,000","264,200,000","268,000,000","262,500,000","257,100,000","260,300,000","275,500,000","269,600,000","272,200,000","247,200,000","242,900,000","232,700,000","225,700,000","229,800,000","235,200,000","236,400,000","286,800,000","254,800,000","262,300,000","247,000,000","250,200,000","248,800,000","247,200,000","228,000,000","224,100,000","224,400,000","216,100,000","197,600,000","195,900,000","190,700,000","176,300,000","172,800,000","172,800,000","168,000,000","157,800,000","153,700,000","140,000,000","135,000,000","136,700,000","138,200,000","144,400,000","126,800,000","125,200,000","121,300,000","134,600,000","149,000,000","157,300,000","162,000,000","210,000,000","152,700,000","147,900,000","140,500,000","135,300,000","133,800,000","132,000,000","132,000,000","4,600,000","171,700,000","168,500,000","163,500,000","160,300,000","155,900,000","149,900,000","143,900,000","151,600,000","140,200,000","136,400,000","126,900,000","129,500,000","119,300,000","113,400,000","107,600,000","358,500,000","5,300,000","-13,200,000","20,600,000","436,800,000","25,600,000","20,200,000","20,200,000","460,200,000","20,100,000","2,200,000","17,600,000","382,600,000","39,000,000","21,400,000","23,100,000","754,300,000","35,000,000","33,500,000","39,200,000","26,200,000","37,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264,200,000","268,000,000","262,500,000","257,100,000","260,300,000","275,500,000","269,600,000","272,200,000","247,200,000","242,900,000","232,700,000","225,700,000","229,800,000","235,200,000","236,400,000","286,800,000","254,800,000","262,300,000","247,000,000","248,100,000","246,800,000","245,300,000","226,100,000","222,600,000","223,200,000","215,000,000","196,700,000","195,000,000","189,900,000","175,500,000","172,100,000","172,200,000","165,400,000","157,100,000","153,100,000","139,400,000","134,600,000","136,400,000","137,800,000","144,000,000","126,800,000","125,200,000","121,300,000","132,300,000","146,800,000","155,000,000","160,000,000","202,900,000","145,800,000","141,200,000","133,800,000","129,300,000","126,900,000","125,500,000","125,400,000","2,100,000","163,000,000","160,700,000","155,700,000","152,300,000","147,800,000","141,900,000","136,100,000","144,400,000","133,200,000","129,700,000","120,900,000","123,300,000","114,100,000","108,900,000","101,800,000","354,000,000","1,500,000",,,"415,700,000","5,300,000","5,300,000",,"438,400,000","2,100,000","2,200,000",,"365,400,000","29,400,000",,"2,100,000","765,300,000","2,800,000","2,700,000","2,700,000",,"2,500,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000","2,000,000","1,900,000","1,900,000","1,500,000","1,200,000","1,100,000","900,000","900,000","800,000","800,000","700,000","600,000","800,000","700,000","600,000","600,000","400,000","300,000","400,000",,,,,"2,300,000","2,200,000","2,300,000","2,000,000","7,100,000","6,900,000","6,700,000","6,700,000","6,000,000","6,900,000","6,500,000","6,600,000","2,500,000","8,700,000","7,800,000","7,800,000","8,000,000","8,100,000","8,000,000","7,800,000","7,200,000","7,000,000","6,700,000","6,000,000","6,200,000","5,200,000","4,500,000","5,800,000","4,500,000","3,800,000","13,200,000","20,600,000","21,100,000","20,300,000","14,900,000","20,200,000","21,800,000","18,000,000",,"17,600,000","17,200,000","9,600,000","21,400,000","21,000,000","-11,000,000","32,200,000","30,800,000","36,500,000","33,300,000","35,400,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000","2,000,000","1,900,000","1,900,000","1,500,000","1,200,000","1,100,000","900,000","900,000","800,000","800,000","700,000","600,000","800,000","700,000","600,000","600,000","400,000","300,000","400,000",,,,,"2,300,000","2,200,000","2,300,000","2,000,000","7,100,000","6,900,000","6,700,000","6,700,000","6,000,000","6,900,000","6,500,000","6,600,000","2,500,000","8,700,000","7,800,000","7,800,000","8,000,000","8,100,000","8,000,000","7,800,000","7,200,000","7,000,000","6,700,000","6,000,000","6,200,000","5,200,000","4,500,000","5,800,000","4,500,000","3,800,000","13,200,000","20,600,000","21,100,000","20,300,000","14,900,000","20,200,000","21,800,000","18,000,000",,"17,600,000","17,200,000","9,600,000","21,400,000","21,000,000","-11,000,000","32,200,000","30,800,000","36,500,000","33,300,000","35,400,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000","2,000,000","1,900,000","1,900,000","1,500,000","1,200,000","1,100,000","900,000","900,000","800,000","800,000","700,000","600,000","800,000","700,000","600,000","600,000","400,000","300,000","400,000",,,,,"2,300,000","2,200,000","2,300,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000","2,000,000","1,900,000","1,900,000","1,500,000","1,200,000","1,100,000","900,000","900,000","800,000","800,000","700,000","600,000","800,000","700,000","600,000","600,000","400,000","300,000","400,000",,,,,"2,300,000","2,200,000","2,300,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
