name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"198,321,000,000","188,602,000,000","181,159,000,000","158,893,000,000","161,184,000,000","159,103,000,000","153,375,000,000","153,140,000,000","153,337,000,000","147,042,000,000","124,088,000,000","126,074,000,000","149,830,000,000","127,853,000,000","113,960,000,000","192,638,000,000","175,001,000,000","157,253,000,000","151,100,000,000","154,423,000,000","148,517,000,000","126,933,000,000","120,003,000,000","108,512,000,000","107,405,000,000","97,006,000,000","94,132,000,000","175,752,000,000","146,441,000,000","137,682,000,000","130,855,000,000"
	CashCashEquivalentsAndFederalFundsSold,"23,932,000,000","27,808,000,000","33,263,000,000","25,494,000,000","23,239,000,000","22,672,000,000","19,972,000,000","22,818,000,000","24,893,000,000","16,709,000,000","15,542,000,000","8,366,000,000","11,737,000,000","7,956,000,000","7,126,000,000","9,907,000,000","5,726,000,000","10,288,000,000","7,222,000,000","8,487,000,000","7,471,000,000","4,092,000,000","4,179,000,000","2,677,000,000","3,200,000,000","3,433,000,000","3,312,000,000","32,467,000,000","20,562,000,000","12,248,000,000","20,643,000,000"
		CashAndCashEquivalents,"23,932,000,000","27,445,000,000","32,927,000,000","25,208,000,000","22,762,000,000","22,288,000,000","19,486,000,000","22,250,000,000","24,893,000,000","16,709,000,000","11,478,000,000","8,128,000,000","11,737,000,000","7,956,000,000","7,126,000,000","9,907,000,000","5,726,000,000","10,288,000,000","7,222,000,000","8,487,000,000","7,471,000,000","4,092,000,000","4,179,000,000","2,677,000,000","3,200,000,000","3,433,000,000","3,312,000,000","5,395,000,000","4,876,000,000","6,400,000,000","7,452,000,000"
			CashFinancial,"3,402,000,000","3,253,000,000","5,148,000,000","3,278,000,000","2,935,000,000","2,628,000,000","2,212,000,000","2,020,000,000","25,000,000,000","17,000,000,000","16,000,000,000",,,,,,,,,,,,,,,,,,,,
			CashEquivalents,"138,000,000","166,000,000","70,000,000","1,151,000,000","258,000,000","470,000,000","498,000,000","338,000,000","807,000,000","654,000,000",,"1,574,000,000",,,,,,,,,,,,,,,,,,,
			CashAndDueFromBanks,"20,392,000,000","24,026,000,000","27,709,000,000","20,779,000,000","19,569,000,000","19,190,000,000","16,776,000,000","19,892,000,000","24,086,000,000","16,055,000,000","11,478,000,000","6,554,000,000","11,737,000,000","7,956,000,000","7,126,000,000","9,907,000,000","5,726,000,000","10,288,000,000","7,222,000,000","8,487,000,000","7,471,000,000","4,092,000,000","4,179,000,000","2,677,000,000","3,200,000,000","3,433,000,000","3,312,000,000","5,395,000,000","4,876,000,000","6,400,000,000","7,452,000,000"
		RestrictedCashAndInvestments,,"363,000,000","336,000,000","286,000,000","477,000,000","384,000,000","486,000,000","568,000,000",,,,"238,000,000",,,,,,,,,,,,,,,,,,,
			RestrictedCashAndCashEquivalents,,"363,000,000","336,000,000","286,000,000","477,000,000","384,000,000","486,000,000","568,000,000",,,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,,,,,,,,,,,"4,064,000,000",,,,,,,,,,,,,,,,,"27,072,000,000","15,686,000,000","5,848,000,000","13,191,000,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,072,000,000","15,686,000,000","5,848,000,000","13,191,000,000"
