name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2011,06/30/2011,12/31/2010,06/30/2010,12/31/2009
TotalAssets,"1,319,495,000,000","1,159,577,000,000","1,018,854,000,000","965,076,000,000","917,943,000,000","824,767,000,000","796,662,000,000","717,124,000,000","711,432,000,000","578,824,000,000","543,714,000,000","506,812,000,000","490,866,000,000","456,402,000,000","409,970,000,000","364,450,000,000","364,671,000,000","327,758,000,000","282,060,000,000","255,434,000,000","269,993,000,000","232,342,000,000","161,193,000,000","111,549,000,000","15,295,468,000","13,335,807,000","12,705,140,000","10,443,440,000","9,456,742,000"
	CurrentAssets,"459,446,000,000","335,687,000,000","290,632,000,000","270,273,000,000","261,680,000,000","237,883,000,000","236,994,000,000","256,855,000,000","268,290,000,000","204,648,000,000","186,394,000,000","182,516,000,000","168,528,000,000","136,326,000,000","113,088,000,000","134,070,000,000","136,632,000,000","121,991,000,000","134,897,000,000","142,109,000,000","170,196,000,000","141,414,000,000","87,524,000,000","67,833,000,000","13,241,097,000","11,447,292,000","11,040,015,000","9,089,784,000","8,142,894,000"
		CashCashEquivalentsAndShortTermInvestments,"357,210,000,000","241,010,000,000","220,620,000,000","203,165,000,000","200,591,000,000","181,537,000,000","185,151,000,000","210,210,000,000","224,132,000,000","165,010,000,000","152,614,000,000","150,801,000,000","141,796,000,000","111,008,000,000","92,088,000,000","115,696,000,000","120,382,000,000","107,965,000,000","117,779,000,000","125,999,000,000","133,311,000,000","111,807,000,000","59,619,000,000","45,074,000,000","11,651,800,000","10,590,341,000","10,056,852,000","8,162,506,000","7,266,445,000"
			CashAndCashEquivalents,"350,575,000,000","234,177,000,000","210,539,000,000","189,976,000,000","189,204,000,000","164,375,000,000","167,895,000,000","199,309,000,000","212,196,000,000","148,746,000,000","145,144,000,000","143,736,000,000","133,989,000,000","103,684,000,000","82,246,000,000","106,818,000,000","110,301,000,000","96,747,000,000","104,064,000,000","108,193,000,000","107,050,000,000","88,089,000,000","51,912,000,000","33,045,000,000","3,433,048,000","2,904,518,000","3,254,344,000","2,078,811,000","2,748,690,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,"2,169,455,000","479,047,000","168,179,000","21,871,000",
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,"1,263,593,000","2,425,471,000","3,086,165,000","2,056,940,000",
			OtherShortTermInvestments,"6,635,000,000","6,833,000,000","10,081,000,000","13,189,000,000","11,387,000,000","17,162,000,000","17,256,000,000","10,901,000,000","11,936,000,000","16,264,000,000","7,470,000,000","7,065,000,000","7,807,000,000","7,324,000,000","9,842,000,000","8,878,000,000","10,081,000,000","11,218,000,000","13,715,000,000","17,806,000,000","26,261,000,000","23,718,000,000","7,707,000,000","12,029,000,000","8,218,752,000","7,685,823,000","6,802,508,000","6,083,695,000","4,517,755,000"
		Receivables,,,,"29,920,000,000",,,,"25,370,000,000",,,,"21,374,000,000",,,,"11,738,000,000",,,"391,000,000","11,163,000,000","23,679,000,000","19,186,000,000","19,363,000,000","15,897,000,000","559,465,000","69,013,000","93,696,000","73,555,000","37,925,000"
			AccountsReceivable,,,,"13,771,000,000",,,,"7,284,000,000",,,,"4,388,000,000",,,,"1,209,000,000",,,,"1,067,000,000",,,"608,000,000","269,000,000","45,494,000","41,480,000","54,162,000","44,339,000",
			LoansReceivable,,,,"490,000,000",,,,"419,000,000",,,,"812,000,000",,,,"390,000,000",,,"391,000,000","1,236,000,000","23,679,000,000","19,186,000,000","14,642,000,000","13,159,000,000","7,488,000",,,,
			AccruedInterestReceivable,,,,"867,000,000",,,,"672,000,000",,,,"447,000,000",,,,"314,000,000",,,,"561,000,000",,,"222,000,000","231,000,000","179,860,000",,,,
			TaxesReceivable,,,,"7,347,000,000",,,,"8,915,000,000",,,,"8,810,000,000",,,,"6,589,000,000",,,,"3,457,000,000",,,"2,061,000,000","78,000,000","218,244,000",,,,
			DuefromRelatedPartiesCurrent,,,,"7,445,000,000",,,,"8,080,000,000",,,,"4,131,000,000",,,,"3,236,000,000",,,,"4,842,000,000",,,"1,830,000,000","2,160,000,000","47,156,000",,,,
			OtherReceivables,,,,,,,,,,,,"2,786,000,000",,,,,,,,,,,,,"61,223,000","27,533,000","39,534,000","29,216,000",
		Inventory,,,,"8,534,000,000",,,,"4,535,000,000",,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"81,287,000,000","80,582,000,000","62,711,000,000","11,738,000,000","53,178,000,000","48,468,000,000","45,501,000,000","5,760,000,000","40,777,000,000","36,697,000,000","30,569,000,000","4,176,000,000","25,728,000,000","25,115,000,000","20,492,000,000","1,677,000,000","14,938,000,000","12,107,000,000","14,812,000,000","662,000,000","10,986,000,000","7,944,000,000","387,000,000","437,000,000","51,456,000","287,476,000","293,749,000","322,488,000","309,028,000"
		RestrictedCash,"20,949,000,000","14,095,000,000","7,301,000,000","8,518,000,000","7,911,000,000","7,878,000,000","6,342,000,000","3,417,000,000","3,381,000,000","2,941,000,000","3,211,000,000","2,655,000,000","1,004,000,000","203,000,000","508,000,000","1,346,000,000","1,312,000,000","1,919,000,000","1,915,000,000","2,297,000,000","2,220,000,000","2,477,000,000","6,118,000,000","4,921,000,000","408,410,000",,,,
		CurrentDeferredAssets,,,,"1,990,000,000",,,,"1,643,000,000",,,,"1,935,000,000",,,,"1,399,000,000",,,,"1,065,000,000",,,"1,013,000,000","1,001,000,000",,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"652,000,000",,,,"451,000,000",,,,"256,000,000",,,"182,000,000","191,000,000",,,,,
		OtherCurrentAssets,,,,"6,408,000,000",,,,"5,920,000,000",,,,"1,575,000,000",,,,"2,214,000,000",,,,"923,000,000",,,"1,024,000,000","503,000,000","569,966,000","500,462,000","595,718,000","531,235,000","529,496,000"
	TotalNonCurrentAssets,"860,049,000,000","823,890,000,000","728,222,000,000","694,803,000,000","656,263,000,000","586,884,000,000","559,668,000,000","460,269,000,000","443,142,000,000","374,176,000,000","357,320,000,000","324,296,000,000","322,338,000,000","320,076,000,000","296,882,000,000","230,380,000,000","228,039,000,000","205,767,000,000","147,163,000,000","113,325,000,000","99,797,000,000","90,928,000,000","73,669,000,000","43,716,000,000","2,054,371,000","1,888,515,000","1,665,125,000","1,353,656,000","1,313,848,000"
		NetPPE,"101,520,000,000","100,907,000,000","94,184,000,000","98,449,000,000","90,814,000,000","87,025,000,000","78,659,000,000","75,866,000,000","74,230,000,000","56,366,000,000","50,551,000,000","24,897,000,000","24,617,000,000","21,143,000,000","20,561,000,000","16,505,000,000","16,737,000,000","14,338,000,000","12,894,000,000","12,244,000,000","11,991,000,000","10,154,000,000","8,388,000,000","7,241,000,000","732,759,000","733,196,000","781,145,000","784,587,000","783,122,000"
			GrossPPE,,,,"132,394,000,000",,,"78,659,000,000","96,305,000,000","74,230,000,000","56,366,000,000","50,551,000,000","37,158,000,000","24,617,000,000","21,143,000,000","20,561,000,000","24,686,000,000","16,737,000,000","14,338,000,000","12,894,000,000","18,010,000,000","11,991,000,000","10,154,000,000","8,388,000,000","10,821,000,000","1,350,045,000",,"1,236,132,000",,"1,063,898,000"
				Properties,,,,"0",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0"
				LandAndImprovements,,,,"6,419,000,000",,,,"9,377,000,000","9,257,000,000","6,779,000,000","6,629,000,000","4,691,000,000","4,718,000,000","4,743,000,000","4,770,000,000","2,876,000,000","2,893,000,000","2,910,000,000","2,927,000,000","3,105,000,000","2,963,000,000","1,593,000,000","1,650,000,000","1,660,000,000",,,,,"168,625,000"
				BuildingsAndImprovements,,,,"61,940,000,000",,,,"45,909,000,000",,,,"10,529,000,000",,,,"6,155,000,000",,,,"2,828,000,000",,,,"2,434,000,000","320,282,000",,"511,755,000",,"322,838,000"
				MachineryFurnitureEquipment,,,,"57,076,000,000",,,,"35,909,000,000",,,,"19,311,000,000",,,,"13,772,000,000",,,,"10,259,000,000",,,,"5,947,000,000","756,131,000",,"696,398,000",,"567,877,000"
				OtherProperties,,,,"92,030,000,000",,,"78,659,000,000","66,489,000,000","64,973,000,000","49,587,000,000","43,922,000,000",,"19,899,000,000","16,400,000,000","15,791,000,000","13,629,000,000","13,844,000,000","11,428,000,000","9,967,000,000","9,139,000,000","9,028,000,000","8,561,000,000","6,738,000,000",,,,"1,208,153,000",,"1,059,340,000"
				ConstructionInProgress,,,,"6,959,000,000",,,,"5,110,000,000",,,,"2,627,000,000",,,,"1,883,000,000",,,,"1,818,000,000",,,,"780,000,000","74,690,000",,"27,979,000",,"4,558,000"
				Leases,,,,,,,,,,,,,,,,,,,,,,,,,"198,942,000",,,,
			AccumulatedDepreciation,,,,"-33,945,000,000",,,,"-20,439,000,000",,,,"-12,261,000,000",,,,"-8,181,000,000",,,,"-5,766,000,000",,,,"-3,580,000,000","-617,286,000",,"-454,987,000",,"-280,776,000"
		GoodwillAndOtherIntangibleAssets,"341,777,000,000","342,733,000,000","332,913,000,000","333,211,000,000","312,255,000,000","254,413,000,000","259,239,000,000","189,614,000,000","189,802,000,000","144,738,000,000","145,783,000,000","139,528,000,000","135,461,000,000","135,363,000,000","128,450,000,000","87,015,000,000","87,625,000,000","88,770,000,000","38,376,000,000","48,508,000,000","47,480,000,000","40,922,000,000","35,239,000,000","13,699,000,000","679,155,000","713,808,000","599,322,000","352,757,000","368,137,000"
			Goodwill,"277,029,000,000","276,633,000,000","266,894,000,000","264,935,000,000","244,261,000,000","203,729,000,000","207,373,000,000","162,149,000,000","162,683,000,000","130,196,000,000","129,539,000,000","125,420,000,000","122,540,000,000","121,353,000,000","114,214,000,000","81,645,000,000","81,645,000,000","82,109,000,000","32,174,000,000","41,933,000,000","40,677,000,000","33,661,000,000","29,289,000,000","11,793,000,000","455,207,000","459,463,000","367,787,000","202,631,000","202,631,000"
			OtherIntangibleAssets,"64,748,000,000","66,100,000,000","66,019,000,000","68,276,000,000","67,994,000,000","50,684,000,000","51,866,000,000","27,465,000,000","27,119,000,000","14,542,000,000","16,244,000,000","14,108,000,000","12,921,000,000","14,010,000,000","14,236,000,000","5,370,000,000","5,980,000,000","6,661,000,000","6,202,000,000","6,575,000,000","6,803,000,000","7,261,000,000","5,950,000,000","1,906,000,000","223,948,000","254,345,000","231,535,000","150,126,000","165,506,000"
