name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
TotalRevenue,"488,895,000,000","161,456,000,000","119,017,000,000","114,924,000,000","93,498,000,000","117,278,000,000","85,148,000,000","80,920,000,000","61,932,000,000","83,028,000,000","55,122,000,000","50,184,000,000","38,579,000,000","53,248,000,000","34,292,000,000","32,154,000,000","24,184,000,000","34,543,000,000","22,171,000,000","20,245,000,000","17,425,000,000","26,179,000,000","16,829,000,000","15,771,000,000","12,031,000,000","18,745,000,000","10,950,000,000","10,778,000,000"
	OperatingRevenue,"488,895,000,000","161,456,000,000","119,017,000,000","114,924,000,000","93,498,000,000","117,278,000,000","85,148,000,000","80,920,000,000","61,932,000,000","83,028,000,000","55,122,000,000","50,184,000,000","38,579,000,000","53,248,000,000","34,292,000,000","32,154,000,000","24,184,000,000","34,543,000,000","22,171,000,000","20,245,000,000","17,425,000,000","26,179,000,000","16,829,000,000","15,771,000,000","12,031,000,000","18,745,000,000","10,950,000,000","10,778,000,000"
CostOfRevenue,"265,475,000,000","84,332,000,000","65,546,000,000","59,987,000,000","55,610,000,000","60,813,000,000","46,786,000,000","43,720,000,000","32,504,000,000","35,078,000,000","22,002,000,000","17,460,000,000","15,490,000,000","19,126,000,000","13,123,000,000","11,744,000,000","9,562,000,000","10,951,000,000","7,131,000,000","6,711,000,000","6,133,000,000","7,520,000,000","5,596,000,000","4,585,000,000","3,470,000,000","4,171,000,000","3,001,000,000","2,727,000,000"
GrossProfit,"223,420,000,000","77,124,000,000","53,471,000,000","54,937,000,000","37,888,000,000","56,465,000,000","38,362,000,000","37,200,000,000","29,428,000,000","47,950,000,000","33,120,000,000","32,724,000,000","23,089,000,000","34,122,000,000","21,169,000,000","20,410,000,000","14,622,000,000","23,592,000,000","15,040,000,000","13,534,000,000","11,292,000,000","18,659,000,000","11,233,000,000","11,186,000,000","8,561,000,000","14,574,000,000","7,949,000,000","8,051,000,000"
OperatingExpense,"129,114,000,000","37,564,000,000","32,531,000,000","30,562,000,000","28,457,000,000","29,667,000,000","24,861,000,000","29,180,000,000","19,652,000,000","21,460,000,000","16,536,000,000","15,211,000,000","13,557,000,000","13,458,000,000","12,124,000,000","11,596,000,000","9,109,000,000","10,703,000,000","8,645,000,000","8,373,000,000","8,366,000,000","9,137,000,000","6,888,000,000","4,284,000,000","2,858,000,000","5,773,000,000","2,657,000,000","2,631,000,000"
	SellingGeneralAndAdministration,"76,081,000,000","23,215,000,000","18,587,000,000","17,018,000,000","17,261,000,000","17,957,000,000","13,885,000,000","15,566,000,000","12,192,000,000","13,114,000,000","9,705,000,000","8,529,000,000","7,726,000,000","7,777,000,000","6,693,000,000","6,357,000,000","5,194,000,000","6,141,000,000","4,692,000,000","4,485,000,000","5,008,000,000","5,440,000,000","3,709,000,000","2,156,000,000","1,792,000,000","3,943,000,000","1,450,000,000","1,578,000,000"
		GeneralAndAdministrativeExpense,"27,938,000,000","7,415,000,000","6,591,000,000","6,320,000,000","7,612,000,000","5,853,000,000","4,779,000,000","6,645,000,000","4,551,000,000","4,572,000,000","3,439,000,000","3,679,000,000","3,394,000,000","3,287,000,000","2,815,000,000","2,743,000,000","2,333,000,000","2,500,000,000","2,128,000,000","2,244,000,000","2,477,000,000","2,419,000,000","1,960,000,000","944,000,000","514,000,000","2,046,000,000","793,000,000","865,000,000"
			OtherGandA,"27,938,000,000","7,415,000,000","6,591,000,000","6,320,000,000","7,612,000,000","5,853,000,000","4,779,000,000","6,645,000,000","4,551,000,000","4,572,000,000","3,439,000,000","3,679,000,000","3,394,000,000","3,287,000,000","2,815,000,000","2,743,000,000","2,333,000,000","2,500,000,000","2,128,000,000","2,244,000,000","2,477,000,000","2,419,000,000","1,960,000,000","944,000,000","514,000,000","2,046,000,000","793,000,000","865,000,000"
		SellingAndMarketingExpense,"48,143,000,000","15,800,000,000","11,996,000,000","10,698,000,000","9,649,000,000","12,104,000,000","9,106,000,000","8,921,000,000","7,641,000,000","8,542,000,000","6,266,000,000","4,850,000,000","4,332,000,000","4,490,000,000","3,878,000,000","3,614,000,000","2,861,000,000","3,641,000,000","2,564,000,000","2,241,000,000","2,531,000,000","3,021,000,000","1,749,000,000","1,212,000,000","1,278,000,000","1,897,000,000","657,000,000","713,000,000"
	ResearchAndDevelopment,"41,152,000,000","11,077,000,000","10,938,000,000","10,478,000,000","8,659,000,000","8,901,000,000","8,365,000,000","11,510,000,000","6,686,000,000","6,289,000,000","5,083,000,000","4,696,000,000","4,518,000,000","4,420,000,000","4,134,000,000","3,988,000,000","3,573,000,000","3,749,000,000","3,225,000,000","3,241,000,000","3,042,000,000","3,083,000,000","2,581,000,000","1,952,000,000","1,200,000,000","1,707,000,000","1,168,000,000","1,018,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"12,547,000,000","3,272,000,000","3,006,000,000","3,066,000,000","3,203,000,000","2,809,000,000","2,611,000,000","2,104,000,000","1,329,000,000","2,057,000,000","1,748,000,000","1,986,000,000","1,313,000,000","1,261,000,000","1,297,000,000","1,251,000,000","743,000,000","813,000,000","728,000,000","647,000,000","643,000,000","614,000,000","598,000,000","234,000,000","118,000,000","123,000,000","39,000,000","35,000,000"
		DepreciationAndAmortizationInIncomeStatement,"12,547,000,000","3,272,000,000","3,006,000,000","3,066,000,000","3,203,000,000","2,809,000,000","2,611,000,000","2,104,000,000","1,329,000,000","2,057,000,000","1,748,000,000","1,986,000,000","1,313,000,000","1,261,000,000","1,297,000,000","1,251,000,000","743,000,000","813,000,000","728,000,000","647,000,000","643,000,000","614,000,000","598,000,000","234,000,000","118,000,000","123,000,000","39,000,000","35,000,000"
			Amortization,"12,547,000,000","3,272,000,000","3,006,000,000","3,066,000,000","3,203,000,000","2,809,000,000","2,611,000,000","2,104,000,000","1,329,000,000","2,057,000,000","1,748,000,000","1,986,000,000","1,313,000,000","1,261,000,000","1,297,000,000","1,251,000,000","743,000,000","813,000,000","728,000,000","647,000,000","643,000,000","614,000,000","598,000,000","234,000,000","118,000,000","123,000,000","39,000,000","35,000,000"
				AmortizationOfIntangiblesIncomeStatement,"12,547,000,000","3,272,000,000","3,006,000,000","3,066,000,000","3,203,000,000","2,809,000,000","2,611,000,000","2,104,000,000","1,329,000,000","2,057,000,000","1,748,000,000","1,986,000,000","1,313,000,000","1,261,000,000","1,297,000,000","1,251,000,000","743,000,000","813,000,000","728,000,000","647,000,000","643,000,000","614,000,000","598,000,000","234,000,000","118,000,000","123,000,000","39,000,000","35,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,"-58,000,000",,,,
OperatingIncome,"94,306,000,000","39,560,000,000","20,940,000,000","24,375,000,000","9,431,000,000","26,798,000,000","13,501,000,000","8,020,000,000","9,776,000,000","26,490,000,000","16,584,000,000","17,513,000,000","9,532,000,000","20,664,000,000","9,045,000,000","8,814,000,000","5,513,000,000","12,889,000,000","6,395,000,000","5,161,000,000","2,926,000,000","9,522,000,000","4,345,000,000","6,902,000,000","5,703,000,000","8,801,000,000","5,292,000,000","5,420,000,000"
NetNonOperatingInterestIncomeExpense,"94,018,000,000","15,827,000,000","61,988,000,000","-1,159,000,000","17,362,000,000","10,226,000,000","5,295,000,000","6,033,000,000","770,000,000","22,799,000,000","2,688,000,000","672,000,000","5,877,000,000","136,000,000","-249,000,000","124,000,000","3,268,000,000","2,469,000,000","17,666,000,000","26,905,000,000","1,371,000,000","-1,031,000,000","-53,000,000","6,418,000,000","215,000,000","-91,000,000","-56,000,000","-615,000,000"
	InterestIncomeNonOperating,"99,336,000,000","17,136,000,000","63,348,000,000","187,000,000","18,665,000,000","11,560,000,000","6,635,000,000","7,246,000,000","1,945,000,000","23,643,000,000","3,435,000,000","1,472,000,000","6,553,000,000","837,000,000","419,000,000","750,000,000","3,778,000,000","2,944,000,000","18,150,000,000","27,382,000,000","1,846,000,000","313,000,000","468,000,000","6,828,000,000","568,000,000","296,000,000","318,000,000","466,000,000"
	InterestExpenseNonOperating,"5,318,000,000","1,309,000,000","1,360,000,000","1,346,000,000","1,303,000,000","1,334,000,000","1,340,000,000","1,213,000,000","1,175,000,000","844,000,000","747,000,000","800,000,000","676,000,000","701,000,000","668,000,000","626,000,000","510,000,000","475,000,000","484,000,000","477,000,000","475,000,000","1,344,000,000","521,000,000","410,000,000","353,000,000","387,000,000","374,000,000","1,081,000,000"
OtherIncomeExpense,"6,466,000,000","987,000,000","2,595,000,000","2,101,000,000","783,000,000","387,000,000","-1,532,000,000","-83,000,000","329,000,000","-842,000,000","1,737,000,000","1,887,000,000","440,000,000","3,015,000,000","868,000,000","1,763,000,000","-930,000,000","1,152,000,000","429,000,000","551,000,000","169,000,000","726,000,000","378,000,000","653,000,000","999,000,000","548,000,000","345,000,000","241,000,000"
	SpecialIncomeCharges,"-323,000,000","0","-576,000,000",,"253,000,000","0",,,"-264,000,000","-494,000,000",,,"0","0",,,"-264,000,000","-455,000,000",,,"-166,000,000","-175,000,000","0",,"0","0","-44,000,000",
		ImpairmentOfCapitalAssets,"576,000,000","0","576,000,000",,"0","0",,,"0","494,000,000",,,"0","0",,,"0","455,000,000",,,"0","175,000,000","0",,"0","0","44,000,000",
	OtherNonOperatingIncomeExpenses,"8,739,000,000","987,000,000","3,171,000,000","2,101,000,000","2,480,000,000","387,000,000","-1,532,000,000","-83,000,000","2,272,000,000","-348,000,000","1,737,000,000","1,887,000,000","440,000,000","3,015,000,000","868,000,000","1,763,000,000","-666,000,000","1,607,000,000","429,000,000","551,000,000","335,000,000","901,000,000","378,000,000","653,000,000","999,000,000","548,000,000","389,000,000","241,000,000"
PretaxIncome,"194,790,000,000","56,374,000,000","85,523,000,000","25,317,000,000","27,576,000,000","37,411,000,000","17,264,000,000","13,970,000,000","10,875,000,000","48,447,000,000","21,009,000,000","20,072,000,000","15,849,000,000","23,815,000,000","9,664,000,000","10,701,000,000","7,851,000,000","16,510,000,000","24,490,000,000","32,617,000,000","4,466,000,000","9,217,000,000","4,670,000,000","13,973,000,000","6,917,000,000","9,258,000,000","5,581,000,000","5,046,000,000"
TaxProvision,"22,959,000,000","8,407,000,000","2,815,000,000","6,712,000,000","5,025,000,000","5,586,000,000","277,000,000","5,665,000,000","4,164,000,000","6,663,000,000","2,719,000,000","4,653,000,000","4,553,000,000","5,110,000,000","2,022,000,000","2,091,000,000","1,825,000,000","3,559,000,000","1,671,000,000","1,394,000,000","1,203,000,000","2,429,000,000","1,339,000,000","1,445,000,000","1,227,000,000","741,000,000","637,000,000","591,000,000"
EarningsFromEquityInterestNetOfTax,"-8,450,000,000","2,165,000,000","-11,960,000,000","517,000,000","828,000,000","-861,000,000","1,254,000,000","-655,000,000","-70,000,000","-18,452,000,000","-882,000,000","-1,388,000,000","-1,444,000,000","-1,548,000,000","-567,000,000","-1,468,000,000","-712,000,000","-495,000,000","-116,000,000","-407,000,000","-394,000,000","-805,000,000","-301,000,000","-90,000,000","-29,000,000","-160,000,000","-7,000,000","-7,000,000"
NetIncomeCommonStockholders,"171,931,000,000","52,309,000,000","72,540,000,000","21,252,000,000","25,830,000,000","33,052,000,000","20,033,000,000","8,685,000,000","7,561,000,000","24,073,000,000","17,668,000,000","14,683,000,000","10,647,000,000","17,855,000,000","7,623,000,000","7,550,000,000","5,365,000,000","12,498,000,000","22,754,000,000","30,843,000,000","2,893,000,000","5,936,000,000","2,976,000,000","12,344,000,000","5,543,000,000","8,266,000,000","4,883,000,000","4,384,000,000"
	NetIncome,"172,126,000,000","52,174,000,000","72,591,000,000","21,448,000,000","25,913,000,000","33,120,000,000","20,133,000,000","8,720,000,000","7,669,000,000","24,073,000,000","17,668,000,000","14,683,000,000","10,647,000,000","17,855,000,000","7,623,000,000","7,550,000,000","5,365,000,000","12,498,000,000","22,754,000,000","30,843,000,000","2,893,000,000","5,936,000,000","3,028,000,000","12,404,000,000","5,602,000,000","8,326,000,000","4,943,000,000","4,444,000,000"
		NetIncomeIncludingNoncontrollingInterests,"163,381,000,000","50,132,000,000","70,748,000,000","19,122,000,000","23,379,000,000","30,964,000,000","18,241,000,000","7,650,000,000","6,641,000,000","23,332,000,000","17,408,000,000","14,031,000,000","9,852,000,000","17,157,000,000","7,075,000,000","7,142,000,000","5,314,000,000","12,456,000,000","22,703,000,000","30,816,000,000","2,869,000,000","5,983,000,000","3,030,000,000","12,438,000,000","5,661,000,000","8,357,000,000","4,937,000,000","4,448,000,000"
			NetIncomeContinuousOperations,"163,381,000,000","50,132,000,000","70,748,000,000","19,122,000,000","23,379,000,000","30,964,000,000","18,241,000,000","7,650,000,000","6,641,000,000","23,332,000,000","17,408,000,000","14,031,000,000","9,852,000,000","17,157,000,000","7,075,000,000","7,142,000,000","5,314,000,000","12,456,000,000","22,703,000,000","30,816,000,000","2,869,000,000","5,983,000,000","3,030,000,000","12,438,000,000","5,661,000,000","8,357,000,000","4,937,000,000","4,448,000,000"
		MinorityInterests,"8,745,000,000","2,042,000,000","1,843,000,000","2,326,000,000","2,534,000,000","2,156,000,000","1,892,000,000","1,070,000,000","1,028,000,000","741,000,000","260,000,000","652,000,000","795,000,000","698,000,000","548,000,000","408,000,000","51,000,000","42,000,000","51,000,000","27,000,000","24,000,000","-47,000,000","-2,000,000","-34,000,000","-59,000,000","-31,000,000","6,000,000","-4,000,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,"0",,"45,000,000","52,000,000","52,000,000","52,000,000","52,000,000","52,000,000"
	OtherunderPreferredStockDividend,"195,000,000","-135,000,000","51,000,000","196,000,000","83,000,000","68,000,000","100,000,000","35,000,000","108,000,000",,,,,,,,"0","0","0","0","0","0","7,000,000","8,000,000","7,000,000","8,000,000","8,000,000","8,000,000"
AverageDilutionEarnings,"-58,000,000","-32,000,000","-4,000,000",,,,"-12,000,000",,,,"-3,000,000","-3,000,000",,,,,,,,,,,,"60,000,000",,,,
DilutedNIAvailtoComStockholders,"171,873,000,000","52,277,000,000","72,536,000,000","21,252,000,000","25,788,000,000","33,052,000,000","20,021,000,000","8,685,000,000","7,540,000,000","24,073,000,000","17,665,000,000","14,680,000,000","10,636,000,000","17,855,000,000","7,623,000,000","7,550,000,000","5,365,000,000","12,498,000,000","22,754,000,000","30,843,000,000","2,893,000,000","5,936,000,000","2,976,000,000","12,404,000,000","5,782,000,000","8,266,000,000","4,883,000,000","4,384,000,000"
BasicEPS,,"19.84","27.92","8.18","10.02","12.83","7.75","3.36","2.95","9.41","6.92","5.77","4.24","7.19","3.08","3.05","2.19","5.11","9.25","12.45","1.18","2.42","1.33","5.42",,"3.79","2.26","1.995"
DilutedEPS,,"19.52","27.52","8.06","9.84","12.64","7.62","3.3","2.88","9.2","6.78","5.65","4.12","6.94","2.97","2.94","2.11","4.9","8.87","11.92","1.12","2.29","1.24","5.2",,"3.55","2.13","1.839"
BasicAverageShares,,"2,632,250,000","2,600,000,000","2,597,000,000","2,579,000,000","2,576,000,000","2,584,000,000","2,581,000,000","2,560,000,000","2,557,000,000","2,552,000,000","2,543,000,000","2,513,000,000","2,485,000,000","2,478,000,000","2,473,000,000","2,448,000,000","2,446,000,000","2,461,000,000","2,477,000,000","2,461,000,000","2,450,000,000","2,238,000,000","2,198,000,000",,"2,180,000,000","2,165,000,000","2,198,000,000"
DilutedAverageShares,,"2,674,125,000","2,636,625,000","2,634,000,000","2,625,000,000","2,614,000,000","2,628,000,000","2,627,000,000","2,619,000,000","2,615,000,000","2,607,000,000","2,599,000,000","2,581,000,000","2,571,000,000","2,566,000,000","2,568,000,000","2,546,000,000","2,550,000,000","2,564,000,000","2,588,000,000","2,585,000,000","2,588,000,000","2,438,000,000","2,384,000,000",,"2,343,000,000","2,317,000,000","2,384,000,000"
TotalOperatingIncomeAsReported,"93,064,000,000","39,560,000,000","20,364,000,000","24,375,000,000","8,765,000,000","26,798,000,000","13,501,000,000","8,020,000,000","9,221,000,000","25,996,000,000","16,584,000,000","17,513,000,000","9,532,000,000","20,664,000,000","9,045,000,000","8,814,000,000","5,112,000,000","12,434,000,000","6,395,000,000","5,161,000,000","2,599,000,000","9,347,000,000","4,345,000,000","6,844,000,000","5,451,000,000","8,801,000,000","5,248,000,000","5,420,000,000"
TotalExpenses,"394,589,000,000","121,896,000,000","98,077,000,000","90,549,000,000","84,067,000,000","90,480,000,000","71,647,000,000","72,900,000,000","52,156,000,000","56,538,000,000","38,538,000,000","32,671,000,000","29,047,000,000","32,584,000,000","25,247,000,000","23,340,000,000","18,671,000,000","21,654,000,000","15,776,000,000","15,084,000,000","14,499,000,000","16,657,000,000","12,484,000,000","8,869,000,000","6,328,000,000","9,944,000,000","5,658,000,000","5,358,000,000"
