Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,7.073003,7.203857,7.059228,7.141873,5.441557,7136200
2015-05-13,7.162534,7.203857,6.969697,7.004132,5.336610,10581100
2015-05-14,7.086777,7.279614,7.052341,7.245179,5.520268,14756600
2015-05-15,7.245179,7.431129,7.183196,7.403581,5.640960,15830000
2015-05-18,7.327824,7.334711,7.079890,7.169422,5.462546,22902300
2015-05-19,7.114325,7.128099,6.935262,6.997245,5.331360,12138300
2015-05-20,6.942149,7.017906,6.900826,6.942149,5.289380,12793500
2015-05-21,6.783747,6.845730,6.652893,6.687328,5.095227,19905700
2015-05-22,6.584022,6.625344,6.439394,6.473829,4.932561,19304000
2015-05-26,6.349862,6.363636,6.205234,6.232782,4.748897,19063600
2015-05-27,6.191460,6.411846,6.095041,6.370523,4.853848,22147500
2015-05-28,6.287879,6.308540,6.157025,6.294766,4.796127,13559800
2015-05-29,6.232782,6.267218,6.060606,6.060606,4.617712,19940500
2015-06-01,6.129477,6.143250,6.039945,6.095041,4.643950,12082500
2015-06-02,6.225895,6.363636,6.198347,6.336088,4.832624,17898300
2015-06-03,6.301653,6.301653,6.177686,6.205234,4.732819,12778500
2015-06-04,6.191460,6.239669,6.095041,6.129477,4.675039,7355500
2015-06-05,6.067493,6.108815,5.998622,6.033058,4.601499,10747900
2015-06-08,6.129477,6.163912,6.074380,6.136364,4.680293,16141000
2015-06-09,6.136364,6.198347,6.039945,6.053719,4.617259,18953400
2015-06-10,6.308540,6.322314,6.212121,6.239669,4.759084,19894200
2015-06-11,6.219008,6.253444,6.088154,6.246556,4.764338,14577200
2015-06-12,6.191460,6.232782,6.115703,6.150138,4.690800,11606800
2015-06-15,6.046832,6.095041,5.998622,6.088154,4.643523,11390600
2015-06-16,6.157025,6.336088,6.143250,6.301653,4.806361,13316400
2015-06-17,6.225895,6.336088,6.129477,6.260331,4.774844,14594000
2015-06-18,6.342975,6.508265,6.219008,6.460055,4.927177,14244900
2015-06-19,6.322314,6.411846,6.205234,6.232782,4.753829,10002200
2015-06-22,6.370523,6.418733,6.280992,6.363636,4.853636,16395900
2015-06-23,6.315427,6.432507,6.294766,6.411846,4.922903,9410700
2015-06-24,6.398072,6.453168,6.336088,6.370523,4.891178,6324600
2015-06-25,6.363636,6.370523,6.191460,6.280992,4.822436,11288000
2015-06-26,6.363636,6.425620,6.322314,6.391185,4.907042,18317200
2015-06-29,6.280992,6.336088,6.219008,6.246556,4.795999,14713200
2015-06-30,6.349862,6.411846,6.274105,6.308540,4.843586,14226300
2015-07-01,6.294766,6.342975,6.198347,6.219008,4.777974,12946300
2015-07-02,6.274105,6.425620,6.274105,6.404959,4.920838,13473400
2015-07-06,6.157025,6.225895,6.088154,6.122590,4.703897,11896200
2015-07-07,6.012397,6.046832,5.860881,6.039945,4.640405,13110900
2015-07-08,5.902204,5.943526,5.826446,5.847107,4.492250,12725000
2015-07-09,5.943526,6.033058,5.922865,5.922865,4.550451,10867800
2015-07-10,6.046832,6.205234,5.998622,6.177686,4.746229,10617700
2015-07-13,6.219008,6.391185,6.170799,6.370523,4.894383,12771400
2015-07-14,6.356750,6.466942,6.287879,6.404959,4.920838,12941600
2015-07-15,6.349862,6.377410,6.267218,6.336088,4.867926,8209600
2015-07-16,6.377410,6.384297,6.267218,6.308540,4.846763,9222400
2015-07-17,6.280992,6.294766,6.143250,6.170799,4.740937,10111600
2015-07-20,6.122590,6.129477,6.046832,6.067493,4.661569,7440800
2015-07-21,6.026171,6.088154,6.005510,6.053719,4.650988,10073400
2015-07-22,5.950413,5.964187,5.833333,5.874656,4.513416,12650500
2015-07-23,5.723141,5.792011,5.523416,5.544077,4.259435,16876500
2015-07-24,5.482094,5.488981,5.330578,5.461432,4.195939,26856100
2015-07-27,5.530303,5.592287,5.447659,5.523416,4.243562,17551600
2015-07-28,5.599174,5.626722,5.351240,5.585400,4.291183,18207300
2015-07-29,5.599174,5.757576,5.571625,5.695592,4.375842,13752200
2015-07-30,5.654270,5.688705,5.475206,5.509642,4.232979,14336700
2015-07-31,5.578512,5.647383,5.454545,5.468319,4.201232,15922800
2015-08-03,5.247934,5.330578,5.213499,5.261708,4.042495,22044400
2015-08-04,5.227273,5.247934,5.089532,5.172176,3.976833,15332400
2015-08-05,5.179063,5.199725,5.041322,5.096419,3.918583,14856200
2015-08-06,5.055097,5.130854,5.013774,5.068871,3.897400,18357800
2015-08-07,5.013774,5.075758,4.924242,4.951791,3.807380,18472900
2015-08-10,4.979339,5.137741,4.965565,5.130854,3.945059,13632400
2015-08-11,5.020661,5.082644,4.917356,5.000000,3.844447,13520700
2015-08-12,4.951791,4.979339,4.876033,4.910468,3.775607,22674600
2015-08-13,4.869146,4.876033,4.731405,4.745179,3.648518,20304800
2015-08-14,4.793388,4.841598,4.752066,4.793388,3.685586,10668300
2015-08-17,4.745179,4.848485,4.717631,4.724518,3.632631,9291200
2015-08-18,4.669422,4.924242,4.579890,4.834711,3.717358,25734900
2015-08-19,4.683196,4.731405,4.545455,4.648760,3.574382,21442400
2015-08-20,4.600551,4.696970,4.552341,4.662534,3.584973,15613400
2015-08-21,4.545455,4.641873,4.490358,4.566116,3.510836,23030400
2015-08-24,4.235537,4.552341,4.173554,4.393939,3.378453,28760100
2015-08-25,4.593664,4.614325,4.338843,4.345730,3.341385,24596100
2015-08-26,4.393939,4.600551,4.276859,4.593664,3.532019,29127700
2015-08-27,4.690083,4.862259,4.662534,4.772727,3.669698,22042300
2015-08-28,4.690083,4.793388,4.559228,4.621212,3.553200,33227800
2015-08-31,4.311295,4.414600,4.290634,4.387053,3.373158,30964600
2015-09-01,4.194215,4.283747,4.132231,4.159780,3.198410,24730800
2015-09-02,4.194215,4.228650,4.077135,4.187328,3.222255,24844500
2015-09-03,4.111570,4.283747,4.077135,4.263085,3.280554,22627000
2015-09-04,4.159780,4.201102,4.008265,4.015152,3.089762,17981100
2015-09-08,4.139119,4.166667,4.097796,4.125344,3.174559,15769400
2015-09-09,4.235537,4.338843,4.180441,4.187328,3.222255,21575500
2015-09-10,3.994490,4.139119,3.925620,4.049587,3.116261,27842700
2015-09-11,4.035813,4.035813,3.939394,3.973829,3.057964,17742600
