name,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalAssets,"402,965,442,336.46","354,890,137,923","334,480,972,800","316,639,791,459.6","290,562,119,988.8","281,467,977,790.2","258,644,527,500","244,815,318,781.5","234,282,082,760.25","218,186,874,681.57","206,464,485,780","202,437,741,577.5","193,090,764,951","191,477,629,865.2","177,125,995,520","180,011,576,544.65","175,519,676,187.69","160,528,049,127.42","165,657,805,890","163,032,000,194.56","152,100,276,363.84","145,999,756,808.16","129,875,995,800","132,785,886,249.62","120,181,571,280.4","114,572,030,752","108,293,493,600","104,445,677,322.5","97,994,339,770.8","97,027,990,907.65"
TotalLiabilitiesNetMinorityInterest,"369,117,981,487.42","321,880,681,237","301,112,997,120","287,342,765,694.6","262,985,614,382.6","255,422,436,074.1","232,148,215,000","222,840,298,794.5","212,641,919,308.98","197,569,781,395.14","186,168,752,700","184,074,581,295","175,719,467,637","174,871,994,278.66","161,489,888,040","165,234,613,764.16","161,860,466,489.04","146,806,025,524.76","152,048,459,000","150,060,118,070.8","139,666,214,539.2","134,097,639,580.14","118,821,137,940","122,594,296,548.06","110,110,942,241.2","104,699,628,956","98,419,074,000","95,077,800,048","89,045,243,785.5","88,177,212,512.93"
TotalEquityGrossMinorityInterest,"33,847,460,849.04","33,009,456,686","33,367,975,680","29,297,025,765","27,576,505,606.2","26,045,541,716.1","26,496,312,500","21,975,019,987","21,640,163,451.27","20,617,093,286.43","20,295,733,080","18,363,160,282.5","17,371,297,314","16,605,635,586.54","15,636,107,480","14,776,962,780.49","13,659,209,698.65","13,722,023,602.66","13,609,346,890","12,971,882,123.76","12,434,061,824.64","11,902,117,228.02","11,054,857,860","10,191,589,701.56","10,070,629,039.2","9,872,401,796","9,874,419,600","9,367,877,274.5","8,949,095,985.3","8,850,778,394.72"
	StockholdersEquity,"33,685,401,847.88","32,851,057,943","33,086,659,840","29,120,934,180.8","27,513,949,536.6","25,984,682,412.6","26,402,482,500","21,918,725,717","21,584,789,880.57","20,544,491,933.16","20,207,003,460","18,309,032,032.5","17,318,281,050","16,553,743,993.22","15,564,394,400","14,702,870,803.59","13,593,514,836.6","13,654,593,532.59","13,537,217,640","12,861,789,615.64","12,328,463,937.6","11,788,478,929.59","10,853,088,120","9,948,219,274.26","9,767,199,786.2","9,538,375,537.6","9,788,494,500","9,194,949,943.5","8,800,621,788","8,750,334,611.57"
		CapitalStock,,,,"18,939,724,020","17,999,623,800","17,969,591,340",,"13,086,795,150","13,075,174,203","13,107,868,527","12,991,884,360","10,025,977,500","9,925,398,000","10,009,342,630","7,001,321,440","7,012,000,639","6,970,843,404","6,980,736,588","6,970,570,720","6,943,299,804","6,891,753,120","6,343,445,310.3","5,199,995,580","4,926,731,607.2","5,019,434,264","4,997,084,768","5,199,629,700","5,055,651,120","5,002,513,932","5,206,752,850"
			CommonStock,,,,"18,939,724,020","17,999,623,800","17,969,591,340",,"13,086,795,150","13,075,174,203","13,107,868,527","12,991,884,360","10,025,977,500","9,925,398,000","10,009,342,630","7,001,321,440","7,012,000,639","6,970,843,404","6,980,736,588","6,970,570,720","6,943,299,804","6,891,753,120","6,343,445,310.3","5,199,995,580","4,926,731,607.2","5,019,434,264","4,997,084,768","5,199,629,700","5,055,651,120","5,002,513,932","5,206,752,850"
		AdditionalPaidInCapital,"22,982,590,794","22,959,423,400","19,204,257,280","55,446,934.9","55,456,893","55,085,023.8","14,266,425,000","36,794,644.5","36,666,754.11","36,524,330.61","84,059,640",,,,"58,432,880","10,663,411.11","10,226,741.85","8,791,071.96","54,818,230","7,839,162.8","7,768,472.64","7,095,034.53","7,079,640","7,043,210.86","7,177,129","7,144,302.4","6,966,900",,,
		RetainedEarnings,"9,733,666,562.7","8,441,608,820","12,126,849,280","8,426,886,832.7","7,596,591,469","6,081,133,192.8","11,027,157,500","7,928,156,567.5","7,922,973,741.69","6,941,014,925.52","6,750,456,090",,"7,100,379,846","6,302,644,634.72","1,495,350,520","7,096,675,958.49","6,637,525,659.45","6,331,792,744.07","5,839,584,080","5,671,452,046.96","5,434,931,843.04","5,451,358,258.89","5,493,800,640","5,351,205,690.06","5,046,172,157.2","4,534,146,467.2","4,386,824,700",,,"239,157,740.99"
		TreasuryStock,"3,105,777.08","153,736","131,755,520","100,183,547.8","75,273,258","66,563,641.8","49,047,500","40,825,245","38,983,603.47","35,642,806.65","30,354,870","163,442,812.5","86,769,144","29,793,079.33",,"56,190,943.5","52,670,034.27","51,263,879.44","5,770,340",,,,"84,955,680","77,886,765.66","5,645,642.2",,"53,412,900","20,506,097","18,062,089.2",
		GainsLossesNotAffectingRetainedEarnings,"972,250,268.26","1,450,181,206","1,887,308,800","1,799,059,941","1,937,548,704","1,945,438,554.9","1,157,947,500","907,806,763.5","588,958,785.24","494,729,138.67","410,958,240","8,446,497,345","379,272,348","271,547,137.96","7,009,289,560","639,721,738.49","27,589,065.57","384,537,008","678,014,950","239,198,601.88","-5,989,498.08","-13,416,309.96","233,628,120","-258,878,208.62","-299,938,121.8",,"248,486,100","4,159,804,920.5","3,816,169,945.2","3,304,421,855.61"
		OtherEquityInterest,,"-1,747",,,"1,928.6","-2,057.1",,"-2,163.5",,"-2,181.99",,,,"2,669.87",,,,,,,,"-3,364.17","3,539,820","3,740.42",,,,,,"2,164.97"
	MinorityInterest,"162,059,001.16","158,398,743","281,315,840","176,091,584.2","62,556,069.6","60,859,303.5","93,830,000","56,294,270","55,373,570.7","72,601,353.27","88,729,620","54,128,250","53,016,264","51,891,593.32","71,713,080","74,091,976.9","65,694,862.05","67,430,070.07","72,129,250","110,092,508.12","105,597,887.04","113,638,298.43","201,769,740","243,370,427.3","303,429,253","334,026,258.4","85,925,100","172,927,331","148,474,197.3","100,443,783.15"
TotalCapitalization,"65,303,848,401.78","65,156,931,343","71,999,050,240","37,240,637,646.8","48,129,665,235.8","40,804,310,578.2","56,451,540,000","31,498,552,272","47,236,819,700.07","33,098,311,741.35","43,507,868,670","23,105,536,740","22,907,350,053","22,602,451,952.5","35,221,746,440","23,412,718,690.01","22,450,863,560.49","26,445,481,618.77","33,548,756,760","30,517,047,937.32","27,501,723,829.92","26,181,794,320.14","24,240,687,360","17,951,349,080.54","17,020,850,978.8","16,659,712,196","21,286,201,800","15,381,208,682","14,801,390,750.1","14,137,998,849.68"
CommonStockEquity,"33,685,401,847.88","32,851,057,943","33,086,659,840","29,120,934,180.8","27,513,949,536.6","25,984,682,412.6","26,402,482,500","21,918,725,717","21,584,789,880.57","20,544,491,933.16","20,207,003,460","18,309,032,032.5","17,318,281,050","16,553,743,993.22","15,564,394,400","14,702,870,803.59","13,593,514,836.6","13,654,593,532.59","13,537,217,640","12,861,789,615.64","12,328,463,937.6","11,788,478,929.59","10,853,088,120","9,948,219,274.26","9,767,199,786.2","9,538,375,537.6","9,788,494,500","9,194,949,943.5","8,800,621,788","8,750,334,611.57"
NetTangibleAssets,"33,685,401,847.88","32,851,057,943","29,287,115,520","29,120,934,180.8","27,513,949,536.6","25,984,682,412.6","24,118,575,000","21,918,725,717","18,927,224,305.29","18,647,009,427.27","18,581,850,420","17,403,161,242.5","16,361,055,900","15,606,615,620.33","13,734,382,840","13,470,887,941.84","12,200,543,131.92","12,035,579,800.12","11,803,230,470","12,067,740,277.6","11,570,022,108.96","10,493,572,890.72","9,076,098,480","8,054,743,861.86","8,337,740,746.6","8,227,061,367.2","9,005,879,400","9,194,949,943.5","8,800,621,788","8,750,334,611.57"
InvestedCapital,"80,563,678,705.44","72,516,450,110","79,988,064,000","49,790,477,555","59,881,271,116.8","48,506,333,658.9","62,147,447,500","42,269,688,467","70,992,035,803.08","42,644,517,991.35","50,568,878,430","24,795,953,077.5","32,205,347,748","32,201,742,598.55","43,495,311,040","32,271,276,694.79","25,157,735,591.16","31,461,651,063.73","41,312,749,230","42,445,366,824.28","38,715,905,630.4","35,741,157,386.88","33,879,617,220","31,002,482,391.26","27,423,837,355","29,944,834,796","29,607,002,700","30,254,688,266","26,823,349,684.8","26,118,752,312.32"
TangibleBookValue,"33,685,401,847.88","32,851,057,943","29,287,115,520","29,120,934,180.8","27,513,949,536.6","25,984,682,412.6","24,118,575,000","21,918,725,717","18,927,224,305.29","18,647,009,427.27","18,581,850,420","17,403,161,242.5","16,361,055,900","15,606,615,620.33","13,734,382,840","13,470,887,941.84","12,200,543,131.92","12,035,579,800.12","11,803,230,470","12,067,740,277.6","11,570,022,108.96","10,493,572,890.72","9,076,098,480","8,054,743,861.86","8,337,740,746.6","8,227,061,367.2","9,005,879,400","9,194,949,943.5","8,800,621,788","8,750,334,611.57"
TotalDebt,"46,878,276,857.56","39,665,392,167","46,901,404,160","20,669,543,374.2","32,367,321,580.2","22,521,651,246.3","35,744,965,000","20,350,962,750","49,407,245,922.51","22,100,026,058.19","30,361,874,970","6,486,921,045","14,887,066,698","15,647,998,605.33","27,930,916,640","17,568,405,891.2","11,564,220,754.56","17,807,057,531.14","27,775,531,590","29,583,577,208.64","26,387,441,692.8","23,952,678,457.29","23,026,529,100","21,054,263,117","17,656,637,568.8","20,406,459,258.4","19,818,508,200","21,059,738,322.5","18,022,727,896.8","17,368,417,700.75"
NetDebt,"9,414,393,955.66","9,547,154,095","1,719,943,680","10,590,094,066.3","23,074,312,336.6","12,783,975,490.2",,,"21,162,820,625.94",,"13,806,795,870",,"10,525,756,374","10,635,832,965.24","17,261,603,960",,,"2,482,994,261.83","3,540,103,590","3,059,422,753.24","3,292,053,424.8",,"1,865,485,140","5,384,607,640.66","3,917,960,413.6","8,888,353,348","7,821,506,400","11,117,591,969","10,731,046,479","10,110,089,484.44"
ShareIssued,"8,614,201,046","8,614,201,046","8,501,309,362","8,499,447,650","8,423,371,932","8,424,180,108","8,425,890,730","8,243,342,524","8,243,566,446","8,244,041,256","8,244,943,706","8,253,930,410","8,268,124,351","8,281,617,455","7,987,990,551","7,987,989,996","7,989,503,803","7,989,991,585","8,007,492,094","8,010,393,330","8,010,393,330","7,654,641,158","7,212,330,100","7,218,315,348","7,262,787,069","7,279,944,046","7,304,656,180","3,701,072,070","3,701,705,781","3,714,398,983"
OrdinarySharesNumber,"8,614,201,046","8,614,201,046","8,501,309,362","8,499,447,650","8,423,371,932","8,424,180,108","8,425,890,730","8,243,342,524","8,243,566,446","8,244,041,256","8,244,943,706","8,253,930,410","8,268,124,351","8,281,617,455","7,987,990,551","7,987,989,996","7,989,503,803","7,989,991,585","8,007,492,094","8,010,393,330","8,010,393,330","7,654,641,158","7,212,330,100","7,218,315,348","7,262,787,069","7,279,944,046","7,304,656,180","3,701,072,070","3,701,705,781","3,714,398,983"
