name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"1,378,527,685,000","1,305,543,714,000","1,224,353,440,000","1,192,029,656,000","1,026,703,522,000","930,451,016,000","838,301,614,000","801,186,699,000","722,086,892,000","621,612,000,000","496,815,000,000","435,290,000,000","334,480,972,800","258,644,527,500","206,464,485,780","177,125,995,520","165,657,805,890","129,875,995,800","108,293,493,600","179,101,296,280"
	CashCashEquivalentsAndFederalFundsSold,"176,584,662,000","203,514,325,000","304,604,413,000","329,391,418,000","258,697,695,000","286,781,535,000","252,722,270,000","245,628,246,000","190,899,657,000","221,095,000,000","133,045,000,000","97,185,000,000","85,779,965,440","51,651,282,500","27,534,202,080","30,108,869,440","50,305,824,120","33,833,599,560","23,891,822,400","2,252,122,950"
		CashAndCashEquivalents,"128,306,101,000","107,209,743,000","32,869,423,000","30,890,164,000","29,782,777,000","25,805,598,000","22,378,752,000","22,874,061,000","93,777,577,000","90,182,000,000","50,899,000,000","50,235,000,000","45,181,460,480","37,037,260,000","16,555,079,100","10,669,312,680","24,235,428,000","21,161,043,960","11,997,001,800","2,252,122,950"
			CashFinancial,"18,987,770,000","19,612,004,000","15,028,350,000","14,517,940,000","17,299,737,000","14,505,288,000","12,069,278,000","12,040,245,000","22,566,720,000",,,,,,,,,,,
			CashEquivalents,"892,000","823,000",,,,,,,,,,,"5,483,878,400","4,736,282,500","3,444,110,250","2,690,568,520","2,463,935,180","2,725,661,400","1,713,857,400",
			CashAndDueFromBanks,"90,622,337,000","87,596,916,000","375,000","180,000","142,000","106,000","96,000","115,000","93,777,577,000","90,182,000,000","50,899,000,000","50,235,000,000","39,697,582,080","32,300,977,500","13,110,968,850","7,978,744,160","21,771,492,820","18,435,382,560","10,283,144,400","2,252,122,950"
			InterestBearingDepositsAssets,"18,695,102,000",,"17,840,698,000","16,372,044,000","12,482,898,000","11,300,204,000","10,309,378,000","10,833,701,000","9,320,671,000",,,,,,,,,,,
		RestrictedCashAndInvestments,,"0","250,689,399,000","213,323,108,000","199,281,806,000","203,537,595,000","173,121,214,000","154,085,716,000","97,122,080,000",,,,,,,,,,,
			RestrictedCashAndCashEquivalents,,"87,596,916,000","66,714,226,000","58,036,531,000","54,791,885,000","50,924,906,000","55,380,989,000","47,952,417,000","71,210,757,000",,,,,,,,,,,
			RestrictedInvestments,,"0","183,975,173,000","155,286,577,000","144,489,921,000","152,612,689,000","117,740,225,000","106,133,299,000","97,122,080,000",,,,,,,,,,,
