name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,140,229,000,000","1,133,283,000,000","1,133,248,000,000","1,213,126,000,000","1,120,012,000,000","1,357,906,000,000","1,312,267,000,000","1,490,321,000,000","1,563,527,000,000","1,489,645,000,000","1,378,929,000,000","2,040,632,712,660","1,228,571,844,500","996,477,015,870","924,143,778,360","521,854,770,640","442,786,400,000","403,267,529,850","357,433,626,960","316,526,961,840","254,493,381,200","219,442,593,235","234,456,708,360","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
	CashCashEquivalentsAndFederalFundsSold,"333,780,000,000","375,640,000,000","185,781,000,000","180,436,000,000","78,909,000,000","172,658,000,000","239,071,000,000","270,621,000,000","262,371,000,000","303,402,000,000","224,914,000,000","161,093,130,220","190,900,477,750","183,785,880,750","161,492,159,640","10,178,511,280","10,894,800,000","12,018,414,300","3,732,959,520","3,756,007,200","3,653,943,760","4,589,946,060","4,279,385,556","29,520,911,518","20,933,943,384","27,972,491,049","20,024,034,384","23,288,326,796","24,020,308,530","23,720,000,000","20,900,000,000","17,911,000,000","16,189,000,000","14,381,000,000","11,198,000,000"
		CashAndCashEquivalents,"150,258,000,000","177,069,000,000","173,235,000,000","103,820,000,000","50,722,000,000","40,905,000,000","46,969,000,000","87,631,000,000","108,706,000,000","97,630,000,000","81,483,000,000","31,523,327,810","7,644,934,250","9,749,851,820","5,805,207,240","3,523,350,880","3,727,360,000","4,369,542,300","3,732,959,520","3,756,007,200","3,653,943,760","4,589,946,060","4,279,385,556","29,520,911,518","20,933,943,384","27,972,491,049","20,024,034,384","23,288,326,796","24,020,308,530","23,720,000,000","20,900,000,000","17,911,000,000","16,189,000,000","14,381,000,000","11,198,000,000"
			CashEquivalents,,,,"102,353,000,000","49,711,000,000","39,695,000,000","45,687,000,000","86,175,000,000","106,894,000,000",,"81,483,000,000","29,838,687,520","5,806,943,000","7,342,758,260","3,904,814,040","1,752,290,960","1,723,680,000","2,033,283,750","1,283,548,950","1,244,637,680","1,164,613,440","2,115,503,175","1,717,549,356","27,870,930,654","18,942,955,644","25,318,794,105","17,199,471,660","11,497,396,540","22,730,485,860",,,,,,
			CashAndDueFromBanks,"150,258,000,000","177,069,000,000","173,235,000,000","103,820,000,000","1,011,000,000","1,210,000,000","46,969,000,000","87,631,000,000","1,812,000,000","97,630,000,000","81,483,000,000","1,684,640,290","1,837,991,250","2,407,093,560","1,900,393,200","1,771,059,920","2,003,680,000","2,336,258,550","2,449,410,570","2,511,369,520","2,489,330,320","2,474,442,885","2,561,836,200","1,649,980,864","1,990,987,740","2,653,696,944","2,824,562,724","11,790,930,256","1,289,822,670","23,720,000,000","20,900,000,000","17,911,000,000","16,189,000,000","14,381,000,000","11,198,000,000"
		RestrictedCashAndInvestments,"83,256,000,000","77,222,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,"100,266,000,000","121,349,000,000","12,546,000,000","76,616,000,000","28,187,000,000","131,753,000,000","192,102,000,000","182,990,000,000","153,665,000,000","205,772,000,000","143,431,000,000","129,569,802,410","183,255,543,500","174,036,028,930","155,686,952,400","6,655,160,400","7,167,440,000","7,648,872,000",,,,,,,,,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"100,266,000,000","121,349,000,000","12,546,000,000","76,616,000,000","28,187,000,000","131,753,000,000","192,102,000,000","182,990,000,000","153,665,000,000","205,772,000,000","143,431,000,000","129,569,802,410","183,255,543,500","174,036,028,930","155,686,952,400","6,655,160,400","7,167,440,000","7,648,872,000",,,,,,,,,,,,,,,,,
				SecurityAgreeToBeResell,"100,266,000,000","121,349,000,000","12,546,000,000","76,616,000,000","28,187,000,000","131,753,000,000","192,102,000,000","182,990,000,000","153,665,000,000","205,772,000,000","143,431,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	LongTermEquityInvestment,"721,000,000","762,000,000","718,000,000","684,000,000","573,000,000","711,000,000","653,000,000","570,000,000","427,000,000","518,000,000","422,000,000","341,000,000","377,000,000","228,000,000","546,000,000","429,000,000",,,,,,,,,,,,,,"785,000,000","767,000,000","630,000,000","308,000,000","295,000,000","370,000,000"
	DerivativeAssets,"252,006,000,000","242,167,000,000","237,669,000,000","357,329,000,000","327,709,000,000","439,909,000,000","348,839,000,000","495,521,000,000","538,964,000,000","420,319,000,000","459,383,000,000","984,802,000,000","248,088,000,000","138,353,000,000","136,823,000,000","94,211,000,000",,,,,,,,,,,,,,,,,,,
	NetLoan,"321,363,000,000","326,406,000,000","401,215,000,000","436,035,000,000","440,566,000,000","469,878,000,000","468,264,000,000","466,218,000,000","479,380,000,000","465,741,000,000","461,359,000,000","506,457,364,200","385,898,491,000","313,128,368,440","299,932,026,720","329,929,120,640","288,368,640,000","260,702,365,200","228,884,651,100","198,747,681,520","156,009,984,480","132,690,937,890","136,590,331,080","98,803,757,486","97,547,138,676","96,358,276,647","103,474,817,608","84,335,955,228","82,666,383,606","97,749,000,000","94,244,000,000","78,179,000,000","67,271,000,000","60,452,000,000","50,591,000,000"
		AllowanceForLoansAndLeaseLosses,,"6,770,000,000",,"0","0","0","10,000,000",,,,"10,796,000,000","6,263,966,510","3,772,798,500","3,333,998,120",,,,,,,,,,"2,260,022,982","2,912,608,296","3,102,141,537","3,925,764,280","3,607,787,827","2,683,590,030",,,,,,
	Receivables,,,,,,,,,"1,812,000,000","1,384,000,000","1,593,000,000",,,,,,,,,,,"2,395,461,690","2,203,118,640","1,884,024,016","1,824,149,892","1,358,382,231","1,422,252,952","1,383,010,608","9,216,660,762",,,,,,
	PrepaidAssets,,,"2,389,000,000","2,893,000,000","3,010,000,000","3,607,000,000","4,414,000,000","4,360,000,000","4,563,000,000","5,269,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
