name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"22,663,000,000","21,632,000,000","21,136,000,000","21,076,000,000","21,451,000,000","25,987,000,000","25,768,000,000","28,444,000,000","25,291,000,000","31,903,000,000","32,204,000,000","29,954,000,000","24,625,657,940","24,556,470,750","23,359,424,060","18,697,660,680","14,042,310,240","12,427,520,000","11,332,375,050","11,816,220,870","9,928,981,600","8,353,814,240","7,387,241,900","7,628,525,136","7,668,008,110","7,520,711,076","7,104,242,484","7,632,559,204","6,624,420,376","6,360,239,304",,,,,,
	NetInterestIncome,"9,480,000,000","9,407,000,000","9,062,000,000","9,845,000,000","10,537,000,000","12,558,000,000","12,080,000,000","11,600,000,000","11,639,000,000","12,201,000,000","12,523,000,000","11,918,000,000","11,399,831,780","9,619,577,250","9,139,911,870","8,072,893,560","6,838,679,120","6,595,120,000","6,207,879,150","6,117,676,470","5,160,660,160","4,621,364,160","4,313,963,715","4,034,574,432","3,983,989,044","3,844,259,832","3,689,769,618","3,912,784,312","3,727,588,088","3,616,740,792",,,,,,
		InterestIncome,"15,529,000,000","15,456,000,000","14,541,000,000","13,631,000,000","14,541,000,000","17,201,000,000","17,363,000,000","18,315,000,000","19,199,000,000","20,594,000,000","20,035,000,000","21,236,000,000","27,841,292,770","25,333,015,750","21,798,079,870","17,227,907,040","13,659,110,640","12,410,720,000","12,050,077,650","13,487,931,540","11,800,959,520","9,308,871,440","9,912,652,055","9,121,225,728","8,804,997,684","11,117,755,788","9,989,165,673","11,087,258,812","12,158,440,798","13,949,430,840",,,,,,
		InterestExpense,,"6,049,000,000","5,479,000,000","3,786,000,000","4,004,000,000","4,643,000,000","5,283,000,000","6,715,000,000","7,560,000,000","8,393,000,000","7,512,000,000","9,318,000,000","16,441,460,990","15,713,438,500","12,658,168,000","9,155,013,480","6,820,431,520","5,815,600,000","5,842,198,500","7,370,255,070","6,640,299,360","4,687,507,280","5,598,688,340","5,086,651,296","4,821,008,640","7,273,495,956","6,299,396,055","7,174,474,500","8,430,852,710","10,332,690,048",,,,,,
	NonInterestIncome,"13,183,000,000","12,225,000,000","12,074,000,000","11,231,000,000","10,914,000,000","13,429,000,000","13,688,000,000","16,844,000,000","13,652,000,000","19,702,000,000","19,681,000,000","18,036,000,000","13,225,826,160","14,936,893,500","14,219,512,190","10,624,767,120","7,203,631,120","5,832,400,000","5,124,495,900","5,698,544,400","4,768,321,440","3,732,450,080","3,073,278,185","3,593,950,704","3,684,019,066","3,676,451,244","3,414,472,866","3,719,774,892","2,896,832,288","2,743,498,512",,,,,,
		TotalPremiumsEarned,,,,,,"709,000,000","669,000,000","732,000,000","896,000,000","1,076,000,000","1,137,000,000","1,172,000,000","1,090,000,000","1,011,000,000","1,060,000,000","872,000,000","1,042,000,000",,,,,,,,,,,,,,,,,,,
		FeesAndCommissions,"7,718,000,000","6,760,000,000","6,809,000,000","6,685,000,000","6,650,000,000","7,892,000,000","8,174,000,000","8,563,000,000","8,406,000,000","8,622,000,000","8,871,000,000","8,418,000,000","9,431,800,440","8,686,714,750","8,002,718,390","5,705,000,000","4,847,000,000","4,263,000,000",,,,,,,,,,"2,620,533,852","2,085,988,254","1,843,321,464",,,,,,
			FeesandCommissionIncome,,"9,122,000,000","8,893,000,000","8,622,000,000","8,452,000,000","9,655,000,000","9,836,000,000","10,311,000,000","10,040,000,000","10,208,000,000","8,871,000,000","8,418,000,000","9,431,800,440","8,686,714,750","8,002,718,390","6,430,000,000","5,509,000,000","4,263,000,000",,,,,,,,,,"2,620,533,852","2,085,988,254","1,843,321,464",,,,,,
			FeesandCommissionExpense,,"2,362,000,000","2,084,000,000","1,937,000,000","1,802,000,000","1,763,000,000","1,662,000,000","1,748,000,000","1,634,000,000",,,"1,528,000,000","1,082,000,000","970,000,000","828,000,000","725,000,000","662,000,000",,,,,,,,,,,,,,,,,,,
		DividendIncome,,"76,000,000","91,000,000","48,000,000","8,000,000","8,000,000","9,000,000","14,000,000","42,000,000","129,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
IncomefromAssociatesandOtherParticipatingInterests,,"61,000,000","69,000,000","70,000,000","70,000,000","47,000,000","36,000,000","-56,000,000","110,000,000","60,000,000","58,000,000","34,000,000","14,000,000","42,000,000","46,000,000","45,000,000","56,000,000",,"-10,000,000",,,,,,,,,,,,,,,,,
SpecialIncomeCharges,"-1,821,000,000","-1,872,000,000","-2,216,000,000","104,000,000","304,000,000","-742,000,000","-471,000,000","-884,000,000","-27,000,000","-6,163,000,000","-5,705,000,000","-7,857,000,000","2,391,410,740","279,000,000","734,000,000","-9,000,000","45,000,000","-261,000,000","-13,037,850",,"214,246,400",,"-6,988,420","-487,565,520",,,,,,,,,,,,
	RestructuringAndMergernAcquisition,,,,,,,"358,000,000","661,000,000","-2,000,000",,,,"-2,391,410,740",,,,,,,,,,,,,,,,,,,,,,,
	ImpairmentOfCapitalAssets,,"33,000,000","9,000,000","80,000,000","116,000,000","170,000,000","141,000,000","150,000,000","57,000,000","6,199,000,000","5,915,000,000","8,071,000,000","142,000,000","16,000,000","21,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,
	OtherSpecialCharges,"1,788,000,000","1,839,000,000","2,207,000,000","-184,000,000","-420,000,000","640,000,000","471,000,000","-6,000,000","-28,000,000","-36,000,000","-210,000,000","-214,000,000","-2,881,000,000","-295,000,000","-755,000,000",,"-45,000,000","-4,000,000",,,,,,,,,,,,,,,,,,
OtherNonOperatingIncomeExpenses,,,,,,,,,,"-1,036,000,000","-210,000,000","-214,000,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,787,000,000","4,357,000,000","3,494,000,000","3,541,000,000","3,230,000,000","2,073,000,000","2,256,000,000","2,868,000,000","246,000,000","5,879,000,000","6,065,000,000","4,585,000,000","5,140,645,360","6,403,975,000","6,510,279,550","5,279,257,440","4,554,600,960","3,815,280,000","3,186,823,050","3,483,132,030","3,420,577,680","2,405,260,560","1,872,535,090","1,670,547,072","2,309,015,548","2,050,267,596","1,788,789,258","595,118,012","-299,599,552","478,573,110","760,000,000","692,000,000","1,391,000,000","369,000,000","920,000,000","840,000,000"
TaxProvision,"826,000,000","1,003,000,000","1,122,000,000","2,240,000,000","993,000,000","1,450,000,000","1,411,000,000","1,571,000,000","482,000,000","1,928,000,000","1,516,000,000","1,074,000,000","785,300,500","1,982,711,000","1,940,578,820","1,438,952,160","1,288,280,560","1,074,640,000","955,488,150","1,012,386,330","944,692,720","648,449,840","537,867,360","541,524,384","670,012,756","679,388,568","608,607,945","282,043,888","42,922,383","236,801,502",,,,,,
NetIncomeCommonStockholders,"2,028,000,000","2,461,000,000","1,597,000,000","-1,748,000,000","1,751,000,000","-324,000,000","-120,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,338,704,145","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
	NetIncome,"2,028,000,000","2,461,000,000","1,394,000,000","-1,922,000,000","1,623,000,000","-394,000,000","-174,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,338,704,145","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
		NetIncomeIncludingNoncontrollingInterests,"2,107,000,000","2,541,000,000","1,620,000,000","-1,533,000,000","2,371,000,000","278,000,000","595,000,000","1,297,000,000","-236,000,000","3,951,000,000","4,549,000,000","10,288,000,000","5,254,684,650","5,099,984,500","5,193,421,750","4,234,331,760","3,312,200,080","2,765,840,000","2,251,202,100","2,604,262,320","2,554,888,320","1,808,736,160","1,383,707,160","1,173,000,372","1,686,009,962","1,414,109,316","1,252,267,614","382,097,808","-284,632,761","295,748,028","760,000,000","692,000,000",,,,
			NetIncomeContinuousOperations,"2,961,000,000","3,354,000,000","2,372,000,000","1,301,000,000","2,237,000,000","623,000,000","845,000,000","1,297,000,000","-236,000,000","3,951,000,000","4,549,000,000","3,511,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,334,667,730","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
			NetIncomeDiscontinuousOperations,,"0","0","-2,195,000,000","591,000,000",,,,,"0","0","6,777,000,000","587,000,000",,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,"-854,000,000","-813,000,000","-752,000,000","-639,000,000","-457,000,000","-345,000,000","-250,000,000",,,,,,,,,,,,,,,,"4,036,415",,,,,,,,,,,,,
		MinorityInterests,"-79,000,000","-80,000,000","-226,000,000","-389,000,000","-748,000,000","-672,000,000","-769,000,000","-757,000,000","-805,000,000","-944,000,000","-985,000,000","-895,000,000","-899,339,790","-678,720,500","-623,721,020","-394,026,480","-45,879,680","-25,200,000","-19,867,200","-133,516,620","-79,003,360","-51,925,440","-45,003,015","-43,977,684","-47,007,170","-43,230,288","-72,086,301","-69,023,684","-57,889,174","-53,976,420",,,,,,
AverageDilutionEarnings,,,,,,"0","0","1,000,000","0",,,,"-19,000,000",,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"2,028,000,000","2,461,000,000","1,597,000,000","-1,748,000,000","1,751,000,000","-324,000,000","-120,000,000","541,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,338,704,145","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
BasicEPS,,"0.572","0.376","-0.412","0.416","-0.076","-0.028","0.152","-0.314","0.927","1.123","3.185","2.191","2.546","2.657","2.01","1.884","1.563","1.245","1.371","1.509","1.081","0.819","0.171","0.241","0.194","0.167","0.045","-0.049","0.035","0.311","0.267","0.584","0.171","0.587","0.46"
DilutedEPS,,"0.564","0.368","-0.412","0.412","-0.076","-0.028","0.148","-0.314","0.887","1.053","3.015","2.125","2.465","2.579","1.944","1.84","1.556","1.245","1.358","1.494","1.066","0.806","0.171","0.241","0.176","0.167","0.045","-0.049","0.035","0.311","0.267","0.584","0.171","0.587","0.46"
BasicAverageShares,,"4,300,000,000","4,268,750,000","4,249,000,000","4,215,000,000","4,171,750,000","4,082,250,000","3,577,000,000","3,308,543,438","3,244,402,350","3,172,868,586","2,947,242,375","1,999,740,488","1,734,786,375","1,720,442,588","1,715,029,838","1,726,937,888","1,754,542,912","1,793,244,075","1,801,831,664","1,641,095,332","1,624,605,863","1,635,518,949","1,637,611,735","5,511,941,791","1,768,493,045","1,756,491,042","1,748,082,913","1,738,405,011","1,708,414,953","2,441,359,050","2,589,566,519","1,523,261,803","1,730,291,627","1,730,291,627","1,730,291,627"
DilutedAverageShares,,"4,370,500,000","4,345,750,000","4,249,000,000","4,261,000,000","4,263,500,000","4,156,250,000","3,667,000,000","3,413,821,425","3,390,005,325","3,384,393,158","3,108,001,050","2,050,620,338","1,782,689,212","1,761,038,212","1,755,354,825","1,760,496,938","1,762,932,675","1,805,964,038","1,819,014,929","1,657,333,798","1,648,455,842","1,659,929,074","1,637,611,735","5,511,941,791","2,018,222,611","1,756,491,042","1,748,082,913","1,738,405,011","1,708,414,953","2,441,359,050","2,589,566,519","1,523,261,803","1,730,291,627","1,730,291,627","1,730,291,627"
RentExpenseSupplemental,,,,,,"500,000,000","594,000,000","645,000,000",,,,,"520,000,000","775,000,000","635,000,000","632,000,000","215,000,000","184,000,000","180,000,000",,,,,,,,,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"2,882,000,000","3,274,000,000","2,146,000,000","-1,283,000,000","2,080,000,000","-49,000,000","76,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","9,393,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,334,667,730","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
NormalizedIncome,"4,305,813,308.688","4,715,440,000","3,650,664,000","827,760,000","1,278,328,000","646,600,000","438,670,000","1,299,680,000","-1,020,480,000","7,148,863,071.951","7,842,985,160.758","8,632,559,869.138","2,329,253,242.078","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,240,463,681.005","2,470,745,700","2,320,808,978.947","1,756,810,720","1,339,648,794.818","1,458,539,014.234","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
ReconciledDepreciation,,"1,520,000,000","1,261,000,000","1,241,000,000","1,261,000,000","1,324,000,000","1,279,000,000","1,274,000,000","1,119,000,000","1,104,000,000","1,346,000,000","1,196,000,000","945,092,080","669,644,000","611,981,590","449,817,840","593,829,040","553,280,000","545,106,300","529,248,870","302,623,040","275,699,360","269,957,845","265,620,372","295,006,488","329,663,304","232,249,653","305,029,248","237,688,465","223,815,096","199,000,000",,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"2,882,000,000","3,274,000,000","2,146,000,000","912,000,000","1,489,000,000","-49,000,000","76,000,000","540,000,000","-1,041,000,000","3,007,000,000","3,564,000,000","2,616,000,000","4,355,344,860","4,421,264,000","4,569,700,730","3,840,305,280","3,266,320,400","2,740,640,000","2,231,334,900","2,470,745,700","2,475,884,960","1,756,810,720","1,334,667,730","1,129,022,688","1,639,002,792","1,370,879,028","1,180,181,313","313,074,124","-342,521,935","241,771,608","760,000,000","692,000,000",,,,
TotalUnusualItemsExcludingGoodwill,"-1,821,000,000","-1,872,000,000","-2,216,000,000","104,000,000","304,000,000","-742,000,000","-471,000,000","-884,000,000","-27,000,000","-6,163,000,000","-5,705,000,000","-7,857,000,000","2,391,410,740","279,000,000","734,000,000","-9,000,000","45,000,000","-261,000,000","-13,037,850",,"214,246,400",,"-6,988,420","-487,565,520",,,,,,,,,,,,
TotalUnusualItems,"-1,821,000,000","-1,872,000,000","-2,216,000,000","104,000,000","304,000,000","-742,000,000","-471,000,000","-884,000,000","-27,000,000","-6,163,000,000","-5,705,000,000","-7,857,000,000","2,391,410,740","279,000,000","734,000,000","-9,000,000","45,000,000","-261,000,000","-13,037,850",,"214,246,400",,"-6,988,420","-487,565,520",,,,,,,,,,,,
TaxRateForCalcs,"0.218","0.23","0.321","0.19","0.307","0.2","0.23","0.23","0.24","0.328","0.25","0.234","0.153","0.31","0.298","0.273","0.283","0.282","0.3","0.291","0.276","0.27","0.287","0.324","0.29","0.331","0.34","0.4","0.4","0.4","0.4","0.4",,,,
TaxEffectOfUnusualItems,"-397,186,691.312","-430,560,000","-711,336,000","19,760,000","93,328,000","-148,400,000","-108,330,000","-203,320,000","-6,480,000","-2,021,136,928.049","-1,426,014,839.242","-1,840,440,130.862","365,319,122.078","0","0","0","0","0","-3,909,068.995","0","59,170,418.947","0","-2,007,355.182","-158,049,193.766","0","0","0","0","0","0","0","0",,,,
