name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013,09/30/2012,06/30/2012,12/31/2011,06/30/2011,12/31/2010,06/30/2010,12/31/2009,06/30/2009,12/31/2008,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000,06/30/2000,12/31/1999,06/30/1999,12/31/1998,06/30/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,444,296,000,000","1,140,229,000,000","1,290,351,000,000","1,232,822,000,000","1,193,543,000,000","1,133,283,000,000","1,170,775,000,000","1,149,572,000,000","1,142,200,000,000","1,133,248,000,000","1,149,255,000,000","1,135,316,000,000","1,203,791,000,000","1,213,126,000,000","1,324,036,000,000","1,351,282,000,000","1,248,876,000,000","1,120,012,000,000","1,236,529,000,000","1,196,719,000,000","1,416,409,000,000","1,357,906,000,000","1,365,730,000,000","1,314,899,000,000","1,361,948,000,000","1,404,835,000,000","1,532,733,000,000","1,596,122,000,000","1,599,138,000,000","1,631,265,000,000","1,563,527,000,000","1,492,922,000,000","1,489,645,000,000","1,587,146,000,000","1,378,929,000,000","1,545,338,000,000","2,040,632,712,660","1,365,654,000,000","1,228,571,844,500","1,158,262,000,000","996,477,015,870","986,124,000,000","924,143,778,360","850,123,000,000","521,854,770,640","512,331,000,000","442,786,400,000","439,089,000,000","403,267,529,850","381,829,000,000","357,433,626,960","355,555,000,000","316,526,961,840","278,371,000,000","254,493,381,200","241,450,531,200","219,442,593,235","248,853,116,900","234,456,708,360","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
TotalLiabilitiesNetMinorityInterest,"1,374,696,000,000","1,074,569,000,000","1,222,933,000,000","1,164,025,000,000","1,127,659,000,000","1,069,504,000,000","1,105,493,000,000","1,086,404,000,000","1,080,570,000,000","1,067,232,000,000","1,082,210,000,000","1,069,053,000,000","1,132,425,000,000","1,141,761,000,000","1,253,916,000,000","1,281,862,000,000","1,180,508,000,000","1,054,148,000,000","1,168,454,000,000","1,131,144,000,000","1,349,321,000,000","1,291,948,000,000","1,299,202,000,000","1,249,874,000,000","1,297,063,000,000","1,346,621,000,000","1,472,596,000,000","1,534,691,000,000","1,535,430,000,000","1,567,575,000,000","1,498,331,000,000","1,430,933,000,000","1,427,383,000,000","1,526,073,000,000","1,320,451,000,000","1,496,651,000,000","1,993,507,171,090","1,332,832,000,000","1,196,063,855,500","1,129,541,000,000","969,095,561,010","960,585,000,000","899,719,367,040","828,338,000,000","503,545,128,800","497,175,000,000","425,769,120,000","439,089,000,000","387,899,008,950","381,829,000,000","340,883,071,920","355,555,000,000","301,724,544,160","278,371,000,000","245,668,529,040","232,876,949,200","211,207,523,450","240,650,532,894","226,517,435,820","178,414,516,658","162,269,674,992","156,072,150,594","160,051,185,524","139,189,639,841","131,684,134,194","128,307,000,000","120,943,000,000","98,818,000,000","83,557,000,000","75,126,000,000","61,830,000,000"
TotalEquityGrossMinorityInterest,"69,600,000,000","65,660,000,000","67,418,000,000","68,797,000,000","65,884,000,000","63,779,000,000","65,282,000,000","63,168,000,000","61,630,000,000","66,016,000,000","67,045,000,000","66,263,000,000","71,366,000,000","71,365,000,000","70,120,000,000","69,420,000,000","68,368,000,000","65,864,000,000","68,075,000,000","65,575,000,000","67,088,000,000","65,958,000,000","66,528,000,000","65,025,000,000","64,885,000,000","58,214,000,000","60,137,000,000","61,431,000,000","63,708,000,000","63,690,000,000","65,196,000,000","61,989,000,000","62,262,000,000","61,073,000,000","58,478,000,000","48,687,000,000","47,125,541,570","32,822,000,000","32,507,989,000","28,721,000,000","27,381,454,860","25,539,000,000","24,424,411,320","21,785,000,000","18,309,641,840","15,156,000,000","17,017,280,000",,"15,368,520,900",,"16,550,555,040",,"14,802,417,680",,"8,824,852,160","8,573,582,000","8,235,069,785","8,202,584,006","7,939,272,540","7,586,957,238","7,407,134,496","6,496,657,947","5,990,187,628","9,712,919,895","6,299,315,424","6,580,000,000","6,673,000,000","5,827,000,000","4,298,000,000","3,876,000,000","3,274,000,000"
	StockholdersEquity,"68,369,000,000","64,429,000,000","66,197,000,000","67,576,000,000","64,661,000,000","62,556,000,000","63,169,000,000","61,055,000,000","59,519,000,000","63,905,000,000","64,649,000,000","63,866,000,000","65,536,000,000","64,873,000,000","63,929,000,000","62,854,000,000","62,166,000,000","59,810,000,000","61,945,000,000","59,281,000,000","60,693,000,000","59,567,000,000","59,571,000,000","58,068,000,000","56,393,000,000","49,436,000,000","51,083,000,000","52,140,000,000","54,295,000,000","54,205,000,000","55,589,000,000","51,572,000,000","50,858,000,000","49,591,000,000","47,277,000,000","37,699,000,000","36,397,653,870","22,289,000,000","23,313,998,750","20,973,000,000","19,792,678,980","17,988,000,000","17,422,014,480","16,099,000,000","17,409,253,120","14,978,000,000","16,734,480,000",,"15,212,687,550",,"14,540,235,210",,"13,200,925,840",,"8,473,119,120","8,224,311,400","7,921,133,090","7,881,723,106","7,613,523,120","7,266,958,118","7,062,392,364","6,167,312,460","5,313,065,964","9,030,908,943","5,734,807,578","6,105,000,000","6,225,000,000","5,711,000,000","4,187,000,000","3,770,000,000","3,250,000,000"
		CapitalStock,"4,607,000,000","4,594,000,000","4,527,000,000","4,494,000,000","4,320,000,000","4,311,000,000","4,302,000,000","22,144,000,000","22,061,000,000","22,045,000,000","22,017,000,000","21,998,000,000","21,877,000,000","21,842,000,000","21,812,000,000","21,763,000,000","21,712,000,000","21,586,000,000","21,551,000,000","21,523,000,000","21,381,000,000","20,809,000,000","20,730,000,000","20,655,000,000","20,592,000,000","14,015,000,000",,"13,977,000,000","12,471,000,000","0","3,050,000,000","0","3,045,000,000","3,011,000,000","2,853,000,000","2,757,000,000","2,080,704,890","1,642,000,000","1,652,427,250","1,637,000,000","1,633,312,000","1,628,000,000","1,622,598,720","1,616,000,000","1,613,087,840","1,613,000,000","1,639,680,000",,"1,645,873,350",,"1,671,710,670",,"1,663,757,200",,"1,493,474,560","1,504,165,000",,,,,,,,,,,,,,,
			CommonStock,"4,607,000,000","4,594,000,000","4,527,000,000","4,494,000,000","4,320,000,000","4,311,000,000","4,302,000,000","22,144,000,000","22,061,000,000","22,045,000,000","22,017,000,000","21,998,000,000","21,877,000,000","21,842,000,000","21,812,000,000","21,763,000,000","21,712,000,000","21,586,000,000","21,551,000,000","21,523,000,000","21,381,000,000","20,809,000,000","20,730,000,000","20,655,000,000","20,592,000,000","14,015,000,000",,"13,977,000,000","12,471,000,000",,"3,050,000,000",,"3,045,000,000","3,011,000,000","2,853,000,000","2,757,000,000","2,080,704,890","1,642,000,000","1,652,427,250","1,637,000,000","1,633,312,000","1,628,000,000","1,622,598,720","1,616,000,000","1,613,087,840","1,613,000,000","1,639,680,000",,"1,645,873,350",,"1,671,710,670",,"1,663,757,200",,"1,493,474,560","1,504,165,000",,,,,,,,,,,,,,,
		AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,462,000,000","9,330,000,000","12,361,000,000","9,294,000,000","9,053,000,000","7,951,000,000","7,282,000,000","4,020,738,560","-120,000,000","55,971,750","5,604,000,000","5,816,121,950","5,494,000,000","5,648,875,200","5,315,000,000","5,521,723,760","5,627,000,000","5,410,160,000",,"5,279,708,400",,"5,160,348,540",,"4,955,117,520",,"1,581,253,280",,,,,,,,,,,,,,,,
		RetainedEarnings,"46,725,000,000","44,204,000,000","43,867,000,000","44,556,000,000","43,814,000,000","43,460,000,000","43,807,000,000","25,441,000,000","24,316,000,000","27,536,000,000","28,618,000,000","28,026,000,000","30,372,000,000","30,531,000,000","29,334,000,000","30,082,000,000","31,274,000,000","31,021,000,000","33,010,000,000","32,099,000,000","31,310,000,000","31,712,000,000","33,697,000,000","33,241,000,000","33,314,000,000","33,555,000,000",,"36,391,000,000","38,239,000,000","38,476,000,000","39,372,000,000","37,920,000,000","36,765,000,000","36,053,000,000","33,845,000,000","26,121,000,000","24,062,290,190","20,965,000,000","20,990,919,000","13,461,000,000","12,165,111,940","10,279,000,000","8,955,094,440","7,575,000,000","9,325,044,960","7,164,000,000","8,487,920,000",,"7,383,769,050",,"6,827,241,600",,"5,850,265,760",,"4,835,247,520","6,720,146,400","4,494,939,695","6,373,377,006","6,084,829,788","4,054,996,148","3,885,483,924","3,048,092,802","2,574,495,528","3,663,699,011","4,137,265,872",,,,,,
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,000,000","165,000,000","130,000,000","989,000,000","738,000,000","140,000,000","154,000,000","172,083,240",,"260,193,000",,"211,820,150",,"180,740,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,"10,871,000,000","10,871,000,000","10,860,000,000","12,123,000,000","11,119,000,000","9,632,000,000","10,843,000,000","8,938,000,000","8,941,000,000","8,941,000,000","8,940,000,000","7,694,000,000","7,690,000,000","6,449,000,000","6,442,000,000","5,314,000,000","5,312,000,000","5,305,000,000","5,314,000,000","4,325,000,000","4,323,000,000","4,322,000,000","4,317,000,000","4,326,000,000","2,063,000,000",,,,,"3,310,000,000",,"1,421,000,000","1,589,000,000","2,212,000,000","2,768,000,000","1,693,000,000",,,,,,,,,,"617,000,000",,,,,,,,,,,"3,426,193,395","1,508,346,100","1,528,693,332","3,211,961,970","3,176,908,440","3,119,219,658","2,738,570,436","5,367,209,932","1,597,541,706",,,,,,
