name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2001
TotalAssets,"3,249,490,000","2,932,309,000","3,006,124,000","2,909,887,000","2,882,038,000","583,065,000","515,839,000","550,841,000","488,803,000","412,804,000","434,951,000","521,140,000","647,423,000","748,515,000","724,407,000","697,011,000","622,128,000","564,204,000"
	CurrentAssets,"1,306,867,000","1,373,751,000","1,395,868,000","1,215,981,000","1,194,329,000","331,540,000","331,161,000","379,872,000","319,661,000","235,349,000","240,342,000","310,617,000","368,766,000","440,311,000","442,581,000","433,579,000","367,298,000",
		CashCashEquivalentsAndShortTermInvestments,"14,096,000","10,127,000","57,533,000","14,449,000","65,063,000","17,773,000","54,696,000","131,432,000","146,833,000","103,234,000","84,098,000","106,891,000","97,574,000","93,258,000","30,736,000","50,628,000","5,585,000","3,309,000"
			CashAndCashEquivalents,"14,096,000","10,127,000","57,533,000","14,449,000","65,063,000","17,773,000","54,696,000","131,432,000","146,833,000","103,234,000","84,098,000","106,891,000","97,574,000","93,258,000","30,736,000","50,628,000","5,585,000","3,309,000"
		Receivables,"692,393,000","722,807,000","703,224,000","624,989,000","586,322,000","148,352,000","143,036,000","117,405,000","76,429,000","59,691,000","100,481,000","126,500,000","149,482,000","196,658,000","237,695,000","223,242,000","216,855,000",
			AccountsReceivable,"614,946,000","654,170,000","631,992,000","569,208,000","528,544,000","142,204,000","136,359,000","111,527,000","76,429,000","55,631,000","60,723,000","84,984,000","149,482,000","196,658,000","237,695,000","223,242,000","216,855,000",
				GrossAccountsReceivable,"628,438,000","667,224,000","643,763,000","580,779,000","536,593,000","151,505,000","146,641,000","120,236,000","78,567,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-13,492,000","-13,054,000","-11,771,000","-11,571,000","-8,049,000","-3,153,000","-3,605,000","-2,831,000","-2,138,000",,,,,,,,,
			OtherReceivables,"77,447,000","68,637,000","71,232,000","55,781,000","57,778,000","9,301,000","10,282,000","8,709,000",,"4,060,000","39,758,000","41,516,000",,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,"-3,153,000","-3,605,000","-2,831,000",,,,,,,,,,
		Inventory,"561,255,000","596,896,000","601,547,000","541,771,000","513,045,000","138,156,000","123,636,000","108,999,000","73,327,000","63,810,000","48,022,000","68,868,000","95,038,000","122,015,000","149,397,000","137,858,000","122,552,000",
		RestrictedCash,,,,,,,"0","12,068,000","13,229,000",,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,"0","17,399,000","18,166,000","17,719,000","14,095,000","14,045,000",
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"0","17,399,000","18,166,000","17,719,000","14,095,000","14,045,000",
		OtherCurrentAssets,"39,123,000","43,921,000","33,564,000","34,772,000","29,899,000","27,259,000","9,793,000","9,968,000","9,843,000","8,614,000","7,741,000","8,358,000","9,273,000","10,214,000","7,034,000","7,756,000","8,261,000",
	TotalNonCurrentAssets,"1,942,623,000","1,558,558,000","1,610,256,000","1,693,906,000","1,687,709,000","251,525,000","184,678,000","170,969,000","169,142,000","177,455,000","194,609,000","210,523,000","278,657,000","308,204,000","281,826,000","263,432,000","254,830,000",
		NetPPE,"1,014,571,000","670,075,000","639,303,000","656,101,000","734,329,000","75,679,000","49,392,000","44,084,000","48,224,000","57,068,000","64,025,000","80,374,000","96,358,000","109,777,000","99,862,000","87,486,000","85,741,000",
			GrossPPE,"1,463,587,000","1,060,200,000","964,154,000","925,433,000","922,598,000","227,996,000","196,232,000","185,418,000","186,478,000","185,041,000","184,340,000","205,761,000","214,551,000","222,075,000","200,080,000","179,350,000","163,174,000",
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,"198,123,000","198,304,000","188,551,000","195,064,000","214,302,000","17,334,000","14,437,000","12,815,000","13,992,000","13,993,000","14,007,000","13,915,000","13,820,000","16,800,000","12,896,000","13,324,000","12,291,000",
				BuildingsAndImprovements,"374,909,000","358,411,000","337,536,000","331,498,000","338,566,000","64,776,000","58,974,000","56,743,000","62,331,000","61,882,000","63,606,000","68,246,000","69,860,000","65,714,000","52,733,000","45,836,000","41,268,000",
				MachineryFurnitureEquipment,"531,543,000","482,675,000","413,839,000","386,100,000","361,902,000","132,545,000","117,843,000","115,588,000","107,964,000","108,881,000","106,295,000","122,664,000","129,814,000","135,390,000","121,952,000","115,130,000","108,573,000",
				OtherProperties,"329,837,000",,,,,,,,,,,,,,,,,
				ConstructionInProgress,"29,175,000","20,810,000","24,228,000","12,771,000","7,828,000","13,341,000","4,978,000","272,000","2,191,000","285,000","432,000","936,000","1,057,000","4,171,000","12,499,000","5,060,000","1,042,000",
			AccumulatedDepreciation,"-449,016,000","-390,125,000","-324,851,000","-269,332,000","-188,269,000","-152,317,000","-146,840,000","-141,334,000","-138,254,000","-127,973,000","-120,315,000","-125,387,000","-118,193,000","-112,298,000","-100,218,000","-91,864,000","-77,433,000",
		GoodwillAndOtherIntangibleAssets,"897,410,000","843,565,000","872,978,000","899,784,000","929,229,000","157,002,000","112,020,000","112,401,000","112,850,000","113,393,000","113,941,000","115,233,000","166,156,000","181,661,000","163,030,000","163,152,000","163,244,000",
			Goodwill,"769,022,000","740,411,000","740,411,000","740,411,000","739,625,000","139,774,000","111,193,000","111,193,000","111,193,000","111,193,000","111,193,000","111,193,000","155,588,000","173,806,000",,,,
			OtherIntangibleAssets,"128,388,000","103,154,000","132,567,000","159,373,000","189,604,000","17,228,000","827,000","1,208,000","1,657,000","2,200,000","2,748,000","4,040,000","10,568,000","7,855,000","163,030,000","163,152,000","163,244,000",
		NonCurrentDeferredAssets,"8,417,000","22,766,000","75,105,000","115,320,000",,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"8,417,000","22,766,000","75,105,000","115,320,000",,,,,,,,,,,,,,
		OtherNonCurrentAssets,"22,225,000","22,152,000","22,870,000","22,701,000","24,151,000","18,844,000","23,266,000","14,484,000","8,068,000","6,994,000","16,643,000","14,916,000","16,143,000","16,766,000","18,934,000","12,794,000","5,845,000",
TotalLiabilitiesNetMinorityInterest,"2,424,537,000","2,335,971,000","2,629,915,000","2,600,267,000","2,732,843,000","542,865,000","500,471,000","502,745,000","387,579,000","253,299,000","388,004,000","418,666,000","405,876,000","491,651,000","553,272,000","486,121,000","323,195,000","271,169,000"
	CurrentLiabilities,"821,301,000","731,259,000","798,354,000","754,697,000","735,238,000","172,167,000","126,423,000","117,235,000","73,855,000","76,451,000","68,541,000","73,252,000","113,477,000","144,715,000","211,672,000","154,949,000","140,159,000",
		PayablesAndAccruedExpenses,"657,647,000","626,574,000","703,464,000","623,699,000","580,611,000","125,396,000","111,309,000","105,363,000","73,801,000","71,150,000","68,493,000","73,208,000","113,437,000","144,273,000","211,570,000","153,241,000","113,628,000",
			Payables,"469,427,000","452,122,000","542,742,000","439,936,000","394,401,000","85,035,000","89,485,000","86,527,000","48,618,000","44,866,000","39,570,000","42,802,000","65,811,000","84,944,000","127,998,000","94,378,000","65,778,000",
				AccountsPayable,"436,823,000","423,168,000","514,282,000","409,759,000","365,347,000","75,868,000","81,046,000","79,397,000","48,618,000","44,866,000","39,570,000","35,414,000","65,811,000","84,944,000","127,998,000","94,378,000","65,778,000",
				TotalTaxPayable,"32,604,000","28,954,000","28,460,000","30,177,000","29,054,000","9,167,000","8,439,000","7,130,000",,,,"7,388,000",,,,,,
			CurrentAccruedExpenses,"188,220,000","174,452,000","160,722,000","183,763,000","186,210,000","40,361,000","21,824,000","18,836,000","25,183,000","26,284,000","28,923,000","30,406,000","47,626,000","59,329,000","83,572,000","58,863,000","47,850,000",
				InterestPayable,"12,256,000","13,164,000","14,403,000","28,570,000","33,712,000","2,329,000","2,227,000","4,134,000",,,,"2,435,000",,,,,,
