name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"2,603,963,000","2,454,531,000","1,749,549,000","1,690,119,000","1,642,249,000","1,476,430,000","1,466,950,000"
	CurrentAssets,"779,827,000","704,697,000","511,592,000","526,553,000","480,361,000","335,240,000","310,560,000"
		CashCashEquivalentsAndShortTermInvestments,"184,807,000","100,929,000","56,521,000","134,375,000","112,848,000","2,970,000","3,020,000"
			CashAndCashEquivalents,"184,807,000","100,929,000","56,521,000","134,375,000","112,848,000","2,970,000","3,020,000"
		Receivables,"428,844,000","407,106,000","308,508,000","252,624,000","235,549,000","220,180,000","204,510,000"
			AccountsReceivable,"428,844,000","407,106,000","308,508,000","252,624,000","235,549,000","220,180,000","204,510,000"
				GrossAccountsReceivable,"433,698,000","410,782,000","312,181,000","255,998,000","238,948,000",,
				AllowanceForDoubtfulAccountsReceivable,"-4,854,000","-3,676,000","-3,673,000","-3,374,000","-3,399,000",,
		Inventory,"149,078,000","168,977,000","131,342,000","116,190,000","118,701,000","106,970,000","97,990,000"
		PrepaidAssets,"17,098,000","27,685,000","15,221,000","23,364,000","13,263,000","5,120,000","5,040,000"
	TotalNonCurrentAssets,"1,824,136,000","1,749,834,000","1,237,957,000","1,163,566,000","1,161,888,000","1,141,190,000","1,156,390,000"
		NetPPE,"265,214,000","167,961,000","107,121,000","92,760,000","93,066,000","93,160,000","106,350,000"
			GrossPPE,"508,191,000","389,458,000","312,223,000","293,637,000","293,129,000","292,190,000","284,590,000"
				Properties,"0","0","0","0","0","0","0"
				LandAndImprovements,"7,597,000","7,649,000","7,846,000","7,907,000","7,950,000","8,060,000","8,090,000"
				BuildingsAndImprovements,"39,715,000","38,933,000","40,515,000","38,865,000","39,424,000","39,520,000","39,840,000"
				MachineryFurnitureEquipment,"373,745,000","342,876,000","263,862,000","246,865,000","245,755,000","244,610,000","236,660,000"
				OtherProperties,"87,134,000",,,,,,
			AccumulatedDepreciation,"-242,977,000","-221,497,000","-205,102,000","-200,877,000","-200,063,000","-199,030,000","-178,240,000"
		GoodwillAndOtherIntangibleAssets,"1,549,040,000","1,563,403,000","1,110,429,000","1,047,714,000","1,046,028,000","1,047,000,000","1,048,170,000"
			Goodwill,"1,367,918,000","1,364,016,000","1,077,186,000","1,045,058,000","1,044,041,000","1,044,040,000","1,044,040,000"
			OtherIntangibleAssets,"181,122,000","199,387,000","33,243,000","2,656,000","1,987,000","2,960,000","4,130,000"
		NonCurrentDeferredAssets,"4,259,000","13,176,000","18,129,000","19,469,000","20,549,000",,
			NonCurrentDeferredTaxesAssets,"4,259,000","13,176,000","18,129,000","19,469,000","20,549,000",,
