name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalAssets,"42,172,021,000","38,020,504,000","32,272,160,000","32,772,281,000","31,476,128,000","29,089,698,000","27,015,432,000","28,148,631,000","25,493,946,000","23,941,603,000","23,516,831,000","22,734,648,000","20,839,864,000","18,059,624,000","16,252,907,000","14,395,414,000","13,581,743,000","12,245,045,000","11,130,388,000","9,748,334,000","8,374,000,000","6,809,300,000","5,399,600,000","4,620,700,000","4,221,900,000","3,898,300,000","2,916,600,000","2,635,200,000","2,094,100,000"
	CashCashEquivalentsAndFederalFundsSold,"1,719,373,000","1,487,871,000","2,637,243,000","2,844,737,000","2,917,283,000","2,617,336,000","1,172,453,000","1,286,239,000","986,365,000","1,269,404,000","921,216,000","694,942,000","890,413,000","797,326,000","699,322,000","531,091,000","643,912,000","624,215,000","647,338,000","750,729,000","426,900,000","435,400,000","389,300,000","367,600,000","311,900,000","309,100,000","374,500,000","324,100,000","332,200,000"
		CashAndCashEquivalents,"1,258,821,000","1,143,424,000","2,317,054,000","2,537,497,000","2,643,599,000","2,475,842,000","1,087,213,000","1,266,834,000","976,191,000","1,247,946,000","875,250,000","581,133,000","717,259,000","775,376,000","684,857,000","503,715,000","629,480,000","604,680,000","643,938,000","701,424,000","397,900,000","435,400,000","389,300,000","367,600,000","311,900,000","309,100,000","374,500,000","324,100,000","332,200,000"
			CashAndDueFromBanks,"1,258,821,000","1,143,424,000","2,317,054,000","2,537,497,000","2,643,599,000","2,475,842,000","1,087,213,000","1,266,834,000","976,191,000","1,247,946,000","875,250,000","581,133,000","717,259,000","775,376,000","684,857,000","503,715,000","629,480,000","604,680,000","643,938,000","701,424,000","397,900,000","435,400,000","389,300,000","367,600,000","311,900,000","309,100,000","374,500,000","324,100,000","332,200,000"
		RestrictedCashAndInvestments,"460,552,000","344,447,000","320,189,000","307,240,000","273,684,000","141,494,000","85,240,000",,,,,,,,,,,,,,,,,,,,,,
			RestrictedInvestments,"460,552,000","344,447,000","320,189,000","307,240,000","273,684,000","141,494,000","85,240,000",,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,,,,,,,,"19,405,000","10,174,000","21,458,000","45,966,000","113,809,000","173,154,000","21,950,000","14,465,000","27,376,000","14,432,000","19,535,000","3,400,000","49,305,000","29,000,000",,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,"19,405,000","10,174,000","21,458,000","45,966,000","113,809,000","173,154,000","21,950,000","14,465,000","27,376,000","14,432,000","19,535,000","3,400,000","49,305,000","29,000,000",,,,,,,,
				SecurityAgreeToBeResell,,,,,,,,,"10,174,000","21,458,000","45,966,000","113,809,000",,,,,,,,,,,,,,,,,
	CustomerAcceptances,,,,,,,,"605,000","1,881,000","1,222,000","3,869,000","12,913,000","1,780,000","43,613,000","33,001,000","31,799,000","30,884,000","3,728,000","4,179,000",,,,,,,,,,
	OtherRealEstateOwned,"20,359,000","17,487,000","28,437,000","44,287,000","30,731,000","101,861,000","92,272,000","103,791,000","127,943,000","141,394,000","129,034,000","29,179,000",,,,,,,,,,,,,,,,,
	BankOwnedLifeInsurance,"389,879,000","381,608,000","316,498,000","308,430,000","303,335,000","293,978,000","284,801,000","274,531,000","263,318,000","255,442,000","247,357,000","237,006,000",,,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"13,186,982,000","11,169,230,000","9,246,047,000","9,560,602,000","9,762,973,000","9,820,005,000","10,916,656,000","12,000,857,000","11,346,627,000","10,134,293,000","9,463,732,000","7,132,607,000","6,098,914,000","5,103,663,000","5,085,333,000","4,823,976,000","4,714,642,000","4,136,403,000","3,700,989,000","3,037,056,000","2,816,400,000","2,488,500,000","1,967,500,000","1,664,000,000","1,553,600,000","1,590,100,000","873,400,000","906,000,000","595,200,000"
		TradingSecurities,"1,623,921,000","1,956,923,000","462,676,000","337,628,000","122,404,000","188,700,000","91,616,000","214,102,000","76,800,000","483,488,000","351,304,000","498,812,000","45,724,000","37,076,000","18,633,000","9,692,000","7,823,000","5,110,000","10,327,000","39,865,000","14,500,000","41,100,000","5,000,000","6,500,000","7,800,000","2,500,000","2,800,000","1,000,000","500,000"
		AvailableForSaleSecurities,"293,418,000","355,187,000","461,793,000","546,145,000","597,836,000","652,360,000","677,878,000","499,534,000","11,269,827,000","9,650,805,000","9,112,428,000","6,633,795,000","6,053,190,000","5,066,587,000","5,066,700,000","4,814,284,000","4,706,819,000","4,131,293,000","3,690,662,000","2,997,191,000","2,801,900,000","2,447,400,000","1,962,500,000","1,657,500,000","1,545,800,000","1,587,600,000","870,600,000","905,000,000","594,700,000"
		OtherShortTermInvestments,"11,269,643,000","8,857,120,000","8,321,578,000","8,676,829,000","9,042,733,000","8,978,945,000","10,147,162,000","11,287,221,000",,,,,,,,,,,,,,,,,,,,,
