name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"111,643,000,000","122,520,000,000","84,347,000,000","78,127,000,000","71,866,000,000","65,575,000,000","52,446,000,000","47,681,000,000"
	CurrentAssets,"3,289,000,000","7,114,000,000","3,912,000,000","4,198,000,000","3,064,000,000","6,765,000,000","3,011,000,000","2,095,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,438,000,000","3,288,000,000","1,491,000,000","1,456,000,000","1,035,000,000","1,282,000,000","1,368,000,000","894,000,000"
			CashAndCashEquivalents,"1,438,000,000","3,288,000,000","1,491,000,000","1,456,000,000","1,035,000,000","1,282,000,000","1,368,000,000","894,000,000"
		Receivables,"567,000,000","1,255,000,000","428,000,000","416,000,000","426,000,000","595,000,000","994,000,000","484,000,000"
			AccountsReceivable,"510,000,000","794,000,000","421,000,000","414,000,000","422,000,000","478,000,000","386,000,000","272,000,000"
			LoansReceivable,"57,000,000","461,000,000","7,000,000","2,000,000","4,000,000","117,000,000","608,000,000","212,000,000"
			NotesReceivable,"0","268,000,000","517,000,000",,"449,000,000","609,000,000",,
		PrepaidAssets,"278,000,000","317,000,000","94,000,000","130,000,000",,,,
		RestrictedCash,"239,000,000","631,000,000","237,000,000","313,000,000","338,000,000","2,121,000,000","337,000,000","325,000,000"
		AssetsHeldForSaleCurrent,"387,000,000","1,004,000,000","1,433,000,000","147,000,000","805,000,000","2,241,000,000",,
		HedgingAssetsCurrent,"80,000,000","234,000,000","37,000,000","1,338,000,000",,,,
		OtherCurrentAssets,"300,000,000","385,000,000","192,000,000","398,000,000","460,000,000","526,000,000","312,000,000","392,000,000"
	TotalNonCurrentAssets,"108,354,000,000","115,406,000,000","80,435,000,000","73,929,000,000","68,802,000,000","58,810,000,000","49,435,000,000","45,586,000,000"
		NetPPE,"7,278,000,000","7,506,000,000","5,457,000,000","5,357,000,000","5,016,000,000","2,478,000,000","2,432,000,000","2,970,000,000"
			GrossPPE,"8,589,000,000","8,510,000,000","6,207,000,000","6,076,000,000","5,547,000,000","2,856,000,000","2,698,000,000","3,130,000,000"
			AccumulatedDepreciation,"-1,311,000,000","-1,004,000,000","-750,000,000","-719,000,000","-531,000,000","-378,000,000","-266,000,000","-160,000,000"
		GoodwillAndOtherIntangibleAssets,"2,203,000,000","2,288,000,000","2,267,000,000","1,902,000,000","2,209,000,000","78,000,000","446,000,000","598,000,000"
			Goodwill,"1,041,000,000","1,109,000,000","1,079,000,000","761,000,000","888,000,000","78,000,000","120,000,000","138,000,000"
			OtherIntangibleAssets,"1,162,000,000","1,179,000,000","1,188,000,000","1,141,000,000","1,321,000,000",,"326,000,000","460,000,000"
		InvestmentProperties,"75,511,000,000","80,196,000,000","51,357,000,000","48,784,000,000","41,599,000,000","41,141,000,000","34,153,000,000","31,696,000,000"
		InvestmentsAndAdvances,"22,135,000,000","23,197,000,000","20,085,000,000","17,049,000,000","17,817,000,000","12,428,000,000","10,473,000,000","9,161,000,000"
			LongTermEquityInvestment,"20,764,000,000","22,698,000,000","19,761,000,000","16,844,000,000","17,638,000,000","10,356,000,000","9,281,000,000","8,038,000,000"
			InvestmentinFinancialAssets,"1,371,000,000","499,000,000","324,000,000","205,000,000","179,000,000","2,072,000,000","1,192,000,000","1,123,000,000"
				FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,"1,250,000,000","239,000,000","174,000,000","37,000,000","37,000,000","1,929,000,000","1,068,000,000","915,000,000"
				AvailableForSaleSecurities,"121,000,000","260,000,000","150,000,000","168,000,000","142,000,000","143,000,000","124,000,000","208,000,000"
