name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalRevenue,"34,287,411,000","46,338,362,000","37,750,793,000","36,904,203,000","35,853,614,000","17,268,192,000","23,835,357,000","21,866,778,000","22,799,507,000","25,245,272,000","24,223,827,000","20,987,957,000","13,945,643,000","10,046,637,000","5,247,511,000"
	NetInterestIncome,"45,290,438,000","44,321,107,000","41,921,342,000","34,946,489,000","30,586,493,000","31,337,111,000","27,228,512,000","28,479,221,000","31,691,870,000","27,901,764,000","24,095,078,000","22,167,091,000","6,905,319,000","5,849,070,000","3,133,937,000"
		InterestIncome,"73,126,965,000","72,841,060,000","70,478,393,000","71,418,349,000","77,146,077,000","69,870,200,000","58,923,916,000","51,217,046,000","52,660,682,000","51,736,080,000","40,909,204,000","39,342,956,000","30,354,954,000","14,424,304,000","7,545,857,000"
			InterestIncomeFromLoansAndLease,,"54,249,876,000","49,449,177,000","49,614,572,000","51,450,710,000","46,920,576,000","41,198,819,000","36,488,492,000","39,777,557,000","36,616,832,000",,,,,
				InterestIncomeFromLoans,,"54,249,876,000","49,449,177,000","49,614,572,000","51,450,710,000","46,920,576,000","41,198,819,000","36,488,492,000","39,777,557,000","36,616,832,000",,,,,
			InterestIncomeFromSecurities,,"13,528,096,000","13,629,167,000","13,456,802,000","14,783,164,000","14,872,834,000","10,419,408,000","6,529,253,000","6,081,759,000","8,084,155,000",,,,,
			InterestIncomeFromDeposits,,"3,827,648,000","5,095,828,000","5,953,765,000","7,315,570,000","4,625,467,000","5,951,667,000","6,796,728,000","5,731,269,000","6,297,438,000",,,,,
			OtherInterestIncome,,"1,235,440,000","2,304,221,000","2,393,210,000","3,596,633,000","3,451,323,000","1,354,022,000","1,402,573,000","1,070,097,000","737,655,000",,,,,
		InterestExpense,"27,836,527,000","28,519,953,000","28,557,051,000","36,471,860,000","46,559,584,000","38,533,089,000","31,695,404,000","22,737,825,000","20,968,812,000","23,834,316,000","16,814,126,000","17,175,865,000","23,449,635,000","8,575,234,000","4,411,920,000"
			InterestExpenseForDeposit,,"19,832,315,000","5,367,471,000","3,782,781,000","29,063,167,000","25,250,626,000","21,295,579,000","15,291,356,000","15,079,394,000","18,500,618,000",,,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,,,"25,336,000","52,984,000","731,594,000","1,019,302,000","883,215,000","810,273,000","1,010,807,000","1,213,239,000",,,,,
