name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,03/31/2011,03/31/2010
TotalRevenue,"69,271,000,000","22,476,000,000","2,675,751,277","22,269,498,171","21,849,683,734","21,207,066,818","20,173,956,802","20,908,634,672","20,106,640,674","18,971,767,852","586,000,000","18,678,000,000","18,558,000,000","18,330,000,000","18,042,000,000","4,886,000,000","16,374,000,000","16,167,000,000","16,261,000,000","15,060,000,000","14,975,000,000","14,049,000,000","14,091,000,000","13,541,000,000","13,896,000,000","12,852,000,000","13,203,000,000","13,010,000,000","13,734,000,000","13,030,000,000","12,661,000,000","12,459,000,000","13,289,000,000","12,493,151,066","10,555,566,860","12,076,670,278","10,479,858,781"
	OperatingRevenue,"69,271,000,000","22,476,000,000","2,675,751,277","22,269,498,171","21,849,683,734","21,207,066,818","20,173,956,802","20,908,634,672","20,106,640,674","18,971,767,852","586,000,000","18,678,000,000","18,558,000,000","18,330,000,000","18,042,000,000","4,886,000,000","16,374,000,000","16,167,000,000","16,261,000,000","15,060,000,000","14,975,000,000","14,049,000,000","14,091,000,000","13,541,000,000","13,896,000,000","12,852,000,000","13,203,000,000","13,010,000,000","13,734,000,000","13,030,000,000","12,661,000,000","12,459,000,000","13,289,000,000","12,493,151,066","10,555,566,860","12,076,670,278","10,479,858,781"
OperatingExpense,"40,929,000,000","9,785,000,000","11,879,441,769","9,782,518,656","9,482,167,431","9,255,872,144","10,510,860,786","9,003,293,747","8,844,613,590","8,218,231,877","7,499,000,000","8,350,000,000","8,174,000,000","7,392,000,000","7,283,000,000","6,626,000,000","7,435,000,000","7,259,000,000","6,437,000,000","6,684,000,000","6,699,000,000","6,570,000,000","6,059,000,000","6,115,000,000","6,106,000,000","6,043,000,000","5,730,000,000","2,843,000,000","5,314,000,000","5,394,000,000","5,996,000,000","5,279,000,000","4,534,000,000",,,,
	SellingGeneralAndAdministration,"12,227,000,000","9,785,000,000","-16,822,558,231","9,782,518,656","9,482,167,431","9,255,872,144","-14,786,139,214","9,003,293,747","8,844,613,590","8,218,231,877","-476,000,000","3,313,000,000","3,217,000,000","2,601,000,000","7,283,000,000","292,000,000","2,647,000,000","2,622,000,000","6,437,000,000","2,434,000,000","2,435,000,000","2,300,000,000","6,059,000,000","2,155,000,000","2,295,000,000","2,162,000,000","5,730,000,000","1,985,000,000","5,314,000,000","1,990,000,000","5,996,000,000","1,981,000,000","4,534,000,000","4,475,790,463","5,221,481,547","4,001,751,226","3,848,038,969"
		GeneralAndAdministrativeExpense,"11,262,000,000","9,785,000,000","-17,787,558,231","9,782,518,656","9,482,167,431","9,255,872,144","-15,676,139,214","9,003,293,747","8,844,613,590","8,218,231,877","-698,000,000","3,009,000,000","2,986,000,000","2,390,000,000","7,283,000,000","-146,000,000","2,442,000,000","2,458,000,000","6,437,000,000","2,346,000,000","2,281,000,000","2,126,000,000","6,059,000,000","2,061,000,000","2,124,000,000","2,025,000,000","5,730,000,000","1,841,000,000","5,314,000,000","1,829,000,000","5,996,000,000","1,855,000,000","4,534,000,000","4,475,790,463","5,221,481,547","4,001,751,226","3,848,038,969"
			RentAndLandingFees,,,,,,,,,,,"452,000,000","508,000,000","513,000,000","490,000,000","415,000,000","453,000,000","471,000,000","469,000,000","555,000,000","427,000,000","429,000,000","433,000,000","393,000,000","421,000,000","403,000,000","405,000,000","327,000,000","369,000,000",,"367,000,000",,"339,000,000",,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,475,790,463","5,221,481,547","4,001,751,226","3,848,038,969"
		SellingAndMarketingExpense,,,,,,,,,,,"222,000,000","304,000,000","231,000,000","211,000,000","73,000,000","438,000,000","205,000,000","164,000,000","243,000,000","88,000,000","154,000,000","174,000,000","162,000,000","94,000,000","171,000,000","137,000,000","208,000,000","144,000,000",,"161,000,000",,"126,000,000",,,,,
	OtherOperatingExpenses,"7,957,000,000","0","7,957,000,000","0","0","0","6,775,000,000","0","0","0","4,272,000,000","395,000,000","374,000,000","397,000,000","0","3,012,000,000","559,000,000","486,000,000","0","355,000,000","381,000,000","422,000,000","0","381,000,000","375,000,000","464,000,000","0","362,000,000","0","281,000,000","0","412,000,000","0",,,,
PretaxIncome,"27,526,000,000","7,318,000,000","5,307,953,160","7,426,708,677","7,474,015,859","7,081,322,304","5,399,158,253","6,576,931,860","6,838,953,391","5,998,956,496","7,293,000,000","5,190,000,000","5,887,000,000","5,804,000,000","5,991,000,000","6,947,000,000","4,880,000,000","4,642,000,000","5,428,000,000","4,399,000,000","4,211,000,000","4,204,000,000","4,719,000,000","4,026,000,000","4,636,000,000","3,975,000,000","3,899,000,000","7,593,000,000","5,099,000,000","5,291,000,000","3,737,000,000","4,900,000,000","6,778,000,000","6,068,048,417","3,310,687,106","4,462,923,824","4,286,994,138"
