name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalRevenue,"10,785,000,000","10,735,000,000","9,823,000,000","9,048,000,000","8,386,000,000","7,477,000,000","7,380,000,000","7,143,000,000","7,249,000,000","7,622,000,000","7,806,000,000","8,188,000,000","8,050,000,000","8,357,000,000","7,821,000,000","6,283,000,000","5,624,000,000","3,476,000,000","2,919,000,000","2,673,000,000","2,664,000,000","2,842,000,000","2,233,600,000","1,872,300,000","1,462,000,000","1,107,000,000","448,900,000","380,100,000","315,200,000","230,000,000"
	OperatingRevenue,"10,785,000,000","10,735,000,000","9,823,000,000","9,048,000,000","8,386,000,000","7,477,000,000","7,380,000,000","7,143,000,000","7,249,000,000","7,622,000,000","7,806,000,000","8,188,000,000","8,050,000,000","8,357,000,000","7,821,000,000","6,283,000,000","5,624,000,000","3,476,000,000","2,919,000,000","2,673,000,000","2,664,000,000","2,842,000,000","2,233,600,000","1,872,300,000","1,462,000,000","1,107,000,000","448,900,000","380,100,000","315,200,000","230,000,000"
CostOfRevenue,"3,192,000,000","3,116,000,000","2,813,000,000","2,593,000,000","2,424,000,000","2,173,000,000","2,210,000,000","2,174,000,000","2,349,000,000","2,659,000,000","2,599,000,000","2,576,000,000","2,469,000,000","2,342,000,000","2,207,000,000","1,386,000,000","1,292,000,000","961,000,000","870,000,000","919,000,000","742,000,000","900,000,000","658,900,000","463,700,000","339,600,000","277,000,000","153,100,000","133,900,000","111,900,000","78,400,000"
GrossProfit,"7,593,000,000","7,619,000,000","7,010,000,000","6,455,000,000","5,962,000,000","5,304,000,000","5,170,000,000","4,969,000,000","4,900,000,000","4,963,000,000","5,207,000,000","5,612,000,000","5,581,000,000","6,015,000,000","5,614,000,000","4,897,000,000","4,332,000,000","2,515,000,000","2,049,000,000","1,754,000,000","1,922,000,000","1,942,000,000","1,574,700,000","1,408,600,000","1,122,400,000","830,000,000","295,800,000","246,200,000","203,300,000","151,600,000"
OperatingExpense,"6,045,000,000","5,879,000,000","5,351,000,000","4,924,000,000","4,643,000,000","4,314,000,000","4,268,000,000","4,085,000,000","3,969,000,000","3,245,000,000","3,969,000,000","6,410,000,000","4,091,000,000","5,768,000,000","4,444,000,000","3,653,000,000","2,693,000,000","1,781,000,000","1,354,000,000","1,372,000,000","1,247,000,000","1,217,000,000","1,797,100,000","993,800,000","780,600,000","545,000,000","165,800,000","137,600,000","110,500,000","81,100,000"
	SellingGeneralAndAdministration,"4,050,000,000","3,941,000,000","3,569,000,000","3,294,000,000","3,099,000,000","2,873,000,000","2,902,000,000","2,674,000,000","2,535,000,000","2,659,000,000","2,765,000,000","4,848,000,000","2,792,000,000","2,909,000,000","2,675,000,000","1,814,000,000","1,742,000,000","1,171,000,000","1,002,000,000","961,000,000","867,000,000","842,000,000","786,300,000","710,400,000","719,200,000","505,000,000","127,200,000","131,200,000","105,900,000","77,700,000"
	ResearchAndDevelopment,"1,194,000,000","1,174,000,000","1,113,000,000","997,000,000","920,000,000","876,000,000","817,000,000","861,000,000","886,000,000","895,000,000","939,000,000","1,035,000,000","1,006,000,000","1,091,000,000","1,008,000,000","680,000,000","569,000,000","452,000,000","343,000,000","275,000,000","199,000,000","197,000,000","882,200,000","196,700,000",,,"29,500,000",,,
	DepreciationAmortizationDepletionIncomeStatement,"740,000,000","699,000,000","599,000,000","565,000,000","545,000,000","495,000,000","438,000,000","410,000,000","395,000,000","421,000,000","513,000,000","511,000,000","543,000,000","641,000,000","530,000,000","152,000,000","112,000,000","89,000,000","72,000,000","136,000,000","181,000,000","178,000,000","128,600,000","86,700,000","61,400,000","40,000,000","9,100,000","6,400,000","4,600,000","3,400,000"
		DepreciationAndAmortizationInIncomeStatement,"740,000,000","699,000,000","599,000,000","565,000,000","545,000,000","495,000,000","438,000,000","410,000,000","395,000,000","421,000,000","513,000,000","511,000,000","543,000,000","641,000,000","530,000,000","152,000,000","112,000,000","89,000,000","72,000,000","136,000,000","181,000,000","178,000,000","128,600,000","86,700,000","61,400,000","40,000,000","9,100,000","6,400,000","4,600,000","3,400,000"
			Amortization,"740,000,000","699,000,000","599,000,000","565,000,000","545,000,000","495,000,000","438,000,000","410,000,000","395,000,000","421,000,000","513,000,000","511,000,000","543,000,000","641,000,000","530,000,000","152,000,000","112,000,000","89,000,000","72,000,000","136,000,000",,,,,,,,,,
