name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"52,329,000,000","52,329,000,000","54,619,000,000","56,444,000,000","45,517,000,000","43,604,000,000","47,063,000,000","43,195,000,000","39,758,000,000","39,046,000,000","36,297,000,000","36,758,000,000","23,507,000,000","21,038,972,400.017","17,563,911,362.167","13,805,355,852.708","11,614,792,321.874","8,871,201,340","7,337,062,027.136"
	OperatingRevenue,"52,329,000,000","52,329,000,000","54,619,000,000","56,444,000,000","45,517,000,000","43,604,000,000","47,063,000,000","43,195,000,000","39,758,000,000","39,046,000,000","36,297,000,000","36,758,000,000","23,507,000,000","21,038,972,400.017","17,563,911,362.167","13,805,355,852.708","11,614,792,321.874","8,871,201,340","7,337,062,027.136"
CostOfRevenue,"20,362,000,000","20,362,000,000","20,359,000,000","21,386,000,000","17,803,000,000","17,137,000,000","18,756,000,000","17,594,000,000","16,447,000,000","16,634,000,000","16,151,000,000","17,198,000,000","10,336,000,000","8,654,701,328.24","7,228,549,934.67","6,019,116,201.395","5,416,982,973.647","4,263,063,108.447","3,586,681,637.407"
GrossProfit,"31,967,000,000","31,967,000,000","34,260,000,000","35,058,000,000","27,714,000,000","26,467,000,000","28,307,000,000","25,601,000,000","23,311,000,000","22,412,000,000","20,146,000,000","19,560,000,000","13,171,000,000","12,384,271,071.777","10,335,361,427.497","7,786,239,651.313","6,197,809,348.227","4,608,138,231.553","3,750,380,389.729"
OperatingExpense,"15,798,000,000","15,798,000,000","16,858,000,000","17,467,000,000","14,546,000,000","12,781,000,000","13,038,000,000","11,477,000,000","10,643,000,000","9,805,000,000","8,997,000,000","7,838,000,000","7,374,000,000","6,060,915,333.81","6,022,251,844.422","4,878,539,872.796","4,421,971,586.596","3,551,503,091.823","2,986,452,878.894"
	SellingGeneralAndAdministration,"16,421,000,000","16,421,000,000","17,118,000,000","18,099,000,000","15,171,000,000","13,732,000,000","14,385,000,000","12,558,000,000","11,230,000,000","10,499,000,000","9,585,000,000","9,973,000,000","7,713,000,000","7,017,364,806.742","6,282,252,636.302","5,034,880,553.351","4,371,814,336.84","3,488,533,178.847","2,799,668,405.091"
		GeneralAndAdministrativeExpense,"3,548,000,000","3,548,000,000","3,465,000,000","3,841,000,000","2,883,000,000","2,560,000,000","2,791,000,000","2,539,000,000","2,187,000,000","5,356,000,000","4,873,000,000","4,981,000,000","4,203,000,000","1,443,422,222.87","1,443,862,265.57","1,114,519,548.507","986,877,778.983","774,529,929.6","622,265,129.018"
			OtherGandA,"3,548,000,000","3,548,000,000","3,465,000,000","3,841,000,000","2,883,000,000","2,560,000,000","2,791,000,000","2,539,000,000","2,187,000,000","5,356,000,000","4,873,000,000","4,981,000,000","4,203,000,000","1,443,422,222.87","1,443,862,265.57","1,114,519,548.507","986,877,778.983","774,529,929.6","622,265,129.018"
		SellingAndMarketingExpense,"12,873,000,000","12,873,000,000","13,653,000,000","14,258,000,000","12,288,000,000","11,172,000,000","11,594,000,000","10,019,000,000","9,043,000,000","5,143,000,000","4,712,000,000","4,992,000,000","3,510,000,000","5,573,942,583.872","4,838,390,370.732","3,920,361,004.844","3,384,936,557.857","2,714,003,249.248","2,177,403,276.074"
	OtherTaxes,"79,000,000","79,000,000","110,000,000","68,000,000","70,000,000","61,000,000","36,000,000","47,000,000","59,000,000",,,,,,,,,,
