name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"7,423,200,000","6,237,400,000","4,985,600,000","4,218,000,000","3,389,400,000","2,785,400,000","2,433,400,000","2,133,200,000","1,758,598,000","1,343,515,000","1,176,236,000","1,139,354,000","942,182,000","725,213,000","619,394,000","591,313,000","943,780,000","842,325,000","861,434,000","671,034,000","660,240,000","751,929,000","1,115,610,000","1,074,418,000","686,400,000","425,900,000","203,000,000","128,200,000"
	CurrentAssets,"7,262,200,000","6,151,200,000","4,929,500,000","4,171,200,000","3,323,500,000","2,730,100,000","2,381,900,000","2,081,000,000","110,146,000","71,133,000","87,747,000","86,832,000",,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"246,700,000","84,300,000","54,300,000","59,900,000","54,600,000","59,600,000","57,800,000","55,100,000","5,467,000","4,597,000","5,291,000","6,499,000","4,002,000","12,092,000","10,435,000","1,542,000","36,044,000","13,639,000","15,946,000","21,477,000","22,722,000","23,975,000","10,349,000","6,529,000","2,500,000","1,500,000","2,100,000","8,700,000"
			CashAndCashEquivalents,"187,400,000","25,700,000","8,200,000","14,600,000","6,300,000","6,400,000","4,200,000","9,000,000","4,657,000","3,792,000","2,170,000","3,154,000","712,000","8,528,000","7,090,000","614,000","36,044,000","13,466,000","15,773,000","20,726,000","11,122,000","13,775,000","349,000","229,000","0","0","0","0"
			OtherShortTermInvestments,"59,300,000","58,600,000","46,100,000","45,300,000","48,300,000","53,200,000","53,600,000","46,100,000","810,000","805,000","3,121,000","3,345,000","3,290,000","3,564,000","3,345,000","928,000",,"173,000","173,000","751,000","11,600,000","10,200,000","10,000,000","6,300,000","2,500,000","1,500,000","2,100,000","8,700,000"
		Receivables,"6,685,200,000","5,763,300,000","4,619,600,000","3,886,600,000","3,101,500,000","2,512,900,000","2,212,800,000","1,933,500,000",,,,"1,017,917,000","20,712,000","11,734,000","4,022,000","9,444,000","8,244,000","4,450,000","6,446,000","8,457,000","28,178,000","14,071,000","19,800,000","15,493,000",,,,
			AccountsReceivable,"6,685,200,000","5,763,300,000","4,619,600,000","3,886,600,000","3,101,500,000","2,512,900,000","2,212,800,000","1,933,500,000",,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"7,221,200,000","6,225,200,000","5,049,000,000","4,207,000,000","3,345,100,000","2,719,800,000","2,408,200,000","2,109,900,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-536,000,000","-461,900,000","-429,400,000","-320,400,000","-243,600,000","-206,900,000","-195,400,000","-176,400,000",,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,"1,148,752,000",,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,"-130,835,000",,,,,,,,,,,,,,,,
		RestrictedCash,"330,300,000","303,600,000","255,600,000","224,700,000","167,400,000","157,600,000","111,300,000","92,400,000","104,679,000","66,536,000","82,456,000","80,333,000","74,102,000","45,609,000","13,473,000","23,927,000",,,,,,,,,,,,
	TotalNonCurrentAssets,"161,000,000","86,200,000","56,100,000","46,800,000","65,900,000","55,300,000","51,500,000","52,200,000","1,648,452,000","1,272,382,000","1,088,489,000","1,052,522,000",,,,,,,,,,,,,,,,
		NetPPE,"59,700,000","40,200,000","20,500,000","18,200,000","18,900,000","20,900,000","22,300,000","22,200,000","18,472,000","16,311,000","18,735,000","21,049,000","20,124,000","16,203,000","17,992,000","19,706,000","18,503,000","19,951,000","19,646,000","18,418,000","18,243,000","20,627,000","20,839,000","14,958,000","10,300,000","9,400,000","7,300,000","800,000"
			GrossPPE,"104,800,000","79,200,000","55,400,000","52,400,000","50,600,000","48,600,000","46,600,000","61,800,000","54,689,000","50,682,000","51,854,000","55,705,000",,,,,,,,,,,,,,,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
				LandAndImprovements,"2,700,000","2,700,000","2,500,000","2,500,000","2,300,000","2,300,000","2,300,000","2,300,000","2,251,000","2,251,000","2,251,000","2,582,000",,,,,,,,,,,,,,,,
