name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"78,453,000,000","78,509,000,000","76,962,000,000","74,704,000,000","78,497,000,000","84,681,000,000","84,896,000,000","89,356,000,000","81,446,000,000","64,020,000,000","60,038,000,000","67,782,000,000","56,132,000,000","50,879,000,000","47,069,000,000","43,091,000,000","36,465,000,000","32,851,000,000","30,657,000,000","28,464,000,000","26,635,000,000","25,128,000,000","20,756,000,000","18,728,000,000","16,830,000,000","16,250,000,000","14,807,000,000","13,935,000,000","12,042,000,000","11,951,000,000","10,926,000,000","9,686,000,000","6,866,000,000","6,288,000,000","6,016,000,000"
	CurrentAssets,"39,193,000,000","38,603,000,000","36,244,000,000","31,967,000,000","34,418,000,000","38,867,000,000","38,335,000,000","42,524,000,000","38,128,000,000","31,810,000,000","26,789,000,000","31,633,000,000","25,477,000,000","23,093,000,000","22,790,000,000","20,856,000,000","16,791,000,000","14,628,000,000","13,400,000,000","12,521,000,000","11,734,000,000","11,459,000,000","9,814,000,000","8,783,000,000","7,647,000,000","7,409,000,000","6,071,000,000","5,537,000,000","5,570,000,000","5,901,000,000","5,708,000,000","5,317,000,000","3,813,000,000","3,363,000,000","2,982,000,000"
		CashCashEquivalentsAndShortTermInvestments,"8,284,000,000","7,857,000,000","8,261,000,000","7,168,000,000","6,460,000,000","7,341,000,000","6,081,000,000","5,490,000,000","3,057,000,000","3,592,000,000","4,867,000,000","2,736,000,000","1,122,000,000","530,000,000","1,108,000,000","445,000,000","342,000,000","309,000,000","400,000,000","334,000,000","548,000,000","360,000,000","292,000,000","487,000,000","638,000,000","419,000,000","83,000,000","119,000,000","104,000,000","110,000,000","148,000,000","74,000,000","103,000,000","124,000,000","282,000,000"
			CashAndCashEquivalents,,,,,,,,,"3,057,000,000","3,592,000,000","4,867,000,000","2,736,000,000","1,122,000,000","530,000,000","1,108,000,000","445,000,000","342,000,000","309,000,000","400,000,000","334,000,000","548,000,000","360,000,000","292,000,000","487,000,000","638,000,000","419,000,000","83,000,000","119,000,000","104,000,000","110,000,000","148,000,000","74,000,000","103,000,000","124,000,000","282,000,000"
		Receivables,"17,904,000,000","17,452,000,000","16,193,000,000","14,503,000,000","15,686,000,000","16,764,000,000","17,176,000,000","18,952,000,000","17,953,000,000","16,792,000,000","13,912,000,000","18,128,000,000","15,752,000,000","14,972,000,000","13,968,000,000","14,126,000,000","11,271,000,000","9,586,000,000","8,441,000,000","8,079,000,000","7,439,000,000","7,176,000,000","5,991,000,000","5,222,000,000","4,285,000,000","4,290,000,000","3,625,000,000","2,948,000,000","2,673,000,000","2,965,000,000","2,813,000,000","2,669,000,000","2,033,000,000","1,728,000,000","1,244,000,000"
			AccountsReceivable,"17,904,000,000","17,452,000,000","16,193,000,000","14,503,000,000","15,686,000,000","16,764,000,000","17,176,000,000","18,952,000,000","10,285,000,000","8,494,000,000",,"9,397,000,000",,,,,"3,666,000,000","2,838,000,000","8,441,000,000","8,079,000,000","7,439,000,000",,,"5,222,000,000",,,,,,,,,,,
			OtherReceivables,,,,,,,,,"7,668,000,000","8,298,000,000",,"9,051,000,000",,,,,"7,605,000,000","6,748,000,000",,,,,,,,,,,,,,,,,
		Inventory,"11,266,000,000","11,529,000,000","10,018,000,000","8,614,000,000","9,700,000,000","12,205,000,000","12,625,000,000","15,547,000,000","14,544,000,000","9,587,000,000","6,360,000,000","8,781,000,000","7,204,000,000","6,351,000,000","5,224,000,000","4,675,000,000","3,047,000,000","2,763,000,000","2,925,000,000","2,692,000,000","2,594,000,000","2,842,000,000","2,603,000,000","2,222,000,000","1,921,000,000","1,835,000,000","1,525,000,000","1,675,000,000","1,921,000,000","2,105,000,000","2,120,000,000","1,986,000,000","1,323,000,000","1,211,000,000","1,139,000,000"
			RawMaterials,"4,521,000,000","3,614,000,000","3,003,000,000","2,319,000,000","2,721,000,000","3,246,000,000","3,251,000,000","3,860,000,000","4,129,000,000","3,006,000,000","2,239,000,000","3,652,000,000","2,759,000,000","2,459,000,000","1,917,000,000","1,802,000,000","1,105,000,000","806,000,000","1,085,000,000",,,,,,,,,,,,,,,,
			WorkInProcess,"1,147,000,000","2,674,000,000","2,254,000,000","1,719,000,000","1,857,000,000","2,455,000,000","2,589,000,000","2,920,000,000","2,845,000,000","1,483,000,000","656,000,000","1,107,000,000","1,215,000,000","977,000,000","814,000,000","664,000,000","377,000,000","316,000,000",,,,,,,,,,,,,,,,,
			FinishedGoods,"5,598,000,000","5,241,000,000","4,761,000,000","4,576,000,000","5,122,000,000","6,504,000,000","6,785,000,000","8,767,000,000","7,570,000,000","5,098,000,000","3,465,000,000","4,022,000,000","3,230,000,000","2,915,000,000","2,493,000,000","2,209,000,000","1,381,000,000","1,454,000,000","1,658,000,000",,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,"184,000,000","187,000,000","182,000,000",,,,,,,,,,,,,,,,
		PrepaidAssets,"1,739,000,000","1,765,000,000","1,772,000,000","1,682,000,000","1,046,000,000","818,000,000","900,000,000","988,000,000","994,000,000","908,000,000","434,000,000","765,000,000","583,000,000","507,000,000","2,146,000,000","1,369,000,000","1,424,000,000","1,328,000,000","1,211,000,000",,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"1,526,000,000","1,739,000,000","1,553,000,000","1,547,000,000","1,580,000,000","931,000,000","1,216,000,000","1,223,000,000","816,000,000","733,000,000","344,000,000","398,000,000","707,000,000","642,000,000","423,000,000",,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"1,526,000,000","1,739,000,000","1,553,000,000","1,547,000,000","1,580,000,000","931,000,000","1,216,000,000","1,223,000,000","816,000,000","733,000,000","344,000,000","398,000,000","707,000,000","642,000,000","423,000,000",,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,"-157,000,000",,,,"1,416,000,000","1,153,000,000","1,081,000,000","928,000,000","852,000,000","803,000,000","865,000,000","838,000,000","795,000,000","872,000,000","721,000,000","627,000,000","588,000,000","354,000,000","300,000,000","317,000,000"
	TotalNonCurrentAssets,"39,260,000,000","39,906,000,000","40,718,000,000","42,737,000,000","44,079,000,000","45,814,000,000","46,561,000,000","46,832,000,000","43,318,000,000","32,210,000,000","33,249,000,000","36,149,000,000","30,655,000,000","27,786,000,000","24,279,000,000","22,235,000,000","19,674,000,000","18,223,000,000","17,257,000,000","15,943,000,000","14,901,000,000","13,669,000,000","10,942,000,000","9,945,000,000","9,183,000,000","8,841,000,000","8,736,000,000","8,398,000,000","6,472,000,000","6,050,000,000","5,218,000,000","4,369,000,000","3,053,000,000","2,925,000,000","3,034,000,000"
		NetPPE,"12,904,000,000","13,574,000,000","14,155,000,000","15,322,000,000","16,090,000,000","16,577,000,000","17,075,000,000","16,461,000,000","14,395,000,000","12,539,000,000","12,386,000,000","12,524,000,000","9,997,000,000","8,851,000,000","7,988,000,000","7,682,000,000","7,290,000,000","7,046,000,000","6,603,000,000","5,588,000,000","5,201,000,000","4,866,000,000","4,058,000,000","3,767,000,000","3,644,000,000","3,776,000,000","3,827,000,000","3,954,000,000","4,049,000,000","3,986,000,000","3,505,000,000","2,909,000,000","2,464,000,000","2,433,000,000","2,652,000,000"
			GrossPPE,"29,217,000,000","29,781,000,000","31,538,000,000","31,940,000,000","31,977,000,000","31,572,000,000","31,316,000,000","29,932,000,000","27,326,000,000","24,906,000,000","24,221,000,000","23,487,000,000","19,208,000,000","17,278,000,000","15,862,000,000","15,164,000,000","14,329,000,000","13,541,000,000","12,790,000,000","11,438,000,000","10,730,000,000","10,395,000,000","9,403,000,000","8,817,000,000","8,303,000,000","8,230,000,000","7,965,000,000","7,842,000,000","4,823,000,000","4,647,000,000","4,138,000,000","6,492,000,000","6,249,000,000","6,285,000,000","6,233,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
				LandAndImprovements,"664,000,000","671,000,000","664,000,000","667,000,000","644,000,000","665,000,000","688,000,000","723,000,000","753,000,000","682,000,000","639,000,000","575,000,000","189,000,000","184,000,000","154,000,000","152,000,000","149,000,000","149,000,000","149,000,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"6,710,000,000","6,977,000,000","7,515,000,000","7,383,000,000","7,242,000,000","7,119,000,000","6,928,000,000","6,214,000,000","5,857,000,000","5,174,000,000","4,914,000,000","4,647,000,000","3,625,000,000","3,407,000,000","3,195,000,000","3,089,000,000","3,006,000,000","3,039,000,000","3,077,000,000",,,,,,,,,,,,,,,,
