Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,30.700001,31.059999,30.209999,30.360001,28.978449,729200
2015-05-13,30.950001,30.950001,29.930000,30.139999,28.768461,736900
2015-05-14,30.520000,30.620001,30.070000,30.370001,28.987999,468900
2015-05-15,30.299999,30.820000,30.219999,30.610001,29.217075,330700
2015-05-18,30.570000,30.570000,29.770000,29.850000,28.491665,362500
2015-05-19,29.620001,29.760000,29.160000,29.260000,27.972696,544400
2015-05-20,29.469999,29.750000,29.100000,29.510000,28.211699,929100
2015-05-21,29.200001,29.620001,29.160000,29.530001,28.230822,802000
2015-05-22,29.709999,29.730000,28.600000,28.650000,27.389534,727400
2015-05-26,28.440001,28.469999,27.580000,27.620001,26.404848,707700
2015-05-27,27.290001,27.590000,27.040001,27.559999,26.347488,541100
2015-05-28,27.260000,27.309999,27.020000,27.209999,26.012886,407600
2015-05-29,27.389999,27.629999,26.490000,26.809999,25.630486,931400
2015-06-01,26.740000,26.900000,26.559999,26.690001,25.515762,346800
2015-06-02,26.750000,27.240000,26.709999,26.969999,25.783447,368600
2015-06-03,26.980000,26.990000,26.420000,26.530001,25.362804,654200
2015-06-04,26.340000,26.490000,26.110001,26.180000,25.028202,374500
2015-06-05,25.860001,26.540001,25.680000,26.270000,25.114243,1917500
2015-06-08,26.660000,27.000000,26.620001,26.850000,25.668722,700900
2015-06-09,26.940001,27.030001,26.549999,26.900000,25.716526,694100
2015-06-10,27.530001,27.830000,27.230000,27.299999,26.098927,333200
2015-06-11,26.969999,27.110001,26.500000,26.760000,25.582684,765800
2015-06-12,26.520000,26.620001,25.969999,26.100000,24.951723,632300
2015-06-15,26.030001,26.260000,25.879999,26.139999,24.989964,266700
2015-06-16,26.400000,26.530001,25.980000,26.299999,25.142918,300100
2015-06-17,26.070000,26.690001,25.790001,26.570000,25.401041,395800
2015-06-18,26.549999,26.690001,26.280001,26.330000,25.171604,452100
2015-06-19,26.129999,26.160000,25.410000,25.430000,24.311197,480400
2015-06-22,25.790001,25.830000,25.410000,25.459999,24.339878,422200
2015-06-23,25.260000,25.570000,25.150000,25.530001,24.406801,649000
2015-06-24,25.510000,25.700001,25.340000,25.420000,24.301636,272200
2015-06-25,25.299999,25.450001,25.000000,25.030001,23.928801,343400
2015-06-26,24.969999,25.040001,24.639999,24.730000,23.641993,314800
2015-06-29,24.389999,24.480000,24.120001,24.209999,23.144871,309000
2015-06-30,24.540001,24.590000,23.510000,23.670000,22.628632,750600
2015-07-01,23.680000,23.860001,23.410000,23.610001,22.571270,532600
2015-07-02,23.680000,23.850000,23.440001,23.639999,22.599951,542300
2015-07-06,22.750000,23.230000,22.510000,22.629999,21.634384,497700
2015-07-07,22.350000,22.360001,21.570000,21.719999,20.764423,792500
2015-07-08,21.340000,21.420000,20.570000,20.670000,19.760614,858000
2015-07-09,21.180000,21.610001,20.900000,20.900000,19.980494,410600
2015-07-10,21.410000,22.080000,21.280001,21.980000,21.012981,751400
2015-07-13,22.600000,23.790001,22.559999,23.639999,22.599951,1331700
2015-07-14,23.639999,23.639999,22.709999,23.389999,22.360949,926300
2015-07-15,23.389999,23.540001,23.200001,23.230000,22.207989,555400
2015-07-16,23.559999,24.110001,23.500000,23.780001,22.733789,651200
2015-07-17,24.049999,24.120001,23.209999,23.440001,22.408751,723000
2015-07-20,23.059999,23.129999,22.780001,22.969999,21.959425,514100
2015-07-21,22.980000,23.120001,22.740000,23.040001,22.026350,488400
2015-07-22,22.549999,22.570000,22.020000,22.270000,21.290224,700100
2015-07-23,21.629999,21.920000,21.430000,21.490000,20.544542,681800
2015-07-24,21.290001,21.309999,20.590000,20.700001,19.789297,511200
