name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"2,815,000,000","921,500,000","598,600,000","675,400,000","620,600,000","602,600,000","747,700,000","575,900,000","667,500,000","777,700,000","620,700,000","611,400,000","640,800,000","356,200,000","175,080,000","156,207,000","163,329,000","162,330,000","155,946,000","187,035,000","148,725,000","142,839,000","166,488,000","148,910,000","143,942,000","157,885,000","141,830,000","136,743,000","150,772,000","142,705,000","130,077,000","128,319,000","132,549,000","121,392,000","120,209,000","143,604,000","120,290,000","124,042,000","117,391,000","106,015,000","112,618,000","101,081,000","120,833,000","98,199,000","108,985,000","98,067,000"
	OperatingRevenue,"2,780,400,000","912,200,000","590,500,000","665,900,000","612,900,000","595,100,000","740,600,000","568,200,000","658,800,000","768,200,000","613,600,000","603,700,000","634,800,000","350,400,000","170,021,000","153,796,000","159,863,000","159,713,000","151,285,000","184,200,000","141,027,000","138,531,000","162,920,000","145,178,000","140,042,000","154,529,000","138,514,000","132,791,000","146,603,000","139,124,000","115,678,000","128,319,000","132,549,000","121,392,000","120,209,000","143,604,000","120,290,000","124,042,000","117,391,000","106,015,000","112,618,000","101,081,000","120,833,000","98,199,000","108,985,000","98,067,000"
CostOfRevenue,"1,600,300,000","563,200,000","318,300,000","381,400,000","337,400,000","322,100,000","413,300,000","305,400,000","384,000,000","449,200,000","355,100,000","341,700,000","373,900,000","162,800,000","20,104,000","19,399,000","19,336,000","19,114,000","17,830,000","21,840,000","16,755,000","14,150,000","19,266,000","16,235,000","14,707,000","15,902,000","15,045,000","13,844,000","14,518,000","13,169,000","46,135,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
GrossProfit,"1,214,700,000","358,300,000","280,300,000","294,000,000","283,200,000","280,500,000","334,400,000","270,500,000","283,500,000","328,500,000","265,600,000","269,700,000","266,900,000","193,400,000","154,976,000","136,808,000","143,993,000","143,216,000","138,116,000","165,195,000","131,970,000","128,689,000","147,222,000","132,675,000","129,235,000","141,983,000","126,785,000","122,899,000","136,254,000","129,536,000","83,942,000","128,319,000","132,549,000","121,392,000","120,209,000","143,604,000","120,290,000","124,042,000","117,391,000","106,015,000","112,618,000","101,081,000","120,833,000","98,199,000","108,985,000","98,067,000"
OperatingExpense,"550,600,000","131,100,000","152,400,000","129,900,000","137,200,000","131,700,000","151,200,000","138,500,000","145,800,000","152,000,000","149,000,000","144,500,000","143,900,000","101,900,000","79,874,000","71,158,000","66,026,000","63,735,000","62,222,000","64,085,000","58,600,000","59,136,000","60,260,000","57,591,000","59,519,000","59,945,000","54,186,000","54,472,000","60,896,000","60,106,000","24,191,000","67,458,000","66,480,000","63,977,000","67,528,000","68,638,000","63,838,000","66,507,000","65,537,000","71,082,000","70,792,000","62,352,000","64,152,000","65,197,000","61,403,000","57,747,000"
	SellingGeneralAndAdministration,"282,600,000","70,300,000","68,000,000","69,900,000","74,400,000","66,900,000","80,300,000","71,000,000","78,200,000","80,600,000","75,500,000","72,500,000","71,100,000","65,500,000","61,655,000","52,871,000","45,684,000","43,356,000","42,511,000","44,190,000","39,883,000","40,677,000","32,083,000","30,583,000","32,752,000","35,361,000","31,312,000","29,845,000","33,831,000","32,901,000","-55,519,000","57,854,000","57,198,000","54,669,000","58,745,000","58,141,000","53,255,000","56,825,000","56,280,000","63,202,000","61,218,000","54,306,000","55,876,000","57,272,000","53,501,000","48,703,000"
		GeneralAndAdministrativeExpense,"282,600,000","70,300,000","68,000,000","69,900,000","74,400,000","66,900,000","80,300,000","71,000,000","78,200,000","80,600,000","75,500,000","72,500,000","71,100,000","65,500,000","61,312,000","52,335,000","45,767,000","43,252,000","42,212,000","43,609,000","39,256,000","39,890,000","32,083,000","30,583,000","32,752,000","35,361,000","31,312,000","29,845,000","33,831,000","32,901,000","-55,519,000","57,854,000","57,198,000","54,669,000","58,745,000","58,141,000","53,255,000","56,825,000","56,280,000","63,202,000","61,218,000","54,306,000","55,876,000","57,272,000","53,501,000","48,703,000"
			SalariesAndWages,"204,200,000","53,300,000","49,000,000","49,700,000","52,200,000","48,100,000","60,700,000","51,800,000","57,400,000","58,900,000","53,200,000","50,400,000","50,000,000","47,800,000","29,172,000","28,344,000","28,530,000","27,106,000","26,767,000","29,583,000","24,136,000","25,439,000","29,356,000","28,698,000","30,306,000","33,374,000","28,058,000","27,951,000","31,237,000","30,837,000","26,440,000","27,166,000","25,300,000","25,290,000","28,268,000","25,945,000","24,504,000","25,736,000","25,823,000","34,643,000","22,640,000","23,137,000","21,222,000","22,046,000","20,939,000","20,274,000"
			OtherGandA,"78,400,000","17,000,000","19,000,000","20,200,000","22,200,000","18,800,000","19,600,000","19,200,000","20,800,000","21,700,000","22,300,000","22,100,000","21,100,000","17,700,000","32,140,000","23,991,000","17,237,000","16,146,000","15,445,000","14,026,000","15,120,000","14,451,000","2,727,000","1,885,000","2,446,000","1,987,000","3,254,000","1,894,000","2,594,000","2,064,000","-81,959,000","30,688,000","31,898,000","29,379,000","30,477,000","32,196,000","28,751,000","31,089,000","30,457,000","28,559,000","38,578,000","31,169,000","34,654,000","35,226,000","32,562,000","28,429,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,"343,000","536,000","83,000","104,000","299,000","581,000","627,000","787,000",,,,,,,,,,,,,,,,,,,,,,,,
