name,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalAssets,"45,058,000,000","42,401,000,000","40,778,000,000","38,936,000,000","39,237,000,000","39,532,000,000","40,104,000,000","39,161,000,000","38,637,000,000","37,490,000,000","36,835,000,000","33,400,000,000","34,181,000,000","30,552,000,000","28,432,000,000","27,636,000,000","24,491,000,000","12,334,848,000","11,563,552,000","9,831,320,000","8,286,355,000","7,179,323,000","5,426,775,000","5,101,888,000","4,105,487,000","3,669,823,000","3,218,900,000","2,645,600,000","2,650,300,000","2,683,500,000","2,220,200,000","1,049,500,000","941,000,000","528,100,000"
	CurrentAssets,"2,059,000,000","2,225,000,000","1,596,000,000","1,689,000,000","2,451,000,000","1,503,000,000","1,937,000,000","1,821,000,000","1,312,000,000","1,244,000,000","1,518,000,000","1,650,000,000","1,976,000,000","1,995,000,000","2,215,000,000","1,728,000,000","2,132,000,000","1,132,152,000","1,958,988,000","549,482,000","791,636,000","370,279,000","336,025,000","290,933,000","256,378,000","240,449,000","253,800,000","311,400,000","363,800,000","221,300,000","211,300,000","395,000,000","375,400,000","82,500,000"
		CashCashEquivalentsAndShortTermInvestments,"518,000,000","982,000,000","395,000,000","603,000,000","1,395,000,000","331,000,000","462,000,000","465,000,000","450,000,000","429,000,000","538,000,000","650,000,000","943,000,000","1,163,000,000","1,187,000,000","660,000,000","1,071,000,000","705,705,000","1,458,084,000","189,282,000","544,571,000","143,229,000","149,727,000","124,115,000","103,760,000","124,220,000","60,200,000","115,000,000","221,700,000","130,400,000","112,700,000","356,700,000","349,200,000","59,700,000"
			CashAndCashEquivalents,"518,000,000","982,000,000","395,000,000","603,000,000","1,395,000,000","331,000,000","462,000,000","465,000,000","450,000,000","429,000,000","538,000,000","650,000,000","943,000,000","1,163,000,000","1,178,000,000","643,000,000","1,070,000,000","666,700,000","1,421,300,000","189,282,000","521,771,000","137,273,000","139,989,000","111,629,000","53,365,000","54,105,000","60,200,000","115,000,000","221,700,000","130,400,000","112,700,000","356,700,000","349,200,000","59,700,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"9,000,000","17,000,000","1,000,000","39,005,000","36,784,000",,"22,800,000","5,956,000","9,738,000","12,486,000","50,395,000","70,115,000",,,,,,,,
		Receivables,"444,000,000","358,000,000","312,000,000","298,000,000","412,000,000","486,000,000","786,000,000","730,000,000","263,000,000","248,000,000","362,000,000","418,000,000","436,000,000","280,000,000","408,000,000","409,000,000","403,000,000","108,327,000","90,763,000","95,361,000","62,887,000","60,837,000","57,090,000","38,109,000","33,080,000","20,789,000","19,300,000","21,600,000","12,500,000","19,400,000","35,800,000","8,900,000","8,300,000","6,400,000"
			AccountsReceivable,"444,000,000","358,000,000","312,000,000","298,000,000","303,000,000","332,000,000","405,000,000","270,000,000","263,000,000","248,000,000",,,,,"408,000,000","409,000,000","403,000,000","108,327,000","90,763,000","95,361,000","62,887,000","60,837,000","57,090,000","38,109,000","33,080,000","20,789,000",,,,,,,,
			OtherReceivables,,,,,"109,000,000","154,000,000","381,000,000","460,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"427,000,000","450,000,000","387,000,000","322,000,000","330,000,000","364,000,000","374,000,000","390,000,000","374,000,000","320,000,000","320,000,000","315,000,000","331,000,000","263,000,000","250,000,000","240,000,000","171,000,000","91,310,000","91,996,000","100,451,000","84,019,000","75,449,000","54,970,000","53,281,000","48,820,000","45,122,000","37,200,000","31,600,000","34,100,000","36,100,000","26,800,000","10,900,000","10,600,000","8,800,000"
		PrepaidAssets,"671,000,000","436,000,000","502,000,000","466,000,000","314,000,000","322,000,000","315,000,000","236,000,000","225,000,000","247,000,000","298,000,000","267,000,000","266,000,000","289,000,000","370,000,000","266,000,000","212,000,000","148,420,000","113,798,000","164,388,000","100,159,000","90,764,000","74,238,000","75,428,000","70,718,000","50,318,000",,,,,,,,
		OtherCurrentAssets,"-1,000,000","-1,000,000",,,,,,,,,,,,,,"153,000,000","275,000,000","78,390,000","204,347,000",,,,,,,,"137,100,000","143,200,000","95,500,000","35,400,000","36,000,000","18,500,000","7,300,000","7,600,000"
	TotalNonCurrentAssets,"43,000,000,000","40,175,000,000","39,182,000,000","37,247,000,000","36,786,000,000","38,029,000,000","38,167,000,000","37,340,000,000","37,325,000,000","36,246,000,000","35,317,000,000","31,750,000,000","32,205,000,000","28,557,000,000","26,217,000,000","25,908,000,000","22,359,000,000","11,202,696,000","9,604,564,000","9,281,838,000","7,494,719,000","6,809,044,000","5,090,750,000","4,810,955,000","3,849,109,000","3,429,374,000","2,965,100,000","2,334,200,000","2,286,500,000","2,462,200,000","2,008,900,000","654,500,000","565,600,000","445,600,000"
		NetPPE,"38,131,000,000","35,336,000,000","34,430,000,000","32,429,000,000","31,888,000,000","32,773,000,000","32,905,000,000","32,137,000,000","32,054,000,000","30,967,000,000","29,870,000,000","26,457,000,000","26,639,000,000","23,458,000,000","21,312,000,000","20,823,000,000","17,522,000,000","10,115,404,000","8,390,230,000","8,001,318,000","6,410,527,000","5,768,114,000","4,327,413,000","4,099,038,000","3,414,823,000","3,071,431,000","2,588,000,000","1,961,400,000","1,920,100,000","2,153,400,000","1,703,200,000","568,700,000","474,200,000","440,800,000"
			GrossPPE,"56,781,000,000","52,622,000,000","50,865,000,000","47,524,000,000","45,790,000,000","45,829,000,000","45,124,000,000","43,201,000,000","42,204,000,000","39,836,000,000","37,734,000,000","32,873,000,000","26,639,000,000","23,458,000,000","21,312,000,000","20,823,000,000","17,522,000,000","12,102,163,000","10,098,675,000","9,485,663,000","7,680,427,000","6,793,414,000","5,181,813,000","4,807,838,000","4,064,523,000","3,602,131,000","3,023,400,000","2,318,800,000","2,209,200,000","2,394,400,000","1,866,300,000","677,400,000","558,700,000","501,400,000"
				Properties,,,,"1,086,000,000","1,161,000,000","1,088,000,000","971,000,000","901,000,000","0","858,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,"864,000,000","762,000,000",,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,"898,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"50,446,000,000","46,957,000,000","46,744,000,000","45,713,000,000","43,790,000,000","44,208,000,000","43,618,000,000","41,920,000,000","40,780,000,000","38,282,000,000","36,100,000,000","31,404,000,000",,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"3,843,000,000","3,661,000,000","3,331,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
