name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalRevenue,"2,377,534,000","2,336,319,000","2,138,022,000","1,943,032,000","1,816,083,000","1,702,091,000","1,580,932,000","1,460,116,000","1,326,424,000","1,149,835,000","935,954,000","852,632,000","1,038,614,000","1,615,013,000","1,483,895,000","1,329,192,000","1,197,480,000","1,119,484,000","1,293,067,000","1,430,440,000","1,279,550,000","1,093,303,000","1,216,070,000","915,893,000","741,459,000","548,418,000","429,072,000","368,600,000","434,500,000","392,300,000","231,400,000","142,800,000","67,100,000","23,900,000","16,600,000"
	OperatingRevenue,"2,377,534,000","2,336,319,000","2,138,022,000","1,943,032,000","1,816,083,000","1,702,091,000","1,580,932,000","1,460,116,000","1,326,424,000","1,149,835,000","935,954,000","852,632,000","1,038,614,000","1,615,013,000","1,483,895,000","1,329,192,000","1,197,480,000","1,119,484,000","1,293,067,000","1,430,440,000","1,279,550,000","1,093,303,000","1,216,070,000","915,893,000","741,459,000","548,418,000","429,072,000","368,600,000","434,500,000","392,300,000","231,400,000","142,800,000","67,100,000","23,900,000","16,600,000"
CostOfRevenue,"270,235,000","266,357,000","258,747,000","237,390,000","256,492,000","238,453,000","223,706,000","200,201,000","191,123,000","195,156,000","156,443,000","169,243,000","209,480,000","214,508,000","227,099,000","228,780,000","226,053,000","216,649,000","250,045,000","354,860,000","368,857,000","324,843,000","280,675,000","183,096,000","153,473,000","116,530,000","94,607,000","45,400,000","69,200,000","61,400,000","97,400,000","47,200,000","23,200,000","8,900,000","6,500,000"
GrossProfit,"2,107,299,000","2,069,962,000","1,879,275,000","1,705,642,000","1,559,591,000","1,463,638,000","1,357,226,000","1,259,915,000","1,135,301,000","954,679,000","779,511,000","683,389,000","829,134,000","1,400,505,000","1,256,796,000","1,100,412,000","971,427,000","902,835,000","1,043,022,000","1,075,580,000","910,693,000","768,460,000","935,395,000","732,797,000","587,986,000","431,888,000","334,465,000","323,200,000","365,300,000","330,900,000","134,000,000","95,600,000","43,900,000","15,000,000","10,100,000"
OperatingExpense,"1,596,305,000","1,569,545,000","1,471,977,000","1,372,281,000","1,273,735,000","1,173,697,000","1,140,330,000","1,052,909,000","923,516,000","833,942,000","782,525,000","775,604,000","991,086,000","1,089,598,000","1,032,101,000","936,846,000","847,713,000","845,963,000","733,971,000","915,778,000","847,278,000","781,210,000","830,207,000","498,790,000","496,727,000","314,028,000","275,711,000","325,500,000","299,600,000","344,800,000","81,500,000","54,900,000","24,000,000","10,500,000","7,800,000"
	SellingGeneralAndAdministration,"633,883,000","621,479,000","573,075,000","553,342,000","520,300,000","512,414,000","513,307,000","499,471,000","454,354,000","416,661,000","391,952,000","409,481,000","510,441,000","576,145,000","548,896,000","518,944,000","409,351,000","409,145,000","515,368,000","508,208,000","484,617,000","440,940,000","369,776,000","314,362,000","280,883,000","225,462,000","203,137,000","281,500,000","262,000,000","304,800,000","61,400,000","40,300,000","17,100,000","7,700,000","6,200,000"
		GeneralAndAdministrativeExpense,"143,296,000","139,806,000","133,406,000","134,181,000","125,106,000","109,982,000","113,619,000","121,314,000","112,076,000","92,863,000","86,394,000","122,648,000","152,032,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"143,296,000","139,806,000","133,406,000","134,181,000","125,106,000","109,982,000","113,619,000","121,314,000","112,076,000","92,863,000","86,394,000","122,648,000","152,032,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"490,587,000","481,673,000","439,669,000","419,161,000","395,194,000","402,432,000","399,688,000","378,157,000","342,278,000","323,798,000","305,558,000","286,833,000","358,409,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"949,396,000","935,938,000","884,816,000","804,223,000","735,340,000","637,567,000","603,006,000","534,022,000","454,085,000","400,745,000","376,413,000","354,703,000","457,913,000","494,032,000","460,064,000","370,140,000","351,254,000","340,121,000","326,414,000","297,329,000","263,947,000","219,181,000","179,394,000","140,375,000","115,301,000","88,566,000","72,574,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"13,026,000","12,128,000","14,086,000","14,716,000","18,095,000","23,716,000","24,017,000","19,416,000","15,077,000","16,536,000","14,160,000","11,420,000","22,732,000","19,421,000","23,141,000","47,762,000","87,108,000","103,697,000","119,279,000","110,241,000","91,893,000","61,788,000","17,443,000",,,,,"44,000,000","37,600,000","40,000,000","20,100,000","14,600,000","6,900,000","2,800,000","1,600,000"
		DepreciationAndAmortizationInIncomeStatement,"13,026,000","12,128,000","14,086,000","14,716,000","18,095,000","23,716,000","24,017,000","19,416,000","15,077,000","16,536,000","14,160,000","11,420,000","22,732,000","19,421,000","23,141,000","47,762,000","87,108,000","103,697,000","119,279,000","110,241,000","91,893,000","61,788,000","17,443,000",,,,,"44,000,000","37,600,000","40,000,000","20,100,000","14,600,000","6,900,000","2,800,000","1,600,000"
			Amortization,"13,026,000","12,128,000","14,086,000","14,716,000","18,095,000","23,716,000","24,017,000","19,416,000","15,077,000","16,536,000","14,160,000","11,420,000","22,732,000","19,421,000","23,141,000","47,762,000","87,108,000","103,697,000","119,279,000","110,241,000","91,893,000","61,788,000","17,443,000",,,,,,,,,,,,
