name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"165,733,000,000","160,518,000,000","152,336,000,000","149,520,000,000","138,208,000,000","132,857,000,000","122,154,000,000","127,053,000,000"
	CashCashEquivalentsAndFederalFundsSold,"3,683,000,000","4,222,000,000","3,224,000,000","4,143,000,000","3,441,000,000","3,646,000,000","2,990,000,000","4,289,000,000"
		CashAndCashEquivalents,"3,683,000,000","4,222,000,000","3,224,000,000","4,143,000,000","3,441,000,000","3,646,000,000","2,990,000,000","3,189,000,000"
			CashFinancial,"3,386,000,000","4,074,000,000","3,032,000,000","3,704,000,000","3,085,000,000","3,276,000,000","2,757,000,000","3,063,000,000"
			CashAndDueFromBanks,"297,000,000","148,000,000","192,000,000","439,000,000","356,000,000","370,000,000","233,000,000","126,000,000"
		MoneyMarketInvestments,,,,,,,,"1,100,000,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,"0","1,100,000,000"
	FederalHomeLoanBankStock,,"827,000,000","715,000,000","942,000,000","863,000,000","867,000,000",,
	BankOwnedLifeInsurance,"1,725,000,000","1,698,000,000","1,656,000,000","1,612,000,000","1,564,000,000","1,527,000,000","1,339,000,000","1,299,000,000"
	SecuritiesAndInvestments,"24,669,000,000","24,248,000,000","25,018,000,000","24,668,000,000","23,212,000,000","23,809,000,000","21,245,000,000","19,417,000,000"
		AvailableForSaleSecurities,"854,000,000","188,000,000","176,000,000","96,000,000","70,000,000","5,000,000","935,000,000","1,061,000,000"
		HeldToMaturitySecurities,"3,202,000,000","4,165,000,000","4,685,000,000","5,071,000,000","5,258,000,000","5,148,000,000","4,315,000,000","0"
		OtherShortTermInvestments,"20,613,000,000","19,895,000,000","20,157,000,000","19,501,000,000","17,884,000,000","18,656,000,000","15,995,000,000","18,356,000,000"
	DerivativeAssets,"807,000,000","317,000,000","617,000,000","627,000,000","625,000,000","629,000,000","650,000,000","1,155,000,000"
	NetLoan,"121,166,000,000","116,738,000,000","110,099,000,000","107,058,000,000","98,191,000,000","92,496,000,000","85,892,000,000","86,639,000,000"
		GrossLoan,"122,418,000,000","117,980,000,000","111,335,000,000","108,294,000,000","99,407,000,000","93,691,000,000","87,113,000,000","87,894,000,000"
			LoansHeldForSale,"3,330,000,000","1,320,000,000","718,000,000","625,000,000","365,000,000","281,000,000","1,254,000,000","646,000,000"
			CommercialLoan,"44,016,000,000","43,760,000,000","40,723,000,000","41,027,000,000","37,243,000,000","35,417,000,000","32,447,000,000","32,271,000,000"
			ConsumerLoan,"29,313,000,000","26,613,000,000","25,975,000,000","23,976,000,000","20,904,000,000","17,727,000,000","14,599,000,000","14,457,000,000"
			MortgageLoan,"45,759,000,000","46,287,000,000","43,919,000,000","42,666,000,000","40,895,000,000","40,266,000,000","38,813,000,000","40,520,000,000"
		AllowanceForLoansAndLeaseLosses,"1,252,000,000","1,242,000,000","1,236,000,000","1,236,000,000","1,216,000,000","1,195,000,000","1,221,000,000","1,255,000,000"
	Receivables,"0","0","6,000,000","0","0","0","446,000,000","4,000,000"
		OtherReceivables,,,"6,000,000",,,,"446,000,000","4,000,000"
	NetPPE,"761,000,000","791,000,000","685,000,000","601,000,000","595,000,000","595,000,000","592,000,000","643,000,000"
		GrossPPE,"1,853,000,000","2,275,000,000","2,590,000,000","2,445,000,000","2,326,000,000","2,246,000,000","2,267,000,000","2,388,000,000"
			LandAndImprovements,"102,000,000","112,000,000","47,000,000","47,000,000","25,000,000","26,000,000","33,000,000","48,000,000"
			BuildingsAndImprovements,"848,000,000","852,000,000","719,000,000","684,000,000","634,000,000","607,000,000","636,000,000","669,000,000"
			MachineryFurnitureEquipment,"535,000,000","1,019,000,000","1,824,000,000","1,714,000,000","1,667,000,000","1,613,000,000","1,598,000,000","1,671,000,000"
			ConstructionInProgress,"368,000,000","292,000,000",,,,,,
		AccumulatedDepreciation,"-1,092,000,000","-1,484,000,000","-1,905,000,000","-1,844,000,000","-1,731,000,000","-1,651,000,000","-1,675,000,000","-1,745,000,000"
	GoodwillAndOtherIntangibleAssets,"7,044,000,000","6,923,000,000","6,887,000,000","6,876,000,000","6,876,000,000","6,876,000,000","6,876,000,000","11,311,000,000"
		Goodwill,"7,044,000,000","6,923,000,000","6,887,000,000","6,876,000,000","6,876,000,000","6,876,000,000","6,876,000,000","11,311,000,000"
	AssetsHeldForSale,,,,,,"0","46,000,000","0"
	OtherAssets,"5,878,000,000","4,754,000,000","3,429,000,000","2,993,000,000","2,841,000,000","2,412,000,000","2,078,000,000","2,296,000,000"
