name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"1,482,089,000","1,367,907,000","1,309,178,000","1,202,892,000","1,126,044,000","1,065,362,000","1,007,078,000","923,373,000","893,648,000","871,778,000","845,492,000","830,385,000","821,347,000","786,968,000","709,910,000","621,645,000","556,548,000","529,119,000","514,742,000","509,108,000","493,628,000","454,100,000","406,700,000","306,500,000","273,600,000","240,000,000","213,100,000","204,000,000","178,500,000","166,000,000","160,600,000","157,500,000",,,,
	NetInterestIncome,"1,002,057,000","1,004,005,000","957,892,000","866,422,000","776,336,000","736,632,000","686,934,000","620,555,000","604,861,000","581,776,000","563,459,000","536,679,000","534,025,000","518,737,000","469,163,000","391,266,000","331,438,000","313,758,000","314,033,000","316,217,000","322,763,000","297,000,000","268,000,000","197,200,000","179,100,000","152,300,000","136,300,000","127,800,000","116,700,000","108,500,000","110,000,000","107,000,000",,,,
		InterestIncome,"1,118,444,000","1,133,785,000","1,051,198,000","892,947,000","788,412,000","749,496,000","701,471,000","642,500,000","631,612,000","623,017,000","617,339,000","623,036,000","675,651,000","768,847,000","683,959,000","509,827,000","393,544,000","368,946,000","389,898,000","460,976,000","512,331,000","447,600,000","428,100,000","324,700,000","290,500,000","256,100,000","205,500,000","189,600,000","190,000,000","231,200,000","272,900,000","299,400,000",,,,
			InterestIncomeFromLoansAndLease,"728,612,000","741,747,000","669,002,000","534,804,000","458,094,000","433,872,000","440,958,000","415,230,000","401,364,000","397,855,000","409,651,000","432,222,000","504,680,000","573,039,000","502,657,000","359,587,000","249,612,000","233,463,000","265,514,000","343,928,000","394,073,000","329,600,000","300,700,000","217,400,000","183,700,000","150,500,000","106,300,000","90,800,000","84,100,000","108,600,000","134,200,000","150,600,000",,,,
				InterestIncomeFromLoans,"728,612,000","741,747,000","669,002,000","534,804,000","458,094,000","433,872,000","440,958,000","415,230,000","401,364,000",,,,"504,680,000","573,039,000","502,657,000","359,587,000","249,612,000","233,463,000","265,514,000","343,928,000","394,073,000","329,600,000","300,700,000","217,400,000","183,700,000","150,500,000","106,300,000","90,800,000","84,100,000","108,600,000","134,200,000","150,600,000",,,,
			InterestIncomeFromSecurities,"352,018,000","350,924,000","319,728,000","315,599,000","313,943,000","307,394,000","249,705,000","219,904,000","225,844,000","218,744,000","202,713,000","188,446,000","167,044,000","165,517,000","144,501,000","131,943,000","135,035,000","125,778,000","120,221,000","106,933,000","109,248,000","113,600,000","120,300,000","95,400,000","99,600,000","98,800,000","95,100,000","91,100,000","99,200,000","111,100,000","115,500,000","101,400,000",,,,
			InterestIncomeFromDeposits,"33,076,000","35,590,000","56,968,000","41,608,000","16,103,000","8,123,000","10,725,000","7,284,000","4,300,000","6,357,000","4,901,000","2,161,000","429,000","396,000","251,000","150,000","63,000","104,000","172,000","331,000","505,000",,,,,,,,,,"100,000","1,800,000",,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"4,738,000","5,524,000","5,500,000","936,000","272,000","107,000","83,000","82,000","104,000","61,000","74,000","207,000","3,498,000","29,895,000","36,550,000","18,147,000","8,834,000","9,601,000","3,991,000","9,784,000","8,505,000","4,200,000","7,100,000","11,800,000","7,200,000","6,700,000","4,100,000","7,700,000","6,700,000","11,500,000","23,100,000","45,600,000",,,,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,"200,000",,"100,000",,"100,000",,,,,,,,,,
		InterestExpense,"116,387,000","129,780,000","93,306,000","26,525,000","12,076,000","12,864,000","14,537,000","21,945,000","26,751,000","41,241,000","53,880,000","86,357,000","141,626,000","250,110,000","214,796,000","118,561,000","62,106,000","55,188,000","75,865,000","144,759,000","189,568,000","150,600,000","160,100,000","127,500,000","111,400,000","103,800,000","69,200,000","61,800,000","73,300,000","122,700,000","162,900,000","192,400,000",,,,
			InterestExpenseForDeposit,"88,621,000","99,742,000","75,337,000","17,188,000","7,248,000","9,024,000","11,022,000","14,459,000","18,099,000","22,179,000","29,973,000","56,015,000","104,871,000","190,237,000","155,090,000","78,934,000","39,150,000","37,406,000","55,384,000","118,699,000","158,858,000","128,800,000","138,300,000","113,100,000","103,500,000","89,800,000","62,000,000","58,100,000","68,800,000","115,300,000","147,400,000","160,500,000",,,,
			InterestExpenseForShortTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,300,000",,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"10,070,000","10,363,000","9,948,000","7,815,000","4,624,000","3,673,000","3,381,000","7,365,000","8,512,000","18,750,000","23,470,000","29,290,000","23,801,000","27,922,000","28,539,000","22,995,000","17,181,000","13,723,000","15,122,000","14,006,000","12,821,000","9,300,000","10,300,000","9,000,000","1,000,000","700,000",,"400,000","1,400,000","1,500,000","1,600,000","1,700,000",,,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"17,696,000","19,675,000","8,021,000","1,522,000","204,000","167,000","134,000","121,000","140,000","312,000","437,000","1,052,000","12,954,000","31,951,000","31,167,000","16,632,000","5,775,000","4,059,000","5,359,000","12,054,000","17,889,000","12,500,000","11,600,000","5,400,000","6,900,000","13,300,000","7,200,000","3,300,000","3,100,000","5,900,000","13,800,000","27,900,000",,,,
			OtherInterestExpense,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,,,,"100,000",,,,,
	NonInterestIncome,"480,032,000","363,902,000","351,286,000","336,470,000","349,708,000","328,730,000","320,144,000","302,818,000","288,787,000","290,002,000","282,033,000","293,706,000","287,322,000","268,231,000","240,747,000","230,379,000","225,110,000","215,361,000","200,709,000","192,891,000","170,865,000","157,100,000","138,700,000","109,300,000","94,500,000","87,700,000","76,800,000","76,200,000","61,800,000","57,500,000","50,600,000","50,500,000",,,,
		FeesAndCommissions,"323,040,000","320,046,000","304,652,000","304,189,000","293,589,000","293,005,000","287,850,000","267,111,000","253,770,000","237,026,000","231,691,000","230,537,000","230,581,000","214,482,000","196,920,000","184,268,000","191,659,000","182,619,000","142,740,000","144,317,000","140,367,000","128,700,000","116,000,000","93,800,000","81,100,000","73,300,000","67,100,000","61,600,000","51,800,000","47,200,000","41,200,000","35,800,000",,,,
			FeesandCommissionIncome,"323,040,000","320,046,000","304,652,000","304,189,000","293,589,000","293,005,000","287,850,000","267,111,000","253,770,000","237,026,000","231,691,000","230,537,000","230,581,000","214,482,000","196,920,000","184,268,000","191,659,000","182,619,000","142,740,000","144,317,000","140,367,000","128,700,000","116,000,000","93,800,000","81,100,000","73,300,000","67,100,000","61,600,000","51,800,000","47,200,000","41,200,000","35,800,000",,,,
				ServiceChargeOnDepositorAccounts,"156,116,000","156,201,000","148,030,000","153,583,000","149,726,000","149,942,000","145,433,000","141,551,000","140,273,000","94,367,000","98,796,000","102,474,000","87,566,000","80,718,000","77,116,000","78,751,000","87,415,000","87,805,000","78,417,000","70,534,000","60,627,000","58,800,000","53,600,000","43,700,000","38,300,000","30,400,000","25,900,000","25,400,000","22,000,000","18,900,000","15,100,000","13,300,000",,,,
				TrustFeesbyCommissions,"129,498,000","126,722,000","119,391,000","110,675,000","104,240,000","105,512,000","106,237,000","91,375,000","83,317,000","73,233,000","68,428,000","67,268,000","74,554,000","70,359,000","63,469,000","58,353,000","53,910,000","47,486,000","47,463,000","48,784,000","49,266,000","46,400,000","46,900,000","40,000,000","34,000,000","31,800,000","29,500,000","26,300,000","21,900,000","20,000,000","18,800,000","16,200,000",,,,
				OtherCustomerServices,"37,426,000","37,123,000","37,231,000","39,931,000","39,623,000","37,551,000","36,180,000","34,185,000","30,180,000","69,426,000","64,467,000","60,795,000","68,461,000","63,405,000","56,335,000","47,164,000","50,334,000","47,328,000","16,860,000","24,999,000","30,474,000","23,500,000","15,500,000","10,100,000","8,800,000","11,100,000","11,700,000","9,900,000","7,900,000","8,300,000","7,300,000","6,300,000",,,,
		GainLossonSaleofAssets,"109,282,000","293,000","-156,000","-4,941,000","14,975,000","69,000","38,000","1,176,000","4,314,000","6,414,000","6,000","-1,260,000","-159,000","15,000","-1,000","19,000","-3,377,000","40,000","88,000","78,000","4,000","-100,000","400,000","500,000","-1,000,000","-1,400,000","-4,000,000","1,400,000","-200,000","2,000,000","100,000","500,000",,,,
			GainOnSaleOfSecurity,"109,282,000","293,000","-156,000","-4,941,000","14,975,000","69,000","38,000","1,176,000","4,314,000","6,414,000","6,000","-1,260,000","-159,000","15,000","-1,000","19,000","-3,377,000","40,000","88,000","78,000","4,000","-100,000","400,000","500,000","-1,000,000","-1,400,000","-4,000,000","1,400,000","-200,000","2,000,000","100,000","500,000",,,,
		OtherNonInterestIncome,"47,710,000","43,563,000","46,790,000","37,222,000","41,144,000","35,656,000","32,256,000","34,531,000","30,703,000","46,562,000","50,336,000","64,429,000","56,900,000","53,734,000","43,828,000","46,092,000","36,828,000","32,702,000","57,881,000","48,496,000","30,494,000","28,500,000","22,300,000","15,000,000","14,400,000","15,800,000","13,700,000","13,200,000","10,200,000","8,300,000","9,300,000","14,200,000",,,,
CreditLossesProvision,"-197,953,000","-33,759,000","-21,613,000","-35,460,000","-51,673,000","-51,845,000","-16,314,000","-20,582,000","-10,080,000","-27,445,000","-43,611,000","-65,392,000","-37,823,000","-14,660,000","-14,150,000","-10,250,000","-2,500,000","-10,544,000","-22,546,000","-40,031,000","-14,103,000","-12,400,000","-10,400,000","-7,900,000","-7,300,000","-6,300,000",,"6,100,000","900,000","-10,000,000","-32,000,000","-28,900,000",,,,
NonInterestExpense,"857,042,000","834,679,000","778,884,000","759,069,000","732,960,000","693,718,000","654,740,000","611,910,000","575,093,000","558,098,000","535,541,000","532,238,000","486,645,000","462,446,000","410,353,000","367,007,000","345,030,000","326,035,000","312,142,000","332,741,000","313,280,000","293,000,000","278,500,000","200,000,000","180,600,000","162,400,000","155,600,000","172,100,000","153,500,000","155,100,000","136,600,000","125,700,000",,,,
	OccupancyAndEquipment,"191,154,000","181,461,000","159,890,000","150,306,000","142,835,000","130,063,000","117,832,000","108,911,000","104,254,000","98,437,000","93,817,000","88,411,000","78,263,000","71,645,000","60,988,000","55,019,000","52,146,000","51,054,000","51,480,000","53,568,000","49,400,000","47,100,000","44,400,000","32,000,000","30,600,000","29,300,000","26,700,000","31,500,000","25,600,000","24,500,000","25,200,000","25,100,000",,,,
