name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000
TotalAssets,"562,499,000,000","569,241,000,000","565,127,000,000","567,423,000,000","540,320,000,000","548,690,000,000","550,905,000,000","570,043,000,000","571,983,000,000","588,937,000,000","596,521,000,000","600,881,000,000","614,154,000,000","595,301,000,000","598,419,000,000","599,578,000,000","610,346,000,000","559,646,000,000","536,717,000,000","540,246,000,000","545,072,000,000","513,440,000,000","516,629,000,000","521,910,000,000","529,171,000,000","511,967,000,000","505,215,000,000","504,797,000,000","516,124,000,000","466,705,000,000","470,882,000,000","451,407,000,000","456,233,000,000","435,128,000,000","439,913,000,000","440,346,000,000","441,453,000,000","418,988,000,000","416,687,000,000","403,911,000,000","417,045,000,000","367,804,000,000","354,928,000,000","350,874,000,000","344,924,000,000","146,813,201,000","146,428,420,361.79","149,052,022,522.24","149,637,039,567.6","142,429,689,464","142,043,256,946.5","142,265,190,259.2","146,314,138,007.5","144,870,200,000","141,230,719,000","141,517,130,000","142,688,310,157","147,075,090,310.08","147,587,245,619.5","148,940,996,323.45","145,629,272,747.05","148,038,769,033.1","147,215,556,684.5","153,074,260,062.15","149,838,008,379.3","143,183,269,819.5","141,203,939,320.05","145,953,056,028","149,188,302,787.2","113,193,182,802.6","127,903,877,330.88","123,824,799,558.2","112,692,516,030"
	CurrentAssets,"83,595,000,000",,"81,276,000,000",,"75,909,000,000",,"83,517,000,000",,"76,722,000,000",,"96,099,000,000",,"82,218,000,000",,"61,971,000,000",,"56,670,000,000","66,264,000,000","54,886,000,000","61,995,000,000","56,574,000,000","52,970,000,000","53,418,000,000","57,256,000,000","52,210,000,000","53,128,000,000","46,643,000,000","48,581,000,000","48,174,000,000","39,748,000,000","45,081,000,000","44,589,000,000","38,803,000,000","37,989,000,000","38,904,000,000","47,781,000,000","42,208,000,000","29,775,000,000","25,970,000,000","27,905,000,000","30,613,000,000","33,575,000,000","28,455,000,000","36,892,000,000","36,120,000,000","9,348,200,000","12,092,584,754.46","19,243,004,687.04","16,858,305,675.08","17,097,978,712","17,492,019,027","17,721,235,687.2","20,408,981,562.5","19,806,541,000","17,049,665,000","17,254,012,000","15,282,005,210","19,986,964,448.31","18,450,307,607.4","19,162,899,037.55","17,852,202,991.75","22,609,788,247.15","22,081,501,548.6","27,579,476,261.85","22,243,297,990.35","26,245,891,131.3","23,799,159,726.55","28,949,948,828.8","31,408,517,296.32","31,095,737,666.4","49,957,476,050.88","58,373,119,641.2","57,684,857,551.2"
		CashCashEquivalentsAndShortTermInvestments,"35,147,000,000",,"31,329,000,000",,"34,550,000,000",,"42,099,000,000",,"38,522,000,000",,"36,048,000,000",,"25,510,000,000",,"21,349,000,000",,"22,063,000,000","26,414,000,000","16,367,000,000","25,059,000,000","25,364,000,000","18,802,000,000","19,338,000,000","22,517,000,000","21,560,000,000","19,021,000,000","13,482,000,000","14,255,000,000","18,282,000,000","12,222,000,000","18,625,000,000","17,942,000,000","15,106,000,000","14,778,000,000","18,042,000,000","24,649,000,000","22,768,000,000","11,349,000,000","7,923,000,000","10,032,000,000","8,816,000,000","11,538,000,000","7,921,000,000","8,756,000,000","9,476,000,000","4,044,260,000","6,871,678,925.23","10,450,979,444.08","7,330,012,238.04","8,556,219,248","9,173,888,872.5","9,151,000,992","12,367,458,800","11,040,536,000","7,753,491,000","6,564,749,000","5,756,389,353","8,751,883,692.51","7,014,540,071.4","5,602,304,237.7","5,317,494,486.95","6,188,604,211.45","9,261,337,597.35","13,203,856,203.75","10,132,737,057.1","10,810,212,574.95","12,115,089,081.3","12,368,119,014.2","19,428,132,240.96","24,274,603,059","43,538,437,588.8","37,046,397,646.7","45,035,611,540.2"
			CashAndCashEquivalents,"34,945,000,000",,"27,504,000,000",,"30,060,000,000",,"37,993,000,000",,"32,836,000,000",,"33,834,000,000",,"23,633,000,000",,"21,137,000,000",,"21,755,000,000","26,358,000,000","16,312,000,000","25,004,000,000","25,308,000,000","18,747,000,000","19,284,000,000","22,463,000,000","21,506,000,000","18,969,000,000","13,423,000,000","14,227,000,000","18,250,000,000","12,160,000,000","18,625,000,000","17,942,000,000","15,106,000,000","14,778,000,000","18,042,000,000","24,649,000,000","22,495,000,000","10,591,000,000","6,821,000,000","8,889,000,000","7,820,000,000","11,183,000,000","7,725,000,000","8,522,000,000","9,238,000,000","4,044,260,000","6,730,951,889.87","9,841,434,299.76","6,685,068,640.08","8,408,240,712","9,014,253,390","9,129,799,675.2","12,171,803,930","10,921,937,000","7,753,491,000","6,564,749,000","5,473,816,853","8,139,142,025.73","6,435,632,485.6","5,019,149,960.95","4,655,465,997","5,524,473,071.4","8,597,446,523.65","12,290,892,152.85","9,219,938,569.2","10,628,167,778.3","11,913,954,870.75","12,200,709,986.75","19,254,234,614.4","24,061,088,667.3","43,334,606,424.96","36,676,066,020.1","44,662,660,858.8"
			OtherShortTermInvestments,"202,000,000",,"3,825,000,000",,"4,490,000,000",,"4,106,000,000",,"5,686,000,000",,"2,214,000,000",,"1,877,000,000",,"212,000,000",,"308,000,000","56,000,000","55,000,000","55,000,000","56,000,000","55,000,000","54,000,000","54,000,000","54,000,000","52,000,000","59,000,000","28,000,000","32,000,000","62,000,000",,,,,,,"273,000,000","758,000,000","1,102,000,000","1,143,000,000","996,000,000","355,000,000","196,000,000","234,000,000","238,000,000",,"140,727,035.36","609,545,144.32","644,943,597.96","147,978,536","159,635,482.5","21,201,316.8","195,654,870","118,599,000",,,"282,572,500","612,741,666.78","578,907,585.8","583,154,276.75","662,028,489.95","664,131,140.05","663,891,073.7","912,964,050.9","912,798,487.9","182,044,796.65","201,134,210.55","167,409,027.45","173,897,626.56","213,514,391.7","203,831,163.84","370,331,626.6","372,950,681.4"
			CashCashEquivalentsAndShortTermInvestments,"35,147,000,000",,"31,329,000,000",,"34,550,000,000",,"42,099,000,000",,"38,522,000,000",,"36,048,000,000",,"25,510,000,000",,"21,349,000,000",,"22,063,000,000","26,414,000,000","16,367,000,000","25,059,000,000","25,364,000,000","18,802,000,000","19,338,000,000","22,517,000,000","21,560,000,000","19,021,000,000","13,482,000,000","14,255,000,000","18,282,000,000","12,222,000,000","18,625,000,000","17,942,000,000","15,106,000,000","14,778,000,000","18,042,000,000","24,649,000,000","22,768,000,000","11,349,000,000","7,923,000,000","10,032,000,000","8,816,000,000","11,538,000,000","7,921,000,000","8,756,000,000","9,476,000,000","4,044,260,000","6,871,678,925.23","10,450,979,444.08","7,330,012,238.04","8,556,219,248","9,173,888,872.5","9,151,000,992","12,367,458,800","11,040,536,000","7,753,491,000","6,564,749,000","5,756,389,353","8,751,883,692.51","7,014,540,071.4","5,602,304,237.7","5,317,494,486.95","6,188,604,211.45","9,261,337,597.35","13,203,856,203.75","10,132,737,057.1","10,810,212,574.95","12,115,089,081.3","12,368,119,014.2","19,428,132,240.96","24,274,603,059","43,538,437,588.8","37,046,397,646.7","45,035,611,540.2"
		AccountsReceivable,"17,233,000,000",,"21,433,000,000",,"14,433,000,000",,"17,011,000,000",,"16,185,000,000",,"19,793,000,000",,"16,888,000,000",,"16,974,000,000",,"17,285,000,000","19,041,000,000","18,198,000,000","17,628,000,000","17,517,000,000","16,925,000,000","16,527,000,000","16,616,000,000","18,304,000,000","15,472,000,000","16,637,000,000","15,050,000,000","17,319,000,000","15,969,000,000","13,627,000,000","12,801,000,000","11,412,000,000","11,281,000,000","10,435,000,000","9,816,000,000","10,597,000,000","10,723,000,000","10,901,000,000","10,730,000,000","10,012,000,000","16,562,000,000","16,785,000,000","24,377,000,000","8,587,000,000","2,743,612,000","2,306,605,777.79","3,338,296,239.76","3,215,769,266.8","3,319,656,072","3,327,770,620.5","3,421,943,488.8","3,416,451,232.5","3,759,104,000","4,139,876,000","4,680,712,000","4,550,289,188","5,377,709,978.28","5,427,875,339.05","5,974,945,159.95","5,229,986,163.3","6,334,084,419.55","6,077,883,955.2","6,614,142,512.2","5,471,550,858.45","5,834,506,345.2","4,365,540,349.55","5,723,380,459.6","4,326,265,335.36","2,955,777,598.5","2,498,043,089.28","1,975,228,764.6","1,543,184,616.6"
		Inventory,"2,359,000,000",,"2,278,000,000",,"2,388,000,000",,"1,939,000,000",,"2,239,000,000",,"1,792,000,000",,"2,431,000,000",,"3,497,000,000",,"3,946,000,000","5,003,000,000","5,731,000,000","6,018,000,000","4,378,000,000","3,806,000,000","4,410,000,000","6,031,000,000","5,536,000,000","6,610,000,000","5,043,000,000","6,804,000,000","5,803,000,000","4,282,000,000","5,780,000,000","6,402,000,000","4,651,000,000","4,386,000,000","4,089,000,000","4,294,000,000","3,728,000,000","2,016,000,000","2,330,000,000","2,200,000,000","2,412,000,000","1,321,000,000","1,127,000,000","910,000,000","1,171,000,000","827,689,000","813,040,026.63","2,236,406,210.08","2,531,991,863.56","2,676,476,784","2,589,235,062","2,566,834,005.6","2,331,928,147.5","2,268,274,000","2,194,842,000","2,537,120,000","2,108,677,097.5","2,192,451,862.59","2,517,335,746.1","2,858,966,718.45","3,114,637,381.2","3,130,009,905.75","2,023,734,496.05","2,121,201,434.15","2,169,355,432.7","2,080,108,697.55","1,876,640,048.7","2,765,390,510.85","3,229,154,836.8","1,026,980,497.5","751,989,065.28","779,144,741.7","678,869,283.6"
		OtherCurrentAssets,"3,084,000,000",,"2,925,000,000",,"2,150,000,000",,"2,183,000,000",,"2,290,000,000",,"1,514,000,000",,"1,372,000,000",,,,"1,406,000,000",,,,"1,264,000,000",,,,"1,168,000,000",,,,"1,067,000,000",,"121,000,000","186,000,000","304,000,000","320,000,000","305,000,000","268,000,000",,,,,,"962,000,000",,,"14,020,000,000",,"172,858,154.55","252,207,438.96","3,183,247,050.64","7,496","394,173,043.5",,"1,622,410,230","7,897.3","1,145,817,000","601,275,000","523,227,388","8,091.99","371,986,948.4",,"-8,278.15","-8,278.15","-16,556.3","-8,278.15",,"1,000,671,050.15","1,339,735,796","2,445,464,847.8",,"-16,534.2",,"16,025,932,087.1","8,032,159,400.4"
		CurrentAssets,"83,595,000,000",,"81,276,000,000",,"75,909,000,000",,"83,517,000,000",,"76,722,000,000",,"96,099,000,000",,"82,218,000,000",,"61,971,000,000",,"56,670,000,000","66,264,000,000","54,886,000,000","61,995,000,000","56,574,000,000","52,970,000,000","53,418,000,000","57,256,000,000","52,210,000,000","53,128,000,000","46,643,000,000","48,581,000,000","48,174,000,000","39,748,000,000","45,081,000,000","44,589,000,000","38,803,000,000","37,989,000,000","38,904,000,000","47,781,000,000","42,208,000,000","29,775,000,000","25,970,000,000","27,905,000,000","30,613,000,000","33,575,000,000","28,455,000,000","36,892,000,000","36,120,000,000","9,348,200,000","12,092,584,754.46","19,243,004,687.04","16,858,305,675.08","17,097,978,712","17,492,019,027","17,721,235,687.2","20,408,981,562.5","19,806,541,000","17,049,665,000","17,254,012,000","15,282,005,210","19,986,964,448.31","18,450,307,607.4","19,162,899,037.55","17,852,202,991.75","22,609,788,247.15","22,081,501,548.6","27,579,476,261.85","22,243,297,990.35","26,245,891,131.3","23,799,159,726.55","28,949,948,828.8","31,408,517,296.32","31,095,737,666.4","49,957,476,050.88","58,373,119,641.2","57,684,857,551.2"
