name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"25,408,000,000","21,935,000,000","21,843,000,000","20,386,000,000","18,888,000,000","18,753,000,000","17,662,000,000","16,548,000,000","15,668,000,000","15,095,000,000","14,440,000,000","13,369,000,000","16,637,000,000","17,222,000,000","16,003,000,000","16,107,000,000","15,509,000,000","14,059,000,000","13,959,000,000","13,287,091,000","11,380,214,000","11,086,503,000","9,493,425,000","7,045,514,000","6,109,298,000","4,734,279,000","4,602,300,000","4,028,400,000","3,436,000,000","2,589,600,000","2,552,000,000","2,117,400,000","1,792,500,000","1,552,700,000","1,255,000,000"
	TotalInvestments,"19,746,000,000","16,732,000,000","17,051,000,000","15,500,000,000","14,423,000,000","14,386,000,000","13,564,000,000","12,534,000,000","11,801,000,000","11,508,000,000","10,643,000,000","8,890,000,000","12,261,000,000","13,759,000,000","12,657,000,000","12,677,000,000","12,527,000,000","11,257,000,000","11,571,000,000","11,315,836,000","10,194,239,000","10,324,950,000","8,797,050,000","6,354,989,000","5,528,559,000","4,212,179,000",,,,,,,,,
		EquityInvestments,"19,746,000,000","16,732,000,000","17,051,000,000","15,500,000,000","14,423,000,000","14,386,000,000","13,564,000,000","12,534,000,000","11,735,000,000","11,424,000,000","10,556,000,000","8,723,000,000","12,097,000,000","1,604,000,000","12,582,000,000","12,639,000,000","12,449,000,000","11,189,000,000","11,505,000,000","11,247,276,000","10,128,330,000","10,267,048,000","8,750,490,000","6,301,985,000","5,488,757,000","4,173,363,000",,,,,,,,,
		OtherShortTermInvestments,,,,,,,,,,"0","6,000,000","84,000,000","101,000,000","95,000,000","75,000,000",,,,,,,,,,,,,,,,,,,,
		OtherInvestedAssets,,,,,,,,,"66,000,000","84,000,000","81,000,000","83,000,000","63,000,000","12,060,000,000",,"38,000,000","78,000,000","68,000,000","66,000,000","68,560,000","65,909,000","57,902,000","46,560,000","53,004,000","39,802,000","38,816,000",,,,,,,,,
	CashAndCashEquivalents,"767,000,000","784,000,000","657,000,000","777,000,000","544,000,000","591,000,000","433,000,000","487,000,000","438,000,000","385,000,000","557,000,000","1,009,000,000","226,000,000","202,000,000","119,000,000","306,000,000","91,000,000","112,000,000","93,000,000","60,254,000","339,554,000","58,611,000","80,168,000","59,933,000","20,019,000","48,254,000",,,,,,,,,
	ReinsuranceRecoverable,,,,,,,,,"622,000,000","572,000,000","675,000,000","759,000,000","754,000,000","683,000,000",,"680,000,000","617,000,000","527,000,000","515,000,000","214,576,000","159,229,000","135,991,000","109,110,000","115,906,000","103,683,000","67,125,000",,,,,,,,,
	Receivables,"2,597,000,000","2,331,000,000","2,216,000,000","2,263,000,000","2,164,000,000","2,148,000,000","2,099,000,000","2,019,000,000","1,163,000,000","1,088,000,000","1,070,000,000","1,130,000,000","1,199,000,000","1,236,000,000","2,019,000,000","1,214,000,000","1,099,000,000","989,000,000","759,000,000","683,058,000","199,516,000","196,519,000","190,254,000","188,909,000","181,399,000","158,141,000","134,400,000",,,,,,,,
		AccountsReceivable,"2,520,000,000","2,260,000,000","2,155,000,000","2,212,000,000","2,102,000,000","2,073,000,000","2,014,000,000","1,944,000,000","1,087,000,000","1,015,000,000","995,000,000","1,059,000,000","1,107,000,000","1,128,000,000",,"1,119,000,000","1,060,000,000","956,000,000","732,000,000","652,340,000","166,585,000","164,412,000","158,539,000","162,045,000","161,117,000","141,972,000","134,400,000",,,,,,,,
		OtherReceivables,"77,000,000","71,000,000","61,000,000","51,000,000","62,000,000","75,000,000","85,000,000","75,000,000","76,000,000","73,000,000","75,000,000","71,000,000","92,000,000","108,000,000",,"95,000,000","39,000,000","33,000,000","27,000,000","30,718,000","32,931,000","32,107,000","31,715,000","26,864,000","20,282,000","16,169,000",,,,,,,,,
	AccruedInvestmentIncome,,,,,,,,,"119,000,000","119,000,000","118,000,000","98,000,000","124,000,000","121,000,000",,"107,000,000","99,000,000","98,000,000","93,000,000","86,234,000","80,128,000","76,773,000","74,520,000","70,446,000","65,045,000","56,069,000",,"47,000,000","42,900,000","38,300,000","36,300,000",,,,
	PrepaidAssets,"54,000,000","44,000,000","42,000,000","62,000,000","54,000,000","29,000,000","26,000,000","26,000,000","24,000,000","18,000,000","15,000,000","15,000,000","13,000,000","13,000,000","14,000,000","15,000,000","13,000,000","47,000,000","28,000,000","15,246,000","24,684,000","26,435,000","23,612,000","22,924,000","21,835,000","24,066,000",,,,,,,,,
	DeferredPolicyAcquisitionCosts,"774,000,000","738,000,000","670,000,000","637,000,000","616,000,000","578,000,000","565,000,000","470,000,000","510,000,000","488,000,000","481,000,000","509,000,000","461,000,000","453,000,000","429,000,000","400,000,000","372,000,000","343,000,000","286,000,000","258,734,000","154,385,000","142,896,000","135,313,000","127,588,000","119,589,000","109,503,000","104,100,000","97,300,000","93,600,000","88,900,000","86,800,000",,,,
	DeferredTaxAssets,,,,,,,,,,,"0","126,000,000",,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesLendingCollateral,,,,,,,,,,,,"0","760,000,000",,,,,,,,,,,,,,,,,,,,,,
	NetPPE,"207,000,000","195,000,000","185,000,000","183,000,000","185,000,000","194,000,000","210,000,000","217,000,000","227,000,000","229,000,000","251,000,000","236,000,000","239,000,000","193,000,000","168,000,000","156,000,000","136,000,000","128,000,000","125,000,000","122,005,000","107,784,000","53,639,000","52,559,000","39,486,000","33,056,000","32,673,000","31,300,000","34,000,000","31,700,000","23,800,000","24,900,000",,,,
	GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0",,,,,,,,,
	SeparateAccountAssets,"882,000,000","803,000,000","806,000,000","766,000,000","748,000,000","752,000,000","692,000,000","734,000,000","671,000,000","621,000,000","585,000,000","548,000,000","528,000,000","504,000,000","486,000,000","477,000,000","463,000,000","427,000,000","390,000,000","357,615,000",,,,,,,,,,,,,,,
