name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"73,402,000,000","70,818,000,000","71,567,000,000","72,978,000,000","71,877,000,000","69,190,000,000","65,227,000,000","65,359,000,000","61,008,000,000","53,667,000,000","59,249,000,000","67,548,000,000","62,331,000,000","58,001,000,000","53,013,000,000","51,766,000,000","52,592,000,000","53,301,000,000","50,731,973,000","41,985,185,000","38,653,300,000","36,600,800,000","36,292,400,000","34,206,100,000","35,469,900,000","33,429,900,000","30,294,900,000","26,586,800,000","14,450,800,000","13,300,400,000","12,149,500,000"
	CashCashEquivalentsAndFederalFundsSold,"5,818,000,000","4,561,000,000","5,845,000,000","7,218,000,000","6,147,000,000","6,071,000,000","6,451,000,000","4,534,000,000","3,556,000,000","2,083,000,000","5,617,000,000","3,423,000,000","1,476,000,000","4,066,000,000","1,609,000,000","1,139,000,000","1,527,000,000","1,902,000,000","1,925,262,000","1,496,705,000","1,202,000,000","1,773,100,000","1,927,100,000","1,961,300,000","2,255,800,000","2,247,200,000","3,719,000,000","2,856,600,000","1,487,800,000","1,333,900,000","1,341,400,000"
		CashAndCashEquivalents,"5,818,000,000","4,561,000,000","5,845,000,000","7,218,000,000","6,147,000,000","6,071,000,000","6,451,000,000","4,434,000,000","3,556,000,000","2,083,000,000","5,617,000,000","3,221,000,000","1,440,000,000","1,434,000,000","1,609,000,000","1,139,000,000","1,527,000,000","1,902,000,000","1,925,262,000","1,496,705,000","1,202,000,000","1,773,100,000","1,927,100,000","1,929,100,000","2,052,000,000","2,201,200,000","2,627,200,000","2,798,800,000","1,487,800,000","1,333,900,000","1,341,400,000"
			CashFinancial,"973,000,000","1,390,000,000","1,438,000,000","1,249,000,000","1,157,000,000","1,026,000,000","1,140,000,000","1,395,000,000",,,,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,"1,901,800,000","2,028,400,000","1,822,300,000","1,600,700,000","1,485,500,000","780,800,000","654,600,000","684,300,000"
			CashAndDueFromBanks,"4,845,000,000","3,171,000,000","4,407,000,000","5,969,000,000","4,990,000,000","5,045,000,000","5,311,000,000","3,039,000,000","3,556,000,000","2,083,000,000","5,617,000,000","3,221,000,000","1,440,000,000","1,434,000,000","1,609,000,000","1,139,000,000","1,527,000,000","1,902,000,000","1,925,262,000","1,496,705,000","1,202,000,000","1,773,100,000","1,927,100,000","27,300,000","23,600,000","378,900,000","1,026,500,000","1,313,300,000","707,000,000","679,300,000","657,100,000"
		MoneyMarketInvestments,,,,,,,,"100,000,000",,,,"202,000,000","36,000,000","2,632,000,000",,,,,,,,,,"32,200,000","203,800,000","46,000,000","1,091,800,000","57,800,000",,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,"0","100,000,000",,,,"202,000,000","36,000,000","2,632,000,000",,,,,,,,,,"32,200,000","203,800,000","46,000,000","1,091,800,000","57,800,000",,,
				FederalFundsSold,,,,,,,"0","100,000,000",,,,,,,,,,,,,,,,,,,,,,,
	CustomerAcceptances,,,,,,,,,"22,000,000","9,000,000","11,000,000","14,000,000","48,000,000","56,000,000","59,000,000","57,000,000","27,000,000","33,000,000","28,589,000","26,668,000","43,800,000","12,300,000","18,400,000","33,100,000","21,100,000","33,600,000","38,200,000","23,500,000","2,700,000","6,700,000","1,000,000"
