name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"108,692,000,000","108,942,000,000","94,507,000,000","84,526,000,000","80,403,000,000","74,510,000,000","68,775,000,000","64,657,000,000","62,570,000,000","55,842,000,000","37,937,000,000","35,756,000,000","34,256,000,000","30,895,000,000","24,966,000,000","22,255,000,000","20,307,000,000","18,348,000,000","12,460,000,000","9,674,200,000","8,218,600,000","6,209,200,000","5,145,300,000","4,912,600,000","4,038,400,000","3,362,900,000","1,375,300,000","1,375,300,000","900,300,000","721,000,000","657,000,000","562,300,000","449,900,000","309,300,000","130,900,000","117,300,000"
	OperatingRevenue,"108,692,000,000","108,942,000,000","94,507,000,000","84,526,000,000","80,403,000,000","74,510,000,000","68,775,000,000","64,657,000,000","62,570,000,000","55,842,000,000","37,937,000,000","35,756,000,000","34,256,000,000","30,895,000,000","24,966,000,000","22,255,000,000","20,307,000,000","18,348,000,000","12,460,000,000","9,674,200,000","8,218,600,000","6,209,200,000","5,145,300,000","4,912,600,000","4,038,400,000","3,362,900,000","1,375,300,000","1,375,300,000","900,300,000","721,000,000","657,000,000","562,300,000","449,900,000","309,300,000","130,900,000","117,300,000"
CostOfRevenue,"34,172,000,000","34,440,000,000","29,692,000,000","25,384,000,000","24,463,000,000","22,550,000,000","20,912,000,000","19,670,000,000","19,929,000,000","20,758,000,000","15,250,000,000","14,396,000,000","13,472,000,000","11,175,000,000","9,010,000,000","7,969,000,000","7,462,000,000","7,041,000,000","6,304,000,000","5,419,800,000","4,497,400,000","3,403,200,000",,,"2,059,600,000",,,,"275,500,000","252,100,000","243,900,000","208,000,000","171,400,000","118,100,000","50,100,000","47,700,000"
GrossProfit,"74,520,000,000","74,502,000,000","64,815,000,000","59,142,000,000","55,940,000,000","51,960,000,000","47,863,000,000","44,987,000,000","42,641,000,000","35,084,000,000","22,687,000,000","21,360,000,000","20,784,000,000","19,720,000,000","15,956,000,000","14,286,000,000","12,845,000,000","11,307,000,000","6,156,000,000","4,254,400,000","3,721,200,000","2,806,000,000",,,"1,978,800,000",,,,"624,800,000","468,900,000","413,100,000","354,300,000","278,500,000","191,200,000","80,800,000","69,600,000"
OperatingExpense,"53,725,000,000","53,377,000,000","45,806,000,000","41,155,000,000","39,081,000,000","35,962,000,000","32,959,000,000","31,424,000,000","30,462,000,000","24,363,000,000","14,707,000,000","14,146,000,000","14,052,000,000","14,142,000,000","11,337,000,000","10,596,000,000","9,937,000,000","9,353,000,000","4,497,000,000","5,000,600,000","3,882,200,000","2,142,000,000",,,"1,469,900,000",,,,"459,700,000","323,900,000","303,100,000","264,400,000","213,100,000","145,000,000","52,000,000","47,800,000"
	SellingGeneralAndAdministration,"40,828,000,000","40,424,000,000","35,130,000,000","31,330,000,000","29,523,000,000","27,282,000,000","24,940,000,000","23,553,000,000","22,664,000,000","16,727,000,000","8,091,000,000","7,646,000,000","7,652,000,000","7,934,000,000","6,514,000,000","5,793,000,000","5,314,000,000","4,915,000,000","2,465,000,000","1,552,600,000","1,250,900,000","926,000,000",,,"771,600,000",,,,"227,700,000","159,600,000","141,900,000","130,500,000","101,600,000","78,900,000","34,200,000","32,200,000"
		GeneralAndAdministrativeExpense,"33,161,000,000","32,807,000,000","28,094,000,000","25,013,000,000","23,409,000,000","21,339,000,000","19,862,000,000","18,584,000,000","17,857,000,000","12,487,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"33,161,000,000","32,807,000,000","28,094,000,000","25,013,000,000","23,409,000,000","21,339,000,000","19,862,000,000","18,584,000,000","17,857,000,000","12,487,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"7,667,000,000","7,617,000,000","7,036,000,000","6,317,000,000","6,114,000,000","5,943,000,000","5,078,000,000","4,969,000,000","4,807,000,000","4,240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"12,897,000,000","12,953,000,000","11,017,000,000","10,267,000,000","9,558,000,000","8,680,000,000","8,019,000,000","7,871,000,000","7,798,000,000","7,636,000,000","6,616,000,000","6,500,000,000","6,400,000,000","6,208,000,000","4,823,000,000","4,803,000,000","4,623,000,000","4,438,000,000","2,032,000,000","3,448,000,000","2,631,300,000","1,216,000,000",,,"698,300,000",,,,"232,000,000","164,300,000","161,200,000","133,900,000","111,500,000","66,100,000","17,800,000","15,600,000"
		DepreciationAndAmortizationInIncomeStatement,"12,897,000,000","12,953,000,000","11,017,000,000","10,267,000,000","9,558,000,000","8,680,000,000","8,019,000,000","7,871,000,000","7,798,000,000","7,636,000,000","6,616,000,000","6,500,000,000","6,400,000,000","6,208,000,000","4,823,000,000","4,803,000,000","4,623,000,000","4,438,000,000","2,032,000,000","3,448,000,000","2,631,300,000","1,216,000,000",,,"698,300,000",,,,"232,000,000","164,300,000","161,200,000","133,900,000","111,500,000","66,100,000","17,800,000","15,600,000"
			DepreciationIncomeStatement,"8,530,000,000","8,663,000,000","8,281,000,000","7,914,000,000","7,464,000,000","6,781,000,000","6,337,000,000","6,254,000,000","6,150,000,000","6,040,000,000","5,539,000,000","5,483,000,000","5,457,000,000","5,107,000,000","3,828,000,000","3,630,000,000","3,420,000,000","3,166,000,000","1,775,000,000",,,,,,,,,,,,,,,,,
			Amortization,"4,367,000,000","4,290,000,000","2,736,000,000","2,353,000,000","2,094,000,000","1,899,000,000","1,682,000,000","1,617,000,000","1,648,000,000","1,596,000,000","1,077,000,000","1,017,000,000","943,000,000","1,101,000,000","995,000,000","1,173,000,000","1,203,000,000","1,272,000,000","257,000,000",,,,,,,,,,,,,,,,,
