name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"40,994,000,000","30,901,000,000","21,855,000,000","20,197,000,000","7,339,000,000","5,838,000,000","3,529,300,000","2,741,682,000","2,190,336,000","1,943,882,000","1,702,364,000","1,451,152,000","1,119,122,000","894,980,000","668,030,000","527,934,000","362,692,000","210,327,000","131,366,000","66,017,000","52,207,000","45,727,000"
	CurrentAssets,"20,323,000,000","11,998,000,000","8,703,000,000","8,365,000,000","3,605,000,000","3,034,000,000","1,800,173,000","1,373,602,000","940,010,000","656,821,000","616,134,000","666,343,000","446,339,000","451,821,000","272,605,000","224,292,000","110,301,000","93,089,000","102,047,000","46,716,000",,
		CashCashEquivalentsAndShortTermInvestments,"12,986,000,000","6,064,000,000","4,603,000,000","4,435,000,000","1,936,000,000","1,787,000,000","1,140,199,000","983,070,000","704,197,000","455,512,000","443,306,000","488,492,000","314,853,000","337,968,000","204,058,000","178,388,000","79,506,000","69,227,000","90,036,000","26,423,000",,
			CashAndCashEquivalents,"12,123,000,000","5,342,000,000","4,072,000,000","3,930,000,000","1,760,000,000","1,610,000,000","1,038,073,000","843,952,000","573,698,000","434,166,000","403,752,000","379,099,000","268,584,000","271,047,000","147,358,000","84,105,000","64,346,000","59,656,000","88,867,000","19,023,000",,
			OtherShortTermInvestments,"863,000,000","722,000,000","531,000,000","505,000,000","176,000,000","177,000,000","102,126,000","139,118,000","130,499,000","21,346,000","39,554,000","109,393,000","46,269,000","66,921,000","56,700,000","94,283,000","15,160,000","9,571,000","1,169,000","7,400,000",,
		Receivables,"6,247,000,000","5,150,000,000","3,413,000,000","3,098,000,000","1,279,000,000","912,000,000","428,570,000","263,452,000","157,450,000","136,243,000","103,456,000","92,531,000","90,072,000","91,664,000","44,108,000","31,475,000","20,308,000","16,773,000","7,032,000","15,538,000",,
			AccountsReceivable,"6,247,000,000","5,150,000,000","3,413,000,000","3,098,000,000","1,279,000,000","912,000,000","428,570,000","263,452,000","157,450,000","136,243,000",,,,,,,"20,308,000","16,773,000",,,,
				GrossAccountsReceivable,,,,,,,,,"158,089,000","136,260,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,"-639,000","-17,000",,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,"20,364,000",,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,"2,732,000","2,846,000","2,515,000","2,585,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,"2,732,000","2,846,000","2,515,000","2,585,000",,
		AssetsHeldForSaleCurrent,,,,,,"11,000,000","13,743,000",,,"912,000",,,,,,,,,,,,
		OtherCurrentAssets,"1,090,000,000","784,000,000","687,000,000","832,000,000","390,000,000","324,000,000","217,661,000","127,080,000","78,363,000","64,154,000","69,372,000","85,320,000","41,414,000","22,189,000","24,439,000","14,429,000","-12,609,000","4,243,000","2,464,000","2,170,000",,
	TotalNonCurrentAssets,"20,671,000,000","18,903,000,000","13,152,000,000","11,832,000,000","3,734,000,000","2,804,000,000","1,729,127,000","1,368,080,000","1,250,326,000","1,287,061,000","1,086,230,000","784,809,000","672,783,000","443,159,000","395,425,000","303,642,000","252,391,000","117,238,000","29,319,000","19,301,000",,
		NetPPE,"2,121,000,000","1,706,000,000","1,104,000,000","797,000,000","518,000,000","445,000,000","395,407,000","377,726,000","349,622,000","326,341,000","230,421,000","175,858,000","138,139,000","110,688,000","67,199,000",,"23,106,000","6,295,000","3,796,000","1,360,000",,
			GrossPPE,"3,223,000,000","2,506,000,000","1,694,000,000","1,239,000,000","869,000,000","733,000,000","639,829,000","581,109,000","526,916,000","464,970,000","334,304,000","250,052,000","138,139,000","110,688,000","67,199,000",,"23,106,000","6,295,000","7,660,000","1,360,000",,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,"0",,,
				LandAndImprovements,"202,000,000","201,000,000","130,000,000","113,000,000","104,000,000","87,000,000","69,705,000","70,276,000","47,614,000","44,282,000","40,639,000","46,543,000",,,,,,,"10,000",,,
				BuildingsAndImprovements,"778,000,000","614,000,000","367,000,000","271,000,000","223,000,000","208,000,000","206,058,000","193,187,000","186,194,000","171,072,000","104,786,000","32,485,000",,,,,,,"878,000",,,
				MachineryFurnitureEquipment,"1,853,000,000","1,400,000,000","976,000,000","682,000,000","434,000,000","356,000,000","307,250,000","266,975,000","248,342,000","211,369,000","169,079,000","152,482,000",,,,,,,"4,349,000",,,
				OtherProperties,,,,,,,,,,,,,,,,,,,"2,423,000",,,
				Leases,"390,000,000","291,000,000","221,000,000","173,000,000","108,000,000","82,000,000","56,816,000","50,671,000","44,766,000","38,247,000","19,800,000","18,542,000",,,,,,,,,,
			AccumulatedDepreciation,"-1,102,000,000","-800,000,000","-590,000,000","-442,000,000","-351,000,000","-288,000,000","-244,422,000","-203,383,000","-177,294,000","-138,629,000","-103,883,000","-74,194,000",,,,,,,"-3,864,000",,,
		GoodwillAndOtherIntangibleAssets,"8,926,000,000","9,254,000,000","6,147,000,000","6,257,000,000","997,000,000","874,000,000","397,212,000","276,556,000","309,411,000","307,160,000","247,066,000","180,955,000","154,235,000","152,079,000","174,646,000","116,070,000","19,360,000","10,695,000","2,396,000","347,000",,
			Goodwill,"6,863,000,000","7,015,000,000","4,749,000,000","4,712,000,000","842,000,000","754,000,000","348,432,000","256,288,000","281,981,000","278,051,000","224,587,000","163,380,000","141,030,000","135,877,000","157,278,000","101,631,000","13,066,000",,,,,
			OtherIntangibleAssets,"2,063,000,000","2,239,000,000","1,398,000,000","1,545,000,000","155,000,000","120,000,000","48,780,000","20,268,000","27,430,000","29,109,000","22,479,000","17,575,000","13,205,000","16,202,000","17,368,000","14,439,000","6,294,000","10,695,000","2,396,000",,,
		InvestmentsAndAdvances,"7,717,000,000","6,861,000,000","5,312,000,000","4,545,000,000","1,927,000,000","1,280,000,000","791,900,000","614,723,000","506,140,000","595,879,000","545,629,000","332,411,000","317,041,000","145,417,000","123,661,000","116,787,000","184,811,000","104,999,000","23,508,000","24,281,000",,
