Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,8.590000,8.630000,8.560000,8.560000,7.794973,1079900
2015-05-13,8.680000,8.790000,8.660000,8.750000,7.967992,770600
2015-05-14,8.850000,8.950000,8.820000,8.920000,8.122799,1675100
2015-05-15,8.890000,8.950000,8.800000,8.890000,8.095480,1161100
2015-05-18,8.850000,8.870000,8.770000,8.820000,8.031735,558800
2015-05-19,8.810000,8.890000,8.770000,8.890000,8.095480,669600
2015-05-20,8.810000,8.920000,8.780000,8.870000,8.077267,747000
2015-05-21,8.940000,9.110000,8.940000,9.070000,8.259393,720600
2015-05-22,9.100000,9.100000,9.010000,9.020000,8.213861,576700
2015-05-26,8.940000,8.970000,8.840000,8.910000,8.113692,737200
2015-05-27,8.890000,9.090000,8.870000,9.070000,8.259393,1208400
2015-05-28,9.020000,9.030000,8.870000,8.940000,8.141011,819100
2015-05-29,8.940000,8.950000,8.820000,8.870000,8.077267,1217500
2015-06-01,8.980000,9.000000,8.850000,8.990000,8.186543,1241800
2015-06-02,9.080000,9.140000,9.040000,9.110000,8.295818,1444200
2015-06-03,9.110000,9.230000,9.110000,9.140000,8.323138,1395200
2015-06-04,9.100000,9.190000,9.050000,9.080000,8.268499,1547700
2015-06-05,8.830000,8.920000,8.720000,8.900000,8.104588,1667300
2015-06-08,8.820000,8.860000,8.770000,8.800000,8.013523,580500
2015-06-09,8.800000,8.850000,8.740000,8.780000,7.995311,539200
2015-06-10,8.930000,9.080000,8.860000,9.030000,8.222967,752500
2015-06-11,9.060000,9.150000,8.950000,9.010000,8.204756,1759700
2015-06-12,8.910000,8.910000,8.780000,8.820000,8.031735,641400
2015-06-15,8.640000,8.690000,8.620000,8.650000,7.876929,863300
2015-06-16,8.620000,8.670000,8.560000,8.620000,7.849611,732500
2015-06-17,8.590000,8.600000,8.470000,8.540000,7.776760,966100
2015-06-18,8.570000,8.840000,8.560000,8.680000,7.904248,1302100
2015-06-19,9.020000,9.140000,8.870000,9.090000,8.277607,2496400
2015-06-22,9.360000,9.610000,9.360000,9.480000,8.632750,1653100
2015-06-23,9.350000,9.390000,9.310000,9.340000,8.505262,1778900
2015-06-24,9.240000,9.320000,9.220000,9.260000,8.432412,2356700
2015-06-25,9.320000,9.410000,9.290000,9.340000,8.505262,1608500
2015-06-26,9.340000,9.450000,9.300000,9.340000,8.505262,1331300
2015-06-29,9.210000,9.300000,9.130000,9.160000,8.341350,1727400
2015-06-30,9.290000,9.340000,9.070000,9.280000,8.450625,5828900
2015-07-01,9.440000,9.510000,9.330000,9.420000,8.578114,2229200
2015-07-02,9.410000,9.430000,9.300000,9.360000,8.523474,566300
2015-07-06,9.150000,9.210000,9.040000,9.070000,8.259393,989000
2015-07-07,8.900000,9.010000,8.700000,8.960000,8.159224,2013900
2015-07-08,8.990000,9.000000,8.850000,8.890000,8.095480,1707400
2015-07-09,9.090000,9.160000,8.990000,9.000000,8.195650,1164100
2015-07-10,9.680000,9.720000,9.520000,9.600000,8.742026,2205400
2015-07-13,9.520000,9.560000,9.480000,9.500000,8.650963,1249600
2015-07-14,9.460000,9.490000,9.430000,9.460000,8.614537,687900
2015-07-15,9.480000,9.600000,9.470000,9.540000,8.687387,633700
2015-07-16,9.590000,9.690000,9.580000,9.640000,8.778451,1284400
2015-07-17,9.530000,9.530000,9.430000,9.470000,8.623645,967800
2015-07-20,9.610000,9.610000,9.470000,9.480000,8.632750,2110900
2015-07-21,9.610000,9.630000,9.480000,9.500000,8.650963,1192200
2015-07-22,9.430000,9.510000,9.390000,9.440000,8.596325,962900
2015-07-23,9.490000,9.500000,9.260000,9.350000,8.514368,1755100
2015-07-24,9.350000,9.410000,9.130000,9.140000,8.323138,2295600
2015-07-27,9.070000,9.090000,8.950000,8.950000,8.150119,953200
2015-07-28,9.090000,9.150000,8.950000,9.140000,8.323138,1787800
2015-07-29,8.510000,8.760000,8.500000,8.720000,7.940673,2802800
2015-07-30,8.850000,9.040000,8.840000,8.970000,8.168330,2704700
2015-07-31,8.930000,9.010000,8.890000,8.970000,8.168330,2417900
2015-08-03,9.030000,9.070000,8.870000,8.980000,8.177436,2270000
2015-08-04,8.980000,9.030000,8.870000,8.930000,8.131906,1754900
2015-08-05,9.070000,9.160000,9.070000,9.090000,8.277607,1366300
2015-08-06,9.280000,9.300000,9.190000,9.210000,8.386880,1366000
2015-08-07,9.130000,9.200000,9.090000,9.190000,8.368668,1205100
2015-08-10,9.240000,9.390000,9.220000,9.380000,8.541688,370200
2015-08-11,9.280000,9.310000,9.180000,9.240000,8.414200,716400
2015-08-12,8.920000,9.060000,8.870000,9.040000,8.232074,3217000
2015-08-13,8.920000,9.020000,8.890000,8.960000,8.159224,960500
2015-08-14,8.930000,8.940000,8.810000,8.880000,8.086373,1387900
2015-08-17,8.710000,8.820000,8.680000,8.810000,8.022631,978800
2015-08-18,8.560000,8.590000,8.490000,8.530000,7.767653,1258000
2015-08-19,8.410000,8.470000,8.290000,8.370000,7.621953,821300
2015-08-20,8.250000,8.250000,8.140000,8.160000,7.430722,1694400
2015-08-21,8.020000,8.020000,7.750000,7.750000,7.057364,2025800
2015-08-24,7.670000,7.910000,7.640000,7.750000,7.057364,2778000
2015-08-25,8.030000,8.040000,7.920000,7.920000,7.212172,2446200
2015-08-26,8.070000,8.080000,7.890000,8.040000,7.321446,1430900
2015-08-27,8.050000,8.130000,7.970000,8.030000,7.312339,1786400
2015-08-28,7.950000,8.050000,7.920000,8.040000,7.321446,1148100
2015-08-31,7.960000,8.020000,7.860000,7.910000,7.203065,2029200
2015-09-01,7.790000,7.820000,7.570000,7.600000,6.920770,2078800
2015-09-02,7.680000,7.690000,7.470000,7.600000,6.920770,1765600
2015-09-03,7.550000,7.710000,7.550000,7.690000,7.002727,1165800
2015-09-04,7.380000,7.430000,7.310000,7.370000,6.711326,1207300
2015-09-08,7.570000,7.590000,7.510000,7.580000,6.902558,1178200
2015-09-09,7.630000,7.640000,7.450000,7.450000,6.784176,740400
2015-09-10,7.390000,7.480000,7.380000,7.420000,6.756857,850500
2015-09-11,7.480000,7.510000,7.400000,7.440000,6.775070,679900
2015-09-14,7.380000,7.380000,7.290000,7.320000,6.665795,641700
2015-09-15,7.310000,7.410000,7.280000,7.400000,6.738645,739200
2015-09-16,7.520000,7.640000,7.500000,7.620000,6.938982,1191200
2015-09-17,7.550000,7.680000,7.530000,7.580000,6.902558,1208000
2015-09-18,7.320000,7.360000,7.260000,7.260000,6.611157,1057600
2015-09-21,7.170000,7.200000,7.130000,7.160000,6.520094,1890200
2015-09-22,6.930000,6.990000,6.890000,6.930000,6.310650,2161700
2015-09-23,6.860000,6.880000,6.830000,6.840000,6.228693,1391400
2015-09-24,6.610000,6.620000,6.510000,6.570000,5.982823,2212000
2015-09-25,6.630000,6.720000,6.620000,6.660000,6.064781,1176300
2015-09-28,6.440000,6.500000,6.430000,6.450000,5.873548,1570900
2015-09-29,6.360000,6.420000,6.360000,6.380000,5.809804,932100
2015-09-30,6.470000,6.520000,6.440000,6.520000,5.937293,964100
2015-10-01,6.580000,6.600000,6.460000,6.490000,5.909974,965600
2015-10-02,6.580000,6.730000,6.550000,6.700000,6.101205,2751000
2015-10-05,6.890000,7.070000,6.890000,7.060000,6.429031,1269800
2015-10-06,7.010000,7.140000,7.000000,7.130000,6.492775,1226100
2015-10-07,7.280000,7.320000,7.150000,7.200000,6.556519,1598900
2015-10-08,7.180000,7.260000,7.150000,7.240000,6.592944,1196300
2015-10-09,7.330000,7.390000,7.290000,7.370000,6.711326,2580200
2015-10-12,7.420000,7.430000,7.290000,7.300000,6.647582,1771400
2015-10-13,7.160000,7.210000,7.110000,7.130000,6.492775,1284100
2015-10-14,7.320000,7.340000,7.140000,7.210000,6.565625,1713200
2015-10-15,7.060000,7.070000,6.950000,7.020000,6.392606,989800
2015-10-16,6.850000,6.860000,6.690000,6.740000,6.137630,1466300
2015-10-19,6.630000,6.630000,6.540000,6.600000,6.010143,1833800
2015-10-20,6.500000,6.650000,6.480000,6.630000,6.037462,1490300
2015-10-21,6.740000,6.760000,6.660000,6.690000,6.092099,988000
2015-10-22,6.650000,6.870000,6.650000,6.820000,6.210481,1081900
2015-10-23,6.900000,6.950000,6.860000,6.940000,6.319756,1144600
2015-10-26,6.900000,6.910000,6.790000,6.830000,6.219587,578300
2015-10-27,6.760000,6.790000,6.640000,6.670000,6.073887,1145100
2015-10-28,6.700000,6.910000,6.680000,6.850000,6.237800,3127200
2015-10-29,6.810000,6.900000,6.440000,6.770000,6.164949,3209300
2015-10-30,6.780000,6.840000,6.760000,6.790000,6.183162,2223400
2015-11-02,6.860000,6.960000,6.850000,6.930000,6.310650,2128100
2015-11-03,6.870000,6.990000,6.860000,6.960000,6.337968,1163500
2015-11-04,7.150000,7.230000,6.990000,7.010000,6.383500,1820700
2015-11-05,7.070000,7.090000,6.930000,6.950000,6.328861,1841200
2015-11-06,6.890000,6.990000,6.820000,6.990000,6.365287,999000
2015-11-09,7.070000,7.080000,6.840000,6.870000,6.256012,926700
2015-11-10,6.810000,6.950000,6.810000,6.920000,6.301544,2158500
2015-11-11,7.020000,7.040000,6.920000,6.950000,6.328861,554900
2015-11-12,6.760000,6.780000,6.660000,6.750000,6.146737,4988100
2015-11-13,6.750000,6.800000,6.680000,6.760000,6.155843,3295300
2015-11-16,6.350000,6.460000,6.310000,6.410000,5.837124,3414200
2015-11-17,6.420000,6.480000,6.370000,6.410000,5.837124,825100
2015-11-18,6.590000,6.740000,6.590000,6.730000,6.128524,1370200
2015-11-19,6.680000,6.810000,6.650000,6.760000,6.155843,597800
2015-11-20,6.770000,6.780000,6.670000,6.700000,6.101205,1150200
2015-11-23,6.880000,6.940000,6.790000,6.810000,6.201374,856800
2015-11-24,6.660000,6.730000,6.560000,6.650000,6.055674,1395200
2015-11-25,6.910000,6.990000,6.870000,6.940000,6.319756,1573700
2015-11-27,7.210000,7.250000,7.170000,7.220000,6.574731,714600
2015-11-30,7.250000,7.320000,7.210000,7.310000,6.656688,1453500
