name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"47,352,000,000","46,100,000,000","48,275,000,000","45,547,000,000","46,746,000,000","51,913,000,000","53,843,000,000","48,965,000,000"
	CurrentAssets,"32,699,000,000","32,095,000,000","32,818,000,000","30,748,000,000","31,582,000,000","35,675,000,000","37,237,000,000","34,277,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,875,000,000","5,031,000,000","5,430,000,000","5,017,000,000","5,384,000,000","5,163,000,000","5,567,000,000","5,199,000,000"
			CashAndCashEquivalents,"4,875,000,000","5,031,000,000","5,430,000,000","5,017,000,000","5,384,000,000","5,163,000,000","5,567,000,000","5,199,000,000"
			OtherShortTermInvestments,,,,,,,"260,984,838.024",
		Receivables,"19,844,000,000","19,566,000,000","20,338,000,000","19,285,000,000","19,581,000,000","22,526,000,000","23,338,000,000","21,933,000,000"
			AccountsReceivable,"416,000,000","399,000,000","496,000,000","623,000,000","580,000,000","1,054,000,000","1,362,000,000","1,894,000,000"
			TaxesReceivable,,,,,,,"347,979,784.032",
			OtherReceivables,"19,428,000,000","19,167,000,000","19,842,000,000","18,662,000,000","19,001,000,000","21,472,000,000","21,976,000,000","20,039,000,000"
		Inventory,"7,082,000,000","6,726,000,000","6,280,000,000","5,609,000,000","5,690,000,000","7,008,000,000","7,410,000,000","6,260,000,000"
			RawMaterials,"1,332,000,000","1,293,000,000","1,278,000,000","1,185,000,000","1,254,000,000","1,672,000,000","1,956,000,000","1,629,000,000"
			WorkInProcess,"612,000,000","576,000,000","601,000,000","757,000,000","747,000,000","552,000,000","949,000,000","882,000,000"
			FinishedGoods,"5,138,000,000","4,857,000,000","4,401,000,000","3,667,000,000","3,689,000,000","4,784,000,000","4,505,000,000","3,749,000,000"
			OtherInventories,,,,,,,"26,236,571.018",
		RestrictedCash,"898,000,000","772,000,000","770,000,000","837,000,000","927,000,000","978,000,000","922,000,000","885,000,000"
		AssetsHeldForSaleCurrent,,,,,,,"34,521,803.971",
		OtherCurrentAssets,,,,,,,"1,901,460,962.744",
	TotalNonCurrentAssets,"14,653,000,000","14,005,000,000","15,457,000,000","14,799,000,000","15,164,000,000","16,238,000,000","16,606,000,000","14,688,000,000"
		NetPPE,"7,126,000,000","7,675,000,000","8,848,000,000","8,304,000,000","8,316,000,000","8,383,000,000","8,149,000,000","6,975,000,000"
			GrossPPE,"17,718,000,000","17,965,000,000","19,126,000,000","17,221,000,000","16,513,000,000","17,308,000,000","17,591,000,000","15,832,000,000"
				Properties,"3,279,000,000","3,332,000,000","3,472,000,000","3,075,000,000","3,056,000,000","3,306,000,000","3,478,000,000","3,136,000,000"
				MachineryFurnitureEquipment,"10,833,000,000","10,556,000,000","10,899,000,000","10,212,000,000","9,692,000,000","10,171,000,000","9,824,000,000","9,166,000,000"
				OtherProperties,"3,442,000,000","3,915,000,000","4,654,000,000","3,803,000,000","3,574,000,000","3,618,000,000","3,773,000,000","3,206,000,000"
				ConstructionInProgress,"164,000,000","162,000,000","101,000,000","131,000,000","191,000,000","213,000,000","516,000,000","324,000,000"
			AccumulatedDepreciation,"-10,592,000,000","-10,290,000,000","-10,278,000,000","-8,917,000,000","-8,197,000,000","-8,925,000,000","-9,442,000,000","-8,857,000,000"
		GoodwillAndOtherIntangibleAssets,"3,344,000,000","3,241,000,000","3,264,000,000","3,236,000,000","3,257,000,000","3,334,000,000","3,314,000,000","3,290,000,000"
			Goodwill,"2,538,000,000","2,453,000,000","2,472,000,000","2,449,000,000","2,447,000,000","2,484,000,000","2,504,000,000","2,510,000,000"
			OtherIntangibleAssets,"806,000,000","788,000,000","792,000,000","787,000,000","810,000,000","850,000,000","810,000,000","780,000,000"
		InvestmentsAndAdvances,"631,000,000","526,000,000","561,000,000","487,000,000","527,000,000","605,000,000","645,000,000","594,000,000"
			LongTermEquityInvestment,"631,000,000","526,000,000","561,000,000","487,000,000","527,000,000","605,000,000","645,000,000","594,000,000"
			InvestmentinFinancialAssets,,,,,,,"84,233,201.69",
		FinancialAssets,"73,000,000","98,000,000","77,000,000","95,000,000","211,000,000","205,000,000","261,000,000","159,000,000"
		NonCurrentDeferredAssets,"1,134,000,000","591,000,000","818,000,000","937,000,000","1,250,000,000","1,747,000,000","1,679,000,000","1,529,000,000"
			NonCurrentDeferredTaxesAssets,"1,134,000,000","591,000,000","818,000,000","937,000,000","1,250,000,000","1,747,000,000","1,679,000,000","1,529,000,000"
		DefinedPensionBenefit,,,,,,,"44,187,909.083",
		OtherNonCurrentAssets,"2,345,000,000","1,874,000,000","1,889,000,000","1,740,000,000","1,603,000,000","1,964,000,000","2,558,000,000","2,141,000,000"
TotalLiabilitiesNetMinorityInterest,"41,231,000,000","41,032,000,000","43,875,000,000","41,096,000,000","41,903,000,000","46,952,000,000","48,888,000,000","44,140,000,000"
	CurrentLiabilities,"6,967,000,000","7,183,000,000","7,457,000,000","6,533,000,000","6,447,000,000","7,393,000,000","9,090,000,000","7,877,000,000"
		PayablesAndAccruedExpenses,"6,967,000,000","7,183,000,000","7,457,000,000","6,533,000,000","6,447,000,000","7,393,000,000","9,090,000,000","7,877,000,000"
			Payables,"6,328,000,000","6,574,000,000","6,825,000,000","5,899,000,000","5,870,000,000","6,662,000,000","8,342,000,000","7,181,000,000"
				AccountsPayable,"5,632,000,000","5,889,000,000","6,060,000,000","5,185,000,000","5,342,000,000","5,982,000,000","7,369,000,000","6,389,000,000"
				TotalTaxPayable,"696,000,000","685,000,000","765,000,000","714,000,000","528,000,000","680,000,000","973,000,000","792,000,000"
				OtherPayable,"16,342,000,000","16,557,000,000","17,955,000,000","15,799,000,000","15,497,000,000","17,342,000,000",,
			CurrentAccruedExpenses,"639,000,000","609,000,000","632,000,000","634,000,000","577,000,000","731,000,000","748,000,000","696,000,000"
		OtherCurrentLiabilities,,,,,,,"4,148,139,965.202",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"34,264,000,000","33,849,000,000","36,418,000,000","34,563,000,000","35,456,000,000","39,559,000,000","39,798,000,000","36,263,000,000"
		LongTermProvisions,"721,000,000","701,000,000","1,032,000,000","792,000,000","836,000,000","895,000,000","1,095,000,000","1,072,000,000"
		LongTermDebtAndCapitalLeaseObligation,"25,303,000,000","24,445,000,000","25,895,000,000","25,276,000,000","26,388,000,000","29,594,000,000","29,866,000,000","27,052,000,000"
			LongTermDebt,"24,854,000,000","24,445,000,000","25,895,000,000","25,276,000,000","26,388,000,000","29,594,000,000","29,866,000,000","27,052,000,000"
			LongTermCapitalLeaseObligation,"449,000,000",,,,,,,
		NonCurrentDeferredLiabilities,"2,880,000,000","3,352,000,000","3,199,000,000","2,513,000,000","2,481,000,000","2,414,000,000","2,287,000,000","1,625,000,000"
			NonCurrentDeferredTaxesLiabilities,"172,000,000","114,000,000","97,000,000","84,000,000","334,000,000","452,000,000","385,000,000","210,000,000"
			NonCurrentDeferredRevenue,"2,708,000,000","3,238,000,000","3,102,000,000","2,429,000,000","2,147,000,000","1,962,000,000","1,902,000,000","1,415,000,000"
		EmployeeBenefits,"2,140,000,000","2,168,000,000","3,052,000,000","2,909,000,000","2,854,000,000","3,283,000,000","3,271,000,000","3,426,000,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"1,578,000,000","1,488,000,000","2,300,000,000","2,276,000,000","2,282,000,000","2,614,000,000","2,427,000,000","2,564,000,000"
