name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalRevenue,"27,083,000,000","5,461,000,000","7,695,000,000","6,360,000,000","7,567,000,000","6,457,000,000","8,202,000,000","6,686,000,000","8,045,000,000","6,773,000,000","8,102,000,000","6,630,000,000","6,948,000,000","5,681,000,000","6,998,000,000","5,749,000,000","6,753,000,000","5,372,000,000","7,144,000,000","5,850,000,000","6,958,000,000","5,960,000,000","8,365,000,000","7,739,000,000","8,911,000,000","7,644,000,000","8,407,902,789.21","8,389,220,991.269","8,829,000,000","7,658,000,000","8,698,844,146.839","8,105,956,523.414"
	OperatingRevenue,"27,083,000,000","5,461,000,000","7,695,000,000","6,360,000,000","7,567,000,000","6,457,000,000","8,202,000,000","6,686,000,000","8,045,000,000","6,773,000,000","8,102,000,000","6,630,000,000","6,948,000,000","5,681,000,000","6,998,000,000","5,749,000,000","6,753,000,000","5,372,000,000","7,144,000,000","5,850,000,000","6,958,000,000","5,960,000,000","8,365,000,000","7,739,000,000","8,911,000,000","7,644,000,000","8,407,902,789.21","8,389,220,991.269","8,829,000,000","7,658,000,000","8,698,844,146.839","8,105,956,523.414"
CostOfRevenue,"21,280,000,000","4,414,000,000","6,100,000,000","5,015,000,000","5,751,000,000","4,966,000,000","6,352,000,000","5,162,000,000","6,188,000,000","5,256,000,000","6,455,000,000","5,242,000,000","5,427,000,000","4,497,000,000","5,525,000,000","4,524,000,000","5,252,000,000","4,238,000,000","5,586,000,000","4,599,000,000","5,456,000,000","4,716,000,000","6,737,000,000","5,998,000,000","6,922,000,000","6,189,000,000","6,104,888,296.652","6,755,097,359.224","6,851,000,000","6,197,000,000","6,140,641,350.265","6,553,588,166.562"
GrossProfit,"5,803,000,000","1,047,000,000","1,595,000,000","1,345,000,000","1,816,000,000","1,491,000,000","1,850,000,000","1,524,000,000","1,857,000,000","1,517,000,000","1,647,000,000","1,388,000,000","1,521,000,000","1,184,000,000","1,473,000,000","1,225,000,000","1,501,000,000","1,134,000,000","1,558,000,000","1,251,000,000","1,502,000,000","1,244,000,000","1,628,000,000","1,741,000,000","1,989,000,000","1,455,000,000","2,303,014,492.558","1,634,123,632.046","1,978,000,000","1,461,000,000","2,558,202,796.574","1,552,368,356.852"
OperatingExpense,"3,203,000,000","740,000,000","857,000,000","778,000,000","828,000,000","783,000,000","963,000,000","777,000,000","855,000,000","817,000,000","949,000,000","802,000,000","803,000,000","733,000,000","816,000,000","757,000,000","820,000,000","729,000,000","793,000,000","772,000,000","851,000,000","757,000,000","982,000,000","990,000,000","1,050,000,000","945,000,000","1,424,235,389.369","948,628,334.705","1,062,000,000","923,000,000","1,581,571,435.909","820,482,531.041"
	SellingGeneralAndAdministration,"2,203,000,000","526,000,000","582,000,000","540,000,000","555,000,000","539,000,000","645,000,000","523,000,000","593,000,000","590,000,000","654,000,000","559,000,000","575,000,000","542,000,000","575,000,000","546,000,000","595,000,000","546,000,000","559,000,000","565,000,000","626,000,000","567,000,000","685,000,000","736,000,000","752,000,000","719,000,000","898,525,888.243","703,037,499.831","765,000,000","703,000,000","984,151,667.287","672,821,355.658"
	ResearchAndDevelopment,"1,000,000,000","214,000,000","275,000,000","238,000,000","273,000,000","244,000,000","318,000,000","254,000,000","262,000,000","227,000,000","295,000,000","243,000,000","228,000,000","191,000,000","241,000,000","211,000,000","225,000,000","183,000,000","234,000,000","207,000,000","225,000,000","190,000,000","297,000,000","254,000,000","298,000,000","208,000,000","605,324,112.432","207,807,629.509","297,000,000","201,000,000","615,395,911.711","160,501,277.59"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,"36,000,000",,"18,000,000",,"37,783,205.365",,"19,000,000",,"-12,840,102.207"
OperatingIncome,"2,600,000,000","307,000,000","738,000,000","567,000,000","988,000,000","708,000,000","887,000,000","747,000,000","1,002,000,000","700,000,000","698,000,000","586,000,000","718,000,000","451,000,000","657,000,000","468,000,000","681,000,000","405,000,000","765,000,000","479,000,000","651,000,000","487,000,000","646,000,000","751,000,000","939,000,000","510,000,000","878,779,103.189","685,495,297.34","916,000,000","538,000,000","976,631,360.666","731,885,825.811"
NetNonOperatingInterestIncomeExpense,"-796,000,000","-181,000,000","-228,000,000","-192,000,000","-195,000,000","-183,000,000","-231,000,000","-189,000,000","-192,000,000","-200,000,000","-230,000,000","-259,000,000","-234,000,000","-219,000,000","-285,000,000","-273,000,000","-240,000,000","-230,000,000","-282,000,000","-258,000,000","-282,000,000","-284,000,000","-342,000,000","-327,000,000","-338,000,000","-215,000,000","-731,806,334.084","-153,831,621.844","-301,000,000","-149,000,000","-780,140,586.279","-143,809,144.721"
