name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"33,630,900,000","31,439,800,000","33,110,300,000","31,975,200,000","31,125,100,000","31,184,200,000","34,780,600,000","34,131,400,000","33,332,700,000","31,899,600,000","30,343,800,000","28,769,700,000","33,514,800,000","32,717,300,000","31,557,300,000","30,755,500,000","29,920,100,000","46,509,000,000","61,432,200,000","58,589,200,000"
	TotalInvestments,"25,580,900,000","22,995,400,000","27,854,100,000","26,237,600,000","24,487,100,000","24,908,300,000","27,151,700,000","27,959,300,000","26,364,300,000","23,782,000,000","21,350,200,000","18,253,800,000","23,001,800,000","23,240,200,000","22,951,100,000","23,239,600,000","21,557,500,000","19,573,400,000",,
		EquityInvestments,"44,100,000","291,000,000","511,700,000","584,200,000","463,000,000","419,000,000","249,300,000","171,400,000","23,691,100,000","20,702,000,000","18,559,400,000","15,309,400,000","20,545,400,000","22,827,700,000","22,521,300,000","21,667,300,000","19,914,600,000","19,573,400,000",,
		TradingAssets,"243,900,000","233,100,000","284,600,000","363,400,000","262,100,000","244,900,000","247,600,000","266,200,000","91,600,000","372,600,000","293,300,000","326,500,000",,,,,,,,
		NetLoan,"1,690,600,000","1,721,800,000","1,766,600,000","1,880,000,000","1,830,400,000","1,798,800,000","2,006,500,000","1,845,200,000","1,882,500,000","2,045,600,000","2,260,700,000","2,522,900,000","2,456,400,000","412,500,000","429,800,000","1,572,300,000","1,642,900,000",,,
			MortgageAndConsumerloans,"1,566,100,000","1,602,100,000","1,650,600,000","1,768,000,000","1,721,000,000","1,691,900,000","1,729,500,000","1,573,200,000","1,602,800,000","1,761,200,000","1,965,500,000","2,159,400,000",,,,,,,,
			PolicyLoans,"124,500,000","119,700,000","116,000,000","112,000,000","109,400,000","106,900,000","277,000,000","272,000,000","279,700,000","284,400,000","295,200,000","363,500,000",,,,,,,,
		LongTermEquityInvestment,"1,188,600,000","1,468,400,000","1,526,900,000","1,724,300,000","1,633,600,000","1,367,100,000","1,046,700,000","814,300,000","496,300,000","420,900,000",,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"1,188,600,000","1,468,400,000","1,526,900,000","1,724,300,000","1,633,600,000","1,367,100,000","1,046,700,000","814,300,000","496,300,000","420,900,000",,,,,,,,,,
		OtherShortTermInvestments,"21,295,200,000","18,447,700,000","22,910,900,000","21,096,200,000","19,882,900,000","20,634,900,000","23,178,300,000","24,614,100,000",,,,,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"21,295,200,000","18,447,700,000","22,910,900,000","21,096,200,000","19,882,900,000","20,634,900,000","23,178,300,000","24,614,100,000",,,,,,,,,,,,
		OtherInvestedAssets,"1,118,500,000","833,400,000","853,400,000","589,500,000","415,100,000","443,600,000","423,300,000","248,100,000","202,800,000","240,900,000","236,800,000","95,000,000",,,,,,,,
	CashAndCashEquivalents,"580,000,000","594,200,000","578,400,000","478,900,000","432,300,000","611,600,000","699,000,000","582,500,000","510,400,000","598,700,000","523,400,000","894,500,000","428,600,000","409,900,000","273,000,000","795,500,000","1,260,600,000","1,268,900,000",,
	RestrictedCashAndCashEquivalents,"74,700,000","62,400,000","178,900,000","189,300,000","364,400,000","68,300,000","104,300,000","54,200,000",,,"3,400,000","4,800,000","21,100,000","24,000,000","35,200,000","18,900,000","31,900,000",,,
	ReinsuranceRecoverable,,,,,,,,,"3,091,100,000","3,256,300,000","3,559,000,000","3,284,800,000",,,,,,,,
	Receivables,"5,218,300,000","5,555,400,000","2,542,100,000","3,050,100,000","3,758,100,000","3,749,800,000","4,539,300,000","3,644,600,000",,,,,"3,592,800,000","850,800,000","887,500,000","975,700,000","930,500,000","934,200,000",,
		AccountsReceivable,"4,785,700,000","4,925,400,000","2,175,200,000","2,260,400,000","2,859,300,000","2,991,100,000","3,392,100,000","2,927,700,000",,,,,"3,592,800,000","850,800,000","887,500,000","975,700,000","930,500,000","934,200,000",,
		TaxesReceivable,"432,600,000","630,000,000","366,900,000","789,700,000","898,800,000","758,700,000","1,147,200,000","716,900,000",,,,,,,,,,,,
	AccruedInvestmentIncome,"205,900,000","205,200,000","245,900,000","239,600,000","237,000,000","242,900,000","286,900,000","286,200,000","288,700,000","327,800,000","309,000,000","298,700,000","319,300,000","344,500,000","315,400,000","308,400,000","315,500,000","389,800,000",,
