name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"78,121,000,000","71,559,000,000","73,867,000,000","58,648,000,000","59,275,000,000","60,200,000,000","51,754,000,000","48,980,000,000","47,278,000,000","42,669,000,000","41,024,000,000","42,650,558,524","36,113,814,679","33,160,531,221","21,852,540,993","18,410,127,190","14,198,119,284","13,358,514,322","9,041,706,463","7,775,944,811","4,850,983,796","3,247,678,019","2,930,664,761","2,062,600,000","900,400,000","737,800,000","436,900,000"
	CurrentAssets,"4,487,000,000","3,020,000,000","4,897,000,000","4,336,000,000","4,059,000,000","3,489,000,000","2,216,000,000","1,914,000,000","2,781,000,000","2,172,000,000","1,891,000,000","3,392,423,507","2,180,951,435","2,239,049,394","2,051,401,326","1,238,300,936","855,339,431","774,315,392","523,718,561","611,877,624","296,585,648","193,498,452","184,417,441","150,700,000","64,100,000","60,300,000","35,700,000"
		CashCashEquivalentsAndShortTermInvestments,"629,000,000","625,000,000","1,030,000,000","930,000,000","1,043,000,000","25,000,000","16,000,000","37,000,000","34,000,000","22,000,000","13,000,000","26,711,996","20,856,093","23,299,161","17,443,889","27,597,792","104,341,105","29,902,424","14,326,648","28,494,301",,,,"300,000",,,
			CashAndCashEquivalents,"139,000,000","101,000,000","137,000,000","17,000,000","69,000,000","25,000,000","16,000,000","37,000,000","34,000,000","22,000,000","13,000,000","26,711,996","20,856,093","23,299,161","17,443,889","27,597,792","104,341,105","29,902,424","14,326,648","28,494,301",,,,"300,000",,,
			OtherShortTermInvestments,"490,000,000","524,000,000","893,000,000","913,000,000","974,000,000",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,478,000,000","1,148,000,000","2,719,000,000","2,285,000,000","1,954,000,000","2,117,000,000","1,427,000,000","1,197,000,000","2,077,000,000","1,481,000,000","1,148,000,000","1,514,084,507","1,661,535,406","1,946,644,921","1,545,528,550","1,175,905,928","750,998,325","744,412,968","509,391,913","550,389,922","250,289,352","143,962,848","184,417,441","150,400,000","64,000,000","51,300,000","35,700,000"
			AccountsReceivable,"2,465,000,000","1,148,000,000","2,397,000,000","1,434,000,000","1,277,000,000","1,889,000,000","1,427,000,000","1,197,000,000","2,077,000,000","1,481,000,000","1,148,000,000","1,514,084,507","1,661,535,406","1,946,644,921","1,545,528,550","1,175,905,928","750,998,325","744,412,968","509,391,913","550,389,922","250,289,352","143,962,848","184,417,441","150,400,000","64,000,000","51,300,000","35,700,000"
			TaxesReceivable,"13,000,000","0","322,000,000","851,000,000","677,000,000","228,000,000",,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,152,000,000","955,000,000","894,000,000","689,000,000","525,000,000","665,000,000","632,000,000","554,000,000","550,000,000","610,000,000","584,000,000",,,,,,,,,"34,493,101","46,296,296","49,535,604",,,,"8,900,000",
			RawMaterials,"684,000,000","658,000,000","609,000,000","426,000,000","339,000,000","333,000,000","290,000,000","239,000,000","222,000,000",,,,,,,,,,,,,,,,,,
