name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"24,394,000,000","6,335,000,000","6,587,000,000","5,931,000,000","5,541,000,000","3,831,000,000","6,327,000,000","6,389,000,000","5,735,000,000","5,323,000,000","4,547,000,000","3,927,000,000","3,872,000,000","3,672,000,000","2,477,000,000","2,686,000,000","2,263,000,000","2,963,000,000","3,316,000,000","3,662,000,000","3,226,000,000","4,850,000,000","5,370,000,000","6,113,000,000","4,968,000,000","4,330,000,000","5,284,000,000","4,230,000,000","4,101,000,000","4,059,000,000","3,978,000,000","4,187,000,000","3,971,000,000","4,788,000,000","3,690,000,000","3,727,000,000","3,302,000,000","3,787,000,000","3,341,000,000","3,614,000,000","3,580,000,000","3,319,000,000","2,823,000,000","2,750,000,000","2,186,000,000","2,510,987,607","4,582,712,370","5,111,947,893","3,966,670,096","3,200,311,965","3,072,642,353","3,151,965,994","3,118,081,181","3,694,675,365","2,859,058,902","2,717,233,687","2,371,555,348","3,031,495,573","2,917,537,747","2,163,986,744","1,992,744,861","1,969,722,024","2,075,091,344","1,865,243,496","1,638,247,639","1,559,438,332","1,370,880,605","1,412,940,700","1,627,736,154","1,330,086,785","1,173,015,873","862,251,856","718,610,580","660,541,776","806,375,256","974,281,392","1,120,920,700","1,030,189,363","1,003,907,424","636,377,090","549,514,282","454,160,128","399,119,589","231,739,513","202,264,151","244,197,119","223,412,395","207,261,502","202,836,879","246,717,549","222,344,980","205,659,075","246,469,122","225,800,000","199,800,000","110,000,000","101,200,000","78,100,000","69,700,000","67,800,000","65,500,000","68,300,000","66,100,000","61,500,000","63,100,000","57,800,000","35,500,000","33,500,000","31,100,000"
	OperatingRevenue,"24,394,000,000","6,335,000,000","6,587,000,000","5,931,000,000","5,541,000,000","3,831,000,000","6,327,000,000","6,389,000,000","5,735,000,000","5,323,000,000","4,547,000,000","3,927,000,000","3,872,000,000","3,672,000,000","2,477,000,000","2,686,000,000","2,263,000,000","2,963,000,000","3,316,000,000","3,662,000,000","3,226,000,000","4,850,000,000","5,370,000,000","6,113,000,000","4,968,000,000","4,330,000,000","5,284,000,000","4,230,000,000","4,101,000,000","4,059,000,000","3,978,000,000","4,187,000,000","3,971,000,000","4,788,000,000","3,690,000,000","3,727,000,000","3,302,000,000","3,787,000,000","3,341,000,000","3,614,000,000","3,580,000,000","3,319,000,000","2,823,000,000","2,962,000,000","2,385,000,000","2,510,987,607","4,582,712,370","5,111,947,893","3,966,670,096","3,200,311,965","3,072,642,353","3,151,965,994","3,118,081,181","3,694,675,365","2,859,058,902","2,717,233,687","2,371,555,348","3,031,495,573","2,917,537,747","2,163,986,744","1,992,744,861","1,969,722,024","2,075,091,344","1,865,243,496","1,638,247,639","1,559,438,332","1,370,880,605","1,412,940,700","1,627,736,154","1,330,086,785","1,173,015,873","862,251,856","718,610,580","660,541,776","806,375,256","974,281,392","1,120,920,700","1,030,189,363","1,003,907,424","636,377,090","549,514,282","454,160,128","399,119,589","231,739,513","202,264,151","244,197,119","223,412,395","207,261,502","202,836,879","246,717,549","222,344,980","205,659,075","246,469,122","225,800,000","199,800,000","110,000,000","101,200,000","78,100,000","69,700,000","67,800,000","65,500,000","68,300,000","66,100,000","61,500,000","63,100,000","57,800,000","35,500,000","33,500,000","31,100,000"
	ExciseTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212,000,000","199,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"18,045,000,000","5,048,000,000","4,667,000,000","4,205,000,000","4,125,000,000","3,948,000,000","4,350,000,000","4,471,000,000","4,300,000,000","4,351,000,000","3,812,000,000","3,281,000,000","3,273,000,000","3,113,000,000","2,796,000,000","2,790,000,000","2,836,000,000","3,336,000,000","3,284,000,000","3,337,000,000","3,435,000,000","4,030,000,000","3,898,000,000","4,262,000,000","3,625,000,000","3,498,000,000","3,713,000,000","3,452,000,000","3,478,000,000","6,497,000,000","2,119,000,000","2,120,000,000","2,199,000,000","2,186,000,000","1,818,000,000","1,892,000,000","1,817,000,000","1,765,000,000","1,530,000,000","1,695,000,000","1,661,000,000","1,455,000,000","1,294,000,000","1,082,000,000","899,000,000","1,172,595,468","1,723,440,494","1,986,566,253","1,521,448,411","-268,453,939","1,244,161,781","1,299,681,190","1,299,584,871","2,037,896,671","935,509,109","846,625,767","816,207,380","910,138,378","919,860,627","753,651,651","714,631,197","703,468,480","714,375,709","651,100,734","591,552,991","721,070,138","498,379,254","534,918,276","589,099,456","493,196,637","436,507,937","324,291,559","282,026,769","268,603,855","282,468,045","349,470,499","411,477,219","370,521,478","168,319,808","97,676,484","163,839,350","149,279,232","73,367,572","46,934,585","75,471,698","86,416,083","52,027,544","51,447,891","86,524,823","96,384,470","52,478,939","49,689,441","91,387,427","43,500,000","42,900,000","22,600,000","20,900,000","17,900,000","16,700,000","15,200,000","14,000,000","14,700,000","13,800,000","12,000,000","10,700,000",,,,
GrossProfit,"6,349,000,000","1,287,000,000","1,920,000,000","1,726,000,000","1,416,000,000","-117,000,000","1,977,000,000","1,918,000,000","1,435,000,000","972,000,000","735,000,000","646,000,000","599,000,000","559,000,000","-319,000,000","-104,000,000","-573,000,000","-373,000,000","32,000,000","325,000,000","-209,000,000","820,000,000","1,472,000,000","1,851,000,000","1,343,000,000","832,000,000","1,571,000,000","778,000,000","623,000,000","-2,438,000,000","1,859,000,000","2,067,000,000","1,772,000,000","2,602,000,000","1,872,000,000","1,835,000,000","1,485,000,000","2,022,000,000","1,811,000,000","1,919,000,000","1,919,000,000","1,864,000,000","1,529,000,000","1,668,000,000","1,287,000,000","1,338,392,139","2,859,271,876","3,125,381,640","2,445,221,685","3,468,765,904","1,828,480,572","1,852,284,804","1,818,496,310","1,656,778,694","1,923,549,793","1,870,607,920","1,555,347,968","2,121,357,195","1,997,677,120","1,410,335,093","1,278,113,664","1,266,253,544","1,360,715,635","1,214,142,762","1,046,694,648","838,368,194","872,501,351","878,022,424","1,038,636,698","836,890,148","736,507,936","537,960,297","436,583,811","391,937,921","523,907,211","624,810,893","709,443,481","659,667,885","835,587,616","538,700,606","385,674,932","304,880,896","325,752,017","184,804,928","126,792,453","157,781,036","171,384,851","155,813,611","116,312,056","150,333,079","169,866,041","155,969,634","155,081,695","182,300,000","156,900,000","87,400,000","80,300,000","60,200,000","53,000,000","52,600,000","51,500,000","53,600,000","52,300,000","49,500,000","52,400,000",,,,
OperatingExpense,"757,000,000","306,000,000","152,000,000","123,000,000","176,000,000","-11,000,000","39,000,000","298,000,000","39,000,000","226,000,000","231,000,000","10,000,000","150,000,000","163,000,000","192,000,000","248,000,000","239,000,000","192,000,000","50,000,000","64,000,000","211,000,000","5,000,000","14,000,000","329,000,000","278,000,000","204,000,000","171,000,000","74,000,000","192,000,000","-3,054,000,000","1,207,000,000","1,084,000,000","970,000,000","1,285,000,000","736,000,000","782,000,000","1,064,000,000","2,355,000,000","870,000,000","821,000,000","494,000,000","1,074,000,000","533,000,000","1,213,000,000","642,000,000","582,508,619","749,414,520","1,235,497,659","1,304,392,552","3,909,434,126","886,415,582","943,676,940","1,305,350,553","998,843,402","572,258,858","1,020,635,805","755,488,090","762,357,642","803,716,609","780,655,456","735,187,424","577,482,641","666,498,677","553,702,468","512,854,145","518,181,175","483,522,420","536,269,080","420,155,722","424,178,246","434,920,635","316,714,654","262,906,310","265,992,639","266,687,707","243,570,348","233,328,078","262,984,824","192,365,494","136,155,098","130,491,518","116,086,137","114,453,412","86,535,641","86,037,736","88,123,962","85,692,425","86,726,444","83,687,943","83,442,125","75,956,360","71,773,637","70,617,557","63,500,000","62,800,000","33,000,000","30,900,000","25,200,000","21,500,000","20,900,000","19,100,000","18,200,000","14,700,000","13,700,000","13,500,000",,,,
	SellingGeneralAndAdministration,"567,000,000","256,000,000","102,000,000","77,000,000","132,000,000","-57,000,000","8,000,000","251,000,000","7,000,000","181,000,000","187,000,000","29,000,000","114,000,000","128,000,000","156,000,000","213,000,000","203,000,000","149,000,000","6,000,000","21,000,000","168,000,000","-44,000,000","35,000,000","279,000,000","233,000,000","158,000,000","130,000,000","32,000,000","150,000,000","23,000,000","113,000,000","38,000,000","42,000,000","12,000,000","184,000,000","119,000,000","182,000,000","299,000,000","83,000,000","171,000,000","117,000,000","322,000,000","284,000,000","795,000,000","127,000,000","-105,589,599","45,773,898","503,765,520","566,814,114","3,157,985,119","131,173,606","194,473,964","532,749,077","233,136,142","93,886,219","387,060,792","173,984,120","161,396,019","236,933,798","256,536,148","218,863,362","60,649,501","151,190,626","78,719,146","83,945,435","87,368,130","54,024,851","128,326,354","17,628,911","16,934,215","17,460,317","12,123,049","14,340,344","12,955,854","9,468,203","7,564,297","7,882,705","10,463,191","6,011,422","5,919,787","4,349,717","4,154,948","4,402,054","4,400,117","4,528,302","4,803,854","4,590,666","5,879,759","4,255,319","3,199,160","2,762,049","4,140,787","2,769,316","3,100,000","2,400,000","1,000,000","1,300,000","1,500,000","700,000","1,000,000","1,100,000","800,000","900,000","400,000","800,000",,,,
		GeneralAndAdministrativeExpense,"567,000,000","256,000,000","102,000,000","77,000,000","132,000,000","-57,000,000","8,000,000","251,000,000","7,000,000","181,000,000","187,000,000","29,000,000","114,000,000","128,000,000","156,000,000","213,000,000","203,000,000","149,000,000","6,000,000","21,000,000","168,000,000","-44,000,000","35,000,000","279,000,000","233,000,000","158,000,000","130,000,000","32,000,000","150,000,000","23,000,000","113,000,000","38,000,000","42,000,000","12,000,000","184,000,000","119,000,000","182,000,000","299,000,000","83,000,000","171,000,000","117,000,000","322,000,000","284,000,000","795,000,000","127,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"223,000,000","161,000,000","7,000,000","7,000,000","62,000,000","144,000,000","85,000,000","175,000,000","88,000,000","97,000,000","114,000,000","104,000,000","27,000,000","42,000,000","74,000,000","122,000,000","117,000,000","-56,000,000","87,000,000","79,000,000","64,000,000","-144,000,000","122,000,000","189,000,000","143,000,000","65,000,000","48,000,000","49,000,000","71,000,000","41,000,000","49,000,000","115,000,000","107,000,000","-207,000,000","249,000,000","188,000,000","128,000,000","252,000,000","18,000,000","58,000,000","2,000,000","87,000,000","172,000,000","92,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"344,000,000","95,000,000","95,000,000","84,000,000","70,000,000","91,000,000","77,000,000","76,000,000","81,000,000","84,000,000","73,000,000","75,000,000","87,000,000","86,000,000","82,000,000","91,000,000","86,000,000","93,000,000","93,000,000","100,000,000","104,000,000","100,000,000","87,000,000","90,000,000","90,000,000","93,000,000","82,000,000","81,000,000","79,000,000","64,000,000","64,000,000","77,000,000","65,000,000","47,000,000","65,000,000","69,000,000","54,000,000","47,000,000","65,000,000","113,000,000","115,000,000","235,000,000","112,000,000","703,000,000","131,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,056,000,000","1,084,000,000","975,000,000","998,000,000","887,000,000","870,000,000","849,000,000","1,578,000,000","851,000,000","836,000,000","771,000,000","836,000,000","673,000,000","664,000,000","646,000,000","666,096,378","658,931,233","669,651,944","688,200,802","718,753,904","715,492,398","720,510,096","709,178,967","724,013,558","589,024,254","556,609,035","520,784,680","549,610,136","505,226,481","483,613,600","474,002,418","501,177,091","453,571,879","425,617,078","389,559,286","404,932,895","401,134,522","383,628,259","374,614,368","385,561,401","403,174,603","290,953,175","234,225,621","242,974,496","236,705,065","216,338,880","208,103,421","203,031,531","186,354,073","130,235,312","126,141,801","111,931,189","110,051,357","82,135,524","81,509,434","83,320,108","81,101,760","80,846,685","79,432,624","80,242,965","73,194,310","67,632,850","67,848,241","60,400,000","60,400,000","32,000,000","29,600,000","23,700,000","20,800,000","19,900,000","18,000,000","17,400,000","13,800,000","13,300,000","12,700,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"666,096,378","658,931,233","669,651,944","688,200,802","718,753,904","715,492,398","720,510,096","709,178,967","724,013,558","589,024,254","556,609,035","520,784,680","549,610,136","505,226,481","483,613,600","474,002,418","501,177,091","453,571,879","425,617,078","389,559,286","404,932,895","401,134,522","383,628,259","374,614,368","385,561,401","403,174,603","290,953,175","234,225,621","242,974,496","236,705,065","216,338,880","208,103,421","203,031,531","186,354,073","130,235,312","126,141,801","111,931,189","110,051,357","82,135,524","81,509,434","83,320,108","81,101,760","80,846,685","79,432,624","80,242,965","73,194,310","67,632,850","67,848,241","60,400,000","60,400,000","32,000,000","29,600,000","23,700,000","20,800,000","19,900,000","18,000,000","17,400,000","13,800,000","13,300,000","12,700,000",,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,001,840","44,709,389","62,080,195","49,377,636","32,695,103","39,749,578","28,692,880","63,422,509","41,693,702","77,120,823","76,965,979","60,719,290","51,351,486","61,556,330","40,505,708","42,321,644","15,656,049","61,736,172","49,366,244","39,349,423","25,880,152","28,363,047","24,314,467","27,912,443","21,682,630","14,285,714","13,638,430","14,340,344","10,062,289","20,514,439","19,667,171","17,341,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"190,000,000","50,000,000","50,000,000","46,000,000","44,000,000","46,000,000","47,000,000","47,000,000","46,000,000","45,000,000","44,000,000","39,000,000","36,000,000","35,000,000","36,000,000","35,000,000","36,000,000","43,000,000","44,000,000","43,000,000","43,000,000","49,000,000","49,000,000","50,000,000","45,000,000","46,000,000","41,000,000","42,000,000","42,000,000","38,000,000","38,000,000","38,000,000","37,000,000","33,000,000","33,000,000","31,000,000","33,000,000",,"-64,000,000","156,000,000","-160,000,000","-84,000,000","-424,000,000","-246,000,000","123,000,000",,,,,,,,,,,"-1",,,,,,"0",,,"1","-2",,,,,"1",,"1",,,,,,"-1","-1",,,"1",,,,"-1",,,,"1",,,,,,,,,,,,,,,,,,
OperatingIncome,"5,592,000,000","981,000,000","1,768,000,000","1,603,000,000","1,240,000,000","-106,000,000","1,938,000,000","1,620,000,000","1,396,000,000","746,000,000","504,000,000","636,000,000","449,000,000","396,000,000","-511,000,000","-352,000,000","-812,000,000","-565,000,000","-18,000,000","261,000,000","-420,000,000","815,000,000","1,458,000,000","1,522,000,000","1,065,000,000","628,000,000","1,400,000,000","704,000,000","431,000,000","616,000,000","652,000,000","983,000,000","802,000,000","1,317,000,000","1,136,000,000","1,053,000,000","421,000,000","-333,000,000","941,000,000","1,098,000,000","1,425,000,000","790,000,000","996,000,000","455,000,000","645,000,000","755,883,520","2,109,857,356","1,889,883,981","1,140,829,133","-440,668,222","942,064,990","908,607,864","513,145,757","657,935,292","1,351,290,935","849,972,115","799,859,878","1,358,999,553","1,193,960,511","629,679,637","542,926,240","688,770,903","694,216,958","660,440,294","533,840,503","320,187,019","388,978,931","341,753,344","618,480,976","412,711,902","301,587,301","221,245,643","173,677,501","125,945,282","257,219,504","381,240,545","476,115,403","396,683,061","643,222,122","402,545,508","255,183,414","188,794,759","211,298,605","98,269,287","40,754,717","69,657,074","85,692,426","69,087,167","32,624,113","66,890,954","93,909,681","84,195,997","84,464,138","118,800,000","94,100,000","54,400,000","49,400,000","35,000,000","31,500,000","31,700,000","32,400,000","35,400,000","37,600,000","35,800,000","38,900,000","-11,100,000","35,500,000","33,500,000","31,100,000"
NetNonOperatingInterestIncomeExpense,"-836,000,000","-217,000,000","-231,000,000","-197,000,000","-191,000,000","-179,000,000","-180,000,000","-190,000,000","-190,000,000","-169,000,000","-183,000,000","-145,000,000","-134,000,000","-115,000,000","-90,000,000","-86,000,000","-92,000,000","-73,000,000","-78,000,000","-85,000,000","-86,000,000","-84,000,000","-79,000,000","-92,000,000","-68,000,000","-60,000,000","-70,000,000","-72,000,000","-77,000,000","-83,000,000","-92,000,000","-93,000,000","-96,000,000","-83,000,000","-97,000,000","-99,000,000","-94,000,000","-120,000,000","-109,000,000","-109,000,000","-111,000,000","-111,000,000","-118,000,000","-124,000,000","-57,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"76,000,000"
	InterestExpenseNonOperating,"912,000,000","293,000,000","231,000,000","197,000,000","191,000,000","238,000,000","180,000,000","190,000,000","190,000,000","266,000,000","183,000,000","145,000,000","134,000,000","163,000,000","90,000,000","86,000,000","92,000,000","125,000,000","78,000,000","85,000,000","86,000,000","99,000,000","79,000,000","92,000,000","68,000,000","63,000,000","70,000,000","72,000,000","77,000,000","85,000,000","92,000,000","93,000,000","96,000,000","83,000,000","97,000,000","99,000,000","94,000,000","120,000,000","109,000,000","109,000,000","111,000,000","111,000,000","118,000,000","124,000,000","57,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"200,000,000","58,000,000","-173,000,000","144,000,000","171,000,000","-614,000,000","387,000,000","-28,000,000","-332,000,000","25,000,000","461,000,000","664,000,000","19,000,000","190,000,000","12,000,000","-39,000,000","436,000,000","588,000,000","-2,000,000","-56,000,000","-133,000,000","747,000,000","-43,000,000","14,000,000","-92,000,000","-49,000,000","208,000,000","20,000,000","-27,000,000","-61,000,000","-57,000,000","100,000,000","-137,000,000","138,000,000","82,000,000","226,000,000","-90,000,000","276,000,000","-28,000,000","-26,000,000","-65,000,000","-23,000,000","-24,000,000","-24,000,000","-19,000,000","1,911,682,852","1,913,987,652","-2,372,277,631","-149,161,609","549,340,130","84,467,852","190,223,167","-10,378,229","-3,605,810","304,012,518","14,500,836","-435,544,138","276,245,151","-900,116,144","-241,806,800","-1,090,689,238","189,775,318","-196,547,814","-202,801,868","-183,630,640","86,181,399","8,103,728","98,608,672","117,526,076","-1,857,098","-39,682,540","63,646,007","9,560,229","-49,457,870","-11,046,236","1,512,859","-1,576,541","-1,496,545","-144,274,121","-94,716,590",,"20,592","-61,628,760","-32,267,527","-1,509,434","-17,766","-18,362,663","-36,748,493","1,418,440","-4,434,481","-35,906,643","-30,365,769","-4,153,974","-38,800,000","-34,000,000","-16,000,000","-15,700,000","-11,500,000","-6,100,000","-8,900,000","-9,100,000","-8,500,000","-9,200,000","-8,800,000","-11,300,000",,,,
	GainOnSaleOfSecurity,"200,000,000","58,000,000","-173,000,000","144,000,000","171,000,000","-655,000,000","115,000,000","-167,000,000","-332,000,000","25,000,000","347,000,000","399,000,000","19,000,000","-28,000,000","12,000,000","-39,000,000","404,000,000","-134,000,000","-31,000,000","-59,000,000","-118,000,000","615,000,000","-38,000,000","14,000,000","-91,000,000","-48,000,000","-80,000,000","20,000,000","-25,000,000","-178,000,000","115,000,000","-62,000,000","54,000,000","106,000,000","-211,000,000","37,000,000","67,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,"-20,000,000","3,000,000","-15,000,000","-5,000,000","-5,000,000",,"-1,000,000","-1,000,000","-1,000,000","0","-2,000,000","-3,000,000","-1,000,000","-5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","0","0",,"41,000,000","272,000,000","139,000,000",,"0","114,000,000","265,000,000","0","218,000,000","0","0","32,000,000","690,000,000","49,000,000",,,"137,000,000","0",,,"0","289,000,000",,,"120,000,000","-171,000,000","205,000,000","-154,000,000","-65,000,000","326,000,000","220,000,000","-124,000,000","94,000,000","-28,000,000","-26,000,000","-65,000,000","-23,000,000","-24,000,000","-24,000,000","-19,000,000","1,911,682,852","1,913,987,652","-2,372,277,631","-149,161,609","549,340,130","84,467,852","190,223,167","-10,378,229","-3,605,810","304,012,518","14,500,836","-435,544,138","276,245,151","-900,116,144","-241,806,800","-1,090,689,238","189,775,318","-196,547,814","-202,801,868","-183,630,640","86,181,399","8,103,728","98,608,672","117,526,076","-1,857,098","-39,682,540","63,646,007","9,560,229","-49,457,870","-11,046,236","1,512,859","-1,576,541","-1,496,545","-144,274,121","-94,716,590",,"20,592","-61,628,760","-32,267,527","-1,509,434","-17,766","-18,362,663","-36,748,493","1,418,440","-4,434,481","-35,906,643","-30,365,769","-4,153,974","-38,800,000","-34,000,000","-16,000,000","-15,700,000","-11,500,000","-6,100,000","-8,900,000","-9,100,000","-8,500,000","-9,200,000","-8,800,000","-11,300,000",,,,
		RestructuringAndMergernAcquisition,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","396,000,000","27,000,000","28,000,000","26,000,000","26,000,000","23,000,000","24,000,000","24,000,000","19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"171,000,000","-205,000,000","154,000,000","65,000,000","-326,000,000","-220,000,000","-272,000,000",,,,"39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,"41,000,000","272,000,000","139,000,000",,"0","114,000,000","265,000,000","0","218,000,000","0","0","32,000,000","690,000,000","49,000,000",,,"137,000,000","0",,,"0","289,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-38,000,000","-37,000,000",,"-33,000,000","-31,000,000","-33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"4,956,000,000","822,000,000","1,364,000,000","1,550,000,000","1,220,000,000","-899,000,000","2,145,000,000","1,402,000,000","874,000,000","602,000,000","782,000,000","1,155,000,000","334,000,000","471,000,000","-589,000,000","-477,000,000","-468,000,000","-50,000,000","-98,000,000","120,000,000","-639,000,000","1,478,000,000","1,336,000,000","1,444,000,000","905,000,000","519,000,000","1,538,000,000","652,000,000","327,000,000","472,000,000","503,000,000","1,028,000,000","606,000,000","1,275,000,000","1,154,000,000","1,211,000,000","270,000,000","-177,000,000","804,000,000","963,000,000","1,249,000,000","656,000,000","854,000,000","95,000,000","370,000,000","2,632,452,819","4,062,167,341","-434,561,368","1,011,212,838","107,703,038","1,019,576,667","1,068,012,752","501,614,391","584,170,544","1,723,482,732","928,053,542","418,028,958","1,727,144,082","318,234,611","386,645,391","-548,972,189","839,429,079","514,048,129","460,306,871","347,586,569","400,638,152","390,329,552","424,152,371","715,439,988","379,918,161","226,984,127","269,737,839","170,490,758","82,426,516","233,548,998","343,419,062","435,125,335","347,439,077","449,353,772","275,270,090","223,285,486","156,384,167","129,126,926","46,934,584","22,641,510","44,285,236","48,967,100","13,229,458","18,439,716","48,764,486","48,335,866","45,548,654","73,386,874","73,100,000","50,500,000","32,900,000","29,000,000","19,800,000","18,500,000","17,200,000","18,400,000","23,100,000","25,900,000","23,600,000","25,000,000",,,,
TaxProvision,"-460,000,000","225,000,000","337,000,000","-1,281,000,000","259,000,000","-123,000,000","343,000,000","420,000,000","291,000,000","206,000,000","98,000,000","83,000,000","89,000,000","-95,000,000","-263,000,000","-138,000,000","-363,000,000","-181,000,000","13,000,000","525,000,000","-387,000,000","280,000,000","297,000,000","374,000,000","283,000,000","106,000,000","370,000,000","176,000,000","114,000,000","120,000,000","143,000,000","275,000,000","179,000,000","443,000,000","318,000,000","282,000,000","224,000,000","333,000,000","203,000,000","262,000,000","383,000,000","169,000,000","173,000,000","-67,000,000","65,000,000","841,053,309","1,181,605,280","-149,603,094","234,543,771","-724,390,457","280,234,523","197,662,062","169,511,070","229,927,331","530,904,214","-187,395,427","300,093,414","571,082,800","105,691,057","127,654,351","-166,868,198","248,913,941","144,891,017","148,098,732","48,530,955","127,644,412","158,022,690","-118,870,728","265,902,747","150,460,902","88,888,889","116,684,346","54,174,634","17,324,711","80,479,722","92,284,418","168,689,894","123,661,020","205,891,193","99,156,430","81,194,722","60,913,341","58,694,057","23,467,292","12,075,472","22,187,032","27,543,994","7,349,699","9,929,078","25,641,848","22,096,396","20,703,934","36,001,108","36,700,000","25,700,000","14,700,000","13,400,000","7,400,000","8,000,000","7,800,000","8,300,000","10,400,000","11,600,000","10,500,000","10,900,000",,,,
