name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalRevenue,"27,999,000,000","27,831,000,000","27,173,000,000","26,247,000,000","24,648,000,000","22,647,000,000","21,453,000,000","21,352,000,000","19,733,000,000","16,300,000,000","16,236,000,000","13,015,218,000","13,892,686,000","14,584,068,000","12,096,362,000","10,038,347,000","8,903,135,000","8,201,013,000","8,185,948,000","6,083,283,000","4,623,301,000","3,425,000,000","2,183,100,000","1,452,200,000","1,128,900,000","761,000,000","561,900,000"
	NetInterestIncome,"23,574,000,000","23,340,000,000","22,875,000,000","22,460,000,000","20,873,000,000","18,834,000,000","17,818,000,000","18,106,000,000","16,589,000,000","12,741,000,000","12,457,000,000","7,697,115,000","7,148,715,000","6,529,845,000","5,099,630,000","3,680,242,000","3,002,978,000","2,785,089,000","2,719,112,000","1,663,390,000","1,588,885,000","1,052,600,000","694,800,000","383,100,000","365,500,000","208,000,000","165,000,000"
		InterestIncome,"28,530,000,000","28,513,000,000","27,176,000,000","25,222,000,000","22,891,000,000","20,459,000,000","19,397,000,000","19,898,000,000","18,964,000,000","14,987,000,000","15,353,000,000","10,664,585,000","11,111,999,000","11,078,156,000","8,194,229,000","5,726,881,000","4,794,420,000","4,367,654,000","4,180,766,000","2,834,397,000","2,389,902,000","1,593,500,000","1,111,600,000","718,000,000","660,500,000","457,400,000","258,700,000"
			InterestIncomeFromLoansAndLease,"26,036,000,000","25,862,000,000","24,728,000,000","23,388,000,000","21,203,000,000","18,785,000,000","17,662,000,000","18,222,000,000","17,537,000,000","13,774,000,000","13,934,000,000","8,757,066,000","9,460,378,000","9,500,128,000","7,117,536,000","5,010,839,000","4,234,420,000","3,932,295,000","3,868,664,000","2,642,767,000","2,286,774,000","1,482,400,000","1,003,100,000","619,800,000","592,100,000","397,700,000","255,100,000"
				InterestIncomeFromLoans,"26,036,000,000","25,862,000,000","24,728,000,000","23,388,000,000","21,203,000,000","18,785,000,000","17,662,000,000","18,222,000,000","17,537,000,000",,,,"9,460,378,000","9,500,128,000","7,117,536,000","5,010,839,000","4,234,420,000","3,932,295,000","3,868,664,000","2,642,767,000","2,286,774,000","1,482,400,000","1,003,100,000","619,800,000","592,100,000","397,700,000","255,100,000"
			InterestIncomeFromSecurities,"2,286,000,000","2,411,000,000","2,211,000,000","1,711,000,000","1,599,000,000","1,575,000,000","1,628,000,000","1,575,000,000","1,329,000,000","1,137,000,000","1,342,000,000","1,610,210,000","1,224,012,000","950,972,000","676,712,000","388,576,000","312,374,000","192,594,000","184,407,000","138,188,000","96,554,000",,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,"105,400,000","12,600,000","16,400,000","21,300,000","26,800,000","2,500,000"
			OtherInterestIncome,"208,000,000","240,000,000","237,000,000","123,000,000","89,000,000","99,000,000","107,000,000","101,000,000","98,000,000","76,000,000","77,000,000","297,309,000","427,609,000","627,056,000","399,981,000","327,466,000","247,626,000","242,765,000","127,695,000","53,442,000","6,574,000","5,700,000","95,900,000","81,800,000","47,100,000","32,900,000","1,100,000"
		InterestExpense,"4,956,000,000","5,173,000,000","4,301,000,000","2,762,000,000","2,018,000,000","1,625,000,000","1,579,000,000","1,792,000,000","2,375,000,000","2,246,000,000","2,896,000,000","2,967,470,000","3,963,284,000","4,548,311,000","3,094,599,000","2,046,639,000","1,791,442,000","1,582,565,000","1,461,654,000","1,171,007,000","801,017,000","540,900,000","416,800,000","334,900,000","295,000,000","249,400,000","93,700,000"
			InterestExpenseForDeposit,"3,334,000,000","3,420,000,000","2,598,000,000","1,602,000,000","1,213,000,000","1,091,000,000","1,088,000,000","1,241,000,000","1,403,000,000","1,187,000,000","1,465,000,000","2,093,019,000","2,512,040,000","2,906,351,000","1,814,797,000","1,173,137,000","1,009,545,000","891,650,000","811,889,000","640,470,000","324,008,000","137,800,000","67,500,000","41,900,000","56,300,000","49,500,000","2,400,000"
			InterestExpenseForShortTermDebt,,,,,,,,,,"337,000,000",,,,,,,,"242,269,000","227,236,000","173,042,000","202,034,000","100,400,000","88,600,000","39,100,000","28,500,000","20,200,000","12,100,000"
			InterestExpenseForLongTermDebtAndCapitalSecurities,"1,622,000,000","1,753,000,000","1,703,000,000","1,160,000,000","805,000,000","534,000,000","491,000,000","551,000,000","972,000,000","1,059,000,000","1,431,000,000","874,451,000","1,451,244,000","1,641,960,000","1,279,802,000","873,502,000","781,897,000","448,646,000","422,529,000","357,495,000","274,975,000","302,700,000","260,700,000","253,800,000","210,200,000","133,800,000","76,300,000"
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,"45,900,000","2,900,000"
			OtherInterestExpense,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,
	NonInterestIncome,"4,425,000,000","4,491,000,000","4,298,000,000","3,787,000,000","3,775,000,000","3,813,000,000","3,635,000,000","3,246,000,000","3,144,000,000","3,559,000,000","3,779,000,000","5,318,103,000","6,743,971,000","8,054,223,000","6,996,732,000","6,358,105,000","5,900,157,000","5,415,924,000","5,466,836,000","4,419,893,000","3,034,416,000","2,372,400,000","1,488,300,000","1,069,100,000","763,400,000","553,000,000","396,900,000"
		FeesAndCommissions,"3,904,000,000","3,912,000,000","4,166,000,000","3,381,000,000","3,245,000,000","3,184,000,000","3,051,000,000","2,982,000,000","2,684,000,000","2,023,000,000","2,080,000,000","4,291,568,000","5,721,869,000","7,065,307,000","5,979,977,000","1,493,690,000","5,126,466,000","1,630,185,000","1,937,735,000","1,598,952,000","1,644,264,000","2,228,000,000","1,401,800,000","966,600,000","678,800,000","496,000,000","46,100,000"
			FeesandCommissionIncome,"4,664,000,000","4,674,000,000","5,069,000,000","4,371,000,000","4,098,000,000","3,950,000,000","3,888,000,000","4,014,000,000","3,753,000,000","2,023,000,000","2,080,000,000","4,291,568,000","5,721,869,000","7,065,307,000","5,979,977,000","1,493,690,000","5,126,466,000","1,630,185,000","1,937,735,000","1,598,952,000","1,644,264,000","2,228,000,000","1,401,800,000","966,600,000","678,800,000","496,000,000","46,100,000"
				ServiceChargeOnDepositorAccounts,"4,664,000,000","4,674,000,000","5,069,000,000","4,371,000,000","4,098,000,000","3,950,000,000","3,888,000,000","4,014,000,000","3,753,000,000","1,979,000,000","2,073,000,000","1,997,013,000",,,,,,,,,,,,,,,
				OtherCustomerServices,,,,,,,,,,"44,000,000","7,000,000","2,294,555,000",,,,,,,,,,,,,,,
