name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalAssets,"19,384,000,000","17,974,000,000","17,553,000,000","15,542,340,000","12,996,327,000","10,387,515,000","8,516,783,000","3,748,278,000","1,737,300,000","1,743,492,000","1,859,473,000","1,978,835,000","1,904,978,000","1,858,114,000","309,139,000"
	CurrentAssets,"2,707,000,000","2,356,000,000","2,139,000,000","958,260,000","493,475,000","486,520,000","613,128,000","532,544,000","109,510,000","78,653,000","152,931,000","246,103,000","198,917,000","361,324,000","18,048,000"
		CashCashEquivalentsAndShortTermInvestments,"1,781,000,000","0","0","0","146,221,000","248,830,000","351,032,000","419,292,000","81,415,000","53,349,000","117,542,000","7,000","13,000","7,000","5,000"
			CashAndCashEquivalents,"1,781,000,000","0","0","0","146,221,000","248,830,000","351,032,000","419,292,000","81,415,000","53,349,000","117,542,000","7,000","13,000","7,000","5,000"
		Receivables,"402,000,000","462,000,000","354,000,000","189,532,000","2,013,000","310,000",,"2,049,000","1,545,000","5,633,000","13,981,000","4,704,000","5,584,000","5,226,000","5,000"
			AccountsReceivable,"388,000,000","444,000,000","348,000,000","187,287,000","2,013,000","310,000",,"2,049,000","853,000","1,378,000","13,981,000","4,704,000","610,000",,
			OtherReceivables,"14,000,000","18,000,000","6,000,000","2,245,000",,,,,,,,,"4,974,000",,
			DuefromRelatedPartiesCurrent,,,,,,,,,"692,000","4,255,000",,,,,
		Inventory,"116,000,000","99,000,000","95,000,000","97,431,000","16,667,000","4,293,000","10,430,000","7,045,000","4,842,000","1,212,000","2,840,000",,,,
			RawMaterials,"80,000,000","65,000,000","52,000,000","37,266,000","7,253,000",,,,,,,,,,
			FinishedGoods,"36,000,000","34,000,000","43,000,000","60,165,000","9,414,000","4,293,000","10,430,000","7,045,000",,,,,,,
		PrepaidAssets,"158,000,000","228,000,000","36,000,000","37,697,000","39,836,000","33,734,000","20,734,000","11,639,000","7,976,000","4,727,000","4,836,000","5,407,000","432,000","385,000","415,000"
		RestrictedCash,"181,000,000","1,541,000,000","1,589,000,000","604,944,000","274,557,000","195,702,000","227,652,000","92,519,000","13,732,000","13,732,000","13,732,000","235,985,000","191,179,000","355,327,000","8,871,000"
		HedgingAssetsCurrent,"17,000,000",,,,,,,,,,,,,,
		OtherCurrentAssets,"52,000,000","26,000,000","65,000,000","28,656,000","14,181,000","3,651,000","3,280,000",,,,,,"1,709,000","379,000","8,752,000"
	TotalNonCurrentAssets,"16,677,000,000","15,618,000,000","15,414,000,000","14,584,080,000","12,502,852,000","9,900,995,000","7,903,655,000","3,215,734,000","1,627,790,000","1,664,839,000","1,706,542,000","1,732,732,000","1,706,061,000","1,496,790,000","291,091,000"
		NetPPE,"16,462,000,000","15,390,000,000","15,139,000,000","14,158,187,000","11,931,602,000","8,978,356,000","6,383,939,000","2,704,895,000","1,514,416,000","1,550,465,000","1,588,557,000","1,517,507,000","1,127,289,000","651,676,000","270,737,000"
			GrossPPE,"18,290,000,000","16,699,000,000","16,036,000,000","14,724,179,000","12,348,826,000","9,331,106,000","6,678,074,000","2,873,830,000","1,640,800,000","1,633,882,000","1,629,770,000","1,525,983,000","1,127,557,000","651,739,000","270,750,000"
				MineralProperties,"18,169,000,000","16,673,000,000","16,013,000,000","14,704,247,000","12,338,007,000","9,323,106,000","6,674,102,000","2,870,525,000","1,637,724,000","1,629,427,000",,,,,
				BuildingsAndImprovements,,,,,,,,,"163,000","170,000","176,000","183,000",,"10,000","10,000"
				MachineryFurnitureEquipment,,,,"17,908,000","10,726,000","5,495,000","3,009,000","2,545,000","1,711,000","1,575,000","1,629,175,000","921,148,000","1,136,000","130,000","30,000"
				OtherProperties,"121,000,000","26,000,000","23,000,000","2,024,000","93,000","2,505,000","963,000","760,000","916,000","550,000","419,000","254,000","68,000","230,000","224,000"
				ConstructionInProgress,,,,,,,,,"286,000","2,160,000","0","604,398,000","1,126,353,000","651,369,000","270,486,000"
			AccumulatedDepreciation,"-1,828,000,000","-1,309,000,000","-897,000,000","-565,992,000","-417,224,000","-352,750,000","-294,135,000","-168,935,000","-126,384,000","-83,417,000","-41,213,000","-8,476,000","-268,000","-63,000","-13,000"
		GoodwillAndOtherIntangibleAssets,"6,000,000","20,000,000","24,000,000","27,416,000",,,,,,,,,,,
			OtherIntangibleAssets,"6,000,000","20,000,000","24,000,000","27,416,000",,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,"1,021,000","41,457,000",,,
		FinancialAssets,"32,000,000","31,000,000","31,000,000","82,861,000","30,304,000","11,744,000","98,123,000",,,,,,,,
		NonCurrentAccountsReceivable,"17,000,000","17,000,000","25,000,000","27,781,000","27,615,000",,,,,,,,,,
		NonCurrentDeferredAssets,"15,000,000","13,000,000","38,000,000","120,704,000","295,265,000","241,909,000","313,944,000","220,949,000","17,622,000","22,004,000","26,953,000","30,748,000",,,
		NonCurrentPrepaidAssets,"137,000,000","140,000,000","149,000,000","149,011,000","122,002,000",,"6,561,000",,,,,,,,
		OtherNonCurrentAssets,"8,000,000","7,000,000","8,000,000","18,120,000","96,064,000","668,986,000","1,101,088,000","289,890,000","95,752,000","92,370,000","90,011,000","143,020,000","578,772,000","845,114,000","20,354,000"
TotalLiabilitiesNetMinorityInterest,"18,669,000,000","17,174,000,000","16,914,000,000","15,099,286,000","12,283,396,000","9,256,786,000","6,877,039,000","2,385,470,000","2,282,319,000","2,279,500,000","2,339,800,000","2,330,520,000","2,132,495,000","2,111,452,000","157,443,000"
	CurrentLiabilities,"966,000,000","1,068,000,000","829,000,000","855,711,000","2,065,835,000","214,756,000","265,887,000","155,410,000","51,818,000","52,134,000","115,584,000","107,003,000","53,420,000","38,303,000","44,838,000"
		PayablesAndAccruedExpenses,"795,000,000","885,000,000","717,000,000","544,193,000","355,822,000","164,836,000","225,745,000","128,076,000","21,779,000","14,804,000","25,621,000","41,761,000","53,420,000","38,303,000","44,838,000"
			Payables,"86,000,000","64,000,000","80,000,000","126,691,000","131,530,000","28,258,000","55,693,000","74,882,000","1,234,000","1,072,000","345,000","651,000","63,000","981,000",
